id,name,id_c,formula,BioCyc_api,name_2,formula_clean
4crsol_c,P-Cresol,4crsol,['C7H8O'],META:CPD-108,P-Cresol,C7H8O
aacald_c,Aminoacetaldehyde,aacald,['C2H6NO'],META:CPD-1772,Aminoacetaldehyde,C2H6NO
amob_c,S-Adenosyl-4-methylthio-2-oxobutanoate,amob,['C15H19N5O6S'],META:S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE,S-Adenosyl-4-methylthio-2-oxobutanoate,C15H19N5O6S
10fthf_c,10-Formyltetrahydrofolate,10fthf,['C20H21N7O7'],META:10-FORMYL-THF,10-Formyltetrahydrofolate,C20H21N7O7
2fe2s_c,[2Fe-2S] iron-sulfur cluster,2fe2s,['S2Fe2'],,[2Fe-2S] iron-sulfur cluster,S2Fe2
2ohph_c,2-Octaprenyl-6-hydroxyphenol,2ohph,['C46H70O2'],META:2-OCTAPRENYL-6-HYDROXYPHENOL,2-Octaprenyl-6-hydroxyphenol,C46H70O2
4fe4s_c,[4Fe-4S] iron-sulfur cluster,4fe4s,['S4Fe4'],META:CPD-7,[4Fe-4S] iron-sulfur cluster,S4Fe4
ala__L_c,L-Alanine,ala__L,['C3H7NO2'],META:L-ALPHA-ALANINE,L-Alanine,C3H7NO2
amet_c,S-Adenosyl-L-methionine,amet,['C15H23N6O5S'],META:S-ADENOSYLMETHIONINE,S-Adenosyl-L-methionine,C15H23N6O5S
arg__L_c,L-Arginine,arg__L,['C6H15N4O2'],META:ARG,L-Arginine,C6H15N4O2
asn__L_c,L-Asparagine,asn__L,['C4H8N2O3'],META:ASN,L-Asparagine,C4H8N2O3
asp__L_c,L-Aspartate,asp__L,['C4H6NO4'],META:L-ASPARTATE,L-Aspartate,C4H6NO4
atp_c,ATP C10H12N5O13P3,atp,['C10H12N5O13P3'],META:ATP,ATP,C10H12N5O13P3
bmocogdp_c,Bis-molybdopterin guanine dinucleotide,bmocogdp,['C40H44N20O27P4S4Mo'],,Bis-molybdopterin guanine dinucleotide,C40H44N20O27P4S4Mo
btn_c,Biotin,btn,['C10H15N2O3S'],META:BIOTIN,Biotin,C10H15N2O3S
ca2_c,Calcium,ca2,['Ca'],META:CA+2,lcium,Ca
cl_c,Chloride,cl,['Cl'],META:CL-,Chloride,Cl
coa_c,Coenzyme A,coa,['C21H32N7O16P3S'],META:CO-A,Coenzyme A,C21H32N7O16P3S
cobalt2_c,Co2+,cobalt2,['Co'],META:CO+2,2+,Co
ctp_c,CTP C9H12N3O14P3,ctp,['C9H12N3O14P3'],META:CTP,CTP,C9H12N3O14P3
cu2_c,Copper,cu2,['Cu'],META:CU+2,Copper,Cu
cys__L_c,L-Cysteine,cys__L,['C3H7NO2S'],META:CYS,L-Cysteine,C3H7NO2S
datp_c,DATP C10H12N5O12P3,datp,['C10H12N5O12P3'],META:DATP,DATP,C10H12N5O12P3
dctp_c,DCTP C9H12N3O13P3,dctp,['C9H12N3O13P3'],META:DCTP,DCTP,C9H12N3O13P3
dgtp_c,DGTP C10H12N5O13P3,dgtp,['C10H12N5O13P3'],META:DGTP,DGTP,C10H12N5O13P3
dttp_c,DTTP C10H13N2O14P3,dttp,['C10H13N2O14P3'],META:TTP,DTTP,C10H13N2O14P3
fad_c,Flavin adenine dinucleotide oxidized,fad,['C27H31N9O15P2'],META:FAD,Flavin adenine dinucleotide oxidized,C27H31N9O15P2
fe2_c,Fe2+ mitochondria,fe2,['Fe'],META:FE+2,2+ mitochondria,Fe
fe3_c,Iron (Fe3+),fe3,['Fe'],META:FE+3,Iron (3+),Fe
gln__L_c,L-Glutamine,gln__L,['C5H10N2O3'],META:GLN,L-Glutamine,C5H10N2O3
glu__L_c,L-Glutamate,glu__L,['C5H8NO4'],META:GLT,L-Glutamate,C5H8NO4
gly_c,Glycine,gly,['C2H5NO2'],META:GLY,Glycine,C2H5NO2
gtp_c,GTP C10H12N5O14P3,gtp,['C10H12N5O14P3'],META:GTP,GTP,C10H12N5O14P3
h2o_c,H2O H2O,h2o,['H2O'],META:CPD-15815,,H2O
his__L_c,L-Histidine,his__L,['C6H9N3O2'],META:HIS,L-Histidine,C6H9N3O2
ile__L_c,L-Isoleucine,ile__L,['C6H13NO2'],META:ILE,L-Isoleucine,C6H13NO2
k_c,Potassium,k,['K'],META:K+,Potassium,K
leu__L_c,L-Leucine,leu__L,['C6H13NO2'],META:LEU,L-Leucine,C6H13NO2
lys__L_c,L-Lysine,lys__L,['C6H15N2O2'],META:LYS,L-Lysine,C6H15N2O2
met__L_c,L-Methionine,met__L,['C5H11NO2S'],META:MET,L-Methionine,C5H11NO2S
mg2_c,Magnesium,mg2,['Mg'],META:MG+2,Magnesium,Mg
mlthf_c,"5,10-Methylenetetrahydrofolate",mlthf,['C20H21N7O6'],META:METHYLENE-THF,"5,10-Methylenetetrahydrofolate",C20H21N7O6
mn2_c,Manganese,mn2,['Mn'],META:MN+2,Manganese,Mn
mobd_c,Molybdate,mobd,"['MoO4', 'H2MoO4']",META:CPD-3,Molybdate,"MoO4', 'H2MoO4"
nad_c,Nicotinamide adenine dinucleotide,nad,['C21H26N7O14P2'],META:NAD,Nicotinamide adenine dinucleotide,C21H26N7O14P2
nadp_c,Nicotinamide adenine dinucleotide phosphate,nadp,['C21H25N7O17P3'],META:NADP,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3
nh4_c,Ammonium,nh4,"['H4N', 'NH4']",META:AMMONIA,Ammonium,"H4N', 'NH4"
ni2_c,Nickel,ni2,['Ni'],META:NI+2,ckel,Ni
pe160_c,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",pe160,"['C37H74N1O8P1', 'C37H74NO8P']",META:CPD-12819,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)","C37H74N1O8P1', 'C37H74NO8P"
pe161_c,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",pe161,"['C37H70NO8P', 'C37H70N1O8P1']",META:CPD-17086,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)","C37H70NO8P', 'C37H70N1O8P1"
phe__L_c,L-Phenylalanine,phe__L,['C9H11NO2'],META:PHE,L-Phenylalanine,C9H11NO2
pheme_c,Protoheme C34H30FeN4O4,pheme,"['C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4']",META:PROTOHEME,Protoheme,"C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4"
pro__L_c,L-Proline,pro__L,['C5H9NO2'],META:PRO,L-Proline,C5H9NO2
pydx5p_c,Pyridoxal 5'-phosphate,pydx5p,"['C8H7NO6P', 'C8H8NO6P']",META:PYRIDOXAL_PHOSPHATE,Pyridoxal 5'-phosphate,"C8H7NO6P', 'C8H8NO6P"
ribflv_c,Riboflavin C17H20N4O6,ribflv,"['C17H19N4O6', 'C17H20N4O6']",META:RIBOFLAVIN,Riboflavin,"C17H19N4O6', 'C17H20N4O6"
ser__L_c,L-Serine,ser__L,['C3H7NO3'],META:SER,L-Serine,C3H7NO3
sheme_c,Siroheme C42H36FeN4O16,sheme,['C42H36FeN4O16'],META:SIROHEME,Siroheme,C42H36FeN4O16
so4_c,Sulfate,so4,"['SO4', 'O4S']",META:HSO4,Sulfate,"SO4', 'O4S"
thf_c,"5,6,7,8-Tetrahydrofolate",thf,['C19H21N7O6'],META:THF,"5,6,7,8-Tetrahydrofolate",C19H21N7O6
thmpp_c,Thiamine diphosphate,thmpp,['C12H16N4O7P2S'],META:THIAMINE-PYROPHOSPHATE,Thiamine diphosphate,C12H16N4O7P2S
thr__L_c,L-Threonine,thr__L,['C4H9NO3'],META:THR,L-Threonine,C4H9NO3
trp__L_c,L-Tryptophan,trp__L,['C11H12N2O2'],META:TRP,L-Tryptophan,C11H12N2O2
tyr__L_c,L-Tyrosine,tyr__L,['C9H11NO3'],META:TYR,L-Tyrosine,C9H11NO3
udcpdp_c,Undecaprenyl diphosphate,udcpdp,['C55H89O7P2'],META:CPD-9649,Undecaprenyl diphosphate,C55H89O7P2
utp_c,UTP C9H11N2O15P3,utp,['C9H11N2O15P3'],META:UTP,UTP,C9H11N2O15P3
val__L_c,L-Valine,val__L,['C5H11NO2'],META:VAL,L-Valine,C5H11NO2
zn2_c,Zinc,zn2,['Zn'],META:ZN+2,Zinc,Zn
kdo2lipid4_e,KDO(2)-lipid IV(A),kdo2lipid4,['C84H148N2O37P2'],META:KDO2-LIPID-IVA,KDO(2)-lipid IV(A),C84H148N2O37P2
murein5px4p_p,"Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",murein5px4p,['C77H117N15O40'],META:CPD0-2278,"Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",C77H117N15O40
pe160_p,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",pe160,"['C37H74N1O8P1', 'C37H74NO8P']",META:CPD-12819,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)","C37H74N1O8P1', 'C37H74NO8P"
pe161_p,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",pe161,"['C37H70NO8P', 'C37H70N1O8P1']",META:CPD-17086,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)","C37H70NO8P', 'C37H70N1O8P1"
adp_c,ADP C10H12N5O10P2,adp,['C10H12N5O10P2'],META:ADP,ADP,C10H12N5O10P2
h_c,H+,h,['H'],META:PROTON,+,H
pi_c,Phosphate,pi,"['H1O4P', 'HPO4', 'HO4P']",META:CPD-16459,Phosphate,"H1O4P', 'HPO4', 'HO4P"
