    'Tool/File';model;Tool;Organism;Duplicated reactions different GPR;Duplicated reactions same GPR;Duplicated reactions no GPR
    'Aureme\Aedes_Aureme.sbml';au_A_aegypti;AuReMe;A_aegypti;46;14;0
    'Aureme\CHO_Aureme.sbml';au_CHO;AuReMe;CHO;637;637;0
    'Aureme\CHO_Recon.sbml';au_CHO;AuReMe;CHO;631;611;0
    'Aureme\Ectocarpus_Aureme.sbml';au_E_siliculosus;AuReMe;E_siliculosus;87;289;0
    'Aureme\Ecto_Saccharina_Aureme.sbml';au_S_japonica;AuReMe;E_siliculosus;229;107;0
    'Aureme\Mpyr_Aureme.sbml';au_M_pyrifera;AuReMe;M_pyrifera;246;83;0
    'Aureme\Mpyr_Chlamydomonas.sbml';au_M_pyrifera;AuReMe;M_pyrifera;85;273;0
    'CarveMe\A_aegypti.xml';cv_A_aegypti;carveMe;A_aegypti;41;12;14
    'CarveMe\CHO.xml';cv_CHO;carveMe;CHO;43;20;29
    'CarveMe\E_siliculosus.xml';cv_E_siliculosus;carveMe;E_siliculosus;78;37;26
    'CarveMe\M_pyrifera.xml';cv_M_pyrifera;carveMe;M_pyrifera;82;30;22
    'Merlin\Aedes_merlin_support.xml';me_A_aegypti;Merlin;A_aegypti;1010;2374;358
    'Merlin\CHO_Merlin_support.xml';me_CHO;Merlin;CHO;1533;2720;380
    'Merlin\Ectocarpus_merlin_support.xml';me_E_siliculosus;Merlin;E_siliculosus;161;267;206
    'Merlin\E_siliculosus_01_12_support.xml';me_E_siliculosus;Merlin;E_siliculosus;597;1791;452
    'Merlin\Macrocystis_merlin_support.xml';me_M_pyrifera;Merlin;M_pyrifera;126;84;18
    'Modelseed\A_aegypti.sbml';ms_A_aegypti;Modelseed;A_aegypti;3;695;16
    'Modelseed\CHO.sbml';ms_CHO;Modelseed;CHO;18;680;16
    'Modelseed\E_siliculosus.sbml';ms_E_siliculosus;Modelseed;E_siliculosus;18;680;16
    'Modelseed\M_pyrifera.sbml';ms_M_pyrifera;Modelseed;M_pyrifera;21;677;26
    'PWT\A_aegypti_ptools_terminal.xml';pt_A_aegypti;Pathway tools;A_aegypti;9;49;5
    'PWT\CHO_ptools_terminal.xml';pt_CHO;Pathway tools;CHO;23;66;3
    'PWT\E_siliculosus_ptools_terminal.xml';pt_E_siliculosus;Pathway tools;E_siliculosus;15;32;2
    'PWT\M_pyr_ptools_terminal.xml';pt_M_pyrifera;Pathway tools;M_pyrifera;33;45;4
    'Reconstructor\A_aegypti.sbml';rec_A_aegypti;Reconstructor;A_aegypti;3;0;5
    'Reconstructor\CHO.sbml';rec_CHO;Reconstructor;CHO;2;0;6
    'Reconstructor\E_siliculosus.sbml';rec_E_siliculosus;Reconstructor;E_siliculosus;2;0;4
    'Reconstructor\M_pyrifera.sbml';rec_M_pyrifera;Reconstructor;M_pyrifera;2;0;4
EctoGEM;ref_E_siliculosus;Reference;E_siliculosus;28;22;63
CHO;ref_CHO;Reference;CHO;778;533;1170
A_aegypti;ref_A_aegypti;Reference;A_aegypti;626;473;982
S_japonica;ref_S_japonica;Reference;S_japonica;218;128;65
