Original ID,Normalized ID,NCBI protein,NCBI gene,Model ID
AAEL014594,AAEL014594,,5564737,ref_A_aegypti
AAEL002031,AAEL002031,,5573116,ref_A_aegypti
AAEL008638,AAEL008638,,5570872,ref_A_aegypti
AAEL002005,AAEL002005,,5573113,ref_A_aegypti
AAEL001960,AAEL001960,,5573117,ref_A_aegypti
AAEL006827,AAEL006827,,5568413,ref_A_aegypti
AAEL006359,AAEL006359,,5567885,ref_A_aegypti
AAEL004557,AAEL004557,,5565034,ref_A_aegypti
AAEL013976,AAEL013976,,5569156,ref_A_aegypti
AAEL007421,AAEL007421,,AAEL007421,ref_A_aegypti
AAEL006344,AAEL006344,,5567884,ref_A_aegypti
AAEL013972,AAEL013972,,5579039,ref_A_aegypti
AAEL006338,AAEL006338,,5567893,ref_A_aegypti
AAEL006353,AAEL006353,,5567883,ref_A_aegypti
AAEL008898,AAEL008898,,5571203,ref_A_aegypti
AAEL007913,AAEL007913,,5569761,ref_A_aegypti
AAEL006334,AAEL006334,,5567886,ref_A_aegypti
AAEL006327,AAEL006327,,5567887,ref_A_aegypti
AAEL007413,AAEL007413,,5569154,ref_A_aegypti
AAEL009664,AAEL009664,,5575933,ref_A_aegypti
AAEL012162,AAEL012162,,5575933,ref_A_aegypti
AAEL014600,AAEL014600,,5564745,ref_A_aegypti
AAEL010442,AAEL010442,,5564745,ref_A_aegypti
AAEL014886,AAEL014886,,5576553,ref_A_aegypti
AAEL012609,AAEL012609,,5576553,ref_A_aegypti
AAEL001048,AAEL001048,,5579897,ref_A_aegypti
AAEL013166,AAEL013166,,5577315,ref_A_aegypti
AAEL014238,AAEL014238,,5563940,ref_A_aegypti
AAEL010737,AAEL010737,,5563940,ref_A_aegypti
AAEL010008,AAEL010008,,5572727,ref_A_aegypti
AAEL003903,AAEL003903,,5563717,ref_A_aegypti
AAEL003915,AAEL003915,,5563716,ref_A_aegypti
AAEL007542,AAEL007542,,5569335,ref_A_aegypti
AAEL011981,AAEL011981,,5575655,ref_A_aegypti
AAEL012579,AAEL012579,,5576532,ref_A_aegypti
AAEL002399,AAEL002399,,5574496,ref_A_aegypti
AAEL013831,AAEL013831,,5566485,ref_A_aegypti
AAEL005422,AAEL005422,,5566485,ref_A_aegypti
AAEL009029,AAEL009029,,5571397,ref_A_aegypti
AAEL005763,AAEL005763,,5567014,ref_A_aegypti
AAEL005752,AAEL005752,,5567009,ref_A_aegypti
AAEL005749,AAEL005749,,5567015,ref_A_aegypti
AAEL001900,AAEL001900,,5572805,ref_A_aegypti
AAEL005019,AAEL005019,,5565850,ref_A_aegypti
AAEL001895,AAEL001895,,5572806,ref_A_aegypti
AAEL006634,AAEL006634,,5568202,ref_A_aegypti
AAEL010697,AAEL010697,,5573712,ref_A_aegypti
AAEL002296,AAEL002296,,5574197,ref_A_aegypti
AAEL006912,AAEL006912,,5568498,ref_A_aegypti
AAEL006307,AAEL006307,,5567854,ref_A_aegypti
AAEL000321,AAEL000321,,AAEL000321,ref_A_aegypti
AAEL007283,AAEL007283,,5569000,ref_A_aegypti
AAEL004042,AAEL004042,,5564041,ref_A_aegypti
AAEL006364,AAEL006364,,5567928,ref_A_aegypti
AAEL011536,AAEL011536,,5574930,ref_A_aegypti
AAEL004143,AAEL004143,,5564160,ref_A_aegypti
AAEL000511,AAEL000511,,5578456,ref_A_aegypti
AAEL004297,AAEL004297,,5564509,ref_A_aegypti
AAEL000097,AAEL000097,,5563645,ref_A_aegypti
AAEL002791,AAEL002791,,5576134,ref_A_aegypti
AAEL014452,AAEL014452,,5564469,ref_A_aegypti
AAEL007555,AAEL007555,,5569333,ref_A_aegypti
AAEL004127,AAEL004127,,5564156,ref_A_aegypti
AAEL004137,AAEL004137,,5564158,ref_A_aegypti
AAEL003125,AAEL003125,,5577139,ref_A_aegypti
AAEL000735,AAEL000735,,5566281,ref_A_aegypti
AAEL008574,AAEL008574,,5570810,ref_A_aegypti
AAEL001194,AAEL001194,,5568814,ref_A_aegypti
AAEL011206,AAEL011206,,5574529,ref_A_aegypti
AAEL008216,AAEL008216,,5570276,ref_A_aegypti
