Original ID,model,Final ID
__MENTHOL[c],rc_C_griseus,MNXM1346
+_5_oxo_1_2_campholide[c],rc_A_aegypti,MNXM733701
+_5_oxo_1_2_campholide[c],rc_C_griseus,MNXM733701
+-5-oxo-1-2-campholide[c],rc_E_siliculosus,MNXM733701
1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE[c],rc_A_aegypti,MNXM32122
1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE[c],rc_C_griseus,MNXM32122
1_3_7_TRIMETHYLXANTHINE[c],rc_C_griseus,MNXM680
1_7_DIMETHYLXANTHINE[c],rc_A_aegypti,MNXM758
1_7_DIMETHYLXANTHINE[c],rc_C_griseus,MNXM758
1_Acyl_2_Arachidonoyl_Glycerol_P[c],rc_A_aegypti,MNXM150002
1_Acyl_2_Arachidonoyl_Glycerol_P[c],rc_C_griseus,MNXM150002
1_Acyl_2_Arachidonoyl_Glycerols[c],rc_A_aegypti,MNXM743720
1_Acyl_2_Arachidonoyl_Glycerols[c],rc_C_griseus,MNXM743720
1_Acyl_2_Lysophosaphatidylserines[c],rc_A_aegypti,MNXM733045
1_Acyl_2_Lysophosaphatidylserines[c],rc_C_griseus,MNXM733045
1_Acyl_sn_glycerols[c],rc_A_aegypti,MNXM733606
1_Acyl_sn_glycerols[c],rc_C_griseus,MNXM733606
1_Alkenyl_2_Acyl_Glycerol_3P[c],rc_C_griseus,MNXM743722
1_ALKENYL_2_ACYLGLYCEROL[c],rc_A_aegypti,MNXM730377
1_ALKENYL_2_ACYLGLYCEROL[c],rc_C_griseus,MNXM730377
1_Alkenyl_phosphoglycerol[c],rc_A_aegypti,MNXM164419
1_Alkenyl_phosphoglycerol[c],rc_C_griseus,MNXM164419
1_Alkenylglycerophosphoethanolamines[c],rc_A_aegypti,MNXM730296
1_Alkenylglycerophosphoethanolamines[c],rc_C_griseus,MNXM730296
1_Alkyl_2_acyl_glycerol[c],rc_A_aegypti,MNXM741342
1_Alkyl_2_acyl_glycerol[c],rc_C_griseus,MNXM741342
1_Alkyl_2_acyl_glycerol_3_phosphate[c],rc_A_aegypti,MNXM163083
1_Alkyl_2_acyl_glycerol_3_phosphate[c],rc_C_griseus,MNXM163083
1_Alkyl_2_acyl_glycerol_P_Etn[c],rc_A_aegypti,MNXM730994
1_Alkyl_2_acyl_glycerol_P_Etn[c],rc_C_griseus,MNXM730994
1_ALKYL_GLYCERONE_3_PHOSPHATE[c],rc_A_aegypti,MNXM741069
1_ALKYL_GLYCERONE_3_PHOSPHATE[c],rc_C_griseus,MNXM741069
1_Alkyl_sn_glycero_3_phosphocholines[c],rc_A_aegypti,MNXM727574
1_Alkyl_sn_glycero_3_phosphocholines[c],rc_C_griseus,MNXM727574
1_Alkyl_sn_glycerol_3_phosphates[c],rc_A_aegypti,MNXM730105
1_Alkyl_sn_glycerol_3_phosphates[c],rc_C_griseus,MNXM730105
1_AMINO_PROPAN_2_ONE_3_PHOSPHATE[c],rc_A_aegypti,MNXM1213
1_AMINO_PROPAN_2_ONE_3_PHOSPHATE[c],rc_C_griseus,MNXM1213
1_arachidonoyl_PC[c],rc_C_griseus,MNXM743728
1_BETA_D_GALACTOSYL_2_2_HYDROXYACYLS[c],rc_A_aegypti,MNXM730723
1_BETA_D_GALACTOSYL_2_2_HYDROXYACYLS[c],rc_C_griseus,MNXM730723
1_CHLORO_24_DINITROBENZENE[c],rc_C_griseus,MNXM1398
1_HYDROXYALKYL_SN_GLYCEROL[c],rc_A_aegypti,MNXM5414
