Original ID,MNX_raw_SMej,transport,MNX_SMej,model,cleaned_SMen,MNX_SMen,MNX_manual,MNX_auto,Final ID
24,MNXR132678,0,MNXR132678,au_C_griseus,,,MNXR132678,MNXR132678,MNXR132678
24,MNXR132678,0,MNXR132678,au3_C_griseus,,,MNXR132678,MNXR132678,MNXR132678
_LIMONENE_7_MONOOXYGENASE_RXN,_LIMONENE_7_MONOOXYGENASE_RXN,0,_LIMONENE_7_MONOOXYGENASE_RXN,rc_A_aegypti,MNXR145864,MNXR145864,MNXR145864,MNXR145864,MNXR145864
_LIMONENE_7_MONOOXYGENASE_RXN,_LIMONENE_7_MONOOXYGENASE_RXN,0,_LIMONENE_7_MONOOXYGENASE_RXN,rc_C_griseus,MNXR145864,MNXR145864,MNXR145864,MNXR145864,MNXR145864
_MENTHOL_DEHYDROGENASE_RXN,_MENTHOL_DEHYDROGENASE_RXN,0,_MENTHOL_DEHYDROGENASE_RXN,rc_C_griseus,MNXR145864,MNXR107350,,MNXR107350,MNXR107350
1.1.1.127_RXN,0,0,MNXR138245,rc_E_siliculosus,1.1.1.127-RXN,MNXR138245,MNXR138245,MNXR138245,MNXR138245
1.1.1.141_RXN,MNXR107592,0,MNXR107592,au_A_aegypti,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,MNXR107592,0,MNXR107592,au_C_griseus,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,MNXR107592,0,MNXR107592,au2_A_aegypti,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,MNXR107592,0,MNXR107592,au2_C_griseus,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,MNXR107592,0,MNXR107592,au3_A_aegypti,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,MNXR107592,0,MNXR107592,au3_C_griseus,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,MNXR107592,0,MNXR107592,au3_E_siliculosus,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,MNXR107592,0,MNXR107592,pt_A_aegypti,,,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,,0,,pt_C_griseus,1.1.1.141-RXN,,MNXR107592,,MNXR107592
1.1.1.141_RXN,1.1.1.141_RXN,0,1.1.1.141_RXN,rc_A_aegypti,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141_RXN,1.1.1.141_RXN,0,1.1.1.141_RXN,rc_C_griseus,1.1.1.141-RXN,MNXR107592,MNXR107592,MNXR107592,MNXR107592
1.1.1.141-RXN,MNXR107592,0,,au5_E_siliculosus,,,,,MNXR107592
1.1.1.145_RXN,MNXR148054,0,MNXR148054,au3_E_siliculosus,1.1.1.145-RXN,MNXR148054,MNXR148054,MNXR148054,MNXR148054
1.1.1.145_RXN,MNXR148054,0,MNXR148054,r_A_aegypti,1.1.1.145-RXN,MNXR148054,MNXR148054,MNXR148054,MNXR148054
1.1.1.145_RXN,MNXR148054,0,MNXR148054,r_C_griseus,1.1.1.145-RXN,MNXR148054,MNXR148054,MNXR148054,MNXR148054
