 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4
MNXR02,1,0,0,0,0,0,0,0,0,0,0,1
MNXR100018,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100019,1,0,0,0,0,0,0,1,0,0,0,0
MNXR100024,1,1,1,1,0,1,1,1,1,1,1,1
MNXR100030,1,1,1,1,1,1,1,1,1,1,1,0
MNXR100060,1,1,0,0,0,0,0,0,0,0,1,0
MNXR100074,1,0,1,1,1,1,1,1,0,1,1,0
MNXR100098,1,1,1,1,0,0,0,1,1,1,1,0
MNXR100136,1,0,0,0,0,1,1,1,1,0,1,0
MNXR100219,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100258,1,0,0,0,1,1,0,0,0,0,0,0
MNXR100259,1,1,0,0,0,0,0,1,0,0,0,1
MNXR100289,1,1,1,1,1,1,1,0,0,1,1,0
MNXR100291,1,0,1,1,0,1,1,0,1,1,1,0
MNXR100304,1,0,0,0,0,0,0,0,0,0,1,0
MNXR100308,1,0,0,0,0,0,0,1,0,0,0,0
MNXR100310,1,0,0,0,0,0,1,1,1,0,1,0
MNXR100317,1,0,0,0,0,0,0,1,0,0,0,0
MNXR100325,1,1,1,1,0,1,1,1,1,1,1,0
MNXR100328,1,1,1,1,0,0,0,1,0,1,1,0
MNXR100329,1,0,1,1,0,1,1,0,1,1,1,0
MNXR100331,1,0,1,0,1,1,1,1,1,0,0,0
MNXR100332,1,0,1,1,1,1,1,1,1,1,1,0
MNXR100336,1,0,1,1,0,1,1,1,0,1,1,0
MNXR100345,1,0,0,0,0,0,0,0,0,0,1,0
MNXR100348,1,0,1,1,1,1,1,1,1,1,1,0
MNXR100351,1,0,0,0,0,0,0,0,0,0,0,1
MNXR100353,1,0,1,1,1,1,1,1,1,1,1,0
MNXR100355,1,0,1,1,1,1,1,1,1,1,1,1
MNXR100367,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100368,1,0,0,0,0,0,0,0,1,0,0,1
MNXR100371,1,1,0,0,0,0,0,1,0,0,0,0
MNXR100389,1,1,1,1,1,1,1,1,1,1,1,0
MNXR100390,1,1,0,0,0,0,0,0,0,0,0,0
MNXR100410,1,0,1,1,0,1,1,1,1,1,1,0
MNXR100443,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100446,1,0,1,1,0,1,1,0,1,1,1,0
MNXR100448,1,0,0,0,0,0,0,1,0,0,0,0
MNXR100449,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100450,1,0,1,1,1,1,1,1,1,1,1,0
MNXR100482,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100493,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100494,1,1,0,0,0,0,0,1,0,0,0,0
MNXR100624,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100625,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100628,1,0,1,1,1,1,1,1,1,1,1,0
MNXR100658,1,0,1,1,1,1,1,1,1,1,1,0
