Original ID,Raw MetaNetX ID,Final ID
WATER_c,MNXM03_c,MNXM03
Proteins-with-N-Terminal-L-Glutamine_c,MNXM744019_c,MNXM744019
Protein-N-terminal-5-oxo-prolines_c,MNXM744013_c,MNXM744013
AMMONIUM_c,MNXM729304_c,MNXM729304
Protein-L-glutamine_c,MNXM148769_c,MNXM148769
SEROTONIN_c,MNXM357_c,MNXM357
Protein-N6-5-glutamyl-serotonin_c,MNXM744014_c,MNXM744014
Triacylglycerides_c,MNXM732991_c,MNXM732991
Diacylglycerides_c,MNXM743879_c,MNXM743879
Fatty-Acids_c,MNXM739618_c,MNXM739618
PROTON_c,MNXM1_c,MNXM1
Monoacylglycerols_c,MNXM162272_c,MNXM162272
GLYCEROL_c,MNXM89612_c,MNXM89612
THF_c,MNXM89609_c,MNXM89609
NADP_c,MNXM5_c,MNXM5
DIHYDROFOLATE_c,MNXM281_c,MNXM281
NADPH_c,MNXM738702_c,MNXM738702
CPD66-34_c,MNXM3132_c,MNXM3132
CDP-CHOLINE_c,MNXM283_c,MNXM283
1-2-DIPALMITOYLPHOSPHATIDYLCHOLINE_c,MNXM32122_c,MNXM32122
CMP_c,MNXM31_c,MNXM31
GLC-6-P_c,MNXM508_c,MNXM508
1-L-MYO-INOSITOL-1-P_c,MNXM737936_c,MNXM737936
NICOTINE_c,MNXM90482_c,MNXM90482
OXYGEN-MOLECULE_c,MNXM735438_c,MNXM735438
CPD-2743_c,MNXM12464_c,MNXM12464
S-ADENOSYLMETHIONINE_c,MNXM16_c,MNXM16
R-NICOTINE_c,MNXM9500_c,MNXM9500
CPD-3183_c,MNXM19896_c,MNXM19896
ADENOSYL-HOMO-CYS_c,MNXM19_c,MNXM19
UDP-GLUCURONATE_c,MNXM87_c,MNXM87
CPD-2744_c,MNXM19897_c,MNXM19897
UDP_c,MNXM1102128_c,MNXM1102128
GMP_c,MNXM1101285_c,MNXM1101285
PPI_c,MNXM11_c,MNXM11
GUANINE_c,MNXM733114_c,MNXM733114
PRPP_c,MNXM91_c,MNXM91
2-METHYL-BUTYRYL-COA_c,MNXM162399_c,MNXM162399
ETF-Oxidized_c,MNXM53428_c,MNXM53428
CPD-1083_c,MNXM609_c,MNXM609
ETF-Reduced_c,MNXM2229_c,MNXM2229
ATP_c,MNXM3_c,MNXM3
ADP_c,MNXM40333_c,MNXM40333
GDP_c,MNXM30_c,MNXM30
CPD-622_c,MNXM90279_c,MNXM90279
CPD-1136_c,MNXM1792_c,MNXM1792
GTP_c,MNXM51_c,MNXM51
CGMP_c,MNXM731192_c,MNXM731192
OCTAPRENYL-METHOXY-BENZOQUINONE_c,MNXM90444_c,MNXM90444
OCTAPRENYL-METHYL-METHOXY-BENZQ_c,MNXM1899_c,MNXM1899
Pi_c,MNXM9_c,MNXM9
METOH_c,MNXM157_c,MNXM157
