Original ID,Raw MetaNetX ID,Final ID
nadph_c,MNXM738702_c,MNXM738702
ile__L_c,MNXM231_c,MNXM231
h_c,MNXM1_c,MNXM1
val__L_e,MNXM199_e,MNXM199
o2_c,MNXM735438_c,MNXM735438
ile__L_e,MNXM231_e,MNXM231
pmtcoa_c,MNXM88_c,MNXM88
val__L_c,MNXM199_c,MNXM199
h2o_c,MNXM03_c,MNXM03
hdcoa_c,MNXM1106135_c,MNXM1106135
hom__L_c,MNXM353_c,MNXM353
nadp_c,MNXM5_c,MNXM5
thr__L_e,MNXM142_e,MNXM142
hom__L_e,MNXM353_e,MNXM353
thr__L_c,MNXM142_c,MNXM142
stcoa_c,MNXM272_c,MNXM272
odecoa_c,MNXM1105956_c,MNXM1105956
5hoxindoa_c,MNXM732179_c,MNXM732179
5hoxindact_c,MNXM1057_c,MNXM1057
trp__L_e,MNXM94_e,MNXM94
nad_c,MNXM8_c,MNXM8
nadh_c,MNXM10_c,MNXM10
ala__L_e,MNXM32_e,MNXM32
phe__L_c,MNXM741663_c,MNXM741663
5htrp_c,MNXM730546_c,MNXM730546
ala__L_c,MNXM32_c,MNXM32
atp_c,MNXM3_c,MNXM3
phe__L_e,MNXM741663_e,MNXM741663
5htrp_e,MNXM730546_e,MNXM730546
adp_c,MNXM40333_c,MNXM40333
pi_c,MNXM9_c,MNXM9
tyr__L_c,MNXM76_c,MNXM76
tyr__L_e,MNXM76_e,MNXM76
cys__L_c,MNXM738067_c,MNXM738067
atp_m,MNXM3_m,MNXM3
h_m,MNXM1_m,MNXM1
dpcoa_m,MNXM1104543_m,MNXM1104543
ppi_m,MNXM11_m,MNXM11
coa_c,MNXM727276_c,MNXM727276
accoa_c,MNXM1104266_c,MNXM1104266
ptrc_c,MNXM102716_c,MNXM102716
aprut_c,MNXM1153_c,MNXM1153
adn_c,MNXM212_c,MNXM212
ade_c,MNXM168_c,MNXM168
r1p_c,MNXM295_c,MNXM295
CPD-14275_c,MNXM1103985_c,MNXM1103985
CPD-14280_c,MNXM732673_c,MNXM732673
h2o_r,MNXM03_r,MNXM03
WATER_c,MNXM03~_c,MNXM03
nadp_r,MNXM5_r,MNXM5
CPD-14276_c,MNXM162568_c,MNXM162568
CPD-14281_c,MNXM741761_c,MNXM741761
nad_r,MNXM8_r,MNXM8
L-GULONO-1-4-LACTONE_c,MNXM722862_c,MNXM722862
