Original ID,Raw MetaNetX ID,Final ID
10fthf_c,MNXM1102376_c,MNXM1102376
10fthf_h,MNXM1102376_h,MNXM1102376
10fthf_m,MNXM1102376_m,MNXM1102376
10fthf_x,MNXM1102376_p/glyoxysome,MNXM1102376
10fthfglu_L_c,10fthfglu_L_c,10fthfglu_L_c
10fthfglu_L_m,10fthfglu_L_m,10fthfglu_L_m
12dgr160_h,MNXM3132_h,MNXM3132
12dgr16018111Z_c,MNXM145578_c,MNXM145578
12dgr1601819Z_c,MNXM145574_c,MNXM145574
12dgr1601819Z_h,MNXM145574_h,MNXM145574
12dgr1801819Z_c,MNXM145575_c,MNXM145575
12dgr1801819Z_h,MNXM145575_h,MNXM145575
12dgr18111Z160_c,MNXM147342_c,MNXM147342
12dgr18111Z160_h,MNXM147342_h,MNXM147342
12dgr18111Z18111Z_c,MNXM145577_c,MNXM145577
12dgr18111Z1819Z_c,MNXM145566_c,MNXM145566
12dgr18111Z1819Z_h,MNXM145566_h,MNXM145566
12dgr1819Z160_c,MNXM146745_c,MNXM146745
12dgr1819Z160_h,MNXM146745_h,MNXM146745
12dgr1819Z1619Z_h,MNXM147343_h,MNXM147343
12dgr1819Z18111Z_c,MNXM145573_c,MNXM145573
12dgr1819Z18111Z_h,MNXM145573_h,MNXM145573
12dgr1819Z1819Z_c,MNXM145565_c,MNXM145565
12dgr1819Z1819Z_h,MNXM145565_h,MNXM145565
12dmpo_c,12dmpo_c,12dmpo_c
13dampp_h,MNXM146468_h,MNXM146468
13dpg_c,MNXM261_c,MNXM261
13dpg_f,MNXM261_f,MNXM261
13dpg_h,MNXM261_h,MNXM261
13dpg_m,MNXM261_m,MNXM261
13Shpocdcy1829Z11Ea_c,MNXM165530_c,MNXM165530
1acpc_c,MNXM1128_c,MNXM1128
1agpe180_c,MNXM32694_c,MNXM32694
1agpe18111Z_c,MNXM145879_c,MNXM145879
1agpe1819Z_c,MNXM145880_c,MNXM145880
1agpe1829Z12Z_c,MNXM147357_c,MNXM147357
1btol_c,MNXM3230_c,MNXM3230
1Dgali_c,MNXM729788_c,MNXM729788
1Dgali_h,MNXM729788_h,MNXM729788
1hdecg3p_c,MNXM732965_c,MNXM732965
1hdecg3p_h,MNXM732965_h,MNXM732965
1odec11eg3p_c,MNXM91049_c,MNXM91049
1odec11eg3p_h,MNXM91049_h,MNXM91049
1odec9eg3p_c,MNXM145555_c,MNXM145555
1odec9eg3p_h,MNXM145555_h,MNXM145555
1odecg3p_c,MNXM32950_c,MNXM32950
1odecg3p_h,MNXM32950_h,MNXM32950
1pyr5c_c,MNXM301_c,MNXM301
1pyr5c_m,MNXM301_m,MNXM301
23dhdp_c,MNXM807_c,MNXM807
23dhmb_c,MNXM724607_c,MNXM724607
23dhmb_h,MNXM724607_h,MNXM724607
23dhmb_m,MNXM724607_m,MNXM724607
23dhmp_c,MNXM162891_c,MNXM162891
23dhmp_h,MNXM162891_h,MNXM162891
25aics_c,MNXM607_c,MNXM607
25aics_h,MNXM607_h,MNXM607
25dhpp_h,MNXM90905_h,MNXM90905
25hvitd3_c,MNXM730310_c,MNXM730310
26dap_LL_c,MNXM644_c,MNXM644
26dap_M_c,26dap_M_c,26dap_M_c
2ahbut_h,MNXM726902_h,MNXM726902
2ahethmpp_m,MNXM1705_m,MNXM1705
2ahhmd_c,MNXM727068_c,MNXM727068
2ahhmp_c,MNXM937_c,MNXM937
2aobut_x,MNXM114087_p/glyoxysome,MNXM114087
2cpr5p_h,MNXM1455_h,MNXM1455
2dda7p_h,MNXM1219_h,MNXM1219
2dhp_c,MNXM959_c,MNXM959
2dhp_m,MNXM959_m,MNXM959
2dr5p_c,MNXM2179_c,MNXM2179
2h3kmtp_c,2h3kmtp_c,2h3kmtp_c
2h3oppan_m,MNXM475_m,MNXM475
2hg_h,2hg_h,2hg_h
2ippm_c,MNXM1706_c,MNXM1706
2kmb_c,MNXM276_c,MNXM276
2maacoa_m,MNXM524_m,MNXM524
2mb2coa_m,MNXM609_m,MNXM609
2mbcoa_m,MNXM162399_m,MNXM162399
2mbdhl_m,MNXM9096_m,MNXM9096
2me4p_h,MNXM1626_h,MNXM1626
2mecdp_h,MNXM1168_h,MNXM1168
2mhob_m,MNXM739353_m,MNXM739353
2mhop_m,MNXM739354_m,MNXM739354
2mp2coa_m,MNXM947_m,MNXM947
2mpdhl_m,MNXM740144_m,MNXM740144
2obut_h,MNXM159_h,MNXM159
2pg_c,MNXM275_c,MNXM275
2pg_f,MNXM275_f,MNXM275
2pg_m,MNXM275_m,MNXM275
2pglyc_h,MNXM2074_h,MNXM2074
2pglyc_x,MNXM2074_p/glyoxysome,MNXM2074
34hpp_c,MNXM153_c,MNXM153
34hpp_h,MNXM153_h,MNXM153
34hpp_m,MNXM153_m,MNXM153
35cgmp_c,MNXM731192_c,MNXM731192
35cgmp_n,MNXM731192_n,MNXM731192
3c2hmp_c,MNXM741109_c,MNXM741109
3c3hmp_c,MNXM164143_c,MNXM164143
3c3hmp_h,MNXM164143_h,MNXM164143
3c4mop_c,MNXM1602_c,MNXM1602
3dhq_h,MNXM478_h,MNXM478
3dhsk_h,MNXM611_h,MNXM611
3dsphgn_c,MNXM559_c,MNXM559
3hbcoa_c,MNXM1105912_c,MNXM1105912
3hbcoa_m,MNXM1105912_m,MNXM1105912
3hbcoa_x,MNXM1105912_p/glyoxysome,MNXM1105912
3hbcoa_R_c,3hbcoa_R_c,3hbcoa_R_c
3hbutACP_h,MNXM728726_h,MNXM728726
3hcvac11eACP_h,MNXM6557_h,MNXM6557
