Original ID,Raw MetaNetX ID,Final ID
CPD-17263_c,MNXM163973_c,MNXM163973
leuktrC4_c,MNXM734248_c,MNXM734248
ga2_hs_g,MNXM1104128_g,MNXM1104128
h_g,MNXM1_g,MNXM1
HC02200_c,MNXM162247_c,MNXM162247
udp_g,MNXM1102128_g,MNXM1102128
hco3_c,MNXM60_c,MNXM60
leuktrC4_e,MNXM734248_e,MNXM734248
gm3_hs_g,MNXM8636_g,MNXM8636
HC02200_e,MNXM162247_e,MNXM162247
udpacgal_g,MNXM1100890_g,MNXM1100890
hco3_e,MNXM60_e,MNXM60
gm2_hs_g,MNXM1103862_g,MNXM1103862
HC02201_c,MNXM162248_c,MNXM162248
gd3_hs_g,MNXM6274_g,MNXM6274
atp_c,MNXM3_c,MNXM3
HC02201_e,MNXM162248_e,MNXM162248
h2o_c,MNXM03_c,MNXM03
gd2_hs_g,MNXM11646_g,MNXM11646
k_e,MNXM95_e,MNXM95
na1_c,MNXM27_c,MNXM27
adp_c,MNXM40333_c,MNXM40333
h_c,MNXM1_c,MNXM1
HC02199_c,MNXM162246_c,MNXM162246
k_c,MNXM95_c,MNXM95
estrones_e,MNXM162533_e,MNXM162533
tre_c,MNXM1106022_c,MNXM1106022
glc__D_c,MNXM735623_c,MNXM735623
TREHALOSE_c,MNXM1106022~_c,MNXM1106022
WATER_c,MNXM03~_c,MNXM03
GLC_c,MNXM105_c,MNXM105
ALPHA-GLUCOSE_c,MNXM99_c,MNXM99
h2o_e,MNXM03_e,MNXM03
tre_e,MNXM1106022_e,MNXM1106022
glc__D_e,MNXM735623_e,MNXM735623
h2o2_x,MNXM732621_p/glyoxysome,MNXM732621
Protein-With-N-Terminal-X-Pro_c,MNXM744312_c,MNXM744312
Amino-Acids-20_c,MNXM1075_c,MNXM1075
Protein-With-N-Terminal-Pro_c,MNXM744351_c,MNXM744351
q10_m,MNXM740811_m,MNXM740811
PROTON_c,MNXM1~_c,MNXM1
btcoa_m,MNXM233_m,MNXM233
b2coa_m,MNXM214_m,MNXM214
Protein-With-N-Terminal-Met_c,MNXM732055_c,MNXM732055
MET_c,MNXM738804_c,MNXM738804
Peptide-Holder-Alternative_c,MNXM729029_c,MNXM729029
q10h2_m,MNXM1108515_m,MNXM1108515
Peptide-with-N-terminal-Aspartate_c,MNXM148828_c,MNXM148828
mem2emgacpail_hs_r,MNXM6024_r,MNXM6024
ddcacoa_m,MNXM1104435_m,MNXM1104435
L-ASPARTATE_c,MNXM735837_c,MNXM735837
pre_prot_r,MNXM7401_r,MNXM7401
