Original ID,Raw MetaNetX ID,Final ID
VANILLYL_MANDELATE_c,MNXM730643_c,MNXM730643
ADENOSYL-HOMO-CYS_c,MNXM19_c,MNXM19
PROTON_c,MNXM1_c,MNXM1
SINAPATE_c,MNXM726760_c,MNXM726760
CO-A_c,MNXM727276_c,MNXM727276
ATP_c,MNXM3_c,MNXM3
SINAPOYL-COA_c,MNXM953_c,MNXM953
AMP_c,MNXM723601_c,MNXM723601
PPI_c,MNXM11_c,MNXM11
INOSITOL-1-3-4-TRIPHOSPHATE_c,MNXM162765_c,MNXM162765
WATER_c,MNXM03_c,MNXM03
D-MYO-INOSITOL-34-BISPHOSPHATE_c,MNXM1102961_c,MNXM1102961
Pi_c,MNXM9_c,MNXM9
MI-HEXAKISPHOSPHATE_c,MNXM1106105_c,MNXM1106105
MI-PENTAKISPHOSPHATE_c,MNXM733901_c,MNXM733901
1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH_c,MNXM732415_c,MNXM732415
CPD-1108_c,MNXM727358_c,MNXM727358
CPD-193_c,MNXM8507_c,MNXM8507
INOSITOL-1-4-5-TRISPHOSPHATE_c,MNXM1103971_c,MNXM1103971
ADP_c,MNXM40333_c,MNXM40333
CPD-499_c,MNXM567_c,MNXM567
CPD-641_c,MNXM689_c,MNXM689
Nucleoside-Triphosphates_c,MNXM729014_c,MNXM729014
RIBULOSE-5P_c,MNXM145_c,MNXM145
Nucleoside-Diphosphates_c,MNXM735701_c,MNXM735701
D-RIBULOSE-15-P2_c,MNXM507504_c,MNXM507504
atp_c,MNXM3~_c,MNXM3
MAL_c,MNXM1107192_c,MNXM1107192
OXALACETIC_ACID_c,MNXM46_c,MNXM46
man_c,MNXM182_c,MNXM182
NAD_c,MNXM8_c,MNXM8
NADH_c,MNXM10_c,MNXM10
adp_c,MNXM40333~_c,MNXM40333
man6p_c,MNXM1105857_c,MNXM1105857
h_c,MNXM1~_c,MNXM1
atp_h,MNXM3_h,MNXM3
man_h,MNXM182_h,MNXM182
adp_h,MNXM40333_h,MNXM40333
man6p_h,MNXM1105857_h,MNXM1105857
NADP_c,MNXM5_c,MNXM5
NADPH_c,MNXM738702_c,MNXM738702
h_h,MNXM1_h,MNXM1
cit_m,MNXM1107752_m,MNXM1107752
mal_L_c,mal_L_c,mal_L_c
AMINO-ACETONE_c,MNXM1106_c,MNXM1106
mal_L_m,mal_L_m,mal_L_m
OXYGEN-MOLECULE_c,MNXM735438_c,MNXM735438
METHYL-GLYOXAL_c,MNXM310_c,MNXM310
cit_c,MNXM1107752_c,MNXM1107752
AMMONIUM_c,MNXM729304_c,MNXM729304
HYDROGEN-PEROXIDE_c,MNXM732621_c,MNXM732621
DIHYDRONEOPTERIN-P_c,MNXM1107941_c,MNXM1107941
tag1819Z18111Z18111Z_c,MNXM728164_c,MNXM728164
h2o_c,MNXM03~_c,MNXM03
12dgr1819Z18111Z_c,MNXM145573_c,MNXM145573
h2o_e,MNXM03_e,MNXM03
ocdcea_c,MNXM306_c,MNXM306
CPD1G-773_c,MNXM10379_c,MNXM10379
CPD1G-1353_c,MNXM7828_c,MNXM7828
tag1819Z18111Z1819Z_c,MNXM85618_c,MNXM85618
CPD1G-774_c,MNXM10385_c,MNXM10385
CPD1G-1354_c,MNXM7834_c,MNXM7834
h2o_f,MNXM03_f,MNXM03
ocdce9a_c,MNXM306~_c,MNXM306
h2o_h,MNXM03_h,MNXM03
L-1-phosphatidyl-inositols_c,MNXM730327_c,MNXM730327
CPD1G-277_c,MNXM1103880_c,MNXM1103880
HCO3_c,MNXM60_c,MNXM60
CPD1G-332_c,MNXM5459_c,MNXM5459
CPD-177_c,MNXM726040_c,MNXM726040
tag1819Z18111Z1835Z9Z12Z_c,MNXM146646_c,MNXM146646
pa_c,MNXM145797_c,MNXM145797
h2o_u,MNXM03_u,MNXM03
SPHINGOSINE_c,MNXM1107914_c,MNXM1107914
CPD3DJ-11366_c,MNXM1104091_c,MNXM1104091
tag1819Z18111Z1845Z9Z12Z15Z_c,MNXM146647_c,MNXM146647
nad_c,MNXM8~_c,MNXM8
dgts1839Z12Z15Z1835Z9Z12Z_c,MNXM146554_c,MNXM146554
o2_c,MNXM735438~_c,MNXM735438
nadh_c,MNXM10~_c,MNXM10
dgts1839Z12Z15Z1845Z9Z12Z15Z_c,MNXM146555_c,MNXM146555
uri_c,MNXM1103104_c,MNXM1103104
dgtp_c,MNXM344_c,MNXM344
dgdp_c,MNXM1097066_c,MNXM1097066
ump_c,MNXM80_c,MNXM80
23dhmp_c,MNXM162891_c,MNXM162891
3mop_c,MNXM1103447_c,MNXM1103447
23dhmb_h,MNXM724607_h,MNXM724607
Mitochondrial-tRNA-Uridines-27-28_c,MNXM19397_c,MNXM19397
Mitochondrial-tRNA-Pseudouridines-27-28_c,MNXM19396_c,MNXM19396
Uridine31-in-tRNA_c,MNXM169403_c,MNXM169403
tRNA-pseudouridine-31_c,MNXM6460_c,MNXM6460
p-his-tRNAS_c,MNXM727580_c,MNXM727580
ca_c,MNXM145806_c,MNXM145806
GTP_c,MNXM51_c,MNXM51
coa_c,MNXM727276~_c,MNXM727276
pGp-his-tRNAs_c,MNXM744108_c,MNXM744108
amp_c,MNXM723601~_c,MNXM723601
cacoa_c,MNXM145706_c,MNXM145706
trans-3-cis-5-dienoyl-CoA_c,MNXM13092_c,MNXM13092
TETRADEHYDROACYL-COA_c,MNXM683495_c,MNXM683495
ppi_c,MNXM11~_c,MNXM11
PALMITYL-COA_c,MNXM88_c,MNXM88
CPD-13524_c,MNXM162234_c,MNXM162234
CHOCOLA_A_c,MNXM1137721_c,MNXM1137721
vitd3_c,MNXM1107217_c,MNXM1107217
fdxrd_c,MNXM169_c,MNXM169
CRPB-all-trans-Retinol_c,MNXM7208_c,MNXM7208
CRPB-all-trans-Retinal_c,MNXM11206_c,MNXM11206
25hvitd3_c,MNXM730310_c,MNXM730310
fdxox_c,MNXM178_c,MNXM178
CYS_c,MNXM738067_c,MNXM738067
GAP_c,MNXM739945_c,MNXM739945
METHYLENE-THF-GLU-N_c,MNXM162297_c,MNXM162297
2-KETO-ISOVALERATE_c,MNXM238_c,MNXM238
2-DEHYDROPANTOATE_c,MNXM959_c,MNXM959
THF-GLU-N_c,MNXM13027_c,MNXM13027
doldpglcnacglcnacman_man_manman_c,MNXM148455_c,MNXM148455
DEHYDROQUINATE_c,MNXM478_c,MNXM478
doldpglcnacglcnacman_man_man_c,MNXM148454_c,MNXM148454
3-DEHYDRO-SHIKIMATE_c,MNXM611_c,MNXM611
gdp_c,MNXM30_c,MNXM30
gdpmann_c,MNXM731351_c,MNXM731351
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P_c,MNXM1219_c,MNXM1219
CPD-3061_c,MNXM722849_c,MNXM722849
Protein-L-glutamine_c,MNXM148769_c,MNXM148769
SEROTONIN_c,MNXM357_c,MNXM357
Protein-N6-5-glutamyl-serotonin_c,MNXM744014_c,MNXM744014
CPD-20738_c,MNXM743822_c,MNXM743822
Light_c,MNXM162292_c,MNXM162292
CPD-11643_c,MNXM22076_c,MNXM22076
CPD-20737_c,MNXM1100403_c,MNXM1100403
CPD-20739_c,MNXM743823_c,MNXM743823
CPD-20740_c,MNXM743824_c,MNXM743824
CPD-20735_c,MNXM743819_c,MNXM743819
THF_c,MNXM89609_c,MNXM89609
UDP-D-XYLOSE_c,MNXM733447_c,MNXM733447
DIHYDROFOLATE_c,MNXM281_c,MNXM281
CPD-1829_c,MNXM90580_c,MNXM90580
Reduced-Flavoproteins_c,MNXM728238_c,MNXM728238
ADENOSYLCOBALAMIN_c,MNXM1104551_c,MNXM1104551
P3I_c,MNXM731400_c,MNXM731400
Oxidized-Flavoproteins_c,MNXM2675_c,MNXM2675
CPD-689_c,MNXM741313_c,MNXM741313
NEUROSPORENE_c,MNXM727029_c,MNXM727029
GLT_c,MNXM89557_c,MNXM89557
CPD-7422_c,MNXM738874_c,MNXM738874
Charged-GLN-tRNAs_c,MNXM10916_c,MNXM10916
CDPDIACYLGLYCEROL_c,MNXM732254_c,MNXM732254
L-1-PHOSPHATIDYL-GLYCEROL_c,MNXM730279_c,MNXM730279
CARDIOLIPIN_c,MNXM731146_c,MNXM731146
CMP_c,MNXM31_c,MNXM31
6mpur_c,MNXM87076_c,MNXM87076
prpp_c,MNXM91_c,MNXM91
6tins5mp_c,MNXM3196_c,MNXM3196
CPD-280_c,MNXM1410_c,MNXM1410
GLUTARATE_c,MNXM1021_c,MNXM1021
6mpur_e,MNXM87076_e,MNXM87076
CPD-8086_c,MNXM7975_c,MNXM7975
Reduced-ferredoxins_c,MNXM169~_c,MNXM169
CPD-2185_c,MNXM7979_c,MNXM7979
Oxidized-ferredoxins_c,MNXM178~_c,MNXM178
CPD-8087_c,MNXM9568_c,MNXM9568
FRUCTOSE-6P_c,MNXM89621_c,MNXM89621
CPD-2186_c,MNXM319625_c,MNXM319625
FRUCTOSE-16-DIPHOSPHATE_c,MNXM1106095_c,MNXM1106095
PYRUVATE_c,MNXM23_c,MNXM23
CARBON-DIOXIDE_c,MNXM13_c,MNXM13
8aonn_m,MNXM726864_m,MNXM726864
CPD-2961_c,MNXM734080_c,MNXM734080
amet_m,MNXM16_m,MNXM16
amob_m,MNXM733831_m,MNXM733831
udpg_c,MNXM722710_c,MNXM722710
h_m,MNXM1_m,MNXM1
udp_c,MNXM1102128_c,MNXM1102128
dann_m,MNXM1140_m,MNXM1140
callose_c,callose_c,callose_c
icit_m,MNXM89661_m,MNXM89661
udpg_f,MNXM722710_f,MNXM722710
amet_c,MNXM16_c,MNXM16
icit_c,MNXM89661_c,MNXM89661
ametam_c,MNXM1103325_c,MNXM1103325
udp_f,MNXM1102128_f,MNXM1102128
callose_f,callose_f,callose_f
oaa_c,MNXM46~_c,MNXM46
co2_c,MNXM13~_c,MNXM13
h_f,MNXM1_f,MNXM1
oaa_m,MNXM46_m,MNXM46
ahcys_c,MNXM19~_c,MNXM19
amet_h,MNXM16_h,MNXM16
ahcys_h,MNXM19_h,MNXM19
MALONYL-COA_c,MNXM1106093_c,MNXM1106093
ACP_c,MNXM147419_c,MNXM147419
MALONYL-ACP_c,MNXM731939_c,MNXM731939
3mob_h,MNXM238_h,MNXM238
ctp_h,MNXM1103718_h,MNXM1103718
23dhmp_h,MNXM162891_h,MNXM162891
pmp_h,pmp_h,pmp_h
3mop_h,MNXM1103447_h,MNXM1103447
phytol_h,MNXM2712_h,MNXM2712
cdp_h,MNXM1102191_h,MNXM1102191
dha_c,MNXM460_c,MNXM460
pq_h,MNXM145596_h,MNXM145596
phyto_h,MNXM147603_h,MNXM147603
dcphytfl_h,dcphytfl_h,dcphytfl_h
dhap_c,MNXM77_c,MNXM77
pqh2_h,MNXM145595_h,MNXM145595
dhap_h,MNXM77_h,MNXM77
pi_h,MNXM9_h,MNXM9
na1_h,MNXM27_h,MNXM27
pi_c,MNXM9~_c,MNXM9
h2o_m,MNXM03_m,MNXM03
S-ubiquitinyl-HECT-E3-UCP-L-cysteine_c,MNXM1091396_c,MNXM1091396
h2o_x,MNXM03_p/glyoxysome,MNXM03
Protein-L-lysine_c,MNXM729235_c,MNXM729235
PROTEIN-N-UBIQUITYL-LYSINE_c,MNXM6407_c,MNXM6407
HECT-Ubiquitin-carrier-protein-E3-L-cys_c,MNXM148904_c,MNXM148904
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE_c,MNXM937_c,MNXM937
DIHYDROPTERIN-CH2OH-PP_c,MNXM727068_c,MNXM727068
