Original ID,Raw MetaNetX ID,Final ID
10fthf_c,MNXM1102376_c,MNXM1102376
12dgr141_c,MNXM147350_c,MNXM147350
12dgr141_p,MNXM147350_p,MNXM147350
12ppd__R_c,MNXM90191_c,MNXM90191
12ppd__R_e,MNXM90191_e,MNXM90191
12ppd__S_c,MNXM1255_c,MNXM1255
13dpg_c,MNXM261_c,MNXM261
1p2cbxl_c,MNXM957_c,MNXM957
1p3h5c_c,MNXM114091_c,MNXM114091
1pyr5c_c,MNXM301_c,MNXM301
25aics_c,MNXM607_c,MNXM607
2agpe120_c,MNXM34808_c,MNXM34808
2agpe120_p,MNXM34808_p,MNXM34808
2agpe141_c,MNXM146497_c,MNXM146497
2agpe141_p,MNXM146497_p,MNXM146497
2agpe161_c,MNXM3448_c,MNXM3448
2agpe161_p,MNXM3448_p,MNXM3448
2agpg120_c,MNXM146498_c,MNXM146498
2agpg120_p,MNXM146498_p,MNXM146498
2agpg140_c,MNXM34739_c,MNXM34739
2agpg140_p,MNXM34739_p,MNXM34739
2agpg141_c,MNXM146502_c,MNXM146502
2agpg141_p,MNXM146502_p,MNXM146502
2agpg160_c,MNXM34740_c,MNXM34740
2agpg160_p,MNXM34740_p,MNXM34740
2agpg161_c,MNXM146499_c,MNXM146499
2agpg161_p,MNXM146499_p,MNXM146499
2agpg180_c,MNXM729357_c,MNXM729357
2agpg180_p,MNXM729357_p,MNXM729357
2agpg181_c,MNXM3455_c,MNXM3455
2agpg181_p,MNXM3455_p,MNXM3455
2ahhmp_c,MNXM937_c,MNXM937
2aobut_c,MNXM114087_c,MNXM114087
2dhp_c,MNXM959_c,MNXM959
2dmmq8_c,MNXM2178_c,MNXM2178
2dr1p_c,MNXM1108138_c,MNXM1108138
2dr5p_c,MNXM2179_c,MNXM2179
2h3oppan_c,MNXM475_c,MNXM475
2hyoxplac_c,MNXM2160_c,MNXM2160
2ins_c,MNXM1102164_c,MNXM1102164
2kmb_c,MNXM276_c,MNXM276
2mop_c,MNXM305_c,MNXM305
2obut_c,MNXM159_c,MNXM159
2obut_e,MNXM159_e,MNXM159
2oxoadp_c,MNXM263_c,MNXM263
2pg_c,MNXM275_c,MNXM275
2pglyc_c,MNXM2074_c,MNXM2074
2pglyc_e,MNXM2074_e,MNXM2074
34dhphe_c,MNXM162631_c,MNXM162631
34dhphe_e,MNXM162631_e,MNXM162631
34dhphe_p,MNXM162631_p,MNXM162631
34hpp_c,MNXM153_c,MNXM153
35cgmp_c,MNXM731192_c,MNXM731192
3aib__D_c,MNXM162802_c,MNXM162802
3dhq_c,MNXM478_c,MNXM478
3dhsk_c,MNXM611_c,MNXM611
3gmp_c,MNXM55732_c,MNXM55732
3gmp_e,MNXM55732_e,MNXM55732
3hbcoa__R_c,MNXM1105913_c,MNXM1105913
3hbcoa_c,MNXM1105912_c,MNXM1105912
3hdcoa_c,MNXM1104681_c,MNXM1104681
3hddcoa_c,MNXM733_c,MNXM733
3hhcoa_c,MNXM757_c,MNXM757
3hhdcoa_c,MNXM1106166_c,MNXM1106166
3hocoa_c,MNXM766_c,MNXM766
3hodcoa_c,MNXM31746_c,MNXM31746
3hptcoa_c,MNXM147789_c,MNXM147789
3htdcoa_c,MNXM767_c,MNXM767
3mb_c,MNXM1137663_c,MNXM1137663
3mob_c,MNXM238_c,MNXM238
3mop_c,MNXM1103447_c,MNXM1103447
3odcoa_c,MNXM677_c,MNXM677
3oddcoa_c,MNXM1104695_c,MNXM1104695
3ohcoa_c,MNXM717_c,MNXM717
3ohdcoa_c,MNXM1104713_c,MNXM1104713
3ohodcoa_c,MNXM737498_c,MNXM737498
3oocoa_c,MNXM706_c,MNXM706
3optcoa_c,MNXM147794_c,MNXM147794
3otdcoa_c,MNXM707_c,MNXM707
3padsel_c,MNXM92909_c,MNXM92909
3pg_c,MNXM727604_c,MNXM727604
3php_c,MNXM541_c,MNXM541
3psme_c,MNXM1365_c,MNXM1365
3sala_c,MNXM498_c,MNXM498
