Original ID,Raw MetaNetX ID,Final ID
10fthf_c,MNXM1102376_c,MNXM1102376
12dgr140_c,MNXM146479_c,MNXM146479
12dgr140_p,MNXM146479_p,MNXM146479
12dgr160_c,MNXM3132_c,MNXM3132
12dgr160_p,MNXM3132_p,MNXM3132
12dgr161_c,MNXM146746_c,MNXM146746
12dgr180_c,MNXM4217_c,MNXM4217
12dgr180_p,MNXM4217_p,MNXM4217
12dgr181_c,MNXM146747_c,MNXM146747
12dgr181_p,MNXM146747_p,MNXM146747
12ppd__R_c,MNXM90191_c,MNXM90191
12ppd__S_c,MNXM1255_c,MNXM1255
13dpg_c,MNXM261_c,MNXM261
15dap_c,MNXM943_c,MNXM943
1btol_c,MNXM3230_c,MNXM3230
1ddecg3p_c,MNXM1103432_c,MNXM1103432
1hdec9eg3p_c,MNXM91047_c,MNXM91047
1p3h5c_c,MNXM114091_c,MNXM114091
1pyr5c_c,MNXM301_c,MNXM301
1tdec7eg3p_c,MNXM91053_c,MNXM91053
23dhdp_c,MNXM807_c,MNXM807
23dhmb_c,MNXM724607_c,MNXM724607
23dhmp_c,MNXM162891_c,MNXM162891
25aics_c,MNXM607_c,MNXM607
25dhpp_c,MNXM90905_c,MNXM90905
25dkglcn_c,MNXM936_c,MNXM936
25dkglcn_e,MNXM936_e,MNXM936
25dkglcn_p,MNXM936_p,MNXM936
25drapp_c,MNXM90905~_c,MNXM90905
26dap_LL_c,MNXM644_c,MNXM644
26dap__M_c,MNXM529_c,MNXM529
26dap__M_e,MNXM529_e,MNXM529
26dap__M_p,MNXM529_p,MNXM529
2agpe120_c,MNXM34808_c,MNXM34808
2agpe120_p,MNXM34808_p,MNXM34808
2agpe141_c,MNXM146497_c,MNXM146497
2agpe141_p,MNXM146497_p,MNXM146497
2agpe161_c,MNXM3448_c,MNXM3448
2agpe161_p,MNXM3448_p,MNXM3448
2agpg120_c,MNXM146498_c,MNXM146498
2agpg120_p,MNXM146498_p,MNXM146498
2agpg140_c,MNXM34739_c,MNXM34739
2agpg140_p,MNXM34739_p,MNXM34739
2agpg141_c,MNXM146502_c,MNXM146502
2agpg141_p,MNXM146502_p,MNXM146502
2agpg160_c,MNXM34740_c,MNXM34740
2agpg160_p,MNXM34740_p,MNXM34740
2agpg161_c,MNXM146499_c,MNXM146499
2agpg161_p,MNXM146499_p,MNXM146499
2agpg180_c,MNXM729357_c,MNXM729357
2agpg180_p,MNXM729357_p,MNXM729357
2agpg181_c,MNXM3455_c,MNXM3455
2agpg181_p,MNXM3455_p,MNXM3455
2ahbut_c,MNXM726902_c,MNXM726902
2ahhmd_c,MNXM727068_c,MNXM727068
2ahhmp_c,MNXM937_c,MNXM937
2amsa_c,MNXM2124_c,MNXM2124
2aobut_c,MNXM114087_c,MNXM114087
2cpr5p_c,MNXM1455_c,MNXM1455
2dda7p_c,MNXM1219_c,MNXM1219
2ddecg3p_c,MNXM5461_c,MNXM5461
2ddecg3p_p,MNXM5461_p,MNXM5461
2dhglcn_c,MNXM582_c,MNXM582
2dhglcn_p,MNXM582_p,MNXM582
2dmmq8_c,MNXM2178_c,MNXM2178
2dmmql8_c,MNXM558_c,MNXM558
2dr1p_c,MNXM1108138_c,MNXM1108138
2dr5p_c,MNXM2179_c,MNXM2179
2h3oppan_c,MNXM475_c,MNXM475
2hadnt_c,MNXM1091699_c,MNXM1091699
2hdec9eg3p_c,MNXM5464_c,MNXM5464
2hdec9eg3p_p,MNXM5464_p,MNXM5464
2ins_c,MNXM1102164_c,MNXM1102164
2ippm_c,MNXM1706_c,MNXM1706
2kmb_c,MNXM276_c,MNXM276
2m35mdntha_c,MNXM1091709_c,MNXM1091709
2m35mdntha_e,MNXM1091709_e,MNXM1091709
2maacoa_c,MNXM524_c,MNXM524
2mahmp_c,MNXM1135_c,MNXM1135
2mb2coa_c,MNXM609_c,MNXM609
2mbcoa_c,MNXM162399_c,MNXM162399
2mcit_c,MNXM90279_c,MNXM90279
2me4p_c,MNXM1626_c,MNXM1626
2mecdp_c,MNXM1168_c,MNXM1168
2mop_c,MNXM305_c,MNXM305
2mp2coa_c,MNXM947_c,MNXM947
2obut_c,MNXM159_c,MNXM159
2oxoadp_c,MNXM263_c,MNXM263
2p4c2me_c,MNXM1641_c,MNXM1641
2pg_c,MNXM275_c,MNXM275
2shchc_c,MNXM1249_c,MNXM1249
2tdec7eg3p_c,MNXM5490_c,MNXM5490
2tdec7eg3p_p,MNXM5490_p,MNXM5490
33hmeoxobut_c,MNXM1091741_c,MNXM1091741
34dhpac_e,MNXM1401_e,MNXM1401
34dhpac_p,MNXM1401_p,MNXM1401
34hpp_c,MNXM153_c,MNXM153
35cgmp_c,MNXM731192_c,MNXM731192
35dnta_c,MNXM1091744_c,MNXM1091744
35dnta_e,MNXM1091744_e,MNXM1091744
3c2hmp_c,MNXM741109_c,MNXM741109
3c3hmp_c,MNXM164143_c,MNXM164143
3c4mop_c,MNXM1602_c,MNXM1602
3dhq_c,MNXM478_c,MNXM478
3dhsk_c,MNXM611_c,MNXM611
3h6athcoa_c,MNXM1091758_c,MNXM1091758
3hbcoa_c,MNXM1105912_c,MNXM1105912
3hdcoa_c,MNXM1104681_c,MNXM1104681
3hdd5coa_c,MNXM1091773_c,MNXM1091773
3hdd6coa_c,MNXM1091775_c,MNXM1091775
3hddccoa_c,MNXM1091778_c,MNXM1091778
3hddcoa_c,MNXM733_c,MNXM733
3hdec4coa_c,MNXM1091781_c,MNXM1091781
3hhcoa_c,MNXM757_c,MNXM757
3hhd58coa_c,MNXM1091791_c,MNXM1091791
3hhd710coa_c,MNXM1091795_c,MNXM1091795
3hhdccoa_c,MNXM1091799_c,MNXM1091799
3hhdcoa_c,MNXM1106166_c,MNXM1106166
3hhdd7coa_c,MNXM1091801_c,MNXM1091801
3hhpcoa_c,MNXM1091802_c,MNXM1091802
3hibutcoa_c,MNXM90341_c,MNXM90341
