Original ID,Raw MetaNetX ID,Final ID
C01041__extr,MNXM1106976_extr,MNXM1106976
C00370__extr,MNXM729150_extr,MNXM729150
C00187__extr,MNXM726122_extr,MNXM726122
C00029__extr,MNXM722710_extr,MNXM722710
C02188__extr,MNXM729241_extr,MNXM729241
C00016__extr,MNXM1105936_extr,MNXM1105936
C06429__extr,MNXM511585_extr,MNXM511585
C00069__extr,MNXM147023_extr,MNXM147023
C00740__extr,MNXM694_extr,MNXM694
C05981__extr,MNXM726367_extr,MNXM726367
C01595__extr,MNXM4069_extr,MNXM4069
C02872__extr,MNXM736858_extr,MNXM736858
C05400__extr,MNXM728397_extr,MNXM728397
C04058__extr,MNXM2412_extr,MNXM2412
C00147__extr,MNXM168_extr,MNXM168
C01081__extr,MNXM662_extr,MNXM662
C00330__extr,MNXM647_extr,MNXM647
C06124__extr,MNXM1104091_extr,MNXM1104091
C00212__extr,MNXM212_extr,MNXM212
C04637__extr,MNXM1106036_extr,MNXM1106036
C00584__extr,MNXM661_extr,MNXM661
C04903__extr,MNXM730349_extr,MNXM730349
C08334__extr,MNXM727347_extr,MNXM727347
C01185__extr,MNXM194_extr,MNXM194
C05504__extr,MNXM6054_extr,MNXM6054
C04398__extr,MNXM7700_extr,MNXM7700
C17324__extr,MNXM740273_extr,MNXM740273
C00051__extr,MNXM490899_extr,MNXM490899
C01177__extr,MNXM646_extr,MNXM646
C01019__extr,MNXM1106903_extr,MNXM1106903
C15816__extr,MNXM8744_extr,MNXM8744
C00011__extr,MNXM13_extr,MNXM13
C02990__extr,MNXM162587_extr,MNXM162587
C00504__extr,MNXM617_extr,MNXM617
C07585__extr,MNXM6337_extr,MNXM6337
C02475__extr,MNXM8288_extr,MNXM8288
C00121__extr,MNXM242_extr,MNXM242
C20377__extr,MNXM725916_extr,MNXM725916
C00003__extr,MNXM8_extr,MNXM8
C01416__extr,MNXM167466_extr,MNXM167466
C02513__extr,MNXM2610_extr,MNXM2610
C01724__extr,MNXM482_extr,MNXM482
C14818__extr,MNXM111_extr,MNXM111
C00024__extr,MNXM1104266_extr,MNXM1104266
C00257__extr,MNXM341_extr,MNXM341
C04501__extr,MNXM158411_extr,MNXM158411
C19944__extr,MNXM4335_extr,MNXM4335
C11173__extr,MNXM3713_extr,MNXM3713
C05107__extr,MNXM941_extr,MNXM941
C05946__extr,MNXM1106168_extr,MNXM1106168
C00244__extr,MNXM732399_extr,MNXM732399
C00407__extr,MNXM231_extr,MNXM231
C05713__extr,MNXM7214_extr,MNXM7214
C02170__extr,MNXM1572_extr,MNXM1572
C11133__extr,MNXM163807_extr,MNXM163807
C04825__extr,MNXM730274_extr,MNXM730274
C01432__extr,MNXM3041_extr,MNXM3041
C00217__extr,MNXM331_extr,MNXM331
C00064__extr,MNXM37_extr,MNXM37
C05726__extr,MNXM726965_extr,MNXM726965
C05140__extr,MNXM5426_extr,MNXM5426
C20190__extr,MNXM2551_extr,MNXM2551
C00037__extr,MNXM29_extr,MNXM29
C14909__extr,MNXM3890_extr,MNXM3890
C00077__extr,MNXM741175_extr,MNXM741175
C00836__extr,MNXM302_extr,MNXM302
C03626__extr,MNXM4046_extr,MNXM4046
C00962__extr,MNXM112_extr,MNXM112
C03313__extr,MNXM1106874_extr,MNXM1106874
C00088__extr,MNXM107_extr,MNXM107
C06103__extr,MNXM1994_extr,MNXM1994
C00100__extr,MNXM86_extr,MNXM86
C00343__extr,MNXM729076_extr,MNXM729076
C05753__extr,MNXM728592_extr,MNXM728592
C05394__extr,MNXM1103441_extr,MNXM1103441
C00030__extr,MNXM1102419_extr,MNXM1102419
C00008__extr,MNXM40333_extr,MNXM40333
C04618__extr,MNXM728726_extr,MNXM728726
C01132__extr,MNXM1105934_extr,MNXM1105934
