Original ID,Raw MetaNetX ID,Final ID
C00370__extr,MNXM729150_extr,MNXM729150
C00029__extr,MNXM722710_extr,MNXM722710
C15577__extr,MNXM12344_extr,MNXM12344
C00016__extr,MNXM1105936_extr,MNXM1105936
C06429__extr,MNXM511585_extr,MNXM511585
C00831__extr,MNXM727034_extr,MNXM727034
C11508__extr,MNXM2619_extr,MNXM2619
C12455__extr,MNXM5010_extr,MNXM5010
C05400__extr,MNXM728397_extr,MNXM728397
C00147__extr,MNXM168_extr,MNXM168
C01081__extr,MNXM662_extr,MNXM662
C06124__extr,MNXM1104091_extr,MNXM1104091
C01678__extr,MNXM1226_extr,MNXM1226
C04398__extr,MNXM7700_extr,MNXM7700
C17324__extr,MNXM740273_extr,MNXM740273
C08492__extr,MNXM1108072_extr,MNXM1108072
C04943__extr,MNXM164203_extr,MNXM164203
C01019__extr,MNXM1106903_extr,MNXM1106903
C00780__extr,MNXM357_extr,MNXM357
C00011__extr,MNXM13_extr,MNXM13
C00662__extr,MNXM804_extr,MNXM804
C00121__extr,MNXM242_extr,MNXM242
C00003__extr,MNXM8_extr,MNXM8
C01416__extr,MNXM167466_extr,MNXM167466
C01724__extr,MNXM482_extr,MNXM482
C00024__extr,MNXM1104266_extr,MNXM1104266
C00257__extr,MNXM341_extr,MNXM341
C21925__extr,MNXM1089636_extr,MNXM1089636
C11173__extr,MNXM3713_extr,MNXM3713
C05946__extr,MNXM1106168_extr,MNXM1106168
C00244__extr,MNXM732399_extr,MNXM732399
C05713__extr,MNXM7214_extr,MNXM7214
C05147__extr,MNXM737024_extr,MNXM737024
C00388__extr,MNXM635_extr,MNXM635
C04825__extr,MNXM730274_extr,MNXM730274
C01432__extr,MNXM3041_extr,MNXM3041
C15610__extr,MNXM722735_extr,MNXM722735
C05726__extr,MNXM726965_extr,MNXM726965
C20190__extr,MNXM2551_extr,MNXM2551
C00037__extr,MNXM29_extr,MNXM29
C14909__extr,MNXM3890_extr,MNXM3890
C00836__extr,MNXM302_extr,MNXM302
C00603__extr,MNXM722784_extr,MNXM722784
C00962__extr,MNXM112_extr,MNXM112
C00088__extr,MNXM107_extr,MNXM107
C06103__extr,MNXM1994_extr,MNXM1994
C00667__extr,MNXM91675_extr,MNXM91675
C00008__extr,MNXM40333_extr,MNXM40333
C01132__extr,MNXM1105934_extr,MNXM1105934
C01022__extr,MNXM732434_extr,MNXM732434
C00455__extr,MNXM355_extr,MNXM355
C01078__extr,MNXM92609_extr,MNXM92609
C06563__extr,MNXM1476_extr,MNXM1476
C00075__extr,MNXM1101474_extr,MNXM1101474
C00180__extr,MNXM217_extr,MNXM217
C16596__extr,MNXM6125_extr,MNXM6125
C00405__extr,MNXM774_extr,MNXM774
C01179__extr,MNXM153_extr,MNXM153
C16647__extr,MNXM12330_extr,MNXM12330
C15805__extr,MNXM11732_extr,MNXM11732
C03197__extr,MNXM1104966_extr,MNXM1104966
C01060__extr,MNXM730786_extr,MNXM730786
C00536__extr,MNXM731400_extr,MNXM731400
C11136__extr,MNXM1103691_extr,MNXM1103691
C03594__extr,MNXM39189_extr,MNXM39189
C21836__extr,MNXM61494_extr,MNXM61494
C00294__extr,MNXM1103335_extr,MNXM1103335
C00105__extr,MNXM80_extr,MNXM80
C03974__extr,MNXM729349_extr,MNXM729349
C06196__extr,MNXM1922_extr,MNXM1922
C15797__extr,MNXM1962_extr,MNXM1962
C18796__extr,MNXM2041_extr,MNXM2041
C02059__extr,MNXM1106873_extr,MNXM1106873
C05938__extr,MNXM2687_extr,MNXM2687
C16321__extr,MNXM2302_extr,MNXM2302
C19646__extr,MNXM166849_extr,MNXM166849
C21172__extr,MNXM164412_extr,MNXM164412
C00214__extr,MNXM420_extr,MNXM420
C00705__extr,MNXM411_extr,MNXM411
C05688__extr,MNXM727_extr,MNXM727
C04377__extr,MNXM667_extr,MNXM667
C01239__extr,MNXM3313_extr,MNXM3313
C00155__extr,MNXM114070_extr,MNXM114070
C01898__extr,MNXM46032_extr,MNXM46032
C00515__extr,MNXM1148_extr,MNXM1148
C04517__extr,MNXM1107885_extr,MNXM1107885
C00067__extr,MNXM736417_extr,MNXM736417
C00375__extr,MNXM90244_extr,MNXM90244
C05439__extr,MNXM162749_extr,MNXM162749
C00844__extr,MNXM2165_extr,MNXM2165
C00096__extr,MNXM731351_extr,MNXM731351
C01876__extr,MNXM734939_extr,MNXM734939
C00954__extr,MNXM383_extr,MNXM383
C11554__extr,MNXM209_extr,MNXM209
C01327__extr,MNXM735979_extr,MNXM735979
C15776__extr,MNXM5006_extr,MNXM5006
C00045__extr,MNXM735842_extr,MNXM735842
C02909__extr,MNXM4910_extr,MNXM4910
C01217__extr,MNXM722794_extr,MNXM722794
C11004__extr,MNXM2917_extr,MNXM2917
C05768__extr,MNXM1322_extr,MNXM1322
C05502__extr,MNXM90173_extr,MNXM90173
C03564__extr,MNXM957_extr,MNXM957
C00236__extr,MNXM261_extr,MNXM261
C05299__extr,MNXM4971_extr,MNXM4971
C05582__extr,MNXM162963_extr,MNXM162963
C00177__extr,MNXM727658_extr,MNXM727658
C01592__extr,MNXM732887_extr,MNXM732887
C00059__extr,MNXM58_extr,MNXM58
C01051__extr,MNXM414_extr,MNXM414
C00763__extr,MNXM976_extr,MNXM976
C15783__extr,MNXM738146_extr,MNXM738146
C01044__extr,MNXM1102432_extr,MNXM1102432
C00819__extr,MNXM1819_extr,MNXM1819
C18239__extr,MNXM725870_extr,MNXM725870
C00881__extr,MNXM704_extr,MNXM704
C16837__extr,MNXM10169_extr,MNXM10169
C06174__extr,MNXM729654_extr,MNXM729654
C01102__extr,MNXM65196_extr,MNXM65196
C01220__extr,MNXM162282_extr,MNXM162282
C00561__extr,MNXM114238_extr,MNXM114238
C05519__extr,MNXM2125_extr,MNXM2125
C00379__extr,MNXM737068_extr,MNXM737068
C00020__extr,MNXM723601_extr,MNXM723601
C04926__extr,MNXM44155_extr,MNXM44155
C12126__extr,MNXM738869_extr,MNXM738869
C05684__extr,MNXM1157_extr,MNXM1157
C20723__extr,MNXM147792_extr,MNXM147792
C11376__extr,MNXM7773_extr,MNXM7773
C00007__extr,MNXM735438_extr,MNXM735438
C04855__extr,MNXM729475_extr,MNXM729475
C00984__extr,MNXM735266_extr,MNXM735266
C00054__extr,MNXM45_extr,MNXM45
C00112__extr,MNXM1102191_extr,MNXM1102191
C03708__extr,MNXM740041_extr,MNXM740041
C17202__extr,MNXM12919_extr,MNXM12919
C01259__extr,MNXM91413_extr,MNXM91413
C04043__extr,MNXM1401_extr,MNXM1401
C01161__extr,MNXM645_extr,MNXM645
C16545__extr,MNXM3099_extr,MNXM3099
C04635__extr,MNXM1107276_extr,MNXM1107276
C00118__extr,MNXM739945_extr,MNXM739945
C15796__extr,MNXM3121_extr,MNXM3121
C04913__extr,MNXM93613_extr,MNXM93613
C00492__extr,MNXM1108339_extr,MNXM1108339
C04322__extr,MNXM301_extr,MNXM301
C02465__extr,MNXM162560_extr,MNXM162560
C05337__extr,MNXM834_extr,MNXM834
C02743__extr,MNXM73306_extr,MNXM73306
C03336__extr,MNXM15349_extr,MNXM15349
C04212__extr,MNXM5245_extr,MNXM5245
C00777__extr,MNXM521_extr,MNXM521
C00062__extr,MNXM70_extr,MNXM70
C04922__extr,MNXM729633_extr,MNXM729633
C00219__extr,MNXM1107770_extr,MNXM1107770
C02846__extr,MNXM4047_extr,MNXM4047
C00510__extr,MNXM1105956_extr,MNXM1105956
C01762__extr,MNXM1103769_extr,MNXM1103769
C17207__extr,MNXM94072_extr,MNXM94072
C03547__extr,MNXM222_extr,MNXM222
C00387__extr,MNXM1103400_extr,MNXM1103400
C00828__extr,MNXM724981_extr,MNXM724981
C00120__extr,MNXM304_extr,MNXM304
C01153__extr,MNXM114473_extr,MNXM114473
C00671__extr,MNXM1103447_extr,MNXM1103447
C09099__extr,MNXM737651_extr,MNXM737651
C00002__extr,MNXM3_extr,MNXM3
C03272__extr,MNXM1101173_extr,MNXM1101173
C02456__extr,MNXM9027_extr,MNXM9027
C04195__extr,MNXM11722_extr,MNXM11722
C00599__extr,MNXM973_extr,MNXM973
C11038__extr,MNXM724815_extr,MNXM724815
C00611__extr,MNXM1576_extr,MNXM1576
C15518__extr,MNXM1104855_extr,MNXM1104855
C14807__extr,MNXM33281_extr,MNXM33281
C02076__extr,MNXM736158_extr,MNXM736158
C03827__extr,MNXM4285_extr,MNXM4285
C00772__extr,MNXM732496_extr,MNXM732496
C00004__extr,MNXM10_extr,MNXM10
C02956__extr,MNXM735391_extr,MNXM735391
C04144__extr,MNXM1103841_extr,MNXM1103841
C15572__extr,MNXM5776_extr,MNXM5776
C00721__extr,MNXM1003_extr,MNXM1003
C02075__extr,MNXM1443_extr,MNXM1443
C05404__extr,MNXM41030_extr,MNXM41030
C11930__extr,MNXM162672_extr,MNXM162672
C00942__extr,MNXM731192_extr,MNXM731192
C16165__extr,MNXM1449_extr,MNXM1449
C14089__extr,MNXM6494_extr,MNXM6494
C22467__extr,C22467__extr,C22467__extr
C00061__extr,MNXM119_extr,MNXM119
C18022__extr,MNXM4804_extr,MNXM4804
C01262__extr,MNXM2639_extr,MNXM2639
C15573__extr,MNXM10802_extr,MNXM10802
C00010__extr,MNXM727276_extr,MNXM727276
C02515__extr,MNXM666_extr,MNXM666
C02520__extr,MNXM737914_extr,MNXM737914
C00717__extr,MNXM85_extr,MNXM85
C00329__extr,MNXM735659_extr,MNXM735659
C00439__extr,MNXM496_extr,MNXM496
C01205__extr,MNXM162802_extr,MNXM162802
C03108__extr,MNXM7245_extr,MNXM7245
C19605__extr,MNXM14692_extr,MNXM14692
C00114__extr,MNXM90_extr,MNXM90
C02391__extr,MNXM1107662_extr,MNXM1107662
C06197__extr,MNXM3683_extr,MNXM3683
C04880__extr,MNXM91656_extr,MNXM91656
C00089__extr,MNXM1104180_extr,MNXM1104180
C11132__extr,MNXM9855_extr,MNXM9855
C00695__extr,MNXM450_extr,MNXM450
C00363__extr,MNXM152_extr,MNXM152
C03405__extr,MNXM59674_extr,MNXM59674
C00628__extr,MNXM850_extr,MNXM850
C00310__extr,MNXM597_extr,MNXM597
C04800__extr,MNXM48507_extr,MNXM48507
C19691__extr,MNXM4102_extr,MNXM4102
C14819__extr,MNXM726712_extr,MNXM726712
C00127__extr,MNXM151_extr,MNXM151
C04722__extr,MNXM730275_extr,MNXM730275
C01165__extr,MNXM245_extr,MNXM245
C01117__extr,MNXM737906_extr,MNXM737906
C05712__extr,MNXM728221_extr,MNXM728221
C00031__extr,MNXM735623_extr,MNXM735623
C00258__extr,MNXM732053_extr,MNXM732053
C00759__extr,MNXM16501_extr,MNXM16501
C07447__extr,MNXM6153_extr,MNXM6153
C00719__extr,MNXM289_extr,MNXM289
C11301__extr,MNXM736983_extr,MNXM736983
C15804__extr,MNXM12567_extr,MNXM12567
C01243__extr,MNXM162765_extr,MNXM162765
C06423__extr,MNXM750_extr,MNXM750
C01353__extr,MNXM60_extr,MNXM60
C05159__extr,MNXM5021_extr,MNXM5021
C00063__extr,MNXM1103718_extr,MNXM1103718
C05481__extr,MNXM47707_extr,MNXM47707
C15785__extr,MNXM735332_extr,MNXM735332
C15988__extr,MNXM4189_extr,MNXM4189
C00585__extr,MNXM7713_extr,MNXM7713
C03440__extr,MNXM2813_extr,MNXM2813
C00342__extr,MNXM96993_extr,MNXM96993
C01977__extr,MNXM735035_extr,MNXM735035
C08601__extr,MNXM4660_extr,MNXM4660
C05401__extr,MNXM1105770_extr,MNXM1105770
C16561__extr,MNXM4044_extr,MNXM4044
C05285__extr,MNXM5604_extr,MNXM5604
C01079__extr,MNXM351_extr,MNXM351
C02356__extr,MNXM17054_extr,MNXM17054
C03758__extr,MNXM205_extr,MNXM205
C00162__extr,MNXM739622_extr,MNXM739622
C00122__extr,MNXM737339_extr,MNXM737339
C00518__extr,MNXM731992_extr,MNXM731992
C00395__extr,MNXM96383_extr,MNXM96383
C18870__extr,MNXM740174_extr,MNXM740174
C15576__extr,MNXM10801_extr,MNXM10801
C00331__extr,MNXM315_extr,MNXM315
C06428__extr,MNXM13045_extr,MNXM13045
C01613__extr,MNXM1503_extr,MNXM1503
C00864__extr,MNXM722715_extr,MNXM722715
C04317__extr,MNXM1256_extr,MNXM1256
C03121__extr,MNXM93441_extr,MNXM93441
C00459__extr,MNXM88255_extr,MNXM88255
C00036__extr,MNXM46_extr,MNXM46
C02715__extr,MNXM5236_extr,MNXM5236
C05302__extr,MNXM736913_extr,MNXM736913
C02592__extr,MNXM731413_extr,MNXM731413
C03035__extr,MNXM1104071_extr,MNXM1104071
C06178__extr,MNXM1615_extr,MNXM1615
C04756__extr,MNXM13888_extr,MNXM13888
C00239__extr,MNXM266_extr,MNXM266
C00052__extr,MNXM722709_extr,MNXM722709
