Original ID,Raw MetaNetX ID,Final ID
C00187__extr,MNXM726122_extr,MNXM726122
C05335__extr,MNXM1676_extr,MNXM1676
C06429__extr,MNXM511585_extr,MNXM511585
C00069__extr,MNXM147023_extr,MNXM147023
C06612__extr,MNXM5676_extr,MNXM5676
C01346__extr,MNXM572_extr,MNXM572
C01595__extr,MNXM4069_extr,MNXM4069
C05981__extr,MNXM726367_extr,MNXM726367
C00147__extr,MNXM168_extr,MNXM168
C01081__extr,MNXM662_extr,MNXM662
C04637__extr,MNXM1106036_extr,MNXM1106036
C04742__extr,MNXM2059_extr,MNXM2059
C16471__extr,MNXM738151_extr,MNXM738151
C00584__extr,MNXM661_extr,MNXM661
C21751__extr,MNXM814680_extr,MNXM814680
C00051__extr,MNXM490899_extr,MNXM490899
C01177__extr,MNXM646_extr,MNXM646
C01019__extr,MNXM1106903_extr,MNXM1106903
C00011__extr,MNXM13_extr,MNXM13
C02990__extr,MNXM162587_extr,MNXM162587
C00504__extr,MNXM617_extr,MNXM617
C00121__extr,MNXM242_extr,MNXM242
C18075__extr,MNXM6049_extr,MNXM6049
C00003__extr,MNXM8_extr,MNXM8
C02505__extr,MNXM2073_extr,MNXM2073
C00474__extr,MNXM1820_extr,MNXM1820
C00043__extr,MNXM736710_extr,MNXM736710
C06561__extr,MNXM727324_extr,MNXM727324
C01724__extr,MNXM482_extr,MNXM482
C14818__extr,MNXM111_extr,MNXM111
C00024__extr,MNXM1104266_extr,MNXM1104266
C04501__extr,MNXM158411_extr,MNXM158411
C00244__extr,MNXM732399_extr,MNXM732399
C00696__extr,MNXM1105793_extr,MNXM1105793
C01209__extr,MNXM731940_extr,MNXM731940
C01612__extr,MNXM728684_extr,MNXM728684
C00962__extr,MNXM112_extr,MNXM112
C00088__extr,MNXM107_extr,MNXM107
C05480__extr,MNXM90393_extr,MNXM90393
C03939__extr,MNXM727677_extr,MNXM727677
C06103__extr,MNXM1994_extr,MNXM1994
C02430__extr,MNXM741322_extr,MNXM741322
C00343__extr,MNXM729076_extr,MNXM729076
C05394__extr,MNXM1103441_extr,MNXM1103441
C01172__extr,MNXM508_extr,MNXM508
C05753__extr,MNXM728592_extr,MNXM728592
C00030__extr,MNXM1102419_extr,MNXM1102419
C00008__extr,MNXM40333_extr,MNXM40333
C05284__extr,MNXM2593_extr,MNXM2593
C00190__extr,MNXM733447_extr,MNXM733447
C00550__extr,MNXM1107929_extr,MNXM1107929
C00072__extr,MNXM129_extr,MNXM129
C05223__extr,MNXM726234_extr,MNXM726234
C05578__extr,MNXM163363_extr,MNXM163363
C00681__extr,MNXM728509_extr,MNXM728509
C06563__extr,MNXM1476_extr,MNXM1476
C00075__extr,MNXM1101474_extr,MNXM1101474
C00458__extr,MNXM360_extr,MNXM360
C15805__extr,MNXM11732_extr,MNXM11732
C15808__extr,MNXM732412_extr,MNXM732412
C05260__extr,MNXM767_extr,MNXM767
C00286__extr,MNXM344_extr,MNXM344
C00669__extr,MNXM735669_extr,MNXM735669
C02232__extr,MNXM1264_extr,MNXM1264
C06697__extr,MNXM723609_extr,MNXM723609
C05437__extr,MNXM738369_extr,MNXM738369
C06609__extr,MNXM9463_extr,MNXM9463
C00206__extr,MNXM1097067_extr,MNXM1097067
C16321__extr,MNXM2302_extr,MNXM2302
C01164__extr,MNXM730454_extr,MNXM730454
C00705__extr,MNXM411_extr,MNXM411
C00149__extr,MNXM1107192_extr,MNXM1107192
C05356__extr,MNXM730648_extr,MNXM730648
C16181__extr,MNXM5066_extr,MNXM5066
C05202__extr,MNXM1452_extr,MNXM1452
C01083__extr,MNXM1106022_extr,MNXM1106022
C10216__extr,MNXM1108151_extr,MNXM1108151
C00067__extr,MNXM736417_extr,MNXM736417
C00132__extr,MNXM157_extr,MNXM157
C21748__extr,MNXM814677_extr,MNXM814677
C19673__extr,MNXM728996_extr,MNXM728996
C00318__extr,MNXM731667_extr,MNXM731667
C05472__extr,MNXM4114_extr,MNXM4114
C00096__extr,MNXM731351_extr,MNXM731351
C05965__extr,MNXM13989_extr,MNXM13989
C00346__extr,MNXM187_extr,MNXM187
C00954__extr,MNXM383_extr,MNXM383
C00131__extr,MNXM286_extr,MNXM286
C11554__extr,MNXM209_extr,MNXM209
C01327__extr,MNXM735979_extr,MNXM735979
C00126__extr,MNXM731962_extr,MNXM731962
C03344__extr,MNXM524_extr,MNXM524
C02805__extr,MNXM738156_extr,MNXM738156
C01025__extr,MNXM16642_extr,MNXM16642
C16182__extr,MNXM8333_extr,MNXM8333
C05745__extr,MNXM728732_extr,MNXM728732
C03541__extr,MNXM1103840_extr,MNXM1103840
C00509__extr,MNXM738152_extr,MNXM738152
C00177__extr,MNXM727658_extr,MNXM727658
C06232__extr,MNXM726090_extr,MNXM726090
