Original ID,Raw MetaNetX ID,Final ID
cpd00001_c0,MNXM03_c,MNXM03
cpd00009_c0,MNXM9_c,MNXM9
cpd00012_c0,MNXM11_c,MNXM11
cpd00067_c0,MNXM1_c,MNXM1
cpd00001_d0,MNXM03_d0,MNXM03
cpd00009_d0,MNXM9_d0,MNXM9
cpd00012_d0,MNXM11_d0,MNXM11
cpd00067_d0,MNXM1_d0,MNXM1
cpd00001_g0,MNXM03_g0,MNXM03
cpd00009_g0,MNXM9_g0,MNXM9
cpd00012_g0,MNXM11_g0,MNXM11
cpd00067_g0,MNXM1_g0,MNXM1
cpd00001_v0,MNXM03_v0,MNXM03
cpd00009_v0,MNXM9_v0,MNXM9
cpd00012_v0,MNXM11_v0,MNXM11
cpd00067_v0,MNXM1_v0,MNXM1
cpd00001_w0,MNXM03_w0,MNXM03
cpd00009_w0,MNXM9_w0,MNXM9
cpd00012_w0,MNXM11_w0,MNXM11
cpd00067_w0,MNXM1_w0,MNXM1
cpd00007_c0,MNXM735438_c,MNXM735438
cpd00025_c0,MNXM732621_c,MNXM732621
cpd00001_x0,MNXM03_x0,MNXM03
cpd00007_x0,MNXM735438_x0,MNXM735438
cpd00025_x0,MNXM732621_x0,MNXM732621
cpd00011_d0,MNXM13_d0,MNXM13
cpd00020_d0,MNXM23_d0,MNXM23
cpd00056_d0,MNXM256_d0,MNXM256
cpd03049_d0,MNXM1705_d0,MNXM1705
cpd00011_m0,MNXM13_m0,MNXM13
cpd00020_m0,MNXM23_m0,MNXM23
cpd00056_m0,MNXM256_m0,MNXM256
cpd00067_m0,MNXM1_m0,MNXM1
cpd03049_m0,MNXM1705_m0,MNXM1705
cpd00169_d0,MNXM727604_d0,MNXM727604
cpd00871_d0,MNXM507504_d0,MNXM507504
cpd00011_x0,MNXM13_x0,MNXM13
cpd00067_x0,MNXM1_x0,MNXM1
cpd00169_x0,MNXM727604_x0,MNXM727604
cpd00871_x0,MNXM507504_x0,MNXM507504
cpd00220_d0,MNXM270_d0,MNXM270
cpd02656_d0,MNXM1107755_d0,MNXM1107755
cpd02882_d0,MNXM791_d0,MNXM791
cpd00003_d0,MNXM8_d0,MNXM8
cpd00004_d0,MNXM10_d0,MNXM10
cpd00023_d0,MNXM89557_d0,MNXM89557
cpd00024_d0,MNXM20_d0,MNXM20
cpd00053_d0,MNXM37_d0,MNXM37
cpd00003_c0,MNXM8_c,MNXM8
cpd00018_c0,MNXM723601_c,MNXM723601
cpd00355_c0,MNXM355_c,MNXM355
cpd00018_d0,MNXM723601_d0,MNXM723601
cpd00355_d0,MNXM355_d0,MNXM355
cpd00002_c0,MNXM3_c,MNXM3
cpd00006_c0,MNXM5_c,MNXM5
cpd00008_c0,MNXM40333_c,MNXM40333
cpd00002_d0,MNXM3_d0,MNXM3
cpd00006_d0,MNXM5_d0,MNXM5
cpd00008_d0,MNXM40333_d0,MNXM40333
cpd00004_c0,MNXM10_c,MNXM10
cpd00005_c0,MNXM738702_c,MNXM738702
cpd00002_x0,MNXM3_x0,MNXM3
cpd00004_x0,MNXM10_x0,MNXM10
cpd00005_x0,MNXM738702_x0,MNXM738702
cpd00008_x0,MNXM40333_x0,MNXM40333
cpd00042_c0,MNXM490899_c,MNXM490899
cpd00111_c0,MNXM151_c,MNXM151
cpd00005_d0,MNXM738702_d0,MNXM738702
cpd00042_d0,MNXM490899_d0,MNXM490899
cpd00111_d0,MNXM151_d0,MNXM151
cpd00005_m0,MNXM738702_m0,MNXM738702
cpd00006_m0,MNXM5_m0,MNXM5
cpd00042_m0,MNXM490899_m0,MNXM490899
cpd00111_m0,MNXM151_m0,MNXM151
cpd00002_m0,MNXM3_m0,MNXM3
cpd00008_m0,MNXM40333_m0,MNXM40333
cpd00018_m0,MNXM723601_m0,MNXM723601
cpd00002_n0,MNXM3_n0,MNXM3
cpd00008_n0,MNXM40333_n0,MNXM40333
cpd00018_n0,MNXM723601_n0,MNXM723601
cpd00067_n0,MNXM1_n0,MNXM1
cpd00010_c0,MNXM727276_c,MNXM727276
cpd00655_c0,MNXM1104543_c,MNXM1104543
cpd00010_x0,MNXM727276_x0,MNXM727276
cpd00655_x0,MNXM1104543_x0,MNXM1104543
cpd00011_c0,MNXM13_c,MNXM13
cpd00013_c0,MNXM729304_c,MNXM729304
cpd00073_c0,MNXM117_c,MNXM117
cpd00242_c0,MNXM60_c,MNXM60
cpd00242_d0,MNXM60_d0,MNXM60
cpd00014_c0,MNXM1102128_c,MNXM1102128
cpd00091_c0,MNXM80_c,MNXM80
cpd00014_g0,MNXM1102128_g0,MNXM1102128
cpd00091_g0,MNXM80_g0,MNXM80
cpd00062_c0,MNXM1101474_c,MNXM1101474
cpd00014_d0,MNXM1102128_d0,MNXM1102128
cpd00062_d0,MNXM1101474_d0,MNXM1101474
cpd00014_m0,MNXM1102128_m0,MNXM1102128
cpd00062_m0,MNXM1101474_m0,MNXM1101474
cpd00014_n0,MNXM1102128_n0,MNXM1102128
cpd00062_n0,MNXM1101474_n0,MNXM1101474
cpd00014_x0,MNXM1102128_x0,MNXM1102128
cpd00062_x0,MNXM1101474_x0,MNXM1101474
cpd00062_g0,MNXM1101474_g0,MNXM1101474
cpd00015_c0,MNXM1105936_c,MNXM1105936
cpd00050_c0,MNXM119_c,MNXM119
cpd00015_d0,MNXM1105936_d0,MNXM1105936
cpd00050_d0,MNXM119_d0,MNXM119
cpd00016_c0,MNXM161_c,MNXM161
cpd00215_c0,MNXM311_c,MNXM311
cpd00016_d0,MNXM161_d0,MNXM161
cpd00215_d0,MNXM311_d0,MNXM311
cpd00017_c0,MNXM16_c,MNXM16
cpd00060_c0,MNXM738804_c,MNXM738804
cpd00001_n0,MNXM03_n0,MNXM03
cpd00009_n0,MNXM9_n0,MNXM9
cpd00012_n0,MNXM11_n0,MNXM11
cpd00017_n0,MNXM16_n0,MNXM16
cpd00060_n0,MNXM738804_n0,MNXM738804
cpd00147_c0,MNXM150_c,MNXM150
cpd00909_c0,MNXM1128_c,MNXM1128
cpd00182_c0,MNXM212_c,MNXM212
cpd00638_c0,MNXM1103300_c,MNXM1103300
cpd00103_c0,MNXM91_c,MNXM91
cpd00128_c0,MNXM168_c,MNXM168
cpd00019_c0,MNXM19_c,MNXM19
cpd00135_c0,MNXM114070_c,MNXM114070
cpd00020_c0,MNXM23_c,MNXM23
cpd00061_c0,MNXM73_c,MNXM73
cpd00061_d0,MNXM73_d0,MNXM73
cpd00003_m0,MNXM8_m0,MNXM8
cpd00004_m0,MNXM10_m0,MNXM10
cpd00130_m0,MNXM1107192_m0,MNXM1107192
cpd00130_c0,MNXM1107192_c,MNXM1107192
cpd00130_d0,MNXM1107192_d0,MNXM1107192
cpd00550_c0,MNXM694_c,MNXM694
cpd00071_c0,MNXM75_c,MNXM75
cpd00010_d0,MNXM727276_d0,MNXM727276
cpd00022_d0,MNXM1104266_d0,MNXM1104266
cpd00029_d0,MNXM26_d0,MNXM26
cpd00022_c0,MNXM1104266_c,MNXM1104266
cpd00279_c0,MNXM725927_c,MNXM725927
cpd00022_x0,MNXM1104266_x0,MNXM1104266
cpd00279_x0,MNXM725927_x0,MNXM725927
cpd00023_c0,MNXM89557_c,MNXM89557
cpd02097_c0,MNXM1280_c,MNXM1280
cpd02097_d0,MNXM1280_d0,MNXM1280
cpd00024_c0,MNXM20_c,MNXM20
cpd00053_c0,MNXM37_c,MNXM37
cpd00013_d0,MNXM729304_d0,MNXM729304
cpd00009_m0,MNXM9_m0,MNXM9
cpd00013_m0,MNXM729304_m0,MNXM729304
cpd00023_m0,MNXM89557_m0,MNXM89557
cpd00053_m0,MNXM37_m0,MNXM37
cpd00035_c0,MNXM32_c,MNXM32
cpd00035_d0,MNXM32_d0,MNXM32
cpd00024_m0,MNXM20_m0,MNXM20
cpd00035_m0,MNXM32_m0,MNXM32
cpd00020_x0,MNXM23_x0,MNXM23
cpd00023_x0,MNXM89557_x0,MNXM89557
cpd00024_x0,MNXM20_x0,MNXM20
cpd00035_x0,MNXM32_x0,MNXM32
cpd00477_d0,MNXM730_d0,MNXM730
cpd00493_c0,MNXM366_c,MNXM366
cpd00007_d0,MNXM735438_d0,MNXM735438
cpd00025_d0,MNXM732621_d0,MNXM732621
cpd00493_d0,MNXM366_d0,MNXM366
cpd00478_c0,MNXM454_c,MNXM454
cpd00478_d0,MNXM454_d0,MNXM454
cpd00026_c0,MNXM722710_c,MNXM722710
cpd00144_c0,MNXM87_c,MNXM87
cpd00089_c0,MNXM722711_c,MNXM722711
cpd00031_c0,MNXM30_c,MNXM30
cpd00038_c0,MNXM51_c,MNXM51
cpd00031_d0,MNXM30_d0,MNXM30
cpd00038_d0,MNXM51_d0,MNXM51
cpd00031_m0,MNXM30_m0,MNXM30
cpd00038_m0,MNXM51_m0,MNXM51
cpd00031_n0,MNXM30_n0,MNXM30
cpd00038_n0,MNXM51_n0,MNXM51
cpd00031_x0,MNXM30_x0,MNXM30
cpd00038_x0,MNXM51_x0,MNXM51
cpd00126_c0,MNXM1101285_c,MNXM1101285
cpd00032_c0,MNXM46_c,MNXM46
cpd00011_n0,MNXM13_n0,MNXM13
cpd00032_n0,MNXM46_n0,MNXM46
cpd00061_n0,MNXM73_n0,MNXM73
cpd00032_d0,MNXM46_d0,MNXM46
cpd00032_m0,MNXM46_m0,MNXM46
cpd00003_x0,MNXM8_x0,MNXM8
cpd00032_x0,MNXM46_x0,MNXM46
cpd00130_x0,MNXM1107192_x0,MNXM1107192
cpd00137_c0,MNXM1107752_c,MNXM1107752
cpd00041_c0,MNXM735837_c,MNXM735837
cpd00041_d0,MNXM735837_d0,MNXM735837
cpd00041_m0,MNXM735837_m0,MNXM735837
cpd00041_x0,MNXM735837_x0,MNXM735837
cpd00033_d0,MNXM29_d0,MNXM29
cpd00040_d0,MNXM69_d0,MNXM69
cpd00033_m0,MNXM29_m0,MNXM29
cpd00040_m0,MNXM69_m0,MNXM69
cpd00033_x0,MNXM29_x0,MNXM29
cpd00040_x0,MNXM69_x0,MNXM69
cpd00010_m0,MNXM727276_m0,MNXM727276
cpd00036_m0,MNXM25_m0,MNXM25
cpd00078_m0,MNXM1104774_m0,MNXM1104774
cpd00047_c0,MNXM39_c,MNXM39
cpd02978_c0,MNXM397_c,MNXM397
cpd00047_d0,MNXM39_d0,MNXM39
cpd00957_d0,MNXM90905_d0,MNXM90905
cpd00039_d0,MNXM78_d0,MNXM78
cpd00516_d0,MNXM529_d0,MNXM529
cpd00040_c0,MNXM69_c,MNXM69
cpd00139_d0,MNXM222_d0,MNXM222
cpd00139_x0,MNXM222_x0,MNXM222
cpd01977_d0,MNXM1177_d0,MNXM1177
cpd03470_c0,MNXM599_c,MNXM599
cpd03470_d0,MNXM599_d0,MNXM599
cpd00001_m0,MNXM03_m0,MNXM03
cpd01651_m0,MNXM1014_m0,MNXM1014
cpd00044_c0,MNXM49_c,MNXM49
cpd00193_c0,MNXM1103086_c,MNXM1103086
cpd00044_d0,MNXM49_d0,MNXM49
cpd00193_d0,MNXM1103086_d0,MNXM1103086
cpd00046_c0,MNXM31_c,MNXM31
cpd00367_c0,MNXM1104207_c,MNXM1104207
cpd00096_c0,MNXM1102191_c,MNXM1102191
cpd00046_g0,MNXM31_g0,MNXM31
cpd00096_g0,MNXM1102191_g0,MNXM1102191
