Original ID,Raw MetaNetX ID,Final ID
tRNA-Containing-N7-Methylguanine-46_c,MNXM22228_c,MNXM22228
CYTOSINE_c,MNXM761_c,MNXM761
WATER_c,MNXM03_c,MNXM03
5-Dephospho-DNA_c,MNXM729142_c,MNXM729142
PROTON_c,MNXM1_c,MNXM1
URACIL_c,MNXM158_c,MNXM158
ATP_c,MNXM3_c,MNXM3
AMMONIUM_c,MNXM729304_c,MNXM729304
Carboxylates_c,MNXM739617_c,MNXM739617
5-Phospho-DNA_c,MNXM14929_c,MNXM14929
S-ADENOSYLMETHIONINE_c,MNXM16_c,MNXM16
ADP_c,MNXM40333_c,MNXM40333
CDP_c,MNXM1102191_c,MNXM1102191
Pi_c,MNXM9_c,MNXM9
CMP_c,MNXM31_c,MNXM31
CPD-25941_c,CPD-25941_c,CPD-25941_c
CPD-10818_c,MNXM11919_c,MNXM11919
FERRICYTOCHROME-B5_c,MNXM726594_c,MNXM726594
CPD-9924_c,MNXM1861_c,MNXM1861
CPD-9923_c,MNXM1249_c,MNXM1249
PYRUVATE_c,MNXM23_c,MNXM23
Guanine46-in-tRNA_c,MNXM11737_c,MNXM11737
FE+3_c,MNXM726712_c,MNXM726712
CPD-659_c,MNXM696_c,MNXM696
OXALACETIC_ACID_c,MNXM46_c,MNXM46
Hydroxymethylbilane-Synthase-Cys_c,MNXM1134434_c,MNXM1134434
HYDROXYMETHYLBILANE_c,MNXM547_c,MNXM547
PREPHENATE_c,MNXM737312_c,MNXM737312
THR_c,MNXM142_c,MNXM142
Hydroxymethylbilane-Synthase-ES2_c,MNXM1134436_c,MNXM1134436
L-ASPARTATE_c,MNXM735837_c,MNXM735837
CPD-15056_c,MNXM1454_c,MNXM1454
Nitriles_c,MNXM728769_c,MNXM728769
CPD-15709_c,MNXM89629_c,MNXM89629
FRUCTOSE-6P_c,MNXM89621_c,MNXM89621
HYDROGEN-PEROXIDE_c,MNXM732621_c,MNXM732621
MALONYL-COA_c,MNXM1106093_c,MNXM1106093
OH_c,MNXM02_c,MNXM02
CPD-12377_c,MNXM56888_c,MNXM56888
CPD-8612_c,MNXM726079_c,MNXM726079
CPD-15364_c,MNXM147608_c,MNXM147608
OXYGEN-MOLECULE_c,MNXM735438_c,MNXM735438
CPD-15368_c,MNXM147800_c,MNXM147800
FERROCYTOCHROME-B5_c,MNXM726611_c,MNXM726611
CO-A_c,MNXM727276_c,MNXM727276
ADENOSYL-HOMO-CYS_c,MNXM19_c,MNXM19
CARBON-DIOXIDE_c,MNXM13_c,MNXM13
CPD-8613_c,MNXM726067_c,MNXM726067
FE+2_c,MNXM111_c,MNXM111
L-seryl-SEC-tRNAs_c,MNXM163837_c,MNXM163837
Acceptor_c,Acceptor_c,Acceptor_c
CPD-20648_c,MNXM818721_c,MNXM818721
CPD-19487_c,MNXM164244_c,MNXM164244
Donor-H2_c,Donor-H2_c,Donor-H2_c
NAD_c,MNXM8_c,MNXM8
3-PHENYLPROPIONATE_c,MNXM1403_c,MNXM1403
CPD-20649_c,MNXM818722_c,MNXM818722
CPD-9501_c,MNXM10055_c,MNXM10055
CPD0-2040_c,MNXM723609_c,MNXM723609
Tubulin-n-a-Glu-g-Glu-Glu_c,MNXM744059_c,MNXM744059
DCDP_c,MNXM411_c,MNXM411
HOMO-CYS_c,MNXM114070_c,MNXM114070
CPD-505_c,MNXM929_c,MNXM929
ORCINOL-CPD_c,MNXM2145_c,MNXM2145
CPD-1107_c,MNXM89719_c,MNXM89719
NADH_c,MNXM10_c,MNXM10
CPD-14673_c,MNXM101882_c,MNXM101882
CPD-22101_c,MNXM819361_c,MNXM819361
SER_c,MNXM725422_c,MNXM725422
DCTP_c,MNXM360_c,MNXM360
O-phospho-L-seryl-tRNASecs_c,MNXM727312_c,MNXM727312
D-METHYL-MALONYL-COA_c,MNXM89955_c,MNXM89955
CPD-763_c,MNXM723609~_c,MNXM723609
NADP_c,MNXM5_c,MNXM5
PROPIONYL-COA_c,MNXM86_c,MNXM86
GLT_c,MNXM89557_c,MNXM89557
HCO3_c,MNXM60_c,MNXM60
