Original ID,Raw MetaNetX ID,Final ID
+_5_oxo_1_2_campholide,+_5_oxo_1_2_campholide,+_5_oxo_1_2_campholide
1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE,1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE,1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE
1_7_DIMETHYLXANTHINE,1_7_DIMETHYLXANTHINE,1_7_DIMETHYLXANTHINE
1_ALKENYL_2_ACYLGLYCEROL,1_ALKENYL_2_ACYLGLYCEROL,1_ALKENYL_2_ACYLGLYCEROL
1_ALKYL_GLYCERONE_3_PHOSPHATE,1_ALKYL_GLYCERONE_3_PHOSPHATE,1_ALKYL_GLYCERONE_3_PHOSPHATE
1_AMINO_PROPAN_2_ONE_3_PHOSPHATE,1_AMINO_PROPAN_2_ONE_3_PHOSPHATE,1_AMINO_PROPAN_2_ONE_3_PHOSPHATE
1_Acyl_2_Arachidonoyl_Glycerol_P,1_Acyl_2_Arachidonoyl_Glycerol_P,1_Acyl_2_Arachidonoyl_Glycerol_P
1_Acyl_2_Arachidonoyl_Glycerols,1_Acyl_2_Arachidonoyl_Glycerols,1_Acyl_2_Arachidonoyl_Glycerols
1_Acyl_2_Lysophosaphatidylserines,1_Acyl_2_Lysophosaphatidylserines,1_Acyl_2_Lysophosaphatidylserines
1_Acyl_sn_glycerols,1_Acyl_sn_glycerols,1_Acyl_sn_glycerols
1_Alkenyl_phosphoglycerol,1_Alkenyl_phosphoglycerol,1_Alkenyl_phosphoglycerol
1_Alkenylglycerophosphoethanolamines,MNXM31869_Alkenylglycerophosphoethanolamines,MNXM31869
1_Alkyl_2_acyl_glycerol,1_Alkyl_2_acyl_glycerol,1_Alkyl_2_acyl_glycerol
1_Alkyl_2_acyl_glycerol_3_phosphate,1_Alkyl_2_acyl_glycerol_3_phosphate,1_Alkyl_2_acyl_glycerol_3_phosphate
1_Alkyl_2_acyl_glycerol_P_Etn,1_Alkyl_2_acyl_glycerol_P_Etn,1_Alkyl_2_acyl_glycerol_P_Etn
1_Alkyl_sn_glycero_3_phosphocholines,1_Alkyl_sn_glycero_3_phosphocholines,1_Alkyl_sn_glycero_3_phosphocholines
1_Alkyl_sn_glycerol_3_phosphates,1_Alkyl_sn_glycerol_3_phosphates,1_Alkyl_sn_glycerol_3_phosphates
1_BETA_D_GALACTOSYL_2_2_HYDROXYACYLS,1_BETA_D_GALACTOSYL_2_2_HYDROXYACYLS,1_BETA_D_GALACTOSYL_2_2_HYDROXYACYLS
1_HYDROXYALKYL_SN_GLYCEROL,1_HYDROXYALKYL_SN_GLYCEROL,1_HYDROXYALKYL_SN_GLYCEROL
1_INDANOL,MNXM31869_INDANOL,MNXM31869
1_INDANONE,MNXM31869_INDANONE,MNXM31869
1_L_MYO_INOSITOL_1_P,1_L_MYO_INOSITOL_1_P,1_L_MYO_INOSITOL_1_P
1_Lysophosphatidylserines,MNXM31869_Lysophosphatidylserines,MNXM31869
1_O_ALKYL_2_ACETYL_SN_GLYCEROL,1_O_ALKYL_2_ACETYL_SN_GLYCEROL,1_O_ALKYL_2_ACETYL_SN_GLYCEROL
1_PHOSPHATIDYL_1D_MYO_INOSITOL_34_BISPH,1_PHOSPHATIDYL_1D_MYO_INOSITOL_34_BISPH,1_PHOSPHATIDYL_1D_MYO_INOSITOL_34_BISPH
1_PHOSPHATIDYL_1D_MYO_INOSITOL_35_BISPH,1_PHOSPHATIDYL_1D_MYO_INOSITOL_35_BISPH,1_PHOSPHATIDYL_1D_MYO_INOSITOL_35_BISPH
1_PHOSPHATIDYL_1D_MYO_INOSITOL_5_PHOSPHA,1_PHOSPHATIDYL_1D_MYO_INOSITOL_5_PHOSPHA,1_PHOSPHATIDYL_1D_MYO_INOSITOL_5_PHOSPHA
11_DEOXY_CORTISOL,11_DEOXY_CORTISOL,11_DEOXY_CORTISOL
11_DEOXYCORTICOSTERONE,MNXM30081_DEOXYCORTICOSTERONE,MNXM30081
11_cis_3_hydroxyretinal_RBPs,11_cis_3_hydroxyretinal_RBPs,11_cis_3_hydroxyretinal_RBPs
11_cis_3_hydroxyretinol_RBPs,11_cis_3_hydroxyretinol_RBPs,11_cis_3_hydroxyretinol_RBPs
11C_Retinal_RALBPs,11C_Retinal_RALBPs,11C_Retinal_RALBPs
11C_Retinol_RALBPs,11C_Retinol_RALBPs,11C_Retinol_RALBPs
12_D_GLUCOSYL_5_D_GALACTOSYLOXY_L_LYS,12_D_GLUCOSYL_5_D_GALACTOSYLOXY_L_LYS,12_D_GLUCOSYL_5_D_GALACTOSYLOXY_L_LYS
12_DIBROMOETHANE,MNXM733546_DIBROMOETHANE,MNXM733546
124_TCB,124_TCB,124_TCB
13_BETA_D_GALACTOSYL_N_ACETYL_D_GLU,13_BETA_D_GALACTOSYL_N_ACETYL_D_GLU,13_BETA_D_GALACTOSYL_N_ACETYL_D_GLU
13_Sial_Gal_N_glycans,13_Sial_Gal_N_glycans,13_Sial_Gal_N_glycans
13_and_16_Sial_Gal_N_glycans,13_and_16_Sial_Gal_N_glycans,13_and_16_Sial_Gal_N_glycans
13E_11_ALPHA_HYDROXY_915_DIOXOPROST_1,13E_11_ALPHA_HYDROXY_915_DIOXOPROST_1,13E_11_ALPHA_HYDROXY_915_DIOXOPROST_1
15_ANHYDRO_D_FRUCTOSE,MNXM170993_FRUCTOSE,MNXM170993
15_ANHYDRO_D_GLUCITOL,15_ANHYDRO_D_GLUCITOL,15_ANHYDRO_D_GLUCITOL
16_EPIVELLOSIMINE,16_EPIVELLOSIMINE,16_EPIVELLOSIMINE
16S_rRNA_N4_methylcytidine1402,16S_rRNA_N4_methylcytidine1402,16S_rRNA_N4_methylcytidine1402
16S_rRNA_cytidine1402,16S_rRNA_cytidine1402,16S_rRNA_cytidine1402
17_ALPHA_HYDROXYPROGESTERONE,MNXM741563_HYDROXYPROGESTERONE,MNXM741563
17_ALPHA20_ALPHA_DIHYDROXYPREGN_4_EN_3_,17_ALPHA20_ALPHA_DIHYDROXYPREGN_4_EN_3_,17_ALPHA20_ALPHA_DIHYDROXYPREGN_4_EN_3_
17_BETA_HYDROXY_5ALPHA_ANDROSTAN_3_O,MNXM79619_O,MNXM79619
2_2_HYDROXYACYLSPHINGOSINE,2_2_HYDROXYACYLSPHINGOSINE,2_2_HYDROXYACYLSPHINGOSINE
2_2_N_linked_Glycan,2_2_N_linked_Glycan,2_2_N_linked_Glycan
2_3_CARBOXY_3_AMINOPROPYL_L_HISTIDINE,2_3_CARBOXY_3_AMINOPROPYL_L_HISTIDINE,2_3_CARBOXY_3_AMINOPROPYL_L_HISTIDINE
2_ACETO_2_HYDROXY_BUTYRATE,2_ACETO_2_HYDROXY_BUTYRATE,2_ACETO_2_HYDROXY_BUTYRATE
2_ACETO_LACTATE,2_ACETO_LACTATE,2_ACETO_LACTATE
2_ALPHA_HYDROXYETHYL_THPP,2_ALPHA_HYDROXYETHYL_THPP,2_ALPHA_HYDROXYETHYL_THPP
2_AMINO_3_OXO_4_PHOSPHONOOXYBUTYRATE,2_AMINO_3_OXO_4_PHOSPHONOOXYBUTYRATE,2_AMINO_3_OXO_4_PHOSPHONOOXYBUTYRATE
2_AMINOACRYLATE,MNXM581505_AMINOACRYLATE,MNXM581505
2_AMINOMALONATE_SEMIALDEHYDE,2_AMINOMALONATE_SEMIALDEHYDE,2_AMINOMALONATE_SEMIALDEHYDE
2_Acyl_1_lysophosphatidylinositols,2_Acyl_1_lysophosphatidylinositols,2_Acyl_1_lysophosphatidylinositols
2_Acyl_sn_glycerol_3_phosphates,2_Acyl_sn_glycerol_3_phosphates,2_Acyl_sn_glycerol_3_phosphates
2_Arachidonoyl_Phosphatidylinositols,2_Arachidonoyl_Phosphatidylinositols,2_Arachidonoyl_Phosphatidylinositols
2_CL_5_OXO_2_5_DIH_FURAN_2_ACETATE,2_CL_5_OXO_2_5_DIH_FURAN_2_ACETATE,2_CL_5_OXO_2_5_DIH_FURAN_2_ACETATE
2_DEOXY_D_GLUCOSE,2_DEOXY_D_GLUCOSE,2_DEOXY_D_GLUCOSE
2_DEOXY_D_GLUCOSE_6_PHOSPHATE,2_DEOXY_D_GLUCOSE_6_PHOSPHATE,2_DEOXY_D_GLUCOSE_6_PHOSPHATE
2_DEOXYRIBOSE,2_DEOXYRIBOSE,2_DEOXYRIBOSE
2_HYDROXY_2_METHYLPROPANENITRILE,MNXM59876_METHYLPROPANENITRILE,MNXM59876
2_HYDROXY_3_KETO_5_METHYLTHIO_1_PHOSPHOP,2_HYDROXY_3_KETO_5_METHYLTHIO_1_PHOSPHOP,2_HYDROXY_3_KETO_5_METHYLTHIO_1_PHOSPHOP
2_HYDROXYGLUTARIC_ACID,2_HYDROXYGLUTARIC_ACID,2_HYDROXYGLUTARIC_ACID
2_KETO_3_METHYL_VALERATE,2_KETO_3_METHYL_VALERATE,2_KETO_3_METHYL_VALERATE
2_KETO_GLUTARAMATE,MNXM1116693_GLUTARAMATE,MNXM1116693
2_KETO_ISOVALERATE,2_KETO_ISOVALERATE,2_KETO_ISOVALERATE
2_KETOGLUTARATE,MNXM1127114_KETOGLUTARATE,MNXM1127114
2_Lyso_N_Acyl_Plasmalogens,2_Lyso_N_Acyl_Plasmalogens,2_Lyso_N_Acyl_Plasmalogens
2_Lysophosphatidylcholines,2_Lysophosphatidylcholines,2_Lysophosphatidylcholines
2_METHYL_3_HYDROXY_BUTYRYL_COA,2_METHYL_3_HYDROXY_BUTYRYL_COA,2_METHYL_3_HYDROXY_BUTYRYL_COA
2_METHYL_3_PHYTYL_14_NAPHTHOQUINONE,2_METHYL_3_PHYTYL_14_NAPHTHOQUINONE,2_METHYL_3_PHYTYL_14_NAPHTHOQUINONE
2_METHYL_ACETO_ACETYL_COA,2_METHYL_ACETO_ACETYL_COA,2_METHYL_ACETO_ACETYL_COA
2_METHYL_BUTYRYL_COA,2_METHYL_BUTYRYL_COA,2_METHYL_BUTYRYL_COA
2_METHYLPROPANAL_OXIME,2_METHYLPROPANAL_OXIME,2_METHYLPROPANAL_OXIME
2_Me_Branched_234_Sat_FALD,2_Me_Branched_234_Sat_FALD,2_Me_Branched_234_Sat_FALD
2_Methoxy_6_polyprenyl_phenols,2_Methoxy_6_polyprenyl_phenols,2_Methoxy_6_polyprenyl_phenols
2_N_linked_Glycan,2_N_linked_Glycan,2_N_linked_Glycan
2_O_MeCytidine4_tRNAGLY_GCC,2_O_MeCytidine4_tRNAGLY_GCC,2_O_MeCytidine4_tRNAGLY_GCC
2_O_MeGuan_34_tRNAs,2_O_MeGuan_34_tRNAs,2_O_MeGuan_34_tRNAs
2_O_Methyluridine44_tRNASer,2_O_Methyluridine44_tRNASer,2_O_Methyluridine44_tRNASer
2_OH_3_Methyl_Saturated_Fatty_Acyl_CoA,2_OH_3_Methyl_Saturated_Fatty_Acyl_CoA,2_OH_3_Methyl_Saturated_Fatty_Acyl_CoA
2_OXO_5_METHYLTHIOPENTANOIC_ACID,2_OXO_5_METHYLTHIOPENTANOIC_ACID,2_OXO_5_METHYLTHIOPENTANOIC_ACID
2_OXOBUTANOATE,2_OXOBUTANOATE,2_OXOBUTANOATE
2_OXOSUCCINAMATE,2_OXOSUCCINAMATE,2_OXOSUCCINAMATE
2_Octenoyl_ACPs,2_Octenoyl_ACPs,2_Octenoyl_ACPs
2_Oxo_carboxylates,2_Oxo_carboxylates,2_Oxo_carboxylates
2_PG,2_PG,2_PG
2_Phenyloxirane,2_Phenyloxirane,2_Phenyloxirane
2_TRANS6_TRANS_FARNESAL,2_TRANS6_TRANS_FARNESAL,2_TRANS6_TRANS_FARNESAL
2_TRANS6_TRANS_FARNESOL,2_TRANS6_TRANS_FARNESOL,2_TRANS6_TRANS_FARNESOL
20_OH_LTB4,20_OH_LTB4,20_OH_LTB4
23_DIPHOSPHOGLYCERATE,MNXM30106_DIPHOSPHOGLYCERATE,MNXM30106
23_EPOXY_23_DIHYDRO_2_METHYL_14_NAPHTHOQ,23_EPOXY_23_DIHYDRO_2_METHYL_14_NAPHTHOQ,23_EPOXY_23_DIHYDRO_2_METHYL_14_NAPHTHOQ
23S_rRNA_2_O_methyluridine2552,23S_rRNA_2_O_methyluridine2552,23S_rRNA_2_O_methyluridine2552
23S_rRNA_N6_m_adenine1618,23S_rRNA_N6_m_adenine1618,23S_rRNA_N6_m_adenine1618
23S_rRNA_adenine_1618,23S_rRNA_adenine_1618,23S_rRNA_adenine_1618
23S_rRNA_uridine_2552,23S_rRNA_uridine_2552,23S_rRNA_uridine_2552
24_2_N_linked_Glycan,24_2_N_linked_Glycan,24_2_N_linked_Glycan
24_26_N_linked_Glycan,24_26_N_linked_Glycan,24_26_N_linked_Glycan
24_DICHLORO_25_DIHYDRO_5_OXOFURAN_2_AC,24_DICHLORO_25_DIHYDRO_5_OXOFURAN_2_AC,24_DICHLORO_25_DIHYDRO_5_OXOFURAN_2_AC
245_DNOL,245_DNOL,245_DNOL
25_DICHLOROPHENOL,MNXM735326_DICHLOROPHENOL,MNXM735326
2K_4CH3_PENTANOATE,2K_4CH3_PENTANOATE,2K_4CH3_PENTANOATE
2K_ADIPATE,2K_ADIPATE,2K_ADIPATE
3_5_ADP,3_5_ADP,3_5_ADP
3_7_DIMETHYLXANTHINE,MNXM734869_DIMETHYLXANTHINE,MNXM734869
3_ALPHA_HYDROXY_5_BETA_ANDROSTAN_17_ONE,MNXM156764_ONE,MNXM156764
3_BETA_HYDROXY_5_ALPHA_PREGNANE_20_ONE,MNXM585014_ONE,MNXM585014
3_BETA_HYDROXYANDROST_5_EN_17_ONE,MNXM1106002_ONE,MNXM1106002
3_HEXAPRENYL_4_HYDROXYBENZOATE,3_HEXAPRENYL_4_HYDROXYBENZOATE,3_HEXAPRENYL_4_HYDROXYBENZOATE
3_HYDROXY_3_4_METHYLPENT_3_EN_1_YLG_COA,3_HYDROXY_3_4_METHYLPENT_3_EN_1_YLG_COA,3_HYDROXY_3_4_METHYLPENT_3_EN_1_YLG_COA
3_HYDROXY_3_METHYL_GLUTARYL_COA,3_HYDROXY_3_METHYL_GLUTARYL_COA,3_HYDROXY_3_METHYL_GLUTARYL_COA
3_HYDROXY_ANTHRANILATE,3_HYDROXY_ANTHRANILATE,3_HYDROXY_ANTHRANILATE
3_HYDROXY_ISOVALERYL_COA,3_HYDROXY_ISOVALERYL_COA,3_HYDROXY_ISOVALERYL_COA
3_HYDROXY_L_KYNURENINE,3_HYDROXY_L_KYNURENINE,3_HYDROXY_L_KYNURENINE
3_HYDROXY_N6N6N6_TRIMETHYL_L_LYSINE,3_HYDROXY_N6N6N6_TRIMETHYL_L_LYSINE,3_HYDROXY_N6N6N6_TRIMETHYL_L_LYSINE
3_HYDROXY_PROPIONATE,3_HYDROXY_PROPIONATE,3_HYDROXY_PROPIONATE
3_HYDROXY_PROPIONYL_COA,3_HYDROXY_PROPIONYL_COA,3_HYDROXY_PROPIONYL_COA
3_HYDROXYADIPYL_COA,3_HYDROXYADIPYL_COA,3_HYDROXYADIPYL_COA
3_HYDROXYQUININE,MNXM97437_HYDROXYQUININE,MNXM97437
3_Hydroxy_Terminated_DNAs,3_Hydroxy_Terminated_DNAs,3_Hydroxy_Terminated_DNAs
3_Hydroxy_octanoyl_ACPs,3_Hydroxy_octanoyl_ACPs,3_Hydroxy_octanoyl_ACPs
3_KETO_ADIPYL_COA,3_KETO_ADIPYL_COA,3_KETO_ADIPYL_COA
3_KETO_L_GULONATE,3_KETO_L_GULONATE,3_KETO_L_GULONATE
3_KETOACYL_COA,3_KETOACYL_COA,3_KETOACYL_COA
3_KETOBUTYRATE,MNXM97437_KETOBUTYRATE,MNXM97437
3_MERCAPTO_PYRUVATE,3_MERCAPTO_PYRUVATE,3_MERCAPTO_PYRUVATE
3_METHYL_CROTONYL_COA,3_METHYL_CROTONYL_COA,3_METHYL_CROTONYL_COA
3_OXOPALMITOYL_COA,3_OXOPALMITOYL_COA,3_OXOPALMITOYL_COA
3_Oxo_Acyl_TYPE_I_FAS_ACPs,3_Oxo_Acyl_TYPE_I_FAS_ACPs,3_Oxo_Acyl_TYPE_I_FAS_ACPs
3_Oxo_Delta_4_Steroids,3_Oxo_Delta_4_Steroids,3_Oxo_Delta_4_Steroids
3_Oxo_octanoyl_ACPs,3_Oxo_octanoyl_ACPs,3_Oxo_octanoyl_ACPs
3_P_HYDROXYPYRUVATE,3_P_HYDROXYPYRUVATE,3_P_HYDROXYPYRUVATE
3_P_SERINE,3_P_SERINE,3_P_SERINE
3_PHENYLPROPIONATE,MNXM97437_PHENYLPROPIONATE,MNXM97437
3_Polyrenyl_benzene_1_2_diols,3_Polyrenyl_benzene_1_2_diols,3_Polyrenyl_benzene_1_2_diols
3_Prime_Phosphate_Terminated_DNAs,3_Prime_Phosphate_Terminated_DNAs,3_Prime_Phosphate_Terminated_DNAs
3_Prime_Phosphate_Terminated_RNAs,3_Prime_Phosphate_Terminated_RNAs,3_Prime_Phosphate_Terminated_RNAs
3_SULFINOALANINE,MNXM97437_SULFINOALANINE,MNXM97437
