Original ID,Raw MetaNetX ID,Final ID
cpd11735_c,MNXM91761_c,MNXM91761
cpd11657_c,MNXM1003_c,MNXM1003
cpd00004_c,MNXM10_c,MNXM10
cpd00007_c,MNXM735438_c,MNXM735438
cpd00067_c,MNXM1_c,MNXM1
cpd00599_c,MNXM730078_c,MNXM730078
cpd00001_c,MNXM03_c,MNXM03
cpd00003_c,MNXM8_c,MNXM8
cpd00011_c,MNXM13_c,MNXM13
cpd00077_c,MNXM731896_c,MNXM731896
cpd09806_c,MNXM34518_c,MNXM34518
cpd04117_c,MNXM961_c,MNXM961
cpd09791_c,MNXM6828_c,MNXM6828
cpd01871_c,MNXM1064_c,MNXM1064
cpd02045_c,MNXM1129_c,MNXM1129
cpd01932_c,MNXM842_c,MNXM842
cpd09813_c,MNXM10202_c,MNXM10202
cpd09812_c,MNXM6888_c,MNXM6888
cpd09255_c,MNXM726883_c,MNXM726883
cpd00106_c,MNXM737339_c,MNXM737339
cpd00461_c,MNXM1107795_c,MNXM1107795
cpd02731_c,MNXM731522_c,MNXM731522
cpd00036_c,MNXM25_c,MNXM25
cpd00023_c,MNXM89557_c,MNXM89557
cpd00013_c,MNXM729304_c,MNXM729304
cpd00024_c,MNXM20_c,MNXM20
cpd00006_c,MNXM5_c,MNXM5
cpd00005_c,MNXM738702_c,MNXM738702
cpd02016_c,MNXM1115_c,MNXM1115
cpd00133_c,MNXM216_c,MNXM216
cpd16443_c,MNXM3548_c,MNXM3548
cpd00246_c,MNXM1103335_c,MNXM1103335
cpd00226_c,MNXM732487_c,MNXM732487
cpd00311_c,MNXM1103400_c,MNXM1103400
cpd00207_c,MNXM733114_c,MNXM733114
cpd00182_c,MNXM212_c,MNXM212
cpd00128_c,MNXM168_c,MNXM168
cpd01217_c,MNXM1103769_c,MNXM1103769
cpd00105_c,MNXM242_c,MNXM242
cpd00309_c,MNXM174_c,MNXM174
cpd00251_c,MNXM507503_c,MNXM507503
cpd00018_c,MNXM723601_c,MNXM723601
cpd00101_c,MNXM1104056_c,MNXM1104056
cpd08139_c,MNXM94371_c,MNXM94371
cpd00042_c,MNXM490899_c,MNXM490899
cpd20840_c,MNXM8257_c,MNXM8257
cpd10562_c,MNXM4278_c,MNXM4278
cpd10554_c,MNXM6570_c,MNXM6570
cpd00099_c,MNXM735979_c,MNXM735979
cpd10502_c,MNXM1104938_c,MNXM1104938
cpd10497_c,MNXM4239_c,MNXM4239
cpd10500_c,MNXM9637_c,MNXM9637
cpd10499_c,MNXM5418_c,MNXM5418
cpd10545_c,MNXM1104953_c,MNXM1104953
cpd10537_c,MNXM4493_c,MNXM4493
cpd19541_c,MNXM114492_c,MNXM114492
cpd10553_c,MNXM1101199_c,MNXM1101199
cpd08400_c,MNXM10187_c,MNXM10187
cpd04806_c,MNXM2968_c,MNXM2968
cpd10489_c,MNXM1103739_c,MNXM1103739
cpd10484_c,MNXM2885_c,MNXM2885
cpd10558_c,MNXM12906_c,MNXM12906
cpd10555_c,MNXM5432_c,MNXM5432
cpd10565_c,MNXM1101882_c,MNXM1101882
cpd04167_c,MNXM1198_c,MNXM1198
cpd10552_c,MNXM10148_c,MNXM10148
cpd10548_c,MNXM7104_c,MNXM7104
cpd10567_c,MNXM6694_c,MNXM6694
cpd00966_c,MNXM833_c,MNXM833
cpd10568_c,MNXM1103518_c,MNXM1103518
cpd10490_c,MNXM5356_c,MNXM5356
cpd10544_c,MNXM1104957_c,MNXM1104957
cpd10536_c,MNXM4494_c,MNXM4494
cpd10560_c,MNXM6062_c,MNXM6062
cpd10503_c,MNXM9634_c,MNXM9634
cpd07971_c,MNXM6026_c,MNXM6026
cpd10571_c,MNXM1103628_c,MNXM1103628
cpd10488_c,MNXM1103737_c,MNXM1103737
cpd10483_c,MNXM3390_c,MNXM3390
cpd10501_c,MNXM1104940_c,MNXM1104940
cpd10561_c,MNXM1101889_c,MNXM1101889
cpd10556_c,MNXM5082_c,MNXM5082
cpd02345_c,MNXM1453_c,MNXM1453
cpd00338_c,MNXM405_c,MNXM405
cpd00002_c,MNXM3_c,MNXM3
cpd00012_c,MNXM11_c,MNXM11
cpd00446_c,MNXM243_c,MNXM243
cpd00038_c,MNXM51_c,MNXM51
