Original ID,Raw MetaNetX ID,Final ID
10fthf5glu_c,MNXM3428_c,MNXM3428
10fthf5glu_e,MNXM3428_e,MNXM3428
10fthf5glu_l,MNXM3428_l,MNXM3428
10fthf5glu_m,MNXM3428_m,MNXM3428
10fthf6glu_c,MNXM3429_c,MNXM3429
10fthf6glu_e,MNXM3429_e,MNXM3429
10fthf6glu_l,MNXM3429_l,MNXM3429
10fthf6glu_m,MNXM3429_m,MNXM3429
10fthf7glu_c,MNXM5422_c,MNXM5422
10fthf7glu_e,MNXM5422_e,MNXM5422
10fthf7glu_l,MNXM5422_l,MNXM5422
10fthf7glu_m,MNXM5422_m,MNXM5422
10fthf_c,MNXM1102376_c,MNXM1102376
10fthf_e,MNXM1102376_e,MNXM1102376
10fthf_l,MNXM1102376_l,MNXM1102376
10fthf_m,MNXM1102376_m,MNXM1102376
11_cis_retfa_c,MNXM146564_c,MNXM146564
11_cis_retfa_e,MNXM146564_e,MNXM146564
11docrtsl_c,MNXM1399_c,MNXM1399
11docrtsl_m,MNXM1399_m,MNXM1399
11docrtsl_r,MNXM1399_r,MNXM1399
11docrtstrn_c,MNXM849_c,MNXM849
11docrtstrn_m,MNXM849_m,MNXM849
11docrtstrn_r,MNXM849_r,MNXM849
12HPET_c,MNXM13989_c,MNXM13989
12ppd_R_c,12ppd_R_c,12ppd_R_c
12ppd_S_c,12ppd_S_c,12ppd_S_c
13_cis_oretn_c,MNXM146866_c,MNXM146866
13_cis_oretn_n,MNXM146866_n,MNXM146866
13_cis_retn_c,MNXM58377_c,MNXM58377
13_cis_retn_n,MNXM58377_n,MNXM58377
13_cis_retn_r,MNXM58377_r,MNXM58377
13dampp_c,MNXM146468_c,MNXM146468
13dpg_c,MNXM261_c,MNXM261
15HPET_c,MNXM2314_c,MNXM2314
15HPET_n,MNXM2314_n,MNXM2314
15HPET_r,MNXM2314_r,MNXM2314
17ahprgnlone_c,MNXM730460_c,MNXM730460
17ahprgnlone_r,MNXM730460_r,MNXM730460
17ahprgstrn_c,MNXM347_c,MNXM347
17ahprgstrn_r,MNXM347_r,MNXM347
1a2425thvitd2_m,MNXM9596_m,MNXM9596
1a2425thvitd3_m,MNXM4500_m,MNXM4500
