Original ID,Raw MetaNetX ID,Final ID
10fthf5glu_c,MNXM3428_c,MNXM3428
10fthf5glu_e,MNXM3428_e,MNXM3428
10fthf5glu_l,MNXM3428_l,MNXM3428
10fthf5glu_m,MNXM3428_m,MNXM3428
10fthf6glu_c,MNXM3429_c,MNXM3429
10fthf6glu_e,MNXM3429_e,MNXM3429
10fthf6glu_l,MNXM3429_l,MNXM3429
10fthf6glu_m,MNXM3429_m,MNXM3429
10fthf7glu_c,MNXM5422_c,MNXM5422
10fthf7glu_e,MNXM5422_e,MNXM5422
10fthf7glu_l,MNXM5422_l,MNXM5422
10fthf7glu_m,MNXM5422_m,MNXM5422
3mob_c,MNXM238_c,MNXM238
3mob_e,MNXM238_e,MNXM238
10fthf_c,MNXM1102376_c,MNXM1102376
3mob_m,MNXM238_m,MNXM238
2kmb_c,MNXM276_c,MNXM276
3mop_c,MNXM1103447_c,MNXM1103447
3mop_e,MNXM1103447_e,MNXM1103447
10fthf_e,MNXM1102376_e,MNXM1102376
3mop_m,MNXM1103447_m,MNXM1103447
3mox4hoxm_c,MNXM730643_c,MNXM730643
10fthf_l,MNXM1102376_l,MNXM1102376
3mox4hoxm_m,MNXM730643_m,MNXM730643
10fthf_m,MNXM1102376_m,MNXM1102376
3mox4hpac_c,MNXM4183_c,MNXM4183
2maacoa_m,MNXM524_m,MNXM524
3mox4hpac_m,MNXM4183_m,MNXM4183
11_cis_retfa_c,MNXM146564_c,MNXM146564
3moxtyr_c,MNXM3848_c,MNXM3848
11_cis_retfa_e,MNXM146564_e,MNXM146564
3odcoa_x,MNXM677_p/glyoxysome,MNXM677
11docrtsl_c,MNXM1399_c,MNXM1399
3oddcoa_x,MNXM1104695_p/glyoxysome,MNXM1104695
11docrtsl_m,MNXM1399_m,MNXM1399
3ohdcoa_m,MNXM1104713_m,MNXM1104713
3ohdcoa_x,MNXM1104713_p/glyoxysome,MNXM1104713
3ohodcoa_c,MNXM737498_c,MNXM737498
3ohodcoa_l,MNXM737498_l,MNXM737498
2mb2coa_c,MNXM609_c,MNXM609
3ohodcoa_r,MNXM737498_r,MNXM737498
2mb2coa_m,MNXM609_m,MNXM609
11docrtsl_r,MNXM1399_r,MNXM1399
