Original ID,Raw MetaNetX ID,Final ID
Charged-SER-tRNAs_c,MNXM89803_c,MNXM89803
Dodec-2-enoyl-ACPs_c,MNXM728709_c,MNXM728709
DGDP_c,MNXM1097066_c,MNXM1097066
Deamido-bleomycins_c,MNXM17164_c,MNXM17164
AMINO-HYDROXYMETHYL-METHYL-PYR-P_c,MNXM1104391_c,MNXM1104391
CPD-13375_c,MNXM5333_c,MNXM5333
Beta-D-Galactosides_c,MNXM90688_c,MNXM90688
DNA-6-Methyl-Amino-Purines_c,DNA-6-Methyl-Amino-Purines_c,DNA-6-Methyl-Amino-Purines_c
CPD-12763_c,MNXM5010_c,MNXM5010
2-Oxo-carboxylates_c,MNXM730326_c,MNXM730326
2-METHYL-3-HYDROXY-BUTYRYL-COA_c,MNXM1104693_c,MNXM1104693
CPD-334_c,MNXM958_c,MNXM958
L-CYSTATHIONINE_c,MNXM319_c,MNXM319
1-CHLORO-24-DINITROBENZENE_c,MNXM1398_c,MNXM1398
L-DIHYDROXY-PHENYLALANINE_c,MNXM162631_c,MNXM162631
CPD-8594_c,MNXM30398_c,MNXM30398
PHOSPHORIBOSYL-ATP_c,MNXM728134_c,MNXM728134
3-oxo-cerotoyl-ACPs_c,MNXM10093_c,MNXM10093
a-glycopeptide-D-mannosyl-Nsup4sup-N-ace_c,MNXM97692_c,MNXM97692
PRECURSOR-Z_c,MNXM725870_c,MNXM725870
PROTEIN-N-UBIQUITYL-LYSINE_c,MNXM6407_c,MNXM6407
Behenoyl-ACPs_c,MNXM10779_c,MNXM10779
S-ubiquitinyl-E3-independent-E2-Cys_c,MNXM1091449_c,MNXM1091449
CPD-16825_c,MNXM148577_c,MNXM148577
CPD-7221_c,MNXM14550_c,MNXM14550
CPD-330_c,MNXM1085_c,MNXM1085
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE_c,MNXM726465_c,MNXM726465
Mannosyl5-N-acetyl-glucosamine2-R_c,MNXM728413_c,MNXM728413
RNA-DNA-hybrids_c,MNXM741354_c,MNXM741354
THIAMINE-P_c,MNXM662_c,MNXM662
TYR-tRNAs_c,MNXM90668_c,MNXM90668
CPD-11665_c,MNXM21733_c,MNXM21733
L-1-GLYCERO-PHOSPHORYLCHOLINE_c,MNXM55314_c,MNXM55314
3OH-4P-OH-ALPHA-KETOBUTYRATE_c,MNXM1514_c,MNXM1514
3-OCTAPRENYL-4-HYDROXYBENZOATE_c,MNXM2195_c,MNXM2195
CPD-17814_c,MNXM147625_c,MNXM147625
CPD-710_c,MNXM45349_c,MNXM45349
Lysidine-tRNA-Ile2_c,MNXM732096_c,MNXM732096
CPD-14378_c,MNXM4697_c,MNXM4697
SUCC-S-ALD_c,MNXM172_c,MNXM172
COB-I-ALAMIN_e,MNXM91519_e,MNXM91519
2E-7Z-hexadeca-2-7-dienoyl-ACPs_c,MNXM147900_c,MNXM147900
PROPIONATE_c,MNXM356_c,MNXM356
CPD-369_c,MNXM3633_c,MNXM3633
Sulfhydryls_c,MNXM737763_c,MNXM737763
SULFO-CYSTEINE_c,MNXM732924_c,MNXM732924
11Z-icos-11-enoyl-ACPs_c,MNXM148796_c,MNXM148796
5Z-3-oxo-tetradec-5-enoyl-ACPs_c,MNXM147906_c,MNXM147906
DADP_c,MNXM1097067_c,MNXM1097067
CPD1F-96_c,MNXM732858_c,MNXM732858
AN-ALPHA-L-FUCOSIDE_c,MNXM8288_c,MNXM8288
1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA_c,MNXM726039_c,MNXM726039
B-KETOACYL-ACP_c,MNXM7099_c,MNXM7099
CPD-13377_c,MNXM9239_c,MNXM9239
EIF5A-HYPUSINE_c,MNXM17466_c,MNXM17466
CPD-17328_c,MNXM1512_c,MNXM1512
DIPHTINE_c,MNXM726848_c,MNXM726848
URATE_c,MNXM1105965_c,MNXM1105965
Amino-Acids-20_c,MNXM1075_c,MNXM1075
3-KETO-ADIPYL-COA_c,MNXM1264_c,MNXM1264
DIHYDROXY-ACETONE-PHOSPHATE_c,MNXM77_c,MNXM77
CPD1G-120_c,MNXM92226_c,MNXM92226
ALPHA-GLUCOSE_c,MNXM99_c,MNXM99
SER_c,MNXM725422_c,MNXM725422
CPD-4187_c,MNXM730454_c,MNXM730454
Pre-tRNA-3-prime-half-molecules_c,MNXM729271_c,MNXM729271
MANNITOL-1P_c,MNXM90126_c,MNXM90126
CPD0-2461_c,MNXM732019_c,MNXM732019
CPD-15972_c,MNXM90080_c,MNXM90080
DUMP_c,MNXM234_c,MNXM234
CPD-690_c,MNXM92085_c,MNXM92085
DMPBQ_c,MNXM4266_c,MNXM4266
Donor-H2_c,Donor-H2_c,Donor-H2_c
N-5S-5-AMINO-5-CARBOXYPENTANOYL-L-CY_c,MNXM1758_c,MNXM1758
CPD-696_c,MNXM4975_c,MNXM4975
CPD-6991_c,MNXM2889_c,MNXM2889
Pectin_c,MNXM147423_c,MNXM147423
CPD-694_c,MNXM91147_c,MNXM91147
cis-delta11-3-hydroxymelissoyl-ACPs_c,MNXM11072_c,MNXM11072
N-ACETYL-BETA-D-GLUCOSAMINYL-16-ETCETERA_c,MNXM1134535_c,MNXM1134535
5-L-GLUTAMYL-PEPTIDE_c,MNXM741392_c,MNXM741392
R-3-hydroxycerotoyl-ACPs_c,MNXM12843_c,MNXM12843
FARNESYL-PP_c,MNXM1103344_c,MNXM1103344
CPD-458_c,MNXM729788_c,MNXM729788
PREPHENATE_c,MNXM737312_c,MNXM737312
CPD-315_c,MNXM93290_c,MNXM93290
3Z-PHYTOCHROMOBILIN_c,MNXM31156_c,MNXM31156
PROTEIN-C-TERMINAL-S-ETC-CYSTEINE_c,MNXM741314_c,MNXM741314
L-THYROXINE_c,MNXM114114_c,MNXM114114
7-8-DIHYDROPTEROATE_c,MNXM965_c,MNXM965
E-PHENYLITACONYL-COA_c,MNXM737233_c,MNXM737233
CPD-15365_c,MNXM148210_c,MNXM148210
CPD-12199_c,MNXM163677_c,MNXM163677
E-_c,MNXM861_c,MNXM861
S-ALLANTOIN_c,MNXM91795_c,MNXM91795
3-Oxosteroids_c,MNXM734939_c,MNXM734939
CPD-15367_c,MNXM148096_c,MNXM148096
6Z8E10E14Z-5S12R-512-DIHYDROXYI_c,MNXM737151_c,MNXM737151
ACRYLATE_c,MNXM728199_c,MNXM728199
R-3-hydroxymyristoyl-ACPs_c,MNXM728566_c,MNXM728566
CPD-236_c,MNXM1103572_c,MNXM1103572
Holo-LYS2-peptidyl-carrier-protein_c,MNXM147419_c,MNXM147419
SORBITOL_c,MNXM736685_c,MNXM736685
HOMOGENTISATE_c,MNXM345_c,MNXM345
CPD-9965_c,MNXM3215_c,MNXM3215
L-LACTATE_c,MNXM179_c,MNXM179
1-PALMITOYLGLYCEROL-3-PHOSPHATE_c,MNXM732965_c,MNXM732965
UDP_c,MNXM1102128_c,MNXM1102128
3-oxo-decanoyl-ACPs_c,MNXM728593_c,MNXM728593
Pi_c,MNXM9_c,MNXM9
INOSITOL-1-4-5-TRISPHOSPHATE_c,MNXM1103971_c,MNXM1103971
DIACYLGLYCEROL_c,MNXM738562_c,MNXM738562
CPD-6262_c,MNXM726749_c,MNXM726749
2-KETOGLUTARATE_c,MNXM20_c,MNXM20
CPD-10794_c,MNXM5039_c,MNXM5039
CPD-592_c,MNXM1312_c,MNXM1312
ARACHIDONYL-COA_c,MNXM90403_c,MNXM90403
L-ARGININO-SUCCINATE_c,MNXM550_c,MNXM550
Malonyl-acp-methyl-ester_c,MNXM728993_c,MNXM728993
D-Galactosyl-12-diacyl-glycerols_c,MNXM741361_c,MNXM741361
GLT-tRNAs_c,MNXM90886_c,MNXM90886
ARACHIDONIC_ACID_c,MNXM1107770_c,MNXM1107770
GLUTAMATE-1-SEMIALDEHYDE_c,MNXM1453_c,MNXM1453
Butanoyl-ACPs_c,MNXM728733_c,MNXM728733
CPD-15895_c,MNXM729957_c,MNXM729957
CPD-2187_c,MNXM9557_c,MNXM9557
CPD-12481_c,MNXM8212_c,MNXM8212
PROTEIN-L-BETA-ISOSPARTATE-METHYL-ESTERS_c,MNXM21318_c,MNXM21318
Phosphoacetylglucosamine-Mutase_c,MNXM148909_c,MNXM148909
