Original ID,Raw MetaNetX ID,Final ID
C00001,MNXM03_,MNXM03
C00002,MNXM3_,MNXM3
C00003,MNXM8_,MNXM8
C00004,MNXM10_,MNXM10
C00005,MNXM738702_,MNXM738702
C00006,MNXM5_,MNXM5
C00007,MNXM735438_,MNXM735438
C00008,MNXM40333_,MNXM40333
C00009,MNXM9_,MNXM9
C00010,MNXM727276_,MNXM727276
C00011,MNXM13_,MNXM13
C00012,MNXM639_,MNXM639
C00013,MNXM11_,MNXM11
C00014,MNXM729304_,MNXM729304
C00015,MNXM1102128_,MNXM1102128
C00016,MNXM1105936_,MNXM1105936
C00017,MNXM733324_,MNXM733324
C00018,MNXM161_,MNXM161
C00019,MNXM16_,MNXM16
C00020,MNXM723601_,MNXM723601
C00021,MNXM19_,MNXM19
C00022,MNXM23_,MNXM23
C00024,MNXM1104266_,MNXM1104266
C00025,MNXM89557_,MNXM89557
C00026,MNXM20_,MNXM20
C00027,MNXM732621_,MNXM732621
C00028,MNXM35_,MNXM35
C00029,MNXM722710_,MNXM722710
C00030,MNXM1102419_,MNXM1102419
C00031,MNXM735623_,MNXM735623
C00032,MNXM249_,MNXM249
C00033,MNXM26_,MNXM26
C00035,MNXM30_,MNXM30
C00036,MNXM46_,MNXM46
C00037,MNXM29_,MNXM29
C00040,MNXM729255_,MNXM729255
C00041,MNXM32_,MNXM32
C00042,MNXM25_,MNXM25
C00043,MNXM736710_,MNXM736710
C00044,MNXM51_,MNXM51
C00045,MNXM735842_,MNXM735842
C00047,MNXM78_,MNXM78
C00048,MNXM69_,MNXM69
C00049,MNXM735837_,MNXM735837
C00051,MNXM490899_,MNXM490899
C00052,MNXM722709_,MNXM722709
C00053,MNXM49_,MNXM49
C00054,MNXM45_,MNXM45
C00055,MNXM31_,MNXM31
C00058,MNXM39_,MNXM39
C00059,MNXM58_,MNXM58
C00060,MNXM739622_,MNXM739622
C00061,MNXM119_,MNXM119
C00062,MNXM70_,MNXM70
C00063,MNXM1103718_,MNXM1103718
C00064,MNXM37_,MNXM37
C00065,MNXM725422_,MNXM725422
C00067,MNXM736417_,MNXM736417
C00068,MNXM256_,MNXM256
C00071,MNXM277_,MNXM277
C00072,MNXM129_,MNXM129
C00073,MNXM738804_,MNXM738804
C00074,MNXM73_,MNXM73
C00075,MNXM1101474_,MNXM1101474
C00077,MNXM741175_,MNXM741175
C00078,MNXM94_,MNXM94
C00079,MNXM741663_,MNXM741663
C00080,MNXM1_,MNXM1
C00081,MNXM423_,MNXM423
C00082,MNXM76_,MNXM76
C00083,MNXM1106093_,MNXM1106093
C00084,MNXM75_,MNXM75
C00085,MNXM89621_,MNXM89621
C00086,MNXM117_,MNXM117
C00087,MNXM89_,MNXM89
C00088,MNXM107_,MNXM107
C00089,MNXM1104180_,MNXM1104180
C00091,MNXM1104774_,MNXM1104774
C00092,MNXM160_,MNXM160
C00093,MNXM66_,MNXM66
C00094,MNXM105630_,MNXM105630
C00095,MNXM496892_,MNXM496892
C00096,MNXM731351_,MNXM731351
C00097,MNXM738067_,MNXM738067
C00099,MNXM144_,MNXM144
C00100,MNXM86_,MNXM86
C00101,MNXM89609_,MNXM89609
C00103,MNXM722711_,MNXM722711
C00104,MNXM1104559_,MNXM1104559
C00105,MNXM80_,MNXM80
C00106,MNXM158_,MNXM158
C00108,MNXM188_,MNXM188
C00109,MNXM159_,MNXM159
C00110,MNXM1107957_,MNXM1107957
C00111,MNXM77_,MNXM77
C00112,MNXM1102191_,MNXM1102191
C00114,MNXM90_,MNXM90
C00116,MNXM89612_,MNXM89612
C00117,MNXM1104056_,MNXM1104056
C00118,MNXM739945_,MNXM739945
C00119,MNXM91_,MNXM91
C00120,MNXM304_,MNXM304
C00121,MNXM242_,MNXM242
C00122,MNXM737339_,MNXM737339
C00123,MNXM1106762_,MNXM1106762
C00124,MNXM735266_,MNXM735266
C00125,MNXM731953_,MNXM731953
C00126,MNXM731962_,MNXM731962
C00127,MNXM151_,MNXM151
C00128,MNXM1103953_,MNXM1103953
C00129,MNXM83_,MNXM83
C00130,MNXM125_,MNXM125
C00131,MNXM286_,MNXM286
C00132,MNXM157_,MNXM157
C00134,MNXM102716_,MNXM102716
C00135,MNXM1107768_,MNXM1107768
C00136,MNXM233_,MNXM233
