Original ID,Raw MetaNetX ID,transport,Final ID
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN,MNXR114878,0,MNXR114878
1-PHOSPHATIDYLINOSITOL-KINASE-RXN,MNXR114879,0,MNXR114879
1.1.1.170-RXN,MNXR114883,0,MNXR114883
1.1.1.178-RXN,MNXR188214,0,MNXR188214
1.1.1.191-RXN,MNXR107662,0,MNXR107662
1.1.1.197-RXN,MNXR190768,0,MNXR190768
1.1.1.271-RXN,MNXR100108,0,MNXR100108
1.1.1.285-RXN,MNXR114894,0,MNXR114894
1.1.1.34-RXN,MNXR145221,0,MNXR145221
1.1.1.39-RXN,MNXR101443,0,MNXR101443
1.1.1.8-RXN,MNXR99876,0,MNXR99876
1.1.4.1-RXN,MNXR114904,0,MNXR114904
1.1.4.2-RXN,MNXR108219,0,MNXR108219
1.10.2.2-RXN,MNXR139901,1,Transport removed
1.11.1.12-RXN,MNXR114911,0,MNXR114911
1.11.1.15-RXN,MNXR114912,0,MNXR114912
1.14.11.18-RXN,MNXR102651,0,MNXR102651
1.14.11.2-RXN,MNXR114916,0,MNXR114916
1.14.13.70-RXN,MNXR145827,0,MNXR145827
1.14.13.8-RXN,MNXR108107,0,MNXR108107
1.14.19.1-RXN,MNXR153220,0,MNXR153220
1.14.21.6-RXN,MNXR149812,0,MNXR149812
1.14.99.33-RXN,MNXR114946,0,MNXR114946
1.17.99.3-RXN,MNXR114954,0,MNXR114954
1.18.1.2-RXN,MNXR99609,0,MNXR99609
1.2.1.27-RXN,MNXR114956,0,MNXR114956
1.2.4.4-RXN,MNXR114962,0,MNXR114962
1.3.1.20-RXN,MNXR106702,0,MNXR106702
1.3.7.4-RXN,MNXR148295,0,MNXR148295
1.5.1.15-RXN,MNXR114982,0,MNXR114982
1.5.1.20-RXN,MNXR191416,0,MNXR191416
1.5.5.1-RXN-YEAST,MNXR184771,0,MNXR184771
1.6.5.4-RXN,MNXR191864,0,MNXR191864
1.8.1.4-RXN,MNXR115001,0,MNXR115001
1.8.4.12-RXN,MNXR115003,0,MNXR115003
1.8.4.13-RXN,MNXR151916,0,MNXR151916
1.8.4.8-RXN,MNXR145905,0,MNXR145905
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN,MNXR108017,0,MNXR108017
13-BETA-GLUCAN-SYNTHASE-RXN,13-BETA-GLUCAN-SYNTHASE-RXN,0,13-BETA-GLUCAN-SYNTHASE-RXN
1TRANSKETO-RXN,MNXR152016,0,MNXR152016
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN,MNXR115019,0,MNXR115019
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN,MNXR148575,0,MNXR148575
2-DEHYDROPANTOATE-REDUCT-RXN,MNXR97779,0,MNXR97779
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN,MNXR115023,0,MNXR115023
2-ISOPROPYLMALATESYN-RXN,MNXR188277,0,MNXR188277
2-METHYLACYL-COA-DEHYDROGENASE-RXN,MNXR115026,0,MNXR115026
2-METHYLCITRATE-SYNTHASE-RXN,MNXR191987,0,MNXR191987
2-NITROPROPANE-DIOXYGENASE-RXN,MNXR191419,0,MNXR191419
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,MNXR115030,0,MNXR115030
2.1.1.100-RXN,MNXR115033,0,MNXR115033
2.1.1.103-RXN,MNXR105345,0,MNXR105345
2.1.1.124-RXN,MNXR115034,0,MNXR115034
2.1.1.125-RXN,MNXR115035,0,MNXR115035
2.1.1.126-RXN,MNXR115036,0,MNXR115036
2.1.1.127-RXN,MNXR115037,0,MNXR115037
2.1.1.135-RXN,MNXR149167,0,MNXR149167
2.1.1.137-RXN,MNXR149313,0,MNXR149313
2.1.1.138-RXN,MNXR149315,0,MNXR149315
2.1.1.143-RXN,MNXR149328,0,MNXR149328
2.1.1.145-RXN,MNXR109819,0,MNXR109819
2.1.1.17-RXN,MNXR115039,0,MNXR115039
2.1.1.34-RXN,MNXR115041,0,MNXR115041
2.1.1.5-RXN,MNXR96250,0,MNXR96250
2.1.1.57-RXN,MNXR115042,0,MNXR115042
2.1.1.60-RXN,MNXR115044,0,MNXR115044
2.1.1.62-RXN,MNXR151084,0,MNXR151084
2.1.1.63-RXN,MNXR115046,0,MNXR115046
2.1.1.64-RXN,MNXR115047,0,MNXR115047
2.1.1.77-RXN,MNXR115050,0,MNXR115050
2.1.1.85-RXN,MNXR115052,0,MNXR115052
2.3.1.158-RXN,MNXR149195,0,MNXR149195
2.3.1.168-RXN,MNXR115069,0,MNXR115069
2.3.1.177-RXN,MNXR113036,0,MNXR113036
2.3.1.179-RXN,MNXR115071,0,MNXR115071
2.3.1.180-RXN,MNXR145329,0,MNXR145329
2.3.1.45-RXN,MNXR107183,0,MNXR107183
2.3.1.75-RXN,MNXR115076,0,MNXR115076
2.3.1.78-RXN,MNXR115077,0,MNXR115077
2.3.1.97-RXN,MNXR151696,0,MNXR151696
2.3.2.13-RXN,MNXR115081,0,MNXR115081
2.3.2.15-RXN,2.3.2.15-RXN,0,2.3.2.15-RXN
2.4.1.101-RXN,MNXR115084,0,MNXR115084
2.4.1.109-RXN,MNXR115085,0,MNXR115085
2.4.1.117-RXN,MNXR152287,0,MNXR152287
2.4.1.119-RXN,MNXR115089,0,MNXR115089
2.4.1.122-RXN,MNXR115090,0,MNXR115090
2.4.1.134-RXN,MNXR115095,0,MNXR115095
2.4.1.141-RXN,MNXR115097,0,MNXR115097
2.4.1.142-RXN,MNXR115098,0,MNXR115098
2.4.1.145-RXN,MNXR152563,0,MNXR152563
2.4.1.174-RXN,MNXR115112,0,MNXR115112
2.4.1.207-RXN,MNXR115122,0,MNXR115122
2.4.1.214-RXN,MNXR143743,0,MNXR143743
2.4.1.221-RXN,MNXR115127,0,MNXR115127
2.4.1.223-RXN,MNXR149419,0,MNXR149419
2.4.1.229-RXN,MNXR115131,0,MNXR115131
2.4.1.232-RXN,MNXR115132,0,MNXR115132
2.4.1.244-RXN,MNXR115138,0,MNXR115138
2.4.1.43-RXN,2.4.1.43-RXN,0,2.4.1.43-RXN
2.4.1.45-RXN,MNXR148661,0,MNXR148661
2.4.1.46-RXN,MNXR147756,0,MNXR147756
2.4.1.47-RXN,MNXR192612,0,MNXR192612
2.4.1.65-RXN,MNXR148802,0,MNXR148802
2.4.1.68-RXN,MNXR143749,0,MNXR143749
2.4.1.82-RXN,MNXR152905,0,MNXR152905
2.4.1.83-RXN,MNXR115158,0,MNXR115158
2.4.2.26-RXN,MNXR149416,0,MNXR149416
2.4.2.31-RXN,MNXR146974,0,MNXR146974
2.4.99.3-RXN,MNXR148827,0,MNXR148827
2.4.99.4-RXN,MNXR115169,0,MNXR115169
2.5.1.19-RXN,MNXR103226,0,MNXR103226
2.5.1.39-RXN,MNXR110956,0,MNXR110956
2.5.1.46-RXN,MNXR149192,0,MNXR149192
2.5.1.64-RXN,MNXR146406,0,MNXR146406
2.7.1.127-RXN,MNXR188405,0,MNXR188405
2.7.1.133-RXN,MNXR188401,0,MNXR188401
2.7.1.134-RXN,MNXR100887,0,MNXR100887
2.7.1.139-RXN,MNXR188289,0,MNXR188289
2.7.1.140-RXN,MNXR100888,0,MNXR100888
2.7.1.148-RXN,MNXR153163,0,MNXR153163
2.7.1.150-RXN,MNXR146038,0,MNXR146038
2.7.1.151-RXN,MNXR95818,0,MNXR95818
2.7.1.152-RXN,MNXR188413,0,MNXR188413
2.7.1.160-RXN,MNXR115187,0,MNXR115187
2.7.1.68-RXN,MNXR146058,0,MNXR146058
2.7.1.90-RXN,MNXR102512,0,MNXR102512
2.7.10.1-RXN,MNXR147700,0,MNXR147700
2.7.11.10-RXN,MNXR115191,0,MNXR115191
2.7.11.15-RXN,MNXR115192,0,MNXR115192
2.7.11.16-RXN,MNXR115193,0,MNXR115193
2.7.11.19-RXN,MNXR115194,0,MNXR115194
2.7.11.2-RXN,MNXR115195,0,MNXR115195
2.7.11.20-RXN,MNXR115196,0,MNXR115196
2.7.11.24-RXN,MNXR115197,0,MNXR115197
2.7.11.25-RXN,MNXR115198,0,MNXR115198
2.7.11.30-RXN,MNXR115198~,0,MNXR115198
2.7.11.4-RXN,MNXR115202,0,MNXR115202
2.7.11.7-RXN,MNXR108600,0,MNXR108600
2.7.11.8-RXN,MNXR115204,0,MNXR115204
2.7.11.9-RXN,MNXR115205,0,MNXR115205
2.7.12.2-RXN,MNXR115207,0,MNXR115207
2.7.13.3-RXN,MNXR115210,0,MNXR115210
2.7.4.10-RXN,MNXR146896,0,MNXR146896
2.7.4.24-RXN,MNXR112453,0,MNXR112453
2.7.7.1-RXN,MNXR95841,0,MNXR95841
2.7.7.11-RXN,MNXR147326,0,MNXR147326
2.7.7.14-RXN,MNXR102498,0,MNXR102498
2.7.7.15-RXN,MNXR190808,0,MNXR190808
2.7.7.30-RXN,MNXR139952,0,MNXR139952
2.7.7.40-RXN,MNXR107827,0,MNXR107827
2.7.7.44-RXN,MNXR147282,0,MNXR147282
2.7.7.60-RXN,MNXR96807,0,MNXR96807
2.7.7.64-RXN,MNXR115216,0,MNXR115216
2.7.7.8-RXN,2.7.7.8-RXN,0,2.7.7.8-RXN
2.7.8.11-RXN,MNXR115218,0,MNXR115218
2.7.8.15-RXN,MNXR147130,0,MNXR147130
2.7.8.17-RXN,MNXR148638,0,MNXR148638
2.7.8.27-RXN,MNXR150472,0,MNXR150472
2.7.9.3-RXN,MNXR146402,0,MNXR146402
2.7.9.4-RXN,MNXR115221,0,MNXR115221
2.8.1.6-RXN,MNXR115224,0,MNXR115224
2.8.2.29-RXN,MNXR115225,0,MNXR115225
2OXOGLUTDECARB-RXN,MNXR115229,0,MNXR115229
2PGADEHYDRAT-RXN,MNXR97932,0,MNXR97932
2TRANSKETO-RXN,MNXR106812,0,MNXR106812
