Original ID,Raw MetaNetX ID,transport,Final ID
24_25VITD3Hm,MNXR94736,0,MNXR94736
13DAMPPOX,MNXR94687,0,MNXR94687
25VITD2Hm,MNXR94740,0,MNXR94740
2AMACHYD,MNXR94778,0,MNXR94778
2AMACSULT,MNXR94779,0,MNXR94779
2AMADPTm,MNXR94780,1,Transport removed
2OXOADOXm,MNXR190426,0,MNXR190426
2OXOADPTm,MNXR94819,1,Transport removed
34DHPHEt,MNXR94838,1,Transport removed
34DHXMANDACOX,MNXR94840,0,MNXR94840
3AIBtm,MNXR151409,1,Transport removed
3HAO,MNXR94889,0,MNXR94889
3MOXTYROX,MNXR94931,0,MNXR94931
42A12BOOX,MNXR94989,0,MNXR94989
4HOXPACDOX_NADP,MNXR95016,0,MNXR95016
4NPHSULT,MNXR190470,0,MNXR190470
5ADTSTSTERONESULT,MNXR95058,0,MNXR95058
5FTHFt2_1,MNXR154058,1,Transport removed
5HOXINOXDA,MNXR95082,0,MNXR95082
A4GALTc,MNXR95128,0,MNXR95128
A4GALTg,MNXR95128~,0,MNXR95128
A4GNT2g,MNXR95131,0,MNXR95131
ABO1g,MNXR95168,0,MNXR95168
ABO4g,MNXR95174,0,MNXR95174
ABO5g,MNXR95176,0,MNXR95176
ABO6g,MNXR95178,0,MNXR95178
ABO7g,MNXR95180,0,MNXR95180
ABO9g,MNXR95184,0,MNXR95184
ABTArm,MNXR95186,0,MNXR95186
ABUTt2rL,MNXR94994,1,Transport removed
ACACT10m,MNXR95195,0,MNXR95195
ACACT5p,MNXR95199,0,MNXR95199
ACACT8p,MNXR95204,0,MNXR95204
ACACT9p,MNXR95206,0,MNXR95206
ACCOALm,MNXR95222,0,MNXR95222
ACCOAtr,MNXR95224,1,Transport removed
ACETONEt2,MNXR95230,1,Transport removed
ACGAMK,MNXR190109,0,MNXR190109
ACGAMPM,MNXR95250,0,MNXR95250
ACHVESSEC_1,MNXR154202,1,Transport removed
ACNAMlt,MNXR152781,1,Transport removed
ACOAD10m,MNXR188589,0,MNXR188589
ACOAD8m,MNXR95318,0,MNXR95318
ACOAD9m,MNXR95319,0,MNXR95319
ACOAO7p,MNXR152839,0,MNXR152839
ACODA,MNXR95377,0,MNXR95377
ACONTm,MNXR191571,0,MNXR191571
ACP1_FMN,MNXR192636,0,MNXR192636
ACS2,MNXR95222~,0,MNXR95222
ADEt,MNXR95445,1,Transport removed
ADK3,MNXR190581,0,MNXR190581
ADK3m,MNXR190581~,0,MNXR190581
ADKd,MNXR95454,0,MNXR95454
ADMDC,MNXR95455,0,MNXR95455
ADNt4,MNXR95462,1,Transport removed
ADNtl,MNXR95460,1,Transport removed
ADNtm,MNXR95460~,1,Transport removed
ADPMAN,MNXR107661,0,MNXR107661
ADPRIBt,MNXR95481,1,Transport removed
ADRNCRNt,MNXR95487,1,Transport removed
ADSL2r,MNXR108966,0,MNXR108966
AG13T16g,MNXR95512,0,MNXR95512
AG13T18g,MNXR95514,0,MNXR95514
AG13T2g,MNXR95516,0,MNXR95516
AGMTm,MNXR95554,0,MNXR95554
AGTim,MNXR95618,0,MNXR95618
AHANDROSTANGLCte,MNXR95623,1,Transport removed
AHEXASE2ly,MNXR95627,0,MNXR95627
AIRCr,MNXR108735,0,MNXR108735
AKGMALtm,MNXR95659,1,Transport removed
AKGt4_3,MNXR95662,1,Transport removed
AKR1D,MNXR148981,0,MNXR148981
ALAGLYexR,MNXR95691,1,Transport removed
ALASERNaEx,MNXR95694,1,Transport removed
ALASm,MNXR95695,0,MNXR95695
ALATHRNaEx,MNXR95700,1,Transport removed
ALCD21_D,MNXR95713,0,MNXR95713
ALCD22_D,MNXR101008,0,MNXR101008
ALCD2y,MNXR95726,0,MNXR95726
ALDD20xm,MNXR95745,0,MNXR95745
ALDD2xm,MNXR95749,0,MNXR95749
ALDD2y,MNXR95750,0,MNXR95750
ALOX15,MNXR147376,0,MNXR147376
ALR2,MNXR95788,0,MNXR95788
ALR3,MNXR95789,0,MNXR95789
AMACR2p,MNXR95798,0,MNXR95798
AMACRp,MNXR95799,0,MNXR95799
AMETt2m,MNXR95811,1,Transport removed
AMPDA,MNXR95824,0,MNXR95824
AMY2e,MNXR95833,0,MNXR95833
ANDRSTRNGLCte,MNXR95836,1,Transport removed
APRTO2,MNXR95900,0,MNXR95900
ARABR,MNXR95911,0,MNXR95911
ARACHDt2,MNXR95918,1,Transport removed
ARGDCm,MNXR95940,0,MNXR95940
ARGLYSex,MNXR95944,1,Transport removed
ARGSS,MNXR138060,0,MNXR138060
ARGt4,MNXR95955,1,Transport removed
ASNCYSNaEx,MNXR96054,1,Transport removed
ASNGLNNaEx,MNXR96055,1,Transport removed
ASNNm,MNXR96056,0,MNXR96056
ASNS1,MNXR153021,0,MNXR153021
ASNt4,MNXR96057,1,Transport removed
