Original ID,Raw MetaNetX ID,transport,Final ID
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN,MNXR114878,0,MNXR114878
1-PHOSPHATIDYLINOSITOL-KINASE-RXN,MNXR114879,0,MNXR114879
1.1.1.141-RXN,MNXR107592,0,MNXR107592
1.1.1.170-RXN,MNXR114883,0,MNXR114883
1.1.1.178-RXN,MNXR188214,0,MNXR188214
1.1.1.181-RXN,MNXR148621,0,MNXR148621
1.1.1.188-RXN,MNXR189139,0,MNXR189139
1.1.1.191-RXN,MNXR107662,0,MNXR107662
1.1.1.196-RXN,MNXR107732,0,MNXR107732
1.1.1.197-RXN,MNXR190768,0,MNXR190768
1.1.1.210-RXN,MNXR192159,0,MNXR192159
1.1.1.212-RXN,MNXR147803,0,MNXR147803
1.1.1.263-RXN,MNXR109762,0,MNXR109762
1.1.1.271-RXN,MNXR100108,0,MNXR100108
1.1.1.34-RXN,MNXR145221,0,MNXR145221
1.1.1.39-RXN,MNXR101443,0,MNXR101443
1.1.1.64-RXN,MNXR100717,0,MNXR100717
1.1.1.8-RXN,MNXR99876,0,MNXR99876
1.1.4.1-RXN,MNXR114904,0,MNXR114904
1.1.4.2-RXN,MNXR108219,0,MNXR108219
1.10.2.2-RXN,MNXR139901,1,Transport removed
1.10.99.2-RXN,MNXR114910,0,MNXR114910
1.11.1.12-RXN,MNXR114911,0,MNXR114911
1.11.1.15-RXN,MNXR114912,0,MNXR114912
1.13.11.6-RXN,MNXR94889,0,MNXR94889
1.14.11.1-RXN,MNXR153089,0,MNXR153089
1.14.11.18-RXN,MNXR102651,0,MNXR102651
1.14.11.2-RXN,MNXR114916,0,MNXR114916
1.14.13.70-RXN,MNXR145827,0,MNXR145827
1.14.13.8-RXN,MNXR108107,0,MNXR108107
1.14.13.95-RXN,MNXR148989,0,MNXR148989
1.14.13.96-RXN,MNXR114936,0,MNXR114936
1.14.13.98-RXN,MNXR114937,0,MNXR114937
1.14.13.99-RXN,MNXR114938,0,MNXR114938
1.14.15.6-RXN,MNXR107693,0,MNXR107693
1.14.18.2-RXN,MNXR147159,0,MNXR147159
1.14.19.1-RXN,MNXR153220,0,MNXR153220
1.14.19.3-RXN,MNXR148379,0,MNXR148379
1.14.99.38-RXN,MNXR114950,0,MNXR114950
1.18.1.2-RXN,MNXR99609,0,MNXR99609
1.2.1.18-RXN,MNXR106650,0,MNXR106650
1.2.1.25-RXN,MNXR102173,0,MNXR102173
1.2.1.27-RXN,MNXR114956,0,MNXR114956
1.2.1.31-RXN,MNXR114957,0,MNXR114957
1.2.1.47-RXN,MNXR104876,0,MNXR104876
1.2.4.4-RXN,MNXR114962,0,MNXR114962
1.20.4.2-RXN,MNXR149308,0,MNXR149308
1.3.1.2-RXN,MNXR97814,0,MNXR97814
1.3.99.23-RXN,MNXR114978,0,MNXR114978
1.4.1.21-RXN,MNXR114980,0,MNXR114980
1.4.3.19-RXN,MNXR100352,0,MNXR100352
1.5.1.15-RXN,MNXR114982,0,MNXR114982
1.5.1.20-RXN,MNXR191416,0,MNXR191416
1.5.1.34-RXN,MNXR114985,0,MNXR114985
1.5.1.8-RXN,MNXR188818,0,MNXR188818
1.5.1.9-RXN,MNXR146787,0,MNXR146787
1.5.4.1-RXN,MNXR152019,0,MNXR152019
1.5.5.1-RXN-YEAST,MNXR184771,0,MNXR184771
1.6.99.12-RXN,MNXR114993,0,MNXR114993
1.8.1.4-RXN,MNXR115001,0,MNXR115001
1.8.4.12-RXN,MNXR115003,0,MNXR115003
1.8.5.1-RXN,MNXR191862,0,MNXR191862
1.8.98.2-RXN,MNXR115006,0,MNXR115006
1.97.1.11-RXN,MNXR115008,0,MNXR115008
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN,MNXR108017,0,MNXR108017
11DOCRTSLte,MNXR153754,1,Transport removed
11DOCRTSTRNte,MNXR153755,1,Transport removed
12DHCHOLabc,MNXR153761,1,Transport removed
12DHCHOLt,MNXR153762,1,Transport removed
12DHCHOLt2,MNXR153763,1,Transport removed
12HTACRhr,MNXR153766,0,MNXR153766
13DAMPPOX,MNXR94687,0,MNXR94687
13DAMPPte,MNXR156291,1,Transport removed
14HMDZALThr,MNXR153797,0,MNXR153797
14HMDZhr,MNXR153798,0,MNXR153798
15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN,MNXR115016,0,MNXR115016
15KPROSTGF2c,MNXR189137,0,MNXR189137
17AHPRGNLONEte,MNXR153828,1,Transport removed
17AHPRGSTRNte,MNXR153829,1,Transport removed
1A25DHVITD3te,MNXR142751,1,Transport removed
1HIBUP,1HIBUP,0,1HIBUP
1HMDGLUChr,MNXR153835,0,MNXR153835
1OHMDZhr,MNXR153836,0,MNXR153836
1TRANSKETO-RXN,MNXR152016,0,MNXR152016
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN,MNXR115019,0,MNXR115019
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN,MNXR115023,0,MNXR115023
2-KETO-ADIPATE-DEHYDROG-RXN,MNXR190426,0,MNXR190426
2-METHYLACYL-COA-DEHYDROGENASE-RXN,MNXR115026,0,MNXR115026
2-METHYLCITRATE-DEHYDRATASE-RXN,MNXR191985,0,MNXR191985
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,MNXR115030,0,MNXR115030
2.1.1.100-RXN,MNXR115033,0,MNXR115033
2.1.1.124-RXN,MNXR115034,0,MNXR115034
2.1.1.125-RXN,MNXR115035,0,MNXR115035
2.1.1.126-RXN,MNXR115036,0,MNXR115036
2.1.1.135-RXN,MNXR149167,0,MNXR149167
2.1.1.17-RXN,MNXR115039,0,MNXR115039
2.1.1.28-RXN,MNXR108607,0,MNXR108607
2.1.1.34-RXN,MNXR115041,0,MNXR115041
2.1.1.5-RXN,MNXR96250,0,MNXR96250
2.1.1.57-RXN,MNXR115042,0,MNXR115042
2.1.1.60-RXN,MNXR115044,0,MNXR115044
2.1.1.62-RXN,MNXR151084,0,MNXR151084
2.1.1.63-RXN,MNXR115046,0,MNXR115046
2.1.1.64-RXN,MNXR115047,0,MNXR115047
2.1.1.71-RXN,MNXR146261,0,MNXR146261
2.1.1.72-RXN,MNXR147937,0,MNXR147937
2.1.1.77-RXN,MNXR115050,0,MNXR115050
2.3.1.135-RXN,MNXR115064,0,MNXR115064
2.3.1.168-RXN,MNXR115069,0,MNXR115069
2.3.1.176-RXN,MNXR104297,0,MNXR104297
2.3.1.23-RXN,MNXR147231,0,MNXR147231
2.3.1.42-RXN,MNXR115072,0,MNXR115072
2.3.1.75-RXN,MNXR115076,0,MNXR115076
2.3.1.78-RXN,MNXR115077,0,MNXR115077
2.3.1.80-RXN,MNXR149045,0,MNXR149045
2.3.1.97-RXN,MNXR151696,0,MNXR151696
2.3.2.13-RXN,MNXR115081,0,MNXR115081
2.4.1.101-RXN,MNXR115084,0,MNXR115084
2.4.1.102-RXN,MNXR153247,0,MNXR153247
2.4.1.109-RXN,MNXR115085,0,MNXR115085
2.4.1.117-RXN,MNXR152287,0,MNXR152287
2.4.1.119-RXN,MNXR115089,0,MNXR115089
2.4.1.122-RXN,MNXR115090,0,MNXR115090
2.4.1.124-RXN,MNXR148793,0,MNXR148793
2.4.1.133-RXN,MNXR115094,0,MNXR115094
2.4.1.134-RXN,MNXR115095,0,MNXR115095
2.4.1.135-RXN,MNXR148839,0,MNXR148839
2.4.1.141-RXN,MNXR115097,0,MNXR115097
2.4.1.142-RXN,MNXR115098,0,MNXR115098
2.4.1.143-RXN,MNXR143739,0,MNXR143739
2.4.1.144-RXN,MNXR152564,0,MNXR152564
2.4.1.145-RXN,MNXR152563,0,MNXR152563
2.4.1.146-RXN,MNXR115101,0,MNXR115101
2.4.1.147-RXN,MNXR115102,0,MNXR115102
2.4.1.148-RXN,MNXR151425,0,MNXR151425
2.4.1.149-RXN,MNXR115103,0,MNXR115103
2.4.1.150-RXN,MNXR115104,0,MNXR115104
2.4.1.151-RXN,MNXR147828,0,MNXR147828
2.4.1.155-RXN,MNXR115106,0,MNXR115106
2.4.1.163-RXN,MNXR115110,0,MNXR115110
2.4.1.174-RXN,MNXR115112,0,MNXR115112
2.4.1.198-RXN,MNXR115118,0,MNXR115118
2.4.1.201-RXN,MNXR115120,0,MNXR115120
2.4.1.206-RXN,MNXR192164,0,MNXR192164
2.4.1.212-RXN,MNXR115124,0,MNXR115124
2.4.1.221-RXN,MNXR115127,0,MNXR115127
2.4.1.222-RXN,MNXR115128,0,MNXR115128
2.4.1.223-RXN,MNXR149419,0,MNXR149419
2.4.1.224-RXN,MNXR115129,0,MNXR115129
2.4.1.225-RXN,MNXR115130,0,MNXR115130
2.4.1.228-RXN,MNXR192133,0,MNXR192133
2.4.1.244-RXN,MNXR115138,0,MNXR115138
2.4.1.37-RXN,MNXR115144,0,MNXR115144
2.4.1.38-RXN,MNXR115145,0,MNXR115145
2.4.1.40-RXN,MNXR148723,0,MNXR148723
2.4.1.41-RXN,MNXR115148,0,MNXR115148
2.4.1.47-RXN,MNXR192612,0,MNXR192612
2.4.1.65-RXN,MNXR148802,0,MNXR148802
2.4.1.68-RXN,MNXR143749,0,MNXR143749
2.4.1.79-RXN,MNXR151090,0,MNXR151090
2.4.1.86-RXN,MNXR190179,0,MNXR190179
2.4.1.88-RXN,MNXR115159,0,MNXR115159
2.4.1.92-RXN,MNXR189973,0,MNXR189973
2.4.1.94-RXN,MNXR115161,0,MNXR115161
2.4.2.12-RXN,MNXR188493,0,MNXR188493
2.4.2.26-RXN,MNXR149416,0,MNXR149416
2.4.2.31-RXN,MNXR146974,0,MNXR146974
2.4.99.10-RXN,MNXR146476,0,MNXR146476
2.4.99.11-RXN,MNXR192137,0,MNXR192137
2.4.99.2-RXN,MNXR189989,0,MNXR189989
2.4.99.3-RXN,MNXR148827,0,MNXR148827
