Original ID,Raw MetaNetX ID,transport,Final ID
2AACLPPEAT161,MNXR153852,0,MNXR153852
2AGPE120tipp,MNXR94750,1,Transport removed
2AGPE141tipp,MNXR94752,1,Transport removed
2AGPE161tipp,MNXR94754,1,Transport removed
2AGPEAT120,MNXR94757,0,MNXR94757
2AGPEAT141,MNXR94759,0,MNXR94759
2AGPG120tipp,MNXR94764,1,Transport removed
2AGPG140tipp,MNXR94765,1,Transport removed
2AGPG180tipp,MNXR94769,1,Transport removed
2AGPG181tipp,MNXR94770,1,Transport removed
2AGPGAT120,MNXR94771,0,MNXR94771
2AGPGAT140,MNXR94772,0,MNXR94772
2AGPGAT180,MNXR94776,0,MNXR94776
2AGPGAT181,MNXR94777,0,MNXR94777
2DHPFALDL,MNXR94792,0,MNXR94792
2OBUT_Et,MNXR94814,1,Transport removed
34HPPOR,MNXR94843,0,MNXR94843
3NUCLE4,MNXR190454,0,MNXR190454
3PEPTabcpp,MNXR94970,1,Transport removed
3PEPTtex,MNXR94971,1,Transport removed
3SALATAi,MNXR147724,0,MNXR147724
4ABUTD,MNXR94991,0,MNXR94991
4HALDD,MNXR95004,0,MNXR95004
4HBZt3pp,MNXR124001,1,Transport removed
4HPRO_LT_Et,MNXR95022,1,Transport removed
A4PA,MNXR113544,0,MNXR113544
AABTN,MNXR95134,0,MNXR95134
AACOAR_syn,MNXR95135,0,MNXR95135
AACPS2,MNXR95141,0,MNXR95141
AACPS4,MNXR95143,0,MNXR95143
AACPS7,MNXR95146,0,MNXR95146
AALDH,MNXR154175,0,MNXR154175
AASAD3,MNXR151528,0,MNXR151528
AATA,MNXR95160,0,MNXR95160
ABTt,MNXR152735,1,Transport removed
ABUTD,MNXR95191,0,MNXR95191
ABUTt2r,MNXR94994,1,Transport removed
ACACT1r,MNXR190494,0,MNXR190494
ACACt2,MNXR95196,1,Transport removed
ACALDt,MNXR95212,1,Transport removed
ACCOAC,MNXR95220,0,MNXR95220
ACCOAL,MNXR95221,0,MNXR95221
ACGAMK,MNXR190109,0,MNXR190109
ACGAMPM,MNXR95250,0,MNXR95250
ACGS,MNXR190531,0,MNXR190531
ACITL,MNXR190533,0,MNXR190533
ACM6PH,MNXR151354,0,MNXR151354
ACNAMt2,MNXR152781,1,Transport removed
ACNML,MNXR190119,0,MNXR190119
ACOAD2,MNXR151211,0,MNXR151211
ACOAD6f,MNXR192391,0,MNXR192391
ACODA,MNXR95377,0,MNXR95377
ACONT,MNXR191571,0,MNXR191571
ACOXT,MNXR189251,0,MNXR189251
ACP1_FMN,MNXR192636,0,MNXR192636
ACPS,MNXR95402,0,MNXR95402
ACS,MNXR190571,0,MNXR190571
ACS2,MNXR95222,0,MNXR95222
ACSPHAC100,MNXR154381,0,MNXR154381
ACSPHAC101,MNXR154382,0,MNXR154382
ACSPHAC120,MNXR154383,0,MNXR154383
ACSPHAC121,MNXR154384,0,MNXR154384
ACSPHAC121d6,MNXR154385,0,MNXR154385
ACSPHAC140,MNXR154386,0,MNXR154386
ACSPHAC141,MNXR154387,0,MNXR154387
ACSPHAC141d5,MNXR154388,0,MNXR154388
ACSPHAC142,MNXR154389,0,MNXR154389
ACSPHAC160,MNXR154390,0,MNXR154390
ACSPHAC40,MNXR154391,0,MNXR154391
ACSPHAC50,MNXR154392,0,MNXR154392
ACSPHAC60,MNXR154393,0,MNXR154393
ACSPHAC70,MNXR154394,0,MNXR154394
ACSPHAC80,MNXR154395,0,MNXR154395
ACSPHAC90,MNXR154396,0,MNXR154396
ACSPHACP100,MNXR154397,0,MNXR154397
ACSPHACP40,MNXR154398,0,MNXR154398
ACSPHACP50,MNXR154399,0,MNXR154399
ACSPHACP60,MNXR154400,0,MNXR154400
ACSPHACP70,MNXR154401,0,MNXR154401
ACSPHACP80,MNXR154402,0,MNXR154402
ACSPHACP90,MNXR154403,0,MNXR154403
ACSPHACT40,MNXR154404,0,MNXR154404
ACSPHACT60,MNXR154405,0,MNXR154405
ACTD,MNXR95419,0,MNXR95419
ACTD2,MNXR190573,0,MNXR190573
ACTD_1,MNXR95419~,0,MNXR95419
ACTDa,MNXR95421,0,MNXR95421
ACTNabc,MNXR95424,1,Transport removed
ACt2r,MNXR95431,1,Transport removed
ADA,MNXR95432,0,MNXR95432
ADADir,MNXR95433,0,MNXR95433
ADCL,MNXR95436,0,MNXR95436
ADK1,MNXR95450,0,MNXR95450
ADK2,MNXR95451,0,MNXR95451
ADK3,MNXR190581,0,MNXR190581
ADK4,MNXR95453,0,MNXR95453
ADKd,MNXR95454,0,MNXR95454
ADMDC,MNXR95455,0,MNXR95455
ADNCYC,MNXR95444,0,MNXR95444
ADNK1,MNXR190585,0,MNXR190585
ADNUC,MNXR190591,0,MNXR190591
ADPRDP,MNXR152012,0,MNXR152012
ADPT,MNXR190607,0,MNXR190607
ADSELK,MNXR95491,0,MNXR95491
ADSELR,MNXR154426,0,MNXR154426
ADSK,MNXR95159,0,MNXR95159
ADSL1r,MNXR190613,0,MNXR190613
ADSL2r,MNXR108966,0,MNXR108966
ADSS,MNXR192666,0,MNXR192666
AGDC,MNXR95528,0,MNXR95528
AGM3PApp,MNXR192675,0,MNXR192675
AGMH,MNXR190619,0,MNXR190619
AGMt2pp,MNXR95555,1,Transport removed
AGPAT120,MNXR95558,0,MNXR95558
AGPAT141,MNXR95560,0,MNXR95560
