Original ID,Raw MetaNetX ID,transport,Final ID
12DGR141tipp,MNXR94677,1,Transport removed
12PPDRDH,MNXR94682,0,MNXR94682
12PPDRte,MNXR94683,1,Transport removed
1P2CBXLR,MNXR106884,0,MNXR106884
2AGPE120tipp,MNXR94750,1,Transport removed
2AGPE141tipp,MNXR94752,1,Transport removed
2AGPE161tipp,MNXR94754,1,Transport removed
2AGPEAT120,MNXR94757,0,MNXR94757
2AGPEAT141,MNXR94759,0,MNXR94759
2AGPEAT161,MNXR94761,0,MNXR94761
2AGPG120tipp,MNXR94764,1,Transport removed
2AGPG140tipp,MNXR94765,1,Transport removed
2AGPG141tipp,MNXR94766,1,Transport removed
2AGPG160tipp,MNXR94767,1,Transport removed
2AGPG161tipp,MNXR94768,1,Transport removed
2AGPG180tipp,MNXR94769,1,Transport removed
2AGPG181tipp,MNXR94770,1,Transport removed
2AGPGAT120,MNXR94771,0,MNXR94771
2AGPGAT140,MNXR94772,0,MNXR94772
2AGPGAT141,MNXR94773,0,MNXR94773
2AGPGAT160,MNXR94774,0,MNXR94774
2AGPGAT161,MNXR94775,0,MNXR94775
2AGPGAT180,MNXR94776,0,MNXR94776
2AGPGAT181,MNXR94777,0,MNXR94777
2DHPFALDL,MNXR94792,0,MNXR94792
2OBUT_Et,MNXR94814,1,Transport removed
2PGLYCt6,MNXR94822,1,Transport removed
34DHPHEtex,MNXR94838,1,Transport removed
34DHPHEtpp,MNXR153899,1,Transport removed
34HPPOR,MNXR94843,0,MNXR94843
3GMPtex_1,MNXR94868,1,Transport removed
3HLYTCL,MNXR94896,0,MNXR94896
3NUCLE4,MNXR190454,0,MNXR190454
3PEPTabcpp,MNXR94970,1,Transport removed
3SALATAi,MNXR147724,0,MNXR147724
4ABUTD,MNXR94991,0,MNXR94991
4HALDD,MNXR95004,0,MNXR95004
4HBZt3pp,MNXR124001,1,Transport removed
4HPRO_LT_Et,MNXR95022,1,Transport removed
4HTHRK,MNXR95023,0,MNXR95023
4HTHRS,MNXR95024,0,MNXR95024
4PCPpp,MNXR95049,0,MNXR95049
4PEPTtex,MNXR95051,1,Transport removed
A4GA,MNXR113545,0,MNXR113545
AABTN,MNXR95134,0,MNXR95134
AACOAT,MNXR95136,0,MNXR95136
AACPS4,MNXR95143,0,MNXR95143
AACPS7,MNXR95146,0,MNXR95146
AACTOOR,MNXR95149,0,MNXR95149
AASAD3,MNXR151528,0,MNXR151528
AATA,MNXR95160,0,MNXR95160
ABTt,MNXR152735,1,Transport removed
ABUTD,MNXR95191,0,MNXR95191
ABUTt2r,MNXR94994,1,Transport removed
ACACT1r,MNXR190494,0,MNXR190494
ACACT7r,MNXR190505,0,MNXR190505
ACACT8r,MNXR95204,0,MNXR95204
ACACt2,MNXR95196,1,Transport removed
ACALDt,MNXR95212,1,Transport removed
ACCOAC,MNXR95220,0,MNXR95220
ACCOAL,MNXR95221,0,MNXR95221
ACGAM1P_Et,MNXR152755,1,Transport removed
ACGAMK,MNXR190109,0,MNXR190109
ACGAMPM,MNXR95250,0,MNXR95250
ACGS,MNXR190531,0,MNXR190531
ACITL,MNXR190533,0,MNXR190533
ACLS,MNXR146819,0,MNXR146819
ACM6PH,MNXR151354,0,MNXR151354
ACMUMptspp,MNXR152778,1,Transport removed
ACMUMtex,MNXR152780,1,Transport removed
ACNML,MNXR190119,0,MNXR190119
ACNPLYS,MNXR190121,0,MNXR190121
ACOAD2,MNXR151211,0,MNXR151211
ACOAD24f,MNXR154244,0,MNXR154244
ACOAD5,MNXR95313,0,MNXR95313
ACOAD6,MNXR95315,0,MNXR95315
ACODA,MNXR95377,0,MNXR95377
ACONT,MNXR191571,0,MNXR191571
ACOXT,MNXR189251,0,MNXR189251
ACP1_FMN,MNXR192636,0,MNXR192636
ACPS,MNXR95402,0,MNXR95402
ACS,MNXR190571,0,MNXR190571
ACS2,MNXR95222,0,MNXR95222
ACSPHAC100,MNXR154381,0,MNXR154381
ACSPHAC101,MNXR154382,0,MNXR154382
ACSPHAC121,MNXR154384,0,MNXR154384
ACSPHAC121d6,MNXR154385,0,MNXR154385
ACSPHAC141d5,MNXR154388,0,MNXR154388
ACSPHAC142,MNXR154389,0,MNXR154389
ACSPHAC160,MNXR154390,0,MNXR154390
ACSPHAC50,MNXR154392,0,MNXR154392
ACSPHAC70,MNXR154394,0,MNXR154394
ACSPHAC80,MNXR154395,0,MNXR154395
ACSPHAC90,MNXR154396,0,MNXR154396
ACSPHACP100,MNXR154397,0,MNXR154397
ACSPHACP40,MNXR154398,0,MNXR154398
ACSPHACP50,MNXR154399,0,MNXR154399
ACSPHACP60,MNXR154400,0,MNXR154400
ACSPHACP70,MNXR154401,0,MNXR154401
ACSPHACP80,MNXR154402,0,MNXR154402
ACSPHACP90,MNXR154403,0,MNXR154403
ACSPHACT40,MNXR154404,0,MNXR154404
ACSPHACT60,MNXR154405,0,MNXR154405
ACTD2,MNXR190573,0,MNXR190573
ACTD_1,MNXR95419,0,MNXR95419
ACt2r,MNXR95431,1,Transport removed
ADA,MNXR95432,0,MNXR95432
ADADir,MNXR95433,0,MNXR95433
ADCL,MNXR95436,0,MNXR95436
ADK1,MNXR95450,0,MNXR95450
ADK3,MNXR190581,0,MNXR190581
ADKd,MNXR95454,0,MNXR95454
ADMDC,MNXR95455,0,MNXR95455
ADNCYC,MNXR95444,0,MNXR95444
ADNK1,MNXR190585,0,MNXR190585
ADPGLC,MNXR152881,0,MNXR152881
ADPRDP,MNXR152012,0,MNXR152012
ADPT,MNXR190607,0,MNXR190607
ADSELK,MNXR95491,0,MNXR95491
ADSELR,MNXR154426,0,MNXR154426
ADSK,MNXR95159,0,MNXR95159
ADSL1r,MNXR190613,0,MNXR190613
ADSL2r,MNXR108966,0,MNXR108966
ADSS,MNXR192666,0,MNXR192666
AGDC,MNXR95528,0,MNXR95528
AHCi,MNXR95492,0,MNXR95492
AICART,MNXR190625,0,MNXR190625
AIRCr,MNXR108735,0,MNXR108735
ALAALAr,MNXR190644,0,MNXR190644
ALAGLUabcpp,MNXR174968,1,Transport removed
ALAR,MNXR95693,0,MNXR95693
ALAS,MNXR95695,0,MNXR95695
ALATA_D2,MNXR95697,0,MNXR95697
ALATA_L,MNXR95698,0,MNXR95698
ALAt2r,MNXR95706,1,Transport removed
ALAt4,MNXR95692,1,Transport removed
ALCD1,MNXR95708,0,MNXR95708
ALCD19y,MNXR95711,0,MNXR95711
ALCD22_L,MNXR152942,0,MNXR152942
ALCD2x,MNXR95725,0,MNXR95725
ALCD2y,MNXR95726,0,MNXR95726
ALDD1,MNXR95732,0,MNXR95732
ALDD19xr,MNXR152946,0,MNXR152946
ALDD20x,MNXR95745,0,MNXR95745
ALDD2x,MNXR95749,0,MNXR95749
ALDD2y,MNXR95750,0,MNXR95750
ALDD3,MNXR95751,0,MNXR95751
ALDD4,MNXR95755,0,MNXR95755
ALKP,MNXR95764,0,MNXR95764
ALLTAMH,MNXR95768,0,MNXR95768
ALLTN,MNXR95769,0,MNXR95769
ALOX,MNXR154592,0,MNXR154592
ALR2,MNXR95788,0,MNXR95788
ALR3,MNXR95789,0,MNXR95789
AMANAPEr,MNXR95804,0,MNXR95804
AMANK,MNXR95805,0,MNXR95805
AMID2,MNXR95813,0,MNXR95813
AMMQT8_2,MNXR190674,0,MNXR190674
AMPTASECG,MNXR95828,0,MNXR95828
AOBUTDs,MNXR95851,0,MNXR95851
APRTO2,MNXR95900,0,MNXR95900
ARABR,MNXR95911,0,MNXR95911
ARAB_Lt,MNXR95913,1,Transport removed
ARAI,MNXR153009,0,MNXR153009
ARD,MNXR97494,0,MNXR97494
ARGN,MNXR95945,0,MNXR95945
ARGORNt3,MNXR95946,1,Transport removed
ARGORNt7,MNXR95946~,1,Transport removed
ARGSL,MNXR138059,0,MNXR138059
ARGSS,MNXR138060,0,MNXR138060
ARGabcpp,MNXR95952,1,Transport removed
ARGt5r,MNXR95951,1,Transport removed
ARGtex,MNXR95951~,1,Transport removed
ASNN,MNXR96056,0,MNXR96056
ASNS1,MNXR153021,0,MNXR153021
ASNt4,MNXR96057,1,Transport removed
ASP1DC,MNXR96077,0,MNXR96077
ASPA2,MNXR147724~,0,MNXR147724
ASPCT,MNXR96080,0,MNXR96080
ASPO1,MNXR96088,0,MNXR96088
ASPO4,MNXR96092,0,MNXR96092
ASPTA,MNXR192556,0,MNXR192556
ATPHs,MNXR190722,0,MNXR190722
ATPPRT,MNXR96132,0,MNXR96132
BCOALIG,MNXR153095,0,MNXR153095
BDH,MNXR96232,0,MNXR96232
BETALDHx,MNXR96237,0,MNXR96237
BETALDHy,MNXR96238,0,MNXR96238
BILIVERDtex,MNXR154866,1,Transport removed
BILIVERDtpp,MNXR154866~,1,Transport removed
BPNT,MNXR96321,0,MNXR96321
BPNT2,MNXR190738,0,MNXR190738
BSCT,MNXR96324,0,MNXR96324
BTCOARx,MNXR96320,0,MNXR96320
BTNTe,MNXR134811,1,Transport removed
BTNt2i,MNXR134811~,1,Transport removed
BUP2,MNXR96346,0,MNXR96346
BUPN,MNXR96347,0,MNXR96347
BUTCT,MNXR96217,0,MNXR96217
BZt,MNXR96370,1,Transport removed
C4HP,MNXR108106,0,MNXR108106
CA2abc,MNXR96434,1,Transport removed
CA2abc1,MNXR96435,1,Transport removed
CA2abcpp,MNXR96434~,1,Transport removed
CA2tex,MNXR96436,1,Transport removed
CAATPS,MNXR96438,1,Transport removed
CARNabcpp,MNXR155042,1,Transport removed
CARNtex,MNXR96453,1,Transport removed
CAT,MNXR96455,0,MNXR96455
CBPS,MNXR96485,0,MNXR96485
CD2t3pp,MNXR96497,1,Transport removed
CD2t4pp,MNXR96498,1,Transport removed
CD2tpp,MNXR96499,1,Transport removed
CGLYtex,MNXR96658,1,Transport removed
CHLP,MNXR96685,0,MNXR96685
CHOLD,MNXR96697,0,MNXR96697
CHOLK,MNXR96702,0,MNXR96702
CHOLSH,MNXR96704,0,MNXR96704
CHOLSabc_1,MNXR96706,1,Transport removed
CHORS_1,MNXR96709,0,MNXR96709
CITL,MNXR96731,0,MNXR96731
CITt11,MNXR96741,1,Transport removed
CITt12,MNXR96742,1,Transport removed
CLPNS160,MNXR153211,0,MNXR153211
CLS,MNXR155303,0,MNXR155303
CMCBTFL,MNXR96798,1,Transport removed
CMCBTFU,MNXR96799,0,MNXR96799
CMPDAi,MNXR190814,0,MNXR190814
CO2FO,MNXR155316,0,MNXR155316
CO2t,MNXR96810,1,Transport removed
CO2tex,MNXR96810~,1,Transport removed
CO2tpp,MNXR96810~~,1,Transport removed
COAt,MNXR96815,1,Transport removed
COBALT2abcpp,MNXR96819,1,Transport removed
COBALT2t3pp,MNXR96820,1,Transport removed
COBALT2tpp,MNXR96821,1,Transport removed
COBALTt4pp,MNXR96822,1,Transport removed
COBALTt5,MNXR96821~,1,Transport removed
COabc,MNXR96862,1,Transport removed
COt,MNXR153251,1,Transport removed
COt_1,MNXR153251~,1,Transport removed
CPK1,MNXR96876,0,MNXR96876
CPPPGO,MNXR96880,0,MNXR96880
CSND,MNXR155392,0,MNXR155392
CSNt2,MNXR96929,1,Transport removed
CTECOAI6,MNXR96940,0,MNXR96940
CTECOAI7,MNXR96941,0,MNXR96941
CTECOAI8,MNXR96942,0,MNXR96942
CTPS1,MNXR190281,0,MNXR190281
CTPS2,MNXR190850,0,MNXR190850
CU2t4pp,MNXR155401,1,Transport removed
CU2tpp,MNXR96951,1,Transport removed
CYANt2pp,MNXR155407,1,Transport removed
CYANtex,MNXR96957,1,Transport removed
CYOO2pp,MNXR138189,1,Transport removed
CYSDSF,MNXR138195,0,MNXR138195
CYSTA,MNXR96990,0,MNXR96990
CYSTGL,MNXR97012,0,MNXR97012
CYSTS,MNXR97021,0,MNXR97021
CYSabcpp,MNXR151386,1,Transport removed
CYStec,MNXR97029,1,Transport removed
CYStex,MNXR97029~,1,Transport removed
CYTBO3_4pp,MNXR97036,1,Transport removed
CYTD,MNXR190856,0,MNXR190856
CYTDK1,MNXR190860,0,MNXR190860
CYTDK2,MNXR190862,0,MNXR190862
CYTDt4,MNXR190868,1,Transport removed
CYTK1,MNXR97047,0,MNXR97047
CYTK11_1,MNXR190904,0,MNXR190904
CYTK2,MNXR97054,0,MNXR97054
CYTMQOR3pp,MNXR138201,1,Transport removed
CYTOM,MNXR97062,0,MNXR97062
Clt,MNXR96797,1,Transport removed
Cotpp,MNXR153251~~,1,Transport removed
Cuabc,MNXR96952,1,Transport removed
Cut1,MNXR96950,1,Transport removed
D3AIBT,MNXR107287,0,MNXR107287
DAAD7,MNXR155467,0,MNXR155467
DACHpts,MNXR155471,1,Transport removed
DADA,MNXR97076,0,MNXR97076
DADK,MNXR96117,0,MNXR96117
DADNK,MNXR97079,0,MNXR97079
DAGK141,MNXR97093,0,MNXR97093
DALAabcpp,MNXR94970~,1,Transport removed
DALAt2r,MNXR97135,1,Transport removed
DATPHs,MNXR97174,0,MNXR97174
DC6PH,MNXR96671,0,MNXR96671
DCAtex,MNXR97181,1,Transport removed
DCMPDA,MNXR97185,0,MNXR97185
DCTPD,MNXR97201,0,MNXR97201
DCYTD,MNXR97207,0,MNXR97207
DDPGA,MNXR97219,0,MNXR97219
DESAT18,MNXR136040,0,MNXR136040
DGK1,MNXR153326,0,MNXR153326
DHAK,MNXR97361,0,MNXR97361
DHFR,MNXR97401,0,MNXR97401
DHFS,MNXR140043,0,MNXR140043
DHNAOT,MNXR97406,0,MNXR97406
DHNPA,MNXR151401,0,MNXR151401
DHORDi,MNXR97426,0,MNXR97426
DHORTS,MNXR97428,0,MNXR97428
DHPM1,MNXR97432,0,MNXR97432
DHPM2,MNXR97433,0,MNXR97433
DHPS,MNXR140386,0,MNXR140386
DHQTi,MNXR153359,0,MNXR153359
DHR_1,MNXR97428~,0,MNXR97428
DMATT,MNXR97512,0,MNXR97512
DNADDP,MNXR190936,0,MNXR190936
DNMPPA,MNXR151449,0,MNXR151449
DNTPPA,MNXR97680,0,MNXR97680
DOPAtex,MNXR97758,1,Transport removed
DOPAtpp,MNXR97758~,1,Transport removed
DPCOAK,MNXR190944,0,MNXR190944
DPMVD,MNXR153392,0,MNXR153392
DPPS,MNXR190212,0,MNXR190212
DPR,MNXR97779,0,MNXR97779
DRBK,MNXR97781,0,MNXR97781
DRIBt2,MNXR97784,1,Transport removed
DRPA,MNXR97787,0,MNXR97787
DTMPK,MNXR97804,0,MNXR97804
DURAD,MNXR97814,0,MNXR97814
DURAD2,MNXR97815,0,MNXR97815
DURIK1,MNXR97817,0,MNXR97817
DURIPP,MNXR153408,0,MNXR153408
DUTPDP,MNXR97822,0,MNXR97822
D_LACt2,MNXR97838,1,Transport removed
ECOAH1,MNXR97883,0,MNXR97883
ECOAH2,MNXR153431,0,MNXR153431
ECOAH3,MNXR97888,0,MNXR97888
ECOAH4,MNXR153436,0,MNXR153436
ECOAH5,MNXR97890,0,MNXR97890
ECOAH6,MNXR97891,0,MNXR97891
ECOAH7,MNXR192055,0,MNXR192055
ECOAH8,MNXR190956,0,MNXR190956
EHGLAT,MNXR97908,0,MNXR97908
ENO,MNXR97932,0,MNXR97932
ENOPH,MNXR100653,0,MNXR100653
ETHAt,MNXR97974,1,Transport removed
F1PP,MNXR150328,0,MNXR150328
F6PP,MNXR99077,0,MNXR99077
FA120ACPHi,MNXR99087,0,MNXR99087
FA141ACPHi,MNXR99093,0,MNXR99093
FA161ACPHi,MNXR99103,0,MNXR99103
FACOAE100,MNXR99127,0,MNXR99127
FACOAE120,MNXR99128,0,MNXR99128
FACOAE140,MNXR190984,0,MNXR190984
FACOAE141,MNXR99130,0,MNXR99130
FACOAE160,MNXR190986,0,MNXR190986
FACOAE161,MNXR151192,0,MNXR151192
FACOAE180,MNXR190988,0,MNXR190988
FACOAE181,MNXR180668,0,MNXR180668
FACOAE1829Z12Z,MNXR153474,0,MNXR153474
FACOAE60,MNXR99139,0,MNXR99139
FACOAE80,MNXR190994,0,MNXR190994
FACOAL100t2pp,MNXR190998,1,Transport removed
FACOAL120t2pp,MNXR99144,1,Transport removed
FACOAL140,MNXR191004,0,MNXR191004
FACOAL140t2pp,MNXR99147,1,Transport removed
FACOAL141,MNXR99148,0,MNXR99148
FACOAL141t2pp,MNXR99149,1,Transport removed
FACOAL160,MNXR191008,0,MNXR191008
FACOAL160t2pp,MNXR99155,1,Transport removed
FACOAL161,MNXR99156,0,MNXR99156
FACOAL161t2pp,MNXR99158,1,Transport removed
FACOAL180,MNXR99164,0,MNXR99164
FACOAL180t2pp,MNXR99167,1,Transport removed
FACOAL181,MNXR99172,0,MNXR99172
FACOAL1812,MNXR99170,0,MNXR99170
FACOAL181t2pp,MNXR123407,1,Transport removed
FACOAL1821,MNXR99175,0,MNXR99175
FACOAL60t2pp,MNXR99204,1,Transport removed
FACOAL80,MNXR191037,0,MNXR191037
FACOAL80t2pp,MNXR191039,1,Transport removed
FADRx2,MNXR192652,0,MNXR192652
FALDH2,MNXR105463,0,MNXR105463
FALDtpp,MNXR99238,1,Transport removed
FALDtpp2,MNXR157313,1,Transport removed
FALGTHLs,MNXR105462,0,MNXR105462
FAS100,MNXR99382,0,MNXR99382
FAS120,MNXR191049,0,MNXR191049
FAS140,MNXR99390,0,MNXR99390
FAS160,MNXR99396,0,MNXR99396
FAS180,MNXR191061,0,MNXR191061
FAS181,MNXR99406,0,MNXR99406
FAS80_L,MNXR99416,0,MNXR99416
FASC141ACP,MNXR99417,0,MNXR99417
FBA,MNXR153517,0,MNXR153517
FBA2,MNXR99460,0,MNXR99460
FBP,MNXR99465,0,MNXR99465
FCLPA,MNXR99470,0,MNXR99470
FCLT_2,MNXR99471,0,MNXR99471
FDH,MNXR99475,0,MNXR99475
FE2Gabcpp,MNXR191079,1,Transport removed
FE2abc,MNXR99504,1,Transport removed
FE2abcpp,MNXR99504~,1,Transport removed
FE2t,MNXR99505,1,Transport removed
FE2t4pp,MNXR99507,1,Transport removed
FE2tex,MNXR99505~,1,Transport removed
FE2tpp,MNXR99505~~,1,Transport removed
FE3PYOVDL2,MNXR157445,0,MNXR157445
FE3t,MNXR99522,1,Transport removed
FEROc,MNXR99561,0,MNXR99561
FMNAT,MNXR95501,0,MNXR95501
FMNRx2,MNXR192655,0,MNXR192655
FOLR2,MNXR97401~,0,MNXR97401
FOLt,MNXR105408,1,Transport removed
FRTT,MNXR188115,0,MNXR188115
FTCD,MNXR192431,0,MNXR192431
FTHFCL,MNXR153621,0,MNXR153621
FTHFLi,MNXR99672,0,MNXR99672
FUCpts,MNXR157477,1,Transport removed
FUM,MNXR99705,0,MNXR99705
FUMAC,MNXR99706,0,MNXR99706
G1SAT,MNXR99850,0,MNXR99850
G3PCabcpp,MNXR99873,1,Transport removed
G3PCtex,MNXR99872,1,Transport removed
G3PD,MNXR192665,0,MNXR192665
G3PD1ir,MNXR99876,0,MNXR99876
G3PEabcpp,MNXR153696,1,Transport removed
G3PEtex,MNXR153698,1,Transport removed
G3PGabcpp,MNXR99885,1,Transport removed
G3PGtex,MNXR99886,1,Transport removed
G6PDA,MNXR99905,0,MNXR99905
G6PDH2r,MNXR99907,0,MNXR99907
GALCTD,MNXR153725,0,MNXR153725
GALCT_D_Et,MNXR153731,1,Transport removed
GALKr,MNXR99985,0,MNXR99985
GALM1,MNXR138465,0,MNXR138465
GALM2,MNXR99987,0,MNXR99987
GALT,MNXR144933,0,MNXR144933
GALUi,MNXR152166,0,MNXR152166
GALt2_3,MNXR178648,1,Transport removed
GAPD,MNXR100040,0,MNXR100040
GARFT,MNXR165700,0,MNXR165700
GCALDD,MNXR100060,0,MNXR100060
GCDH,MNXR190384,0,MNXR190384
GCVHADPr,MNXR157533,0,MNXR157533
GCVHRADPr,MNXR157537,0,MNXR157537
GDPMNH,MNXR100091,0,MNXR100091
GDPMNP,MNXR100092,0,MNXR100092
GF6PTA,MNXR144996,0,MNXR144996
GGLUCT2,MNXR152170,0,MNXR152170
GHMT2r,MNXR188117,0,MNXR188117
GK1,MNXR188119,0,MNXR188119
GK2,MNXR100145,0,MNXR100145
GLCRAL,MNXR100219,0,MNXR100219
GLCURt2rpp,MNXR100235,1,Transport removed
GLCURtex,MNXR100235~,1,Transport removed
GLCt2,MNXR100238,1,Transport removed
GLGC,MNXR145051,0,MNXR145051
GLNS,MNXR100024,0,MNXR100024
GLNabc,MNXR100258,1,Transport removed
GLUABUTt7,MNXR100276,1,Transport removed
