Original ID,Raw MetaNetX ID,transport,Final ID
12DGR140tipp,MNXR94676,1,Transport removed
12DGR160tipp,MNXR94678,1,Transport removed
12DGR180tipp,MNXR94680,1,Transport removed
12DGR181tipp,MNXR94681,1,Transport removed
23CTI2,MNXR153841,0,MNXR153841
23CTI3,MNXR153842,0,MNXR153842
24DECOAR,MNXR153844,0,MNXR153844
25DKGLCNt2rpp,MNXR153845,1,Transport removed
25DKGLCNtex,MNXR156319,1,Transport removed
26DAHtex,MNXR94741,1,Transport removed
2AACLPGT161,MNXR153848,0,MNXR153848
2ACLMM,MNXR153855,0,MNXR153855
2AGPA120tipp,MNXR94743,1,Transport removed
2AGPA141tipp,MNXR94745,1,Transport removed
2AGPA161tipp,MNXR94747,1,Transport removed
2AGPE120tipp,MNXR94750,1,Transport removed
2AGPE141tipp,MNXR94752,1,Transport removed
2AGPE161tipp,MNXR94754,1,Transport removed
2AGPEAT120,MNXR94757,0,MNXR94757
2AGPEAT141,MNXR94759,0,MNXR94759
2AGPEAT161,MNXR94761,0,MNXR94761
2AGPG120tipp,MNXR94764,1,Transport removed
2AGPG140tipp,MNXR94765,1,Transport removed
2AGPG141tipp,MNXR94766,1,Transport removed
2AGPG160tipp,MNXR94767,1,Transport removed
2AGPG161tipp,MNXR94768,1,Transport removed
2AGPG180tipp,MNXR94769,1,Transport removed
2AGPG181tipp,MNXR94770,1,Transport removed
2AGPGAT140,MNXR94772,0,MNXR94772
2AGPGAT141,MNXR94773,0,MNXR94773
2AGPGAT160,MNXR94774,0,MNXR94774
2AGPGAT180,MNXR94776,0,MNXR94776
2AGPGAT181,MNXR94777,0,MNXR94777
2DGLCNRx,MNXR94783,0,MNXR94783
2DGLCNRy,MNXR94784,0,MNXR94784
2DHGLCNkt_tpp,MNXR94790,1,Transport removed
2MAHMP,MNXR94806,0,MNXR94806
2S6HCCi,MNXR134758,0,MNXR134758
34HPPOR,MNXR94843,0,MNXR94843
34dhpactex,MNXR94848,1,Transport removed
3HBCOAHL,MNXR151623,0,MNXR151623
3PEPTabcpp,MNXR94970,1,Transport removed
3PEPTtex,MNXR94971,1,Transport removed
3SALATAi,MNXR147724,0,MNXR147724
42A12BOOXpp,MNXR94989,0,MNXR94989
4ABUTD,MNXR94991,0,MNXR94991
4HALDD,MNXR95004,0,MNXR95004
4HBAt,MNXR95007,1,Transport removed
4PEPTabcpp,MNXR95050,1,Transport removed
4PEPTtex,MNXR95051,1,Transport removed
5DGLCNR,MNXR95065,0,MNXR95065
5DKGR,MNXR107148,0,MNXR107148
AAAN,MNXR154160,0,MNXR154160
AABTN,MNXR95134,0,MNXR95134
AACOAT,MNXR95136,0,MNXR95136
AACPS2,MNXR95141,0,MNXR95141
AACPS4,MNXR95143,0,MNXR95143
AACPS7,MNXR95146,0,MNXR95146
AACTOOR,MNXR95149,0,MNXR95149
AASAD3,MNXR151528,0,MNXR151528
AATA,MNXR95160,0,MNXR95160
ABTA,MNXR95186,0,MNXR95186
ABTt,MNXR152735,1,Transport removed
ABUTD,MNXR95191,0,MNXR95191
ABUTt2r,MNXR94994,1,Transport removed
ACALD,MNXR190509,0,MNXR190509
ACALDt,MNXR95212,1,Transport removed
ACCOAC,MNXR95220,0,MNXR95220
ACCOAL,MNXR95221,0,MNXR95221
ACGAMPM,MNXR95250,0,MNXR95250
ACGK,MNXR95256,0,MNXR95256
ACGS,MNXR190531,0,MNXR190531
ACHBS,MNXR151587,0,MNXR151587
ACITL,MNXR190533,0,MNXR190533
ACLS,MNXR146819,0,MNXR146819
ACNAMt2,MNXR152781,1,Transport removed
ACNML,MNXR190119,0,MNXR190119
ACOAD20,MNXR95309,0,MNXR95309
ACOAD23f,MNXR154243,0,MNXR154243
ACOAD26f,MNXR154246,0,MNXR154246
ACOAD27f,MNXR154247,0,MNXR154247
ACOAD28f,MNXR154248,0,MNXR154248
ACOAD31f,MNXR154251,0,MNXR154251
ACOAD32f,MNXR154252,0,MNXR154252
ACOAD33f,MNXR154253,0,MNXR154253
ACOAD34f,MNXR154254,0,MNXR154254
ACOAD4f,MNXR95298,0,MNXR95298
ACOAD5f,MNXR192389,0,MNXR192389
ACOAD6f,MNXR192391,0,MNXR192391
ACOAD8f,MNXR152825,0,MNXR152825
ACOADH2,MNXR190547,0,MNXR190547
ACODA,MNXR95377,0,MNXR95377
ACONT,MNXR191571,0,MNXR191571
ACOTA,MNXR95388,0,MNXR95388
ACP1_FMN,MNXR192636,0,MNXR192636
ACPPAT120,MNXR95395,0,MNXR95395
ACPPAT141,MNXR95397,0,MNXR95397
ACPPAT161,MNXR95399,0,MNXR95399
ACPS,MNXR95402,0,MNXR95402
ACS,MNXR190571,0,MNXR190571
ACS2,MNXR95222,0,MNXR95222
ACTD,MNXR95419,0,MNXR95419
ACTD2,MNXR190573,0,MNXR190573
ACTD_1,MNXR95419~,0,MNXR95419
ACTDa,MNXR95421,0,MNXR95421
ACTNabc,MNXR95424,1,Transport removed
ACTNabc1,MNXR95425,1,Transport removed
ACt2r,MNXR95431,1,Transport removed
ADA,MNXR95432,0,MNXR95432
ADADir,MNXR95433,0,MNXR95433
ADCL,MNXR95436,0,MNXR95436
ADCPS2,MNXR190579,0,MNXR190579
ADCS,MNXR95440,0,MNXR95440
ADK1,MNXR95450,0,MNXR95450
ADK2_1,MNXR95451,0,MNXR95451
ADK3,MNXR190581,0,MNXR190581
ADK4,MNXR95453,0,MNXR95453
ADMDC,MNXR95455,0,MNXR95455
ADNCYC,MNXR95444,0,MNXR95444
ADNK1,MNXR190585,0,MNXR190585
ADNUC,MNXR190591,0,MNXR190591
ADOCBIAH,MNXR152875,0,MNXR152875
ADPRDP,MNXR152012,0,MNXR152012
ADPT,MNXR190607,0,MNXR190607
ADSELK,MNXR95491,0,MNXR95491
ADSELR,MNXR154426,0,MNXR154426
ADSELR2,MNXR154427,0,MNXR154427
ADSK,MNXR95159,0,MNXR95159
ADSL1r,MNXR190613,0,MNXR190613
ADSL2r,MNXR108966,0,MNXR108966
ADSS,MNXR192666,0,MNXR192666
AGMDA,MNXR95529,0,MNXR95529
AGMT,MNXR95554,0,MNXR95554
AGPAT120,MNXR95558,0,MNXR95558
AGPAT141,MNXR95560,0,MNXR95560
AGPAT161,MNXR95564,0,MNXR95564
AGPOP,MNXR95613,0,MNXR95613
AGPR,MNXR95530,0,MNXR95530
AHCi,MNXR95492,0,MNXR95492
AHSERL2,MNXR95631,0,MNXR95631
AI2abcpp,MNXR124018,1,Transport removed
AI2tpp,MNXR124017,1,Transport removed
AICART,MNXR190625,0,MNXR190625
AIRC2,MNXR95644,0,MNXR95644
AIRC3,MNXR95645,0,MNXR95645
AIRCr,MNXR108735,0,MNXR108735
AKGDH,MNXR95655,0,MNXR95655
ALAALAr,MNXR190644,0,MNXR190644
ALAHISabcpp,MNXR154537,1,Transport removed
ALAHIStex,MNXR154538,1,Transport removed
ALALEUabcpp,MNXR154540,1,Transport removed
ALALEUtex,MNXR154542,1,Transport removed
ALAR,MNXR95693,0,MNXR95693
ALATA_D2,MNXR95697,0,MNXR95697
ALATA_L,MNXR95698,0,MNXR95698
ALATA_L2,MNXR95699,0,MNXR95699
ALATHRabcpp,MNXR154545,1,Transport removed
ALATHRtex,MNXR154546,1,Transport removed
ALATRPabcpp,MNXR154548,1,Transport removed
ALATRPtex,MNXR154549,1,Transport removed
ALAt2r,MNXR95706,1,Transport removed
ALAt4,MNXR95692,1,Transport removed
ALCD1,MNXR95708,0,MNXR95708
ALCD19,MNXR95709,0,MNXR95709
ALCD19y,MNXR95711,0,MNXR95711
ALCD22_L,MNXR152942,0,MNXR152942
ALCD2ir,MNXR95725,0,MNXR95725
ALCD2x,MNXR95725~,0,MNXR95725
ALCD2y,MNXR95726,0,MNXR95726
ALDD1,MNXR95732,0,MNXR95732
ALDD19xr,MNXR152946,0,MNXR152946
ALDD20x,MNXR95745,0,MNXR95745
ALDD2x,MNXR95749,0,MNXR95749
ALDD2y,MNXR95750,0,MNXR95750
ALDD3,MNXR95751,0,MNXR95751
ALDD4,MNXR95755,0,MNXR95755
ALKP,MNXR95764,0,MNXR95764
ALLTAHr,MNXR95767,0,MNXR95767
ALLTN,MNXR95769,0,MNXR95769
ALR2,MNXR95788,0,MNXR95788
ALR3,MNXR95789,0,MNXR95789
AMANAPEr,MNXR95804,0,MNXR95804
AMANK,MNXR95805,0,MNXR95805
AMMQT8_2,MNXR190674,0,MNXR190674
AMPN,MNXR95827,0,MNXR95827
