Original ID,Raw MetaNetX ID,transport,Final ID
R02108__extr,R02108__extr,0,R02108__extr
TO0000304_cytmem__cytmem,TO0000304_cytmem__cytmem,1,Transport removed
TI3001509_vacmem__vacmem,TI3001509_vacmem__vacmem,1,Transport removed
R04224__cytop,R04224__cytop,0,R04224__cytop
R00658__cytop,R00658__cytop,0,R00658__cytop
TO0012844_cytmem__cytmem,TO0012844_cytmem__cytmem,1,Transport removed
R01652__cytop,R01652__cytop,0,R01652__cytop
TI1000069_vacmem__vacmem,TI1000069_vacmem__vacmem,1,Transport removed
TO0000567_cytmem__cytmem,TO0000567_cytmem__cytmem,1,Transport removed
TI1000060_cytmem__cytmem,TI1000060_cytmem__cytmem,1,Transport removed
TO0000870_cytmem__cytmem,TO0000870_cytmem__cytmem,1,Transport removed
R00243__mito,R00243__mito,0,R00243__mito
TI3001167_cytmem__cytmem,TI3001167_cytmem__cytmem,1,Transport removed
R02596__cytop,R02596__cytop,0,R02596__cytop
TO1000924_cytmem__cytmem,TO1000924_cytmem__cytmem,1,Transport removed
R00021__cytop,R00021__cytop,0,R00021__cytop
R11143__mito,R11143__mito,0,R11143__mito
TO0000274_cytmem__cytmem,TO0000274_cytmem__cytmem,1,Transport removed
R03362__cytop,R03362__cytop,0,R03362__cytop
TO3000977_cytmem__cytmem,TO3000977_cytmem__cytmem,1,Transport removed
R00995__nucl,R00995__nucl,0,R00995__nucl
R01965__cytop,R01965__cytop,0,R01965__cytop
TZ3100164_cytmem__cytmem,TZ3100164_cytmem__cytmem,1,Transport removed
R07889__cytop,R07889__cytop,0,R07889__cytop
R02731__cytop,R02731__cytop,0,R02731__cytop
R04922__cytop,R04922__cytop,0,R04922__cytop
TO0002357_cytmem__cytmem,TO0002357_cytmem__cytmem,1,Transport removed
R06728__cytop,R06728__cytop,0,R06728__cytop
TO1000035_cytmem__cytmem,TO1000035_cytmem__cytmem,1,Transport removed
R00102__extr,R00102__extr,0,R00102__extr
R00010__cytop,R00010__cytop,0,R00010__cytop
R05168__cytop,R05168__cytop,0,R05168__cytop
R04911__cytop,R04911__cytop,0,R04911__cytop
R09421__cytop,R09421__cytop,0,R09421__cytop
R02418__mito,R02418__mito,0,R02418__mito
R00848__mito,R00848__mito,0,R00848__mito
R02585__cytop,R02585__cytop,0,R02585__cytop
R11574__cytop,R11574__cytop,0,R11574__cytop
R08306__nucl,R08306__nucl,0,R08306__nucl
R08174__cytop,R08174__cytop,0,R08174__cytop
R09410__cytop,R09410__cytop,0,R09410__cytop
R10950__extr,R10950__extr,0,R10950__extr
R00623__nucl,R00623__nucl,0,R00623__nucl
TO0000586_vacmem__vacmem,TO0000586_vacmem__vacmem,1,Transport removed
R02503__cytop,R02503__cytop,0,R02503__cytop
TI3001172_cytmem__cytmem,TI3001172_cytmem__cytmem,1,Transport removed
R07084__cytop,R07084__cytop,0,R07084__cytop
TO0000156_cytmem__cytmem,TO0000156_cytmem__cytmem,1,Transport removed
R07109__cytop,R07109__cytop,0,R07109__cytop
R10630__cytop,R10630__cytop,0,R10630__cytop
R08183__mito,R08183__mito,0,R08183__mito
R02849__cytop,R02849__cytop,0,R02849__cytop
TI0000853_cytmem__cytmem,TI0000853_cytmem__cytmem,1,Transport removed
R04355__mito,R04355__mito,0,R04355__mito
R05844__cytop,R05844__cytop,0,R05844__cytop
R02585__extr,R02585__extr,0,R02585__extr
TI3000293_cytmem__cytmem,TI3000293_cytmem__cytmem,1,Transport removed
TO0000417_cytmem__cytmem,TO0000417_cytmem__cytmem,1,Transport removed
TZ5900018_cytmem__cytmem,TZ5900018_cytmem__cytmem,1,Transport removed
R02055__cytop,R02055__cytop,0,R02055__cytop
R01759__cytop,R01759__cytop,0,R01759__cytop
R04586__extr,R04586__extr,0,R04586__extr
R10039__cytop,R10039__cytop,0,R10039__cytop
TI3000663_mito__mito,TI3000663_mito__mito,1,Transport removed
R07950__cytop,R07950__cytop,0,R07950__cytop
R01710__mito,R01710__mito,0,R01710__mito
R00057__vacu,R00057__vacu,0,R00057__vacu
R05050__cytop,R05050__cytop,0,R05050__cytop
R00177__cytop,R00177__cytop,0,R00177__cytop
R04311__pero,R04311__pero,0,R04311__pero
R05616__cytop,R05616__cytop,0,R05616__cytop
TO0002803_cytmem__cytmem,TO0002803_cytmem__cytmem,1,Transport removed
R00188__cytop,R00188__cytop,0,R00188__cytop
TI0011953_cytmem__cytmem,TI0011953_cytmem__cytmem,1,Transport removed
R01495__cytop,R01495__cytop,0,R01495__cytop
R12686__cytop,R12686__cytop,0,R12686__cytop
TO3000943_mito__mito,TO3000943_mito__mito,1,Transport removed
TO3001805_cytmem__cytmem,TO3001805_cytmem__cytmem,1,Transport removed
R07324__nucl,R07324__nucl,0,R07324__nucl
TZ3100208_vacmem__vacmem,TZ3100208_vacmem__vacmem,1,Transport removed
R04566__mito,R04566__mito,0,R04566__mito
R02250__cytop,R02250__cytop,0,R02250__cytop
TR0001242_cytmem__cytmem,TR0001242_cytmem__cytmem,1,Transport removed
R00085__extr,R00085__extr,0,R00085__extr
R07109__nucl,R07109__nucl,0,R07109__nucl
TI3000175_cytmem__cytmem,TI3000175_cytmem__cytmem,1,Transport removed
R08633__cytop,R08633__cytop,0,R08633__cytop
R01954__cytop,R01954__cytop,0,R01954__cytop
R08391__cytop,R08391__cytop,0,R08391__cytop
R01388__extr,R01388__extr,0,R01388__extr
TI3000667_cytmem__cytmem,TI3000667_cytmem__cytmem,1,Transport removed
TO0011455_cytmem__cytmem,TO0011455_cytmem__cytmem,1,Transport removed
R11563__cytop,R11563__cytop,0,R11563__cytop
R04743__cytop,R04743__cytop,0,R04743__cytop
R11029__nucl,R11029__nucl,0,R11029__nucl
R11201__cytop,R11201__cytop,0,R11201__cytop
R03530__cytop,R03530__cytop,0,R03530__cytop
R04754__cytop,R04754__cytop,0,R04754__cytop
R04471__extr,R04471__extr,0,R04471__extr
TI1000291_cytmem__cytmem,TI1000291_cytmem__cytmem,1,Transport removed
R08262__extr,R08262__extr,0,R08262__extr
TO0001608_vacmem__vacmem,TO0001608_vacmem__vacmem,1,Transport removed
R02323__extr,R02323__extr,0,R02323__extr
R09432__cytop,R09432__cytop,0,R09432__cytop
R09443__cytop,R09443__cytop,0,R09443__cytop
R03219__cytop,R03219__cytop,0,R03219__cytop
R01350__cytop,R01350__cytop,0,R01350__cytop
