Original ID,Raw MetaNetX ID,transport,Final ID
R02108__extr,R02108__extr,0,R02108__extr
R11895__nucl,R11895__nucl,0,R11895__nucl
R07113__mito,R07113__mito,0,R07113__mito
TI0000848_cytmem__cytmem,TI0000848_cytmem__cytmem,1,Transport removed
R00658__cytop,R00658__cytop,0,R00658__cytop
R01652__cytop,R01652__cytop,0,R01652__cytop
TO0014521_cytmem__cytmem,TO0014521_cytmem__cytmem,1,Transport removed
TO0012844_cytmem__cytmem,TO0012844_cytmem__cytmem,1,Transport removed
TO0003268_cytmem__cytmem,TO0003268_cytmem__cytmem,1,Transport removed
TI1000060_cytmem__cytmem,TI1000060_cytmem__cytmem,1,Transport removed
R01326__nucl,R01326__nucl,0,R01326__nucl
TO1900130_cytmem__cytmem,TO1900130_cytmem__cytmem,1,Transport removed
R02849__mito,R02849__mito,0,R02849__mito
R11104__pero,R11104__pero,0,R11104__pero
R01976__cytop,R01976__cytop,0,R01976__cytop
R11143__mito,R11143__mito,0,R11143__mito
R00390__nucl,R00390__nucl,0,R00390__nucl
TO3000977_cytmem__cytmem,TO3000977_cytmem__cytmem,1,Transport removed
TO0000909_vacmem__vacmem,TO0000909_vacmem__vacmem,1,Transport removed
R04922__cytop,R04922__cytop,0,R04922__cytop
TO0002357_cytmem__cytmem,TO0002357_cytmem__cytmem,1,Transport removed
R04507__vacu,R04507__vacu,0,R04507__vacu
R00010__cytop,R00010__cytop,0,R00010__cytop
TI0001759_cytmem__cytmem,TI0001759_cytmem__cytmem,1,Transport removed
R05168__cytop,R05168__cytop,0,R05168__cytop
R02418__mito,R02418__mito,0,R02418__mito
R00848__mito,R00848__mito,0,R00848__mito
R02391__nucl,R02391__nucl,0,R02391__nucl
R02585__cytop,R02585__cytop,0,R02585__cytop
R09410__cytop,R09410__cytop,0,R09410__cytop
TO0000586_vacmem__vacmem,TO0000586_vacmem__vacmem,1,Transport removed
R10630__cytop,R10630__cytop,0,R10630__cytop
TI0012174_vacmem__vacmem,TI0012174_vacmem__vacmem,1,Transport removed
TI3000293_cytmem__cytmem,TI3000293_cytmem__cytmem,1,Transport removed
R02055__cytop,R02055__cytop,0,R02055__cytop
R04586__extr,R04586__extr,0,R04586__extr
R09506__cytop,R09506__cytop,0,R09506__cytop
R10039__cytop,R10039__cytop,0,R10039__cytop
R08600__extr,R08600__extr,0,R08600__extr
