Original ID,Raw MetaNetX ID,transport,Final ID
R06945__cytop,R06945__cytop,0,R06945__cytop
R12917__cytop,R12917__cytop,0,R12917__cytop
R00562__cytop,R00562__cytop,0,R00562__cytop
TI3001509_vacmem__vacmem,TI3001509_vacmem__vacmem,1,Transport removed
R03601__nucl,R03601__nucl,0,R03601__nucl
R04224__cytop,R04224__cytop,0,R04224__cytop
R00658__cytop,R00658__cytop,0,R00658__cytop
R07113__mito,R07113__mito,0,R07113__mito
R01652__cytop,R01652__cytop,0,R01652__cytop
R00243__mito,R00243__mito,0,R00243__mito
R09676__chlo,R09676__chlo,0,R09676__chlo
R12188__chlo,R12188__chlo,0,R12188__chlo
R03681__vacu,R03681__vacu,0,R03681__vacu
R11044__cytop,R11044__cytop,0,R11044__cytop
TO1000190_cytmem__cytmem,TO1000190_cytmem__cytmem,1,Transport removed
R02596__cytop,R02596__cytop,0,R02596__cytop
R00790__cytop,R00790__cytop,0,R00790__cytop
R00021__cytop,R00021__cytop,0,R00021__cytop
R03362__cytop,R03362__cytop,0,R03362__cytop
R12988__cytop,R12988__cytop,0,R12988__cytop
TO3000977_cytmem__cytmem,TO3000977_cytmem__cytmem,1,Transport removed
R00995__nucl,R00995__nucl,0,R00995__nucl
TO3000908_vacmem__vacmem,TO3000908_vacmem__vacmem,1,Transport removed
R04537__cytop,R04537__cytop,0,R04537__cytop
R07889__cytop,R07889__cytop,0,R07889__cytop
R02731__cytop,R02731__cytop,0,R02731__cytop
R04922__cytop,R04922__cytop,0,R04922__cytop
R00162__vacu,R00162__vacu,0,R00162__vacu
TZ2900038_vacmem__vacmem,TZ2900038_vacmem__vacmem,1,Transport removed
R00010__cytop,R00010__cytop,0,R00010__cytop
R09421__cytop,R09421__cytop,0,R09421__cytop
R11228__chlo,R11228__chlo,0,R11228__chlo
R02585__cytop,R02585__cytop,0,R02585__cytop
R11574__cytop,R11574__cytop,0,R11574__cytop
R08174__cytop,R08174__cytop,0,R08174__cytop
R06875__vacu,R06875__vacu,0,R06875__vacu
R02503__cytop,R02503__cytop,0,R02503__cytop
TO2903035_cytmem__cytmem,TO2903035_cytmem__cytmem,1,Transport removed
R07084__cytop,R07084__cytop,0,R07084__cytop
TO0000025_vacmem__vacmem,TO0000025_vacmem__vacmem,1,Transport removed
R07003__mito,R07003__mito,0,R07003__mito
R05844__cytop,R05844__cytop,0,R05844__cytop
R04355__mito,R04355__mito,0,R04355__mito
TI3000293_cytmem__cytmem,TI3000293_cytmem__cytmem,1,Transport removed
TZ5900018_cytmem__cytmem,TZ5900018_cytmem__cytmem,1,Transport removed
R01289__cytop,R01289__cytop,0,R01289__cytop
R10039__cytop,R10039__cytop,0,R10039__cytop
R07950__cytop,R07950__cytop,0,R07950__cytop
R01710__mito,R01710__mito,0,R01710__mito
R05050__cytop,R05050__cytop,0,R05050__cytop
R05616__cytop,R05616__cytop,0,R05616__cytop
R00177__cytop,R00177__cytop,0,R00177__cytop
TO3000467_vacmem__vacmem,TO3000467_vacmem__vacmem,1,Transport removed
R00188__cytop,R00188__cytop,0,R00188__cytop
R02283__cytop,R02283__cytop,0,R02283__cytop
R12686__cytop,R12686__cytop,0,R12686__cytop
R00502__cytop,R00502__cytop,0,R00502__cytop
TO3001805_cytmem__cytmem,TO3001805_cytmem__cytmem,1,Transport removed
R06131__mito,R06131__mito,0,R06131__mito
R07324__nucl,R07324__nucl,0,R07324__nucl
R02272__cytop,R02272__cytop,0,R02272__cytop
R02250__cytop,R02250__cytop,0,R02250__cytop
R07263__cytop,R07263__cytop,0,R07263__cytop
TI3000175_cytmem__cytmem,TI3000175_cytmem__cytmem,1,Transport removed
R08633__cytop,R08633__cytop,0,R08633__cytop
R01954__cytop,R01954__cytop,0,R01954__cytop
R03626__cytop,R03626__cytop,0,R03626__cytop
R08391__cytop,R08391__cytop,0,R08391__cytop
R04787__cytop,R04787__cytop,0,R04787__cytop
TI3000667_cytmem__cytmem,TI3000667_cytmem__cytmem,1,Transport removed
R01157__mito,R01157__mito,0,R01157__mito
R05553__cytop,R05553__cytop,0,R05553__cytop
R04743__cytop,R04743__cytop,0,R04743__cytop
R11029__nucl,R11029__nucl,0,R11029__nucl
R01218__cytop,R01218__cytop,0,R01218__cytop
R00269__chlo,R00269__chlo,0,R00269__chlo
R03530__cytop,R03530__cytop,0,R03530__cytop
R04150__cytop,R04150__cytop,0,R04150__cytop
R04754__cytop,R04754__cytop,0,R04754__cytop
R09432__cytop,R09432__cytop,0,R09432__cytop
R11659__cytop,R11659__cytop,0,R11659__cytop
TO3000986_plas__plas,TO3000986_plas__plas,1,Transport removed
R03219__cytop,R03219__cytop,0,R03219__cytop
R01229__cytop,R01229__cytop,0,R01229__cytop
R05284__extr,R05284__extr,0,R05284__extr
R03238__chlo,R03238__chlo,0,R03238__chlo
TO0000242_cytmem__cytmem,TO0000242_cytmem__cytmem,1,Transport removed
R00573__cytop,R00573__cytop,0,R00573__cytop
R01641__cytop,R01641__cytop,0,R01641__cytop
R00106__cytop,R00106__cytop,0,R00106__cytop
R04007__cytop,R04007__cytop,0,R04007__cytop
R10484__cytop,R10484__cytop,0,R10484__cytop
R00551__cytop,R00551__cytop,0,R00551__cytop
TI3000288_cytmem__cytmem,TI3000288_cytmem__cytmem,1,Transport removed
R04798__cytop,R04798__cytop,0,R04798__cytop
R04441__cytop,R04441__cytop,0,R04441__cytop
R02235__nucl,R02235__nucl,0,R02235__nucl
R02887__cytop,R02887__cytop,0,R02887__cytop
R00139__cytop,R00139__cytop,0,R00139__cytop
R04463__cytop,R04463__cytop,0,R04463__cytop
R00897__cytop,R00897__cytop,0,R00897__cytop
R03697__cytop,R03697__cytop,0,R03697__cytop
R08364__cytop,R08364__cytop,0,R08364__cytop
R01532__nucl,R01532__nucl,0,R01532__nucl
R01663__cytop,R01663__cytop,0,R01663__cytop
TO3000349_cytmem__cytmem,TO3000349_cytmem__cytmem,1,Transport removed
R03626__extr,R03626__extr,0,R03626__extr
R10056__nucl,R10056__nucl,0,R10056__nucl
R04430__cytop,R04430__cytop,0,R04430__cytop
R03664__cytop,R03664__cytop,0,R03664__cytop
R00344__mito,R00344__mito,0,R00344__mito
R04358__cytop,R04358__cytop,0,R04358__cytop
R00842__cytop,R00842__cytop,0,R00842__cytop
R01786__cytop,R01786__cytop,0,R01786__cytop
R01773__chlo,R01773__chlo,0,R01773__chlo
R00497__vacu,R00497__vacu,0,R00497__vacu
R04941__nucl,R04941__nucl,0,R04941__nucl
R00372__cytop,R00372__cytop,0,R00372__cytop
R03293__chlo,R03293__chlo,0,R03293__chlo
R01220__nucl,R01220__nucl,0,R01220__nucl
R13023__cytop,R13023__cytop,0,R13023__cytop
R08845__cytop,R08845__cytop,0,R08845__cytop
R05616__mito,R05616__mito,0,R05616__mito
TI2903796_cytmem__cytmem,TI2903796_cytmem__cytmem,1,Transport removed
TR2918328_cytmem__cytmem,TR2918328_cytmem__cytmem,1,Transport removed
R00332__chlo,R00332__chlo,0,R00332__chlo
R10998__cytop,R10998__cytop,0,R10998__cytop
R12268__cytop,R12268__cytop,0,R12268__cytop
R00475__pero,R00475__pero,0,R00475__pero
R07679__extr,R07679__extr,0,R07679__extr
R02558__cytop,R02558__cytop,0,R02558__cytop
R04749__mito,R04749__mito,0,R04749__mito
R10088__cytop,R10088__cytop,0,R10088__cytop
R06527__cytop,R06527__cytop,0,R06527__cytop
R04682__extr,R04682__extr,0,R04682__extr
R03167__cytop,R03167__cytop,0,R03167__cytop
R08707__cytop,R08707__cytop,0,R08707__cytop
R04738__cytop,R04738__cytop,0,R04738__cytop
R03172__cytop,R03172__cytop,0,R03172__cytop
R01321__mito,R01321__mito,0,R01321__mito
R01372__cytop,R01372__cytop,0,R01372__cytop
TI3000243_vacmem__vacmem,TI3000243_vacmem__vacmem,1,Transport removed
R08834__cytop,R08834__cytop,0,R08834__cytop
TO3000977_vacmem__vacmem,TO3000977_vacmem__vacmem,1,Transport removed
TO1000229_cytmem__cytmem,TO1000229_cytmem__cytmem,1,Transport removed
R04798__chlo,R04798__chlo,0,R04798__chlo
TI3000280_vacmem__vacmem,TI3000280_vacmem__vacmem,1,Transport removed
R03161__cytop,R03161__cytop,0,R03161__cytop
R03107__cytop,R03107__cytop,0,R03107__cytop
R10992__cytop,R10992__cytop,0,R10992__cytop
R03313__cytop,R03313__cytop,0,R03313__cytop
R04859__mito,R04859__mito,0,R04859__mito
R00513__cytop,R00513__cytop,0,R00513__cytop
R02530__chlo,R02530__chlo,0,R02530__chlo
R03601__mito,R03601__mito,0,R03601__mito
R04639__nucl,R04639__nucl,0,R04639__nucl
R02418__nucl,R02418__nucl,0,R02418__nucl
R01600__mito,R01600__mito,0,R01600__mito
R11216__mito,R11216__mito,0,R11216__mito
R02750__chlo,R02750__chlo,0,R02750__chlo
R07364__cytop,R07364__cytop,0,R07364__cytop
R01842__cytop,R01842__cytop,0,R01842__cytop
TI3001509_cytmem__cytmem,TI3001509_cytmem__cytmem,1,Transport removed
R04620__cytop,R04620__cytop,0,R04620__cytop
R00927__cytop,R00927__cytop,0,R00927__cytop
R01836__extr,R01836__extr,0,R01836__extr
R01715__cytop,R01715__cytop,0,R01715__cytop
R10764__cytop,R10764__cytop,0,R10764__cytop
TO1000314_cytmem__cytmem,TO1000314_cytmem__cytmem,1,Transport removed
R00658__chlo,R00658__chlo,0,R00658__chlo
R02319__cytop,R02319__cytop,0,R02319__cytop
R04744__mito,R04744__mito,0,R04744__mito
R01853__cytop,R01853__cytop,0,R01853__cytop
R00155__cytop,R00155__cytop,0,R00155__cytop
TO3000354_cytmem__cytmem,TO3000354_cytmem__cytmem,1,Transport removed
R11099__cytop,R11099__cytop,0,R11099__cytop
R12933__cytop,R12933__cytop,0,R12933__cytop
R03302__cytop,R03302__cytop,0,R03302__cytop
R08512__mito,R08512__mito,0,R08512__mito
R01166__cytop,R01166__cytop,0,R01166__cytop
R03150__cytop,R03150__cytop,0,R03150__cytop
R00390__mito,R00390__mito,0,R00390__mito
R10943__cytop,R10943__cytop,0,R10943__cytop
R05369__cytop,R05369__cytop,0,R05369__cytop
R07359__cytop,R07359__cytop,0,R07359__cytop
R01122__cytop,R01122__cytop,0,R01122__cytop
R02536__cytop,R02536__cytop,0,R02536__cytop
R05102__cytop,R05102__cytop,0,R05102__cytop
R04741__extr,R04741__extr,0,R04741__extr
TI3000473_cytmem__cytmem,TI3000473_cytmem__cytmem,1,Transport removed
R01698__mito,R01698__mito,0,R01698__mito
R07670__cytop,R07670__cytop,0,R07670__cytop
R07091__mito,R07091__mito,0,R07091__mito
R02404__mito,R02404__mito,0,R02404__mito
R07326__cytop,R07326__cytop,0,R07326__cytop
R02768__extr,R02768__extr,0,R02768__extr
R11017__cytop,R11017__cytop,0,R11017__cytop
R04559__cytop,R04559__cytop,0,R04559__cytop
R08539__cytop,R08539__cytop,0,R08539__cytop
R05179__cytop,R05179__cytop,0,R05179__cytop
R07491__cytop,R07491__cytop,0,R07491__cytop
R02569__cytop,R02569__cytop,0,R02569__cytop
TI3001135_vacmem__vacmem,TI3001135_vacmem__vacmem,1,Transport removed
R05506__mito,R05506__mito,0,R05506__mito
R07136__cytop,R07136__cytop,0,R07136__cytop
R06516__cytop,R06516__cytop,0,R06516__cytop
R03057__nucl,R03057__nucl,0,R03057__nucl
R13178__vacu,R13178__vacu,0,R13178__vacu
R10245__cytop,R10245__cytop,0,R10245__cytop
R03194__cytop,R03194__cytop,0,R03194__cytop
R00466__pero,R00466__pero,0,R00466__pero
R07894__cytop,R07894__cytop,0,R07894__cytop
R03189__cytop,R03189__cytop,0,R03189__cytop
R02691__chlo,R02691__chlo,0,R02691__chlo
R03346__cytop,R03346__cytop,0,R03346__cytop
R01701__mito,R01701__mito,0,R01701__mito
TI3001135_cytmem__cytmem,TI3001135_cytmem__cytmem,1,Transport removed
R01710__nucl,R01710__nucl,0,R01710__nucl
R10055__cytop,R10055__cytop,0,R10055__cytop
R01177__cytop,R01177__cytop,0,R01177__cytop
R10115__mito,R10115__mito,0,R10115__mito
R01279__pero,R01279__pero,0,R01279__pero
R01569__cytop,R01569__cytop,0,R01569__cytop
TR2000102_cytmem__cytmem,TR2000102_cytmem__cytmem,1,Transport removed
TO3000467_cytmem__cytmem,TO3000467_cytmem__cytmem,1,Transport removed
R11101__mito,R11101__mito,0,R11101__mito
R03664__chlo,R03664__chlo,0,R03664__chlo
R00367__cytop,R00367__cytop,0,R00367__cytop
TZ2900062_vacmem__vacmem,TZ2900062_vacmem__vacmem,1,Transport removed
R08094__pero,R08094__pero,0,R08094__pero
TO3000851_vacmem__vacmem,TO3000851_vacmem__vacmem,1,Transport removed
R04426__chlo,R04426__chlo,0,R04426__chlo
R01100__cytop,R01100__cytop,0,R01100__cytop
TI3000504_vacmem__vacmem,TI3000504_vacmem__vacmem,1,Transport removed
R07894__extr,R07894__extr,0,R07894__extr
R00345__cytop,R00345__cytop,0,R00345__cytop
R04536__chlo,R04536__chlo,0,R04536__chlo
TO3001129_vacmem__vacmem,TO3001129_vacmem__vacmem,1,Transport removed
R07116__pero,R07116__pero,0,R07116__pero
R04203__mito,R04203__mito,0,R04203__mito
R11216__nucl,R11216__nucl,0,R11216__nucl
R01778__pero,R01778__pero,0,R01778__pero
R01547__cytop,R01547__cytop,0,R01547__cytop
R04206__chlo,R04206__chlo,0,R04206__chlo
TI3000602_cytmem__cytmem,TI3000602_cytmem__cytmem,1,Transport removed
R08980__nucl,R08980__nucl,0,R08980__nucl
R01010__cytop,R01010__cytop,0,R01010__cytop
R01290__nucl,R01290__nucl,0,R01290__nucl
R11372__mito,R11372__mito,0,R11372__mito
R07070__pero,R07070__pero,0,R07070__pero
R03165__chlo,R03165__chlo,0,R03165__chlo
TR0000009_cytmem__cytmem,TR0000009_cytmem__cytmem,1,Transport removed
R01334__cytop,R01334__cytop,0,R01334__cytop
R02100__cytop,R02100__cytop,0,R02100__cytop
R04726__mito,R04726__mito,0,R04726__mito
R07888__mito,R07888__mito,0,R07888__mito
R10177__cytop,R10177__cytop,0,R10177__cytop
R08095__cytop,R08095__cytop,0,R08095__cytop
R00751__mito,R00751__mito,0,R00751__mito
R04859__nucl,R04859__nucl,0,R04859__nucl
R03224__cytop,R03224__cytop,0,R03224__cytop
R04770__cytop,R04770__cytop,0,R04770__cytop
TI3000006_cytmem__cytmem,TI3000006_cytmem__cytmem,1,Transport removed
R05799__cytop,R05799__cytop,0,R05799__cytop
R04001__cytop,R04001__cytop,0,R04001__cytop
R09416__cytop,R09416__cytop,0,R09416__cytop
R04922__mito,R04922__mito,0,R04922__mito
R00014__mito,R00014__mito,0,R00014__mito
TO3001805_vacmem__vacmem,TO3001805_vacmem__vacmem,1,Transport removed
R00162__extr,R00162__extr,0,R00162__extr
R00426__nucl,R00426__nucl,0,R00426__nucl
R02458__cytop,R02458__cytop,0,R02458__cytop
R03530__chlo,R03530__chlo,0,R03530__chlo
R09427__cytop,R09427__cytop,0,R09427__cytop
R04273__mito,R04273__mito,0,R04273__mito
R08639__chlo,R08639__chlo,0,R08639__chlo
TI3000207_vacu__vacu,TI3000207_vacu__vacu,1,Transport removed
TO1001257_cytmem__cytmem,TO1001257_cytmem__cytmem,1,Transport removed
R00087__cytop,R00087__cytop,0,R00087__cytop
R02976__cytop,R02976__cytop,0,R02976__cytop
R01886__cytop,R01886__cytop,0,R01886__cytop
R04463__chlo,R04463__chlo,0,R04463__chlo
R03471__chlo,R03471__chlo,0,R03471__chlo
R04170__pero,R04170__pero,0,R04170__pero
R00705__nucl,R00705__nucl,0,R00705__nucl
R07606__pero,R07606__pero,0,R07606__pero
R02017__chlo,R02017__chlo,0,R02017__chlo
TO0000025_cytmem__cytmem,TO0000025_cytmem__cytmem,1,Transport removed
TI3002476_cytmem__cytmem,TI3002476_cytmem__cytmem,1,Transport removed
R04294__chlo,R04294__chlo,0,R04294__chlo
R02156__cytop,R02156__cytop,0,R02156__cytop
R08575__chlo,R08575__chlo,0,R08575__chlo
R11220__mito,R11220__mito,0,R11220__mito
R01708__chlo,R01708__chlo,0,R01708__chlo
R00329__cytop,R00329__cytop,0,R00329__cytop
R01818__chlo,R01818__chlo,0,R01818__chlo
R01357__cytop,R01357__cytop,0,R01357__cytop
R09505__extr,R09505__extr,0,R09505__extr
R02892__cytop,R02892__cytop,0,R02892__cytop
R07024__pero,R07024__pero,0,R07024__pero
R02101__nucl,R02101__nucl,0,R02101__nucl
R11659__pero,R11659__pero,0,R11659__pero
R08634__chlo,R08634__chlo,0,R08634__chlo
R09405__cytop,R09405__cytop,0,R09405__cytop
R03283__cytop,R03283__cytop,0,R03283__cytop
R04844__cytop,R04844__cytop,0,R04844__cytop
R08639__cytop,R08639__cytop,0,R08639__cytop
R04273__nucl,R04273__nucl,0,R04273__nucl
R00674__cytop,R00674__cytop,0,R00674__cytop
R07263__pero,R07263__pero,0,R07263__pero
R00736__cytop,R00736__cytop,0,R00736__cytop
R02530__cytop,R02530__cytop,0,R02530__cytop
R01579__nucl,R01579__nucl,0,R01579__nucl
R11906__cytop,R11906__cytop,0,R11906__cytop
R00236__chlo,R00236__chlo,0,R00236__chlo
R08829__cytop,R08829__cytop,0,R08829__cytop
R05578__chlo,R05578__chlo,0,R05578__chlo
R08263__cytop,R08263__cytop,0,R08263__cytop
TO3000932_vacmem__vacmem,TO3000932_vacmem__vacmem,1,Transport removed
R07486__cytop,R07486__cytop,0,R07486__cytop
R08818__cytop,R08818__cytop,0,R08818__cytop
TO0000261_cytmem__cytmem,TO0000261_cytmem__cytmem,1,Transport removed
e_Cofactor__cytop,e_Cofactor__cytop,0,e_Cofactor__cytop
TY3000002_cytmem__cytmem,TY3000002_cytmem__cytmem,1,Transport removed
R02063__chlo,R02063__chlo,0,R02063__chlo
R03067__cytop,R03067__cytop,0,R03067__cytop
R04591__cytop,R04591__cytop,0,R04591__cytop
R05209__cytop,R05209__cytop,0,R05209__cytop
R07320__cytop,R07320__cytop,0,R07320__cytop
R04749__cytop,R04749__cytop,0,R04749__cytop
R03457__vacu,R03457__vacu,0,R03457__vacu
R09394__mito,R09394__mito,0,R09394__mito
R01274__chlo,R01274__chlo,0,R01274__chlo
R11891__cytop,R11891__cytop,0,R11891__cytop
R03596__cytop,R03596__cytop,0,R03596__cytop
R10070__cytop,R10070__cytop,0,R10070__cytop
R00316__mito,R00316__mito,0,R00316__mito
R01775__cytop,R01775__cytop,0,R01775__cytop
R08628__cytop,R08628__cytop,0,R08628__cytop
R04928__cytop,R04928__cytop,0,R04928__cytop
R00925__mito,R00925__mito,0,R00925__mito
R00331__extr,R00331__extr,0,R00331__extr
R04831__nucl,R04831__nucl,0,R04831__nucl
R03089__cytop,R03089__cytop,0,R03089__cytop
TO1025981_cytmem__cytmem,TO1025981_cytmem__cytmem,1,Transport removed
R11100__cytop,R11100__cytop,0,R11100__cytop
TI3000288_vacmem__vacmem,TI3000288_vacmem__vacmem,1,Transport removed
R04385__chlo,R04385__chlo,0,R04385__chlo
R01498__vacu,R01498__vacu,0,R01498__vacu
R09656__cytop,R09656__cytop,0,R09656__cytop
R03805__cytop,R03805__cytop,0,R03805__cytop
R03816__cytop,R03816__cytop,0,R03816__cytop
R04888__cytop,R04888__cytop,0,R04888__cytop
R03270__chlo,R03270__chlo,0,R03270__chlo
TO3000869_plas__plas,TO3000869_plas__plas,1,Transport removed
R01354__mito,R01354__mito,0,R01354__mito
R02473__cytop,R02473__cytop,0,R02473__cytop
TO3000908_cytmem__cytmem,TO3000908_cytmem__cytmem,1,Transport removed
R07274__nucl,R07274__nucl,0,R07274__nucl
R00904__chlo,R00904__chlo,0,R00904__chlo
R04866__cytop,R04866__cytop,0,R04866__cytop
TR2918401_cytmem__cytmem,TR2918401_cytmem__cytmem,1,Transport removed
R03066__mito,R03066__mito,0,R03066__mito
TI3000243_cytmem__cytmem,TI3000243_cytmem__cytmem,1,Transport removed
R10092__cytop,R10092__cytop,0,R10092__cytop
R00943__cytop,R00943__cytop,0,R00943__cytop
R02082__cytop,R02082__cytop,0,R02082__cytop
R11865__cytop,R11865__cytop,0,R11865__cytop
TI3000063_cytmem__cytmem,TI3000063_cytmem__cytmem,1,Transport removed
R01187__chlo,R01187__chlo,0,R01187__chlo
R03775__cytop,R03775__cytop,0,R03775__cytop
R02093__mito,R02093__mito,0,R02093__mito
R12917__mito,R12917__mito,0,R12917__mito
R09067__chlo,R09067__chlo,0,R09067__chlo
R07274__mito,R07274__mito,0,R07274__mito
TI3000667_vacmem__vacmem,TI3000667_vacmem__vacmem,1,Transport removed
R07051__cytop,R07051__cytop,0,R07051__cytop
R09510__cytop,R09510__cytop,0,R09510__cytop
R00429__chlo,R00429__chlo,0,R00429__chlo
TO3000958_vacmem__vacmem,TO3000958_vacmem__vacmem,1,Transport removed
R02283__chlo,R02283__chlo,0,R02283__chlo
R00904__cytop,R00904__cytop,0,R00904__cytop
R01082__cytop,R01082__cytop,0,R01082__cytop
R03552__cytop,R03552__cytop,0,R03552__cytop
R00200__cytop,R00200__cytop,0,R00200__cytop
R02017__cytop,R02017__cytop,0,R02017__cytop
R07326__extr,R07326__extr,0,R07326__extr
R12657__mito,R12657__mito,0,R12657__mito
TO0000105_cytmem__cytmem,TO0000105_cytmem__cytmem,1,Transport removed
R03045__cytop,R03045__cytop,0,R03045__cytop
TO0000075_cytmem__cytmem,TO0000075_cytmem__cytmem,1,Transport removed
R07274__cytop,R07274__cytop,0,R07274__cytop
TI3002737_cytmem__cytmem,TI3002737_cytmem__cytmem,1,Transport removed
TO3000367_cytmem__cytmem,TO3000367_cytmem__cytmem,1,Transport removed
R07237__cytop,R07237__cytop,0,R07237__cytop
R10826__cytop,R10826__cytop,0,R10826__cytop
R12620__cytop,R12620__cytop,0,R12620__cytop
R02229__cytop,R02229__cytop,0,R02229__cytop
R00685__cytop,R00685__cytop,0,R00685__cytop
R00472__nucl,R00472__nucl,0,R00472__nucl
R01451__cytop,R01451__cytop,0,R01451__cytop
R10282__cytop,R10282__cytop,0,R10282__cytop
R08091__mito,R08091__mito,0,R08091__mito
R02326__mito,R02326__mito,0,R02326__mito
