Original ID,Raw MetaNetX ID,transport,Final ID
EX_cpd02701_b,EX_MNXM733831_b,1,Transport removed
EX_cpd11416_b,EX_BIOMASS_b,1,Transport removed
EX_cpd00205_b,EX_MNXM95_b,1,Transport removed
EX_cpd00048_b,EX_MNXM58_b,1,Transport removed
EX_cpd00001_b,EX_MNXM03_b,1,Transport removed
EX_cpd00011_b,EX_MNXM13_b,1,Transport removed
EX_cpd00007_b,EX_MNXM735438_b,1,Transport removed
EX_cpd00073_b,EX_MNXM117_b,1,Transport removed
EX_cpd00067_b,EX_MNXM1_b,1,Transport removed
EX_cpd00099_b,EX_MNXM735979_b,1,Transport removed
EX_cpd00075_b,EX_MNXM107_b,1,Transport removed
EX_cpd00209_b,EX_MNXM732399_b,1,Transport removed
EX_cpd00009_b,EX_MNXM9_b,1,Transport removed
EX_cpd00076_b,EX_MNXM1104180_b,1,Transport removed
EX_cpd00013_b,EX_MNXM729304_b,1,Transport removed
EX_cpd00204_b,EX_MNXM726637_b,1,Transport removed
EX_cpd11632_b,EX_MNXM162292_b,1,Transport removed
rxn00001_c0,MNXR103069,0,MNXR103069
rxn00001_d0,MNXR103069~,0,MNXR103069
rxn00001_g0,MNXR103069~~,0,MNXR103069
rxn00001_v0,MNXR103069~~~,0,MNXR103069
rxn00001_w0,MNXR103069~~~~,0,MNXR103069
rxn00006_c0,MNXR96455,0,MNXR96455
rxn00006_x0,MNXR96455~,0,MNXR96455
rxn00011_d0,MNXR102428,0,MNXR102428
rxn00011_m0,MNXR102428~,0,MNXR102428
rxn00018_d0,MNXR191185,0,MNXR191185
rxn00018_x0,MNXR191185~,0,MNXR191185
rxn00048_d0,MNXR192029,0,MNXR192029
rxn00069_d0,MNXR100289,0,MNXR100289
rxn00076_c0,MNXR145755,0,MNXR145755
rxn00076_d0,MNXR145755~,0,MNXR145755
rxn00077_c0,MNXR101882,0,MNXR101882
rxn00077_d0,MNXR101882~,0,MNXR101882
rxn00078_c0,MNXR106390,0,MNXR106390
rxn00078_x0,MNXR106390~,0,MNXR106390
rxn00083_c0,MNXR101898,0,MNXR101898
rxn00086_c0,MNXR100098,0,MNXR100098
rxn00086_d0,MNXR100098~,0,MNXR100098
rxn00086_m0,MNXR100098~~,0,MNXR100098
rxn00088_c0,MNXR101798,0,MNXR101798
rxn00097_c0,MNXR95450,0,MNXR95450
rxn00097_d0,MNXR95450~,0,MNXR95450
rxn00097_m0,MNXR95450~~,0,MNXR95450
rxn00097_n0,MNXR95450~~~,0,MNXR95450
rxn00100_c0,MNXR190944,0,MNXR190944
rxn00100_x0,MNXR190944~,0,MNXR190944
rxn00101_c0,MNXR105153,0,MNXR105153
rxn00102_c0,MNXR138493,0,MNXR138493
rxn00102_d0,MNXR138493~,0,MNXR138493
rxn00105_c0,MNXR95841,0,MNXR95841
rxn00116_c0,MNXR188497,0,MNXR188497
rxn00116_g0,MNXR188497~,0,MNXR188497
rxn00117_c0,MNXR188501,0,MNXR188501
rxn00117_d0,MNXR188501~,0,MNXR188501
rxn00117_m0,MNXR188501~~,0,MNXR188501
rxn00117_n0,MNXR188501~~~,0,MNXR188501
rxn00117_x0,MNXR188501~~~~,0,MNXR188501
rxn00119_c0,MNXR188974,0,MNXR188974
rxn00120_c0,MNXR101933,0,MNXR101933
rxn00120_g0,MNXR101933~,0,MNXR101933
rxn00121_c0,MNXR192649,0,MNXR192649
rxn00121_d0,MNXR192649~,0,MNXR192649
rxn00122_c0,MNXR95501,0,MNXR95501
rxn00122_d0,MNXR95501~,0,MNXR95501
rxn00123_c0,MNXR103368,0,MNXR103368
rxn00124_c0,MNXR103361,0,MNXR103361
rxn00124_d0,MNXR103361~,0,MNXR103361
rxn00126_c0,MNXR188373,0,MNXR188373
rxn00126_n0,MNXR188373~,0,MNXR188373
rxn00128_c0,MNXR190555,0,MNXR190555
rxn00134_c0,MNXR190585,0,MNXR190585
rxn00138_c0,MNXR188487,0,MNXR188487
rxn00139_c0,MNXR190607,0,MNXR190607
rxn00141_c0,MNXR95492,0,MNXR95492
rxn00147_c0,MNXR103140,0,MNXR103140
rxn00148_c0,MNXR103371,0,MNXR103371
rxn00148_d0,MNXR103371~,0,MNXR103371
rxn00151_d0,MNXR103107,0,MNXR103107
rxn00159_m0,MNXR101443,0,MNXR101443
rxn00161_c0,MNXR101443~,0,MNXR101443
rxn00161_d0,MNXR101443~~,0,MNXR101443
rxn00166_c0,MNXR104338,0,MNXR104338
rxn00168_c0,MNXR103379,0,MNXR103379
rxn00175_d0,MNXR190571,0,MNXR190571
rxn00178_c0,MNXR190494,0,MNXR190494
rxn00178_x0,MNXR190494~,0,MNXR190494
rxn00179_c0,MNXR100277,0,MNXR100277
rxn00179_d0,MNXR100277~,0,MNXR100277
rxn00184_c0,MNXR100086,0,MNXR100086
rxn00187_c0,MNXR100024,0,MNXR100024
rxn00187_d0,MNXR100024~,0,MNXR100024
rxn00187_m0,MNXR100024~~,0,MNXR100024
