Original ID,Raw MetaNetX ID,transport,Final ID
RXN-17884,MNXR121236,0,MNXR121236
RXN-20602,MNXR164947,0,MNXR164947
TRANS-RXN-177,MNXR123936,1,Transport removed
PYRIMSYN1-RXN,MNXR108194,0,MNXR108194
RXN1ZN3-9,MNXR194124,0,MNXR194124
RXN-19124,MNXR163549,0,MNXR163549
NUCLEOSIDE-DIPHOSPHATASE-RXN,MNXR116095,0,MNXR116095
RXN-18705,MNXR164042,0,MNXR164042
RXN1YI0-24,MNXR193954,1,Transport removed
RXN-20348,MNXR164758,0,MNXR164758
RXN-18739,MNXR186682,0,MNXR186682
RXN0-5293,MNXR123246,0,MNXR123246
RXN66-315,MNXR123715,0,MNXR123715
2.1.1.124-RXN,MNXR115034,0,MNXR115034
HOMOSERDEHYDROG-RXN,MNXR115966,0,MNXR115966
NITRATE-REDUCTASE-NADPORNOPH-RXN,MNXR116087,0,MNXR116087
RXN-13441,MNXR118083,0,MNXR118083
RXN-15512,MNXR119407,0,MNXR119407
RXN-23511,RXN-23511,0,RXN-23511
R343-RXN,MNXR153291,0,MNXR153291
RXN-21163,MNXR192918,0,MNXR192918
RXN-20346,MNXR164756,0,MNXR164756
RXN-4821,MNXR108820,0,MNXR108820
2.4.1.65-RXN,MNXR148802,0,MNXR148802
RXN-23475,RXN-23475,0,RXN-23475
RXN-14540,MNXR118757,0,MNXR118757
1.1.1.191-RXN,MNXR107662,0,MNXR107662
RXN-8028,MNXR145424,0,MNXR145424
RXN0-5224,MNXR138493,0,MNXR138493
SALICYLATE-1-MONOOXYGENASE-RXN,MNXR106704,0,MNXR106704
RXN-14962,MNXR119040,0,MNXR119040
GDPMANDEHYDRA-RXN,MNXR100377,0,MNXR100377
2.7.7.64-RXN,MNXR115216,0,MNXR115216
FCLEPIM-RXN,MNXR189616,0,MNXR189616
PROSTAGLANDIN-ENDOPEROXIDE-SYNTHASE-RXN,MNXR116160,0,MNXR116160
RXN-13729,MNXR189828,0,MNXR189828
RXN-16378,MNXR120042,0,MNXR120042
RXN66-578,MNXR123798,0,MNXR123798
RXN-17876,MNXR121228,0,MNXR121228
RXN-21827,MNXR193449,0,MNXR193449
RXN-21315,MNXR171635,0,MNXR171635
RXN-10939,MNXR188403,0,MNXR188403
RXN-17426,MNXR151036,0,MNXR151036
RXN-16317,MNXR120013,0,MNXR120013
RXN-18372,MNXR190746,0,MNXR190746
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN,MNXR108017,0,MNXR108017
RXN-15135,MNXR119162,0,MNXR119162
1.5.1.15-RXN,MNXR114982,0,MNXR114982
2.7.1.139-RXN,MNXR188289,0,MNXR188289
RXN-20900,MNXR165137,0,MNXR165137
AIRS-RXN,MNXR138720,0,MNXR138720
RXN0-5305,MNXR150195,0,MNXR150195
RXN-22061,MNXR96916,0,MNXR96916
RXN-15130,MNXR97012,0,MNXR97012
RXN-9958,MNXR123086,0,MNXR123086
MALONYL-COA-ACP-TRANSACYL-RXN,MNXR145556,0,MNXR145556
RXN-14396,MNXR146710,0,MNXR146710
RXN-19504,MNXR187653,0,MNXR187653
HYPOXANPRIBOSYLTRAN-RXN,MNXR100752,0,MNXR100752
AMACETOXID-RXN,MNXR95149,0,MNXR95149
RXN-12729,MNXR104316,0,MNXR104316
RXN-12455,MNXR117567,0,MNXR117567
RXN-11890,MNXR150597,0,MNXR150597
RXN-8654,MNXR145437,0,MNXR145437
RXN-18406,MNXR163922,0,MNXR163922
6-METHYLSALICYLATE-DECARBOXYLASE-RXN,MNXR108258,0,MNXR108258
RXN-8854,MNXR138942,0,MNXR138942
PYRAMKIN-RXN,MNXR103357,0,MNXR103357
RXN-14208,MNXR118565,0,MNXR118565
RIBOFLAVINSYNDEAM-RXN,MNXR189560,0,MNXR189560
4.1.1.32-RXN,MNXR188627,0,MNXR188627
RXN-15582,MNXR119464,0,MNXR119464
RXN-18193,MNXR121485,0,MNXR121485
RXN-18205,MNXR121497,0,MNXR121497
1.14.13.8-RXN,MNXR108107,0,MNXR108107
RXN-15598,MNXR191894,1,Transport removed
RXN-19560,MNXR133252,0,MNXR133252
2.3.1.45-RXN,MNXR107183,0,MNXR107183
RXN-13442,MNXR118084,0,MNXR118084
METHENYLTHFCYCLOHYDRO-RXN,MNXR116053,0,MNXR116053
2.1.1.17-RXN,MNXR115039,0,MNXR115039
PPENTOMUT-RXN,MNXR144330,0,MNXR144330
RXN-19629,MNXR164389,0,MNXR164389
RXN-6421,MNXR121846,0,MNXR121846
ALPHA-13-GLUCAN-SYNTHASE-RXN,ALPHA-13-GLUCAN-SYNTHASE-RXN,0,ALPHA-13-GLUCAN-SYNTHASE-RXN
RXN-23477,RXN-23477,0,RXN-23477
RXN-23775,RXN-23775,0,RXN-23775
RXN-17855,MNXR121207,0,MNXR121207
