Original ID,Raw MetaNetX ID,transport,Final ID
GLYCOLATE_REDUCTASE_RXN,GLYCOLATE_REDUCTASE_RXN,0,GLYCOLATE_REDUCTASE_RXN
DEOXYADENOSINE_KINASE_RXN,DEOXYADENOSINE_KINASE_RXN,0,DEOXYADENOSINE_KINASE_RXN
GPH_RXN,GPH_RXN,0,GPH_RXN
RXN_20617,RXN_20617,0,RXN_20617
2.7.1.150_RXN,2.7.1.150_RXN,0,2.7.1.150_RXN
RXN_20642,RXN_MNXM38341,0,MNXM38341
ALLANTOINASE_RXN,ALLANTOINASE_RXN,0,ALLANTOINASE_RXN
RXN_6622,RXN_6622,0,RXN_6622
GLYCEROL_KIN_RXN,GLYCEROL_KIN_RXN,0,GLYCEROL_KIN_RXN
UDP_GLUCURONOSYLTRANSFERASE_RXN,UDP_GLUCURONOSYLTRANSFERASE_RXN,0,UDP_GLUCURONOSYLTRANSFERASE_RXN
PYRUVATE_CARBOXYLASE_RXN,PYRUVATE_CARBOXYLASE_RXN,0,PYRUVATE_CARBOXYLASE_RXN
RXN_13424,RXN_13424,0,RXN_13424
RXN0_2161,RXN0_MNXM38500,0,MNXM38500
RXN_11002,RXN_MNXM1608,0,MNXM1608
RXN_18261,RXN_MNXM802,0,MNXM802
RXN_10470,RXN_10470,0,RXN_10470
D_AMINO_ACID_OXIDASE_RXN,D_AMINO_ACID_OXIDASE_RXN,0,D_AMINO_ACID_OXIDASE_RXN
RXN66_534,RXN66_MNXM32343,0,MNXM32343
PRPPAMIDOTRANS_RXN,PRPPAMIDOTRANS_RXN,0,PRPPAMIDOTRANS_RXN
RXN_9990,RXN_9990,0,RXN_9990
RXN_20609,RXN_20609,0,RXN_20609
RXN66_475,RXN66_475,0,RXN66_475
RXN_7977,RXN_MNXM107640,0,MNXM107640
GLUTAMINE__TRNA_LIGASE_RXN,GLUTAMINE__TRNA_LIGASE_RXN,0,GLUTAMINE__TRNA_LIGASE_RXN
TRANSALDOL_RXN,TRANSALDOL_RXN,0,TRANSALDOL_RXN
AICARTRANSFORM_RXN,AICARTRANSFORM_RXN,0,AICARTRANSFORM_RXN
RXN66_351,RXN66_351,0,RXN66_351
RXN_16267,RXN_MNXM4200,0,MNXM4200
GLUCURONATE_REDUCTASE_RXN,GLUCURONATE_REDUCTASE_RXN,0,GLUCURONATE_REDUCTASE_RXN
CYTIKIN_RXN,CYTIKIN_RXN,0,CYTIKIN_RXN
RXN_17745,RXN_MNXM880,0,MNXM880
MALSYN_RXN,MALSYN_RXN,0,MALSYN_RXN
RXN_15278,RXN_15278,0,RXN_15278
ADENYLOSUCCINATE_SYNTHASE_RXN,ADENYLOSUCCINATE_SYNTHASE_RXN,0,ADENYLOSUCCINATE_SYNTHASE_RXN
RXN_10953,RXN_10953,0,RXN_10953
ALANINE__TRNA_LIGASE_RXN,ALANINE__TRNA_LIGASE_RXN,0,ALANINE__TRNA_LIGASE_RXN
RXN_10978,RXN_10978,0,RXN_10978
THYKI_RXN,THYKI_RXN,0,THYKI_RXN
RXN_19570,RXN_19570,0,RXN_19570
GLUTAMATE_DEHYDROGENASE_NADP+_RXN,GLUTAMATE_DEHYDROGENASE_NADP+_RXN,0,GLUTAMATE_DEHYDROGENASE_NADP+_RXN
RXN_17725,RXN_MNXM152099,0,MNXM152099
RXN_20558,RXN_20558,0,RXN_20558
RXN_5647,RXN_MNXM55999,0,MNXM55999
RXN_10961,RXN_MNXM737997,0,MNXM737997
RXN0_7068,RXN0_MNXM3075,0,MNXM3075
1_PHOSPHATIDYLINOSITOL_3_KINASE_RXN,1_PHOSPHATIDYLINOSITOL_3_KINASE_RXN,0,1_PHOSPHATIDYLINOSITOL_3_KINASE_RXN
THIOL_OXIDASE_RXN,THIOL_OXIDASE_RXN,0,THIOL_OXIDASE_RXN
2.4.1.228_RXN,2.4.1.228_RXN,0,2.4.1.228_RXN
3.1.6.14_RXN,3.1.6.14_RXN,0,3.1.6.14_RXN
TIGLYLCOA_HYDROXY_RXN,TIGLYLCOA_HYDROXY_RXN,0,TIGLYLCOA_HYDROXY_RXN
2.4.1__46_45__RXN,2.4.1__46_45__RXN,0,2.4.1__46_45__RXN
RXN_15211,RXN_15211,0,RXN_15211
RXN_20541,RXN_20541,0,RXN_20541
RXN_5466,RXN_MNXM738132,0,MNXM738132
RXN_13298,RXN_MNXM727276,0,MNXM727276
ADENOSYLHOMOCYSTEINASE_RXN,ADENOSYLHOMOCYSTEINASE_RXN,0,ADENOSYLHOMOCYSTEINASE_RXN
RXN_5822,RXN_MNXM56961,0,MNXM56961
GCVMULTI_RXN,GCVMULTI_RXN,0,GCVMULTI_RXN
