Original ID,Raw MetaNetX ID,transport,Final ID
GLYCOLATE_REDUCTASE_RXN,GLYCOLATE_REDUCTASE_RXN,0,GLYCOLATE_REDUCTASE_RXN
DEOXYADENOSINE_KINASE_RXN,DEOXYADENOSINE_KINASE_RXN,0,DEOXYADENOSINE_KINASE_RXN
GPH_RXN,GPH_RXN,0,GPH_RXN
RXN_20617,RXN_20617,0,RXN_20617
2.7.1.150_RXN,2.7.1.150_RXN,0,2.7.1.150_RXN
METHYLMALONYL_COA_EPIM_RXN,METHYLMALONYL_COA_EPIM_RXN,0,METHYLMALONYL_COA_EPIM_RXN
RXN_18252,RXN_MNXM738369,0,MNXM738369
RXN_20642,RXN_MNXM38341,0,MNXM38341
RXN_18275,RXN_18275,0,RXN_18275
QUINOPRIBOTRANS_RXN,QUINOPRIBOTRANS_RXN,0,QUINOPRIBOTRANS_RXN
RXN_6622,RXN_6622,0,RXN_6622
RXN_10604,RXN_10604,0,RXN_10604
RXN66_512,RXN66_MNXM32222,0,MNXM32222
GLYCEROL_KIN_RXN,GLYCEROL_KIN_RXN,0,GLYCEROL_KIN_RXN
GLYCPDIESTER_RXN,GLYCPDIESTER_RXN,0,GLYCPDIESTER_RXN
UDP_GLUCURONOSYLTRANSFERASE_RXN,UDP_GLUCURONOSYLTRANSFERASE_RXN,0,UDP_GLUCURONOSYLTRANSFERASE_RXN
PYRUVATE_CARBOXYLASE_RXN,PYRUVATE_CARBOXYLASE_RXN,0,PYRUVATE_CARBOXYLASE_RXN
RXN_13424,RXN_13424,0,RXN_13424
RXN0_2161,RXN0_MNXM38500,0,MNXM38500
RXN_11002,RXN_MNXM1608,0,MNXM1608
RXN_10470,RXN_10470,0,RXN_10470
D_AMINO_ACID_OXIDASE_RXN,D_AMINO_ACID_OXIDASE_RXN,0,D_AMINO_ACID_OXIDASE_RXN
1.97.1.11_RXN,1.97.1.11_RXN,0,1.97.1.11_RXN
RXN_11471,RXN_11471,0,RXN_11471
RXN_20582,RXN_MNXM3507,0,MNXM3507
PRPPAMIDOTRANS_RXN,PRPPAMIDOTRANS_RXN,0,PRPPAMIDOTRANS_RXN
RXN_9990,RXN_9990,0,RXN_9990
RXN_20609,RXN_20609,0,RXN_20609
ALCOHOL_DEHYDROG_RXN,ALCOHOL_DEHYDROG_RXN,0,ALCOHOL_DEHYDROG_RXN
1.5.1.20_RXN,1.5.1.20_RXN,0,1.5.1.20_RXN
RXN_7977,RXN_MNXM107640,0,MNXM107640
GLUTAMINE__TRNA_LIGASE_RXN,GLUTAMINE__TRNA_LIGASE_RXN,0,GLUTAMINE__TRNA_LIGASE_RXN
TRANSALDOL_RXN,TRANSALDOL_RXN,0,TRANSALDOL_RXN
AICARTRANSFORM_RXN,AICARTRANSFORM_RXN,0,AICARTRANSFORM_RXN
RXN_10970,RXN_MNXM733503,0,MNXM733503
RXN66_351,RXN66_351,0,RXN66_351
ALDEHYDE_OXIDASE_RXN,ALDEHYDE_OXIDASE_RXN,0,ALDEHYDE_OXIDASE_RXN
RXN_16773,RXN_MNXM732938,0,MNXM732938
RXN_16267,RXN_MNXM4200,0,MNXM4200
GLUCURONATE_REDUCTASE_RXN,GLUCURONATE_REDUCTASE_RXN,0,GLUCURONATE_REDUCTASE_RXN
RXN66_484,RXN66_484,0,RXN66_484
CYTIKIN_RXN,CYTIKIN_RXN,0,CYTIKIN_RXN
GLUTATHIONE_PEROXIDASE_RXN,GLUTATHIONE_PEROXIDASE_RXN,0,GLUTATHIONE_PEROXIDASE_RXN
RXN_20550,RXN_MNXM38030,0,MNXM38030
2.4.99.4_RXN,2.4.99.4_RXN,0,2.4.99.4_RXN
MALSYN_RXN,MALSYN_RXN,0,MALSYN_RXN
PROSTAGLANDIN_I_SYNTHASE_RXN,PROSTAGLANDIN_I_SYNTHASE_RXN,0,PROSTAGLANDIN_I_SYNTHASE_RXN
RXN_15278,RXN_15278,0,RXN_15278
ADENYLOSUCCINATE_SYNTHASE_RXN,ADENYLOSUCCINATE_SYNTHASE_RXN,0,ADENYLOSUCCINATE_SYNTHASE_RXN
RXN_10953,RXN_10953,0,RXN_10953
RXN66_323,RXN66_323,0,RXN66_323
ALANINE__TRNA_LIGASE_RXN,ALANINE__TRNA_LIGASE_RXN,0,ALANINE__TRNA_LIGASE_RXN
RXN_10978,RXN_10978,0,RXN_10978
RXN_11397,RXN_11397,0,RXN_11397
RXN66_360,RXN66_360,0,RXN66_360
1.1.1.170_RXN,1.1.1.170_RXN,0,1.1.1.170_RXN
THYKI_RXN,THYKI_RXN,0,THYKI_RXN
RXN_19570,RXN_19570,0,RXN_19570
