Original ID,Raw MetaNetX ID,transport,Final ID
RXN-8042,MNXR111133,0,MNXR111133
GPH-RXN,MNXR102543,0,MNXR102543
2.7.1.150-RXN,MNXR146038,0,MNXR146038
RXN-20642,MNXR164986,0,MNXR164986
QUINOPRIBOTRANS-RXN,MNXR188515,0,MNXR188515
RXN-6622,MNXR95828,0,MNXR95828
RXN-7985,MNXR192343,0,MNXR192343
RXN66-512,MNXR123778,0,MNXR123778
AMINEPHEN-RXN,MNXR102461,0,MNXR102461
GLYCEROL-KIN-RXN,MNXR100348,0,MNXR100348
1TRANSKETO-RXN,MNXR152016,0,MNXR152016
PYRUVATE-CARBOXYLASE-RXN,MNXR102391,0,MNXR102391
RXN0-2161,MNXR123138,0,MNXR123138
RXN-11002,MNXR145015,0,MNXR145015
RXN66-534,MNXR123786,0,MNXR123786
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN,MNXR124070,0,MNXR124070
RXN-20582,MNXR164928,0,MNXR164928
PRPPAMIDOTRANS-RXN,MNXR100287,0,MNXR100287
1.5.1.20-RXN,MNXR191416,0,MNXR191416
GLUTAMINE--TRNA-LIGASE-RXN,MNXR115929,0,MNXR115929
RXN-19142,MNXR185277,0,MNXR185277
TRANSALDOL-RXN,MNXR112107,0,MNXR112107
TRYPSYN-RXN,MNXR104343,0,MNXR104343
PSII-RXN,PSII-RXN,0,PSII-RXN
AICARTRANSFORM-RXN,MNXR115676,0,MNXR115676
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN,MNXR145700,0,MNXR145700
RXN0-7090,MNXR123382,0,MNXR123382
RXN-16267,MNXR119983,0,MNXR119983
GLUCURONATE-REDUCTASE-RXN,MNXR115924,0,MNXR115924
CYTIKIN-RXN,MNXR190860,0,MNXR190860
RXN-11859,MNXR117198,0,MNXR117198
RXN-20550,MNXR164899,0,MNXR164899
MALSYN-RXN,MNXR188337,0,MNXR188337
ADENYLOSUCCINATE-SYNTHASE-RXN,MNXR192666,0,MNXR192666
RXN-10953,MNXR116605,0,MNXR116605
ALANINE--TRNA-LIGASE-RXN,MNXR115678,0,MNXR115678
RXN-11397,MNXR116903,0,MNXR116903
GLUCOSAMINE-KINASE-RXN,MNXR100613,0,MNXR100613
CYSTATHIONINE-BETA-LYASE-RXN,MNXR97018,0,MNXR97018
RXN-19570,MNXR184971,0,MNXR184971
RXN-20558,MNXR164906,0,MNXR164906
RXN-10961,MNXR116609,0,MNXR116609
RXN0-7068,MNXR123374,0,MNXR123374
