Original ID,Raw MetaNetX ID,transport,Final ID
rxn31229_c,MNXR179702,0,MNXR179702
rxn31404_c,MNXR106704,0,MNXR106704
rxn04748_c,MNXR110664,0,MNXR110664
rxn04724_c,MNXR110640,0,MNXR110640
rxn03906_c,MNXR109726,0,MNXR109726
rxn04745_c,MNXR110661,0,MNXR110661
rxn04604_c,MNXR145219,0,MNXR145219
rxn01895_c,MNXR145217,0,MNXR145217
rxn19827_c,MNXR100086,0,MNXR100086
rxn27887_c,MNXR100086~,0,MNXR100086
rxn15165_c,MNXR173174,0,MNXR173174
rxn37600_c,MNXR173242,0,MNXR173242
rxn15229_c,MNXR173225,0,MNXR173225
rxn37586_c,MNXR173173,0,MNXR173173
rxn32246_c,MNXR105245,0,MNXR105245
rxn28560_c,MNXR152012,0,MNXR152012
rxn16246_c,MNXR112833,0,MNXR112833
rxn04895_c,MNXR110800,0,MNXR110800
rxn04832_c,MNXR110737,0,MNXR110737
rxn04830_c,MNXR110735,0,MNXR110735
rxn04873_c,MNXR110778,0,MNXR110778
rxn15652_c,MNXR110792,0,MNXR110792
rxn11808_c,MNXR111835,0,MNXR111835
rxn04811_c,MNXR110717,0,MNXR110717
rxn04894_c,MNXR110799,0,MNXR110799
rxn04903_c,MNXR110808,0,MNXR110808
rxn04886_c,MNXR110791,0,MNXR110791
rxn31883_c,MNXR110824,0,MNXR110824
rxn04810_c,MNXR110716,0,MNXR110716
rxn04872_c,MNXR110777,0,MNXR110777
rxn07181_c,MNXR110802,0,MNXR110802
rxn04833_c,MNXR110738,0,MNXR110738
rxn32152_c,MNXR110821,0,MNXR110821
rxn04809_c,MNXR110715,0,MNXR110715
rxn04831_c,MNXR110736,0,MNXR110736
rxn04896_c,MNXR110801,0,MNXR110801
rxn38136_c,MNXR99850,0,MNXR99850
rxn35429_c,MNXR95444,0,MNXR95444
rxn35443_c,MNXR189648,0,MNXR189648
rxn02728_c,MNXR108488,0,MNXR108488
rxn06798_c,MNXR151174,0,MNXR151174
rxn15043_c,MNXR173101,0,MNXR173101
rxn33488_c,MNXR173118,0,MNXR173118
rxn32595_c,MNXR192194,0,MNXR192194
rxn28256_c,MNXR146364,0,MNXR146364
rxn28991_c,MNXR104635,0,MNXR104635
rxn30152_c,MNXR100884,0,MNXR100884
rxn05921_c,MNXR189409,0,MNXR189409
rxn31257_c,MNXR94946,0,MNXR94946
rxn38489_c,MNXR152657,0,MNXR152657
rxn31255_c,MNXR152656,0,MNXR152656
rxn30175_c,MNXR135634,0,MNXR135634
rxn31254_c,MNXR152672,0,MNXR152672
rxn38492_c,MNXR94944,0,MNXR94944
rxn07573_c,MNXR188758,0,MNXR188758
rxn31256_c,MNXR152680,0,MNXR152680
rxn38484_c,MNXR94952,0,MNXR94952
rxn31104_c,MNXR105139,0,MNXR105139
rxn30168_c,MNXR145432,0,MNXR145432
rxn38266_c,MNXR135052,0,MNXR135052
rxn05846_c,MNXR135057,0,MNXR135057
rxn05848_c,MNXR135059,0,MNXR135059
rxn05847_c,MNXR135058,0,MNXR135058
rxn04160_c,MNXR134608,0,MNXR134608
rxn38132_c,MNXR100356,0,MNXR100356
rxn01913_c,MNXR100471,0,MNXR100471
rxn01844_c,MNXR192106,0,MNXR192106
rxn38055_c,MNXR96230,0,MNXR96230
rxn38053_c,MNXR96228,0,MNXR96228
rxn38054_c,MNXR192685,0,MNXR192685
rxn16312_c,MNXR173714,0,MNXR173714
rxn32473_c,MNXR96117,0,MNXR96117
rxn27685_c,MNXR95450,0,MNXR95450
rxn01800_c,MNXR97207,0,MNXR97207
rxn33463_c,MNXR190856,0,MNXR190856
rxn11749_c,MNXR111785,0,MNXR111785
rxn30401_c,MNXR145292,0,MNXR145292
rxn07877_c,MNXR111667,0,MNXR111667
rxn30431_c,MNXR104066,0,MNXR104066
rxn30429_c,MNXR104062,0,MNXR104062
rxn30430_c,MNXR146326,0,MNXR146326
rxn30428_c,MNXR146317,0,MNXR146317
rxn31826_c,MNXR99561,0,MNXR99561
rxn31689_c,MNXR149049,0,MNXR149049
rxn32991_c,MNXR95828,0,MNXR95828
rxn02405_c,MNXR148108,0,MNXR148108
rxn32399_c,MNXR100108,0,MNXR100108
rxn15088_c,MNXR173131,0,MNXR173131
rxn01416_c,MNXR151670,0,MNXR151670
rxn02229_c,MNXR105354,0,MNXR105354
rxn35691_c,MNXR152839,0,MNXR152839
rxn30135_c,MNXR95695,0,MNXR95695
rxn03174_c,MNXR105370,0,MNXR105370
rxn03421_c,MNXR189060,0,MNXR189060
rxn00302_c,MNXR138935,0,MNXR138935
rxn03419_c,MNXR138945,0,MNXR138945
rxn11768_c,MNXR95106,0,MNXR95106
rxn27944_c,MNXR100830,0,MNXR100830
rxn15289_c,MNXR135124,0,MNXR135124
rxn03394_c,MNXR109272,0,MNXR109272
rxn32466_c,MNXR150409,0,MNXR150409
rxn35431_c,MNXR95863,0,MNXR95863
rxn35428_c,MNXR95435,0,MNXR95435
rxn02875_c,MNXR134413,0,MNXR134413
rxn05844_c,MNXR135055,0,MNXR135055
rxn05842_c,MNXR135053,0,MNXR135053
rxn05843_c,MNXR135054,0,MNXR135054
rxn05845_c,MNXR135056,0,MNXR135056
rxn31227_c,MNXR145847,0,MNXR145847
rxn31217_c,MNXR105310,0,MNXR105310
rxn17745_c,MNXR95655,0,MNXR95655
rxn31243_c,MNXR179708,0,MNXR179708
rxn33618_c,MNXR190426,0,MNXR190426
rxn00754_c,MNXR95261,0,MNXR95261
rxn16149_c,MNXR101737,0,MNXR101737
rxn35454_c,MNXR100757,0,MNXR100757
rxn31671_c,MNXR179983,0,MNXR179983
rxn00610_c,MNXR99894,0,MNXR99894
rxn35346_c,MNXR145716,0,MNXR145716
rxn31870_c,MNXR145718,0,MNXR145718
rxn37906_c,MNXR97779,0,MNXR97779
rxn32682_c,MNXR110813,0,MNXR110813
rxn14089_c,MNXR109410,0,MNXR109410
rxn38034_c,MNXR95725,0,MNXR95725
rxn11834_c,MNXR111858,0,MNXR111858
rxn11838_c,MNXR111862,0,MNXR111862
rxn31891_c,MNXR110652,0,MNXR110652
rxn05871_c,MNXR146994,0,MNXR146994
rxn38318_c,MNXR94833,0,MNXR94833
rxn38970_c,MNXR105463,0,MNXR105463
rxn11809_c,MNXR111836,0,MNXR111836
rxn04726_c,MNXR110642,0,MNXR110642
rxn32074_c,MNXR189842,0,MNXR189842
rxn31801_c,MNXR102527,0,MNXR102527
rxn30352_c,MNXR153020,0,MNXR153020
rxn02655_c,MNXR148325,0,MNXR148325
rxn02341_c,MNXR103098,0,MNXR103098
rxn19260_c,MNXR96926,0,MNXR96926
rxn34305_c,MNXR180630,0,MNXR180630
rxn31228_c,MNXR95154,0,MNXR95154
rxn31529_c,MNXR179867,0,MNXR179867
rxn31528_c,MNXR179866,0,MNXR179866
rxn35545_c,MNXR188214,0,MNXR188214
rxn27618_c,MNXR105353,0,MNXR105353
rxn01546_c,MNXR147535,0,MNXR147535
rxn33490_c,MNXR104240,0,MNXR104240
rxn23129_c,MNXR188836,0,MNXR188836
rxn30643_c,MNXR188079,0,MNXR188079
rxn05818_c,MNXR135046,0,MNXR135046
rxn05816_c,MNXR135044,0,MNXR135044
rxn05819_c,MNXR135047,0,MNXR135047
rxn05817_c,MNXR135045,0,MNXR135045
rxn07043_c,MNXR135467,0,MNXR135467
rxn06114_c,MNXR135144,0,MNXR135144
rxn30860_c,MNXR188509,0,MNXR188509
rxn33762_c,MNXR188525,0,MNXR188525
rxn02400_c,MNXR102027,0,MNXR102027
rxn31973_c,MNXR188533,0,MNXR188533
rxn29952_c,MNXR102033,0,MNXR102033
rxn31059_c,MNXR102032,0,MNXR102032
rxn32982_c,MNXR102034,0,MNXR102034
rxn30907_c,MNXR102030,0,MNXR102030
rxn29955_c,MNXR102035,0,MNXR102035
rxn30908_c,MNXR188143,0,MNXR188143
rxn32378_c,MNXR102038,0,MNXR102038
rxn33474_c,MNXR102036,0,MNXR102036
rxn29956_c,MNXR102028,0,MNXR102028
rxn25492_c,MNXR151602,0,MNXR151602
rxn20503_c,MNXR190986,0,MNXR190986
rxn38162_c,MNXR148978,0,MNXR148978
rxn15402_c,MNXR173333,0,MNXR173333
rxn35560_c,MNXR180961,0,MNXR180961
rxn29965_c,MNXR101000,0,MNXR101000
rxn27432_c,MNXR105140,0,MNXR105140
rxn35415_c,MNXR105141,0,MNXR105141
rxn15360_c,MNXR173310,0,MNXR173310
rxn07316_c,MNXR111113,0,MNXR111113
rxn07321_c,MNXR111118,0,MNXR111118
rxn34729_c,MNXR97888,0,MNXR97888
rxn34728_c,MNXR153431,0,MNXR153431
rxn34732_c,MNXR97891,0,MNXR97891
rxn04274_c,MNXR190748,0,MNXR190748
rxn37816_c,MNXR152451,0,MNXR152451
rxn34630_c,MNXR97883,0,MNXR97883
rxn02949_c,MNXR151686,0,MNXR151686
rxn34731_c,MNXR97890,0,MNXR97890
rxn35541_c,MNXR97882,0,MNXR97882
rxn04275_c,MNXR188888,0,MNXR188888
rxn07882_c,MNXR111672,0,MNXR111672
rxn34730_c,MNXR153436,0,MNXR153436
rxn32064_c,MNXR100691,0,MNXR100691
rxn34733_c,MNXR192055,0,MNXR192055
rxn37861_c,MNXR97894,0,MNXR97894
