Original ID,Raw MetaNetX ID,transport,Final ID
rxn32752_c,MNXR108282,0,MNXR108282
rxn32758_c,MNXR146530,0,MNXR146530
rxn16213_c,MNXR112800,0,MNXR112800
rxn01153_c,MNXR107063,0,MNXR107063
rxn30680_c,MNXR100030,0,MNXR100030
rxn38284_c,MNXR189850,0,MNXR189850
rxn15745_c,MNXR151354,0,MNXR151354
rxn14136_c,MNXR149555,0,MNXR149555
rxn02663_c,MNXR108397,0,MNXR108397
rxn04259_c,MNXR149558,0,MNXR149558
rxn04256_c,MNXR149552,0,MNXR149552
rxn04257_c,MNXR149554,0,MNXR149554
rxn05818_c,MNXR135046,0,MNXR135046
rxn05816_c,MNXR135044,0,MNXR135044
rxn05819_c,MNXR135047,0,MNXR135047
rxn05817_c,MNXR135045,0,MNXR135045
rxn32462_c,MNXR97494,0,MNXR97494
rxn31519_c,MNXR179859,0,MNXR179859
rxn32682_c,MNXR110813,0,MNXR110813
rxn14089_c,MNXR109410,0,MNXR109410
rxn38034_c,MNXR95725,0,MNXR95725
rxn11834_c,MNXR111858,0,MNXR111858
rxn11838_c,MNXR111862,0,MNXR111862
rxn31891_c,MNXR110652,0,MNXR110652
rxn05871_c,MNXR146994,0,MNXR146994
rxn38318_c,MNXR94833,0,MNXR94833
rxn11809_c,MNXR111836,0,MNXR111836
rxn03282_c,MNXR105375,0,MNXR105375
rxn04726_c,MNXR110642,0,MNXR110642
rxn32074_c,MNXR189842,0,MNXR189842
rxn01034_c,MNXR106983,0,MNXR106983
rxn34191_c,MNXR95410,0,MNXR95410
rxn34196_c,MNXR95427,0,MNXR95427
rxn06139_c,MNXR147576,0,MNXR147576
rxn38273_c,MNXR103215,0,MNXR103215
rxn03201_c,MNXR109042,0,MNXR109042
rxn36715_c,MNXR100722,0,MNXR100722
rxn14007_c,MNXR112435,0,MNXR112435
rxn03200_c,MNXR109041,0,MNXR109041
rxn36714_c,MNXR100715,0,MNXR100715
rxn14276_c,MNXR112467,0,MNXR112467
rxn07573_c,MNXR188758,0,MNXR188758
rxn09177_c,MNXR103119,0,MNXR103119
rxn31088_c,MNXR104846,0,MNXR104846
rxn03446_c,MNXR95024,0,MNXR95024
rxn06403_c,MNXR135237,0,MNXR135237
rxn15387_c,MNXR192117,0,MNXR192117
rxn15343_c,MNXR192111,0,MNXR192111
rxn33569_c,MNXR166700,0,MNXR166700
rxn32425_c,MNXR149043,0,MNXR149043
rxn33580_c,MNXR146825,0,MNXR146825
rxn37973_c,MNXR135194,0,MNXR135194
rxn32754_c,MNXR145703,0,MNXR145703
rxn15053_c,MNXR173108,0,MNXR173108
rxn33432_c,MNXR95081,0,MNXR95081
rxn00196_c,MNXR106443,0,MNXR106443
rxn33696_c,MNXR101805,0,MNXR101805
rxn31895_c,MNXR152952,0,MNXR152952
rxn33132_c,MNXR94991,0,MNXR94991
rxn32139_c,MNXR100310,0,MNXR100310
rxn31362_c,MNXR95749,0,MNXR95749
rxn11532_c,MNXR136686,0,MNXR136686
rxn32516_c,MNXR95745,0,MNXR95745
rxn32956_c,MNXR107839,0,MNXR107839
rxn32720_c,MNXR105358,0,MNXR105358
rxn06890_c,MNXR109414,0,MNXR109414
rxn04234_c,MNXR103375,0,MNXR103375
rxn31901_c,MNXR95745~,0,MNXR95745
rxn03598_c,MNXR109457,0,MNXR109457
rxn33557_c,MNXR192167,0,MNXR192167
rxn02122_c,MNXR145020,0,MNXR145020
rxn30209_c,MNXR95191,0,MNXR95191
rxn03901_c,MNXR195399,0,MNXR195399
rxn02432_c,MNXR108139,0,MNXR108139
rxn02433_c,MNXR108140,0,MNXR108140
rxn31977_c,MNXR102209,0,MNXR102209
rxn38162_c,MNXR148978,0,MNXR148978
rxn07043_c,MNXR135467,0,MNXR135467
rxn15402_c,MNXR173333,0,MNXR173333
rxn35560_c,MNXR180961,0,MNXR180961
rxn29965_c,MNXR101000,0,MNXR101000
rxn07314_c,MNXR101468,0,MNXR101468
rxn37890_c,MNXR149263,0,MNXR149263
rxn35454_c,MNXR100757,0,MNXR100757
rxn37809_c,MNXR100555,0,MNXR100555
rxn35545_c,MNXR188214,0,MNXR188214
rxn02949_c,MNXR151686,0,MNXR151686
rxn34735_c,MNXR145162,0,MNXR145162
rxn35544_c,MNXR192599,0,MNXR192599
rxn35541_c,MNXR97882,0,MNXR97882
rxn34730_c,MNXR153436,0,MNXR153436
rxn34737_c,MNXR100546,0,MNXR100546
rxn32064_c,MNXR100691,0,MNXR100691
rxn34738_c,MNXR100547,0,MNXR100547
rxn07883_c,MNXR111673,0,MNXR111673
rxn02345_c,MNXR108069,0,MNXR108069
rxn07725_c,MNXR189193,0,MNXR189193
rxn07741_c,MNXR150116,0,MNXR150116
rxn37816_c,MNXR152451,0,MNXR152451
rxn37861_c,MNXR97894,0,MNXR97894
rxn27455_c,MNXR100541,0,MNXR100541
rxn34728_c,MNXR153431,0,MNXR153431
rxn34732_c,MNXR97891,0,MNXR97891
rxn04275_c,MNXR188888,0,MNXR188888
rxn07882_c,MNXR111672,0,MNXR111672
rxn34729_c,MNXR97888,0,MNXR97888
rxn04274_c,MNXR190748,0,MNXR190748
rxn34739_c,MNXR192519,0,MNXR192519
rxn34630_c,MNXR97883,0,MNXR97883
rxn03617_c,MNXR152646,0,MNXR152646
rxn34731_c,MNXR97890,0,MNXR97890
rxn34734_c,MNXR100543,0,MNXR100543
rxn34733_c,MNXR192055,0,MNXR192055
rxn00497_c,MNXR102650,0,MNXR102650
rxn31401_c,MNXR104990,0,MNXR104990
rxn32690_c,MNXR101250,0,MNXR101250
rxn03360_c,MNXR95085,0,MNXR95085
rxn01499_c,MNXR94896,0,MNXR94896
rxn01948_c,MNXR151808,0,MNXR151808
rxn32473_c,MNXR96117,0,MNXR96117
rxn27685_c,MNXR95450,0,MNXR95450
rxn38029_c,MNXR95698,0,MNXR95698
rxn33550_c,MNXR188501,0,MNXR188501
rxn33573_c,MNXR101941,0,MNXR101941
rxn33383_c,MNXR96118,0,MNXR96118
rxn14393_c,rxn14393_c,0,rxn14393_c
rxn31847_c,MNXR101940,0,MNXR101940
rxn00107_c,MNXR106405,0,MNXR106405
rxn32308_c,MNXR101939,0,MNXR101939
rxn33340_c,MNXR101938,0,MNXR101938
rxn33024_c,MNXR96119,0,MNXR96119
rxn32898_c,MNXR101937,0,MNXR101937
rxn32981_c,MNXR188503,0,MNXR188503
rxn02517_c,MNXR145773,0,MNXR145773
rxn28988_c,MNXR190686,0,MNXR190686
rxn34576_c,MNXR96042,0,MNXR96042
rxn12049_c,MNXR190692,0,MNXR190692
rxn02986_c,MNXR141260,0,MNXR141260
rxn16806_c,MNXR95095,0,MNXR95095
rxn16520_c,MNXR173798,0,MNXR173798
rxn12649_c,MNXR188902,0,MNXR188902
rxn01601_c,MNXR97399,0,MNXR97399
rxn30104_c,MNXR97401,0,MNXR97401
rxn14120_c,MNXR104809,0,MNXR104809
rxn01602_c,MNXR97401~,0,MNXR97401
rxn32434_c,MNXR190916,0,MNXR190916
rxn12059_c,MNXR111954,0,MNXR111954
rxn11995_c,MNXR142453,0,MNXR142453
rxn31257_c,MNXR94946,0,MNXR94946
rxn38489_c,MNXR152657,0,MNXR152657
rxn31255_c,MNXR152656,0,MNXR152656
rxn30175_c,MNXR135634,0,MNXR135634
rxn31254_c,MNXR152672,0,MNXR152672
rxn38492_c,MNXR94944,0,MNXR94944
rxn31256_c,MNXR152680,0,MNXR152680
rxn38484_c,MNXR94952,0,MNXR94952
rxn33241_c,MNXR152929,0,MNXR152929
rxn32343_c,MNXR97007,0,MNXR97007
rxn35480_c,MNXR152862,0,MNXR152862
rxn33066_c,MNXR151768,0,MNXR151768
rxn15088_c,MNXR173131,0,MNXR173131
rxn31924_c,MNXR97432,0,MNXR97432
rxn11755_c,MNXR95055,0,MNXR95055
rxn02190_c,MNXR97433,0,MNXR97433
rxn11894_c,MNXR146256,0,MNXR146256
rxn33016_c,MNXR189844,0,MNXR189844
rxn31988_c,MNXR95945,0,MNXR95945
rxn00615_c,MNXR100348,0,MNXR100348
rxn01690_c,MNXR190966,0,MNXR190966
rxn37953_c,MNXR97932,0,MNXR97932
rxn33377_c,MNXR145967,0,MNXR145967
rxn35427_c,MNXR188621,0,MNXR188621
rxn06174_c,MNXR135172,0,MNXR135172
rxn01583_c,MNXR147561,0,MNXR147561
rxn14322_c,MNXR112444,0,MNXR112444
rxn32257_c,MNXR97822,0,MNXR97822
rxn28327_c,MNXR192665,0,MNXR192665
rxn00873_c,MNXR147173,0,MNXR147173
rxn32851_c,MNXR138720,0,MNXR138720
rxn27916_c,MNXR188698,0,MNXR188698
rxn35343_c,MNXR166698,0,MNXR166698
rxn32750_c,MNXR165700,0,MNXR165700
rxn01669_c,MNXR101969,0,MNXR101969
rxn29942_c,MNXR105142,0,MNXR105142
rxn07877_c,MNXR111667,0,MNXR111667
rxn25051_c,MNXR105305,0,MNXR105305
rxn32171_c,MNXR105340,0,MNXR105340
rxn33806_c,MNXR100781,0,MNXR100781
rxn00935_c,MNXR192647,0,MNXR192647
rxn05815_c,MNXR189455,0,MNXR189455
rxn20161_c,MNXR101715,0,MNXR101715
rxn30643_c,MNXR188079,0,MNXR188079
rxn06090_c,MNXR192021,0,MNXR192021
rxn01538_c,MNXR104898,0,MNXR104898
rxn06152_c,MNXR135160,0,MNXR135160
rxn15160_c,MNXR173171,0,MNXR173171
rxn04482_c,MNXR134697,0,MNXR134697
rxn31478_c,MNXR179822,0,MNXR179822
rxn31477_c,MNXR179821,0,MNXR179821
rxn35311_c,MNXR95841,0,MNXR95841
rxn35310_c,MNXR188513,0,MNXR188513
rxn31075_c,MNXR104272,0,MNXR104272
rxn11548_c,MNXR146982,0,MNXR146982
rxn34306_c,MNXR190039,0,MNXR190039
rxn31415_c,MNXR179789,0,MNXR179789
rxn00461_c,MNXR146653,0,MNXR146653
rxn01088_c,MNXR152267,0,MNXR152267
rxn38970_c,MNXR105463,0,MNXR105463
rxn31314_c,MNXR173449,0,MNXR173449
rxn06435_c,MNXR97018,0,MNXR97018
rxn30068_c,MNXR146658,0,MNXR146658
rxn15267_c,MNXR190119,0,MNXR190119
rxn29959_c,MNXR145114,0,MNXR145114
rxn33398_c,MNXR100410,0,MNXR100410
rxn00133_c,MNXR95857,0,MNXR95857
rxn02020_c,MNXR107736,0,MNXR107736
rxn00714_c,MNXR106766,0,MNXR106766
rxn32324_c,MNXR189108,0,MNXR189108
rxn31773_c,MNXR104952,0,MNXR104952
rxn12039_c,MNXR111898,0,MNXR111898
rxn21212_c,MNXR107825,0,MNXR107825
rxn31997_c,MNXR95900,0,MNXR95900
rxn21114_c,MNXR95082,0,MNXR95082
rxn03358_c,MNXR94907,0,MNXR94907
rxn21214_c,MNXR101405,0,MNXR101405
rxn11875_c,MNXR97217,0,MNXR97217
rxn27000_c,MNXR94989,0,MNXR94989
rxn19157_c,MNXR102461,0,MNXR102461
rxn03195_c,MNXR101554,0,MNXR101554
rxn12038_c,MNXR96727,0,MNXR96727
rxn03359_c,MNXR95086,0,MNXR95086
rxn01715_c,MNXR104996,0,MNXR104996
rxn21216_c,MNXR109199,0,MNXR109199
rxn03342_c,MNXR94931,0,MNXR94931
rxn33386_c,MNXR95149,0,MNXR95149
rxn21211_c,MNXR94988,0,MNXR94988
rxn06798_c,MNXR151174,0,MNXR151174
rxn32556_c,MNXR104889,0,MNXR104889
rxn34304_c,MNXR95387,0,MNXR95387
rxn33231_c,MNXR105321,0,MNXR105321
rxn35518_c,MNXR191571,0,MNXR191571
rxn32740_c,MNXR188377,0,MNXR188377
rxn11997_c,MNXR148456,0,MNXR148456
rxn02791_c,MNXR105361,0,MNXR105361
rxn05952_c,MNXR147201,0,MNXR147201
rxn31443_c,MNXR179803,0,MNXR179803
rxn06817_c,MNXR149041,0,MNXR149041
rxn06025_c,MNXR147394,0,MNXR147394
rxn33431_c,MNXR100136,0,MNXR100136
rxn31675_c,MNXR179987,0,MNXR179987
