Original ID,Raw MetaNetX ID,transport,Final ID
rxn27983_c,MNXR101443,0,MNXR101443
rxn34212_c,MNXR153574,0,MNXR153574
rxn03362_c,MNXR143543,0,MNXR143543
rxn00729_c,MNXR105316,0,MNXR105316
rxn35429_c,MNXR95444,0,MNXR95444
rxn35443_c,MNXR189648,0,MNXR189648
rxn07214_c,MNXR110920,0,MNXR110920
rxn06620_c,MNXR148604,0,MNXR148604
rxn32591_c,MNXR192029,0,MNXR192029
rxn30983_c,MNXR162386,0,MNXR162386
rxn06804_c,MNXR149013,0,MNXR149013
rxn06515_c,MNXR148431,0,MNXR148431
rxn31454_c,MNXR101261,0,MNXR101261
rxn16794_c,MNXR105143,0,MNXR105143
rxn16826_c,MNXR146720,0,MNXR146720
rxn05818_c,MNXR135046,0,MNXR135046
rxn05816_c,MNXR135044,0,MNXR135044
rxn05819_c,MNXR135047,0,MNXR135047
rxn05817_c,MNXR135045,0,MNXR135045
rxn06219_c,MNXR152323,0,MNXR152323
rxn30394_c,MNXR145210,0,MNXR145210
rxn28991_c,MNXR104635,0,MNXR104635
rxn30152_c,MNXR100884,0,MNXR100884
rxn35534_c,MNXR146738,0,MNXR146738
rxn15043_c,MNXR173101,0,MNXR173101
rxn16246_c,MNXR112833,0,MNXR112833
rxn04895_c,MNXR110800,0,MNXR110800
rxn04832_c,MNXR110737,0,MNXR110737
rxn04830_c,MNXR110735,0,MNXR110735
rxn04873_c,MNXR110778,0,MNXR110778
rxn15652_c,MNXR110792,0,MNXR110792
rxn11808_c,MNXR111835,0,MNXR111835
rxn04811_c,MNXR110717,0,MNXR110717
rxn04894_c,MNXR110799,0,MNXR110799
rxn04903_c,MNXR110808,0,MNXR110808
rxn04886_c,MNXR110791,0,MNXR110791
rxn31883_c,MNXR110824,0,MNXR110824
rxn04810_c,MNXR110716,0,MNXR110716
rxn04872_c,MNXR110777,0,MNXR110777
rxn07181_c,MNXR110802,0,MNXR110802
rxn04833_c,MNXR110738,0,MNXR110738
rxn32152_c,MNXR110821,0,MNXR110821
rxn04809_c,MNXR110715,0,MNXR110715
rxn04831_c,MNXR110736,0,MNXR110736
rxn04896_c,MNXR110801,0,MNXR110801
rxn16641_c,MNXR113203,0,MNXR113203
rxn14028_c,MNXR102068,0,MNXR102068
rxn30413_c,MNXR101928,0,MNXR101928
rxn33663_c,MNXR189674,0,MNXR189674
rxn00116_c,MNXR188497,0,MNXR188497
rxn32752_c,MNXR108282,0,MNXR108282
rxn32758_c,MNXR146530,0,MNXR146530
rxn16213_c,MNXR112800,0,MNXR112800
rxn23800_c,MNXR188926,0,MNXR188926
rxn27334_c,MNXR146571,0,MNXR146571
rxn38115_c,MNXR99906,0,MNXR99906
rxn35355_c,MNXR192435,0,MNXR192435
rxn29942_c,MNXR105142,0,MNXR105142
rxn16679_c,MNXR102314,0,MNXR102314
rxn31436_c,MNXR94866,0,MNXR94866
rxn32132_c,MNXR95455,0,MNXR95455
rxn11794_c,MNXR111821,0,MNXR111821
rxn32357_c,MNXR149256,0,MNXR149256
rxn03395_c,MNXR188581,0,MNXR188581
rxn33220_c,MNXR151932,0,MNXR151932
rxn15785_c,MNXR173586,0,MNXR173586
rxn03150_c,MNXR104116,0,MNXR104116
rxn30165_c,MNXR101488,0,MNXR101488
rxn06781_c,MNXR148973,0,MNXR148973
rxn15962_c,MNXR173656,0,MNXR173656
rxn33387_c,MNXR96730,0,MNXR96730
rxn33015_c,MNXR100827,0,MNXR100827
rxn27543_c,MNXR100826,0,MNXR100826
rxn32196_c,MNXR148444,0,MNXR148444
rxn14208_c,MNXR144914,0,MNXR144914
rxn11894_c,MNXR146256,0,MNXR146256
rxn33016_c,MNXR189844,0,MNXR189844
rxn16697_c,MNXR113257,0,MNXR113257
rxn26310_c,MNXR150131,0,MNXR150131
rxn00984_c,MNXR147271,0,MNXR147271
rxn06145_c,MNXR147591,0,MNXR147591
rxn37906_c,MNXR97779,0,MNXR97779
rxn04934_c,MNXR110837,0,MNXR110837
rxn34245_c,MNXR101439,0,MNXR101439
rxn32133_c,MNXR100098,0,MNXR100098
rxn34789_c,MNXR100097,0,MNXR100097
rxn00855_c,MNXR188722,0,MNXR188722
rxn33374_c,MNXR96039,0,MNXR96039
rxn03741_c,MNXR109589,0,MNXR109589
rxn02807_c,MNXR108577,0,MNXR108577
rxn15783_c,MNXR173584,0,MNXR173584
rxn06831_c,MNXR135381,0,MNXR135381
rxn03397_c,MNXR105158,0,MNXR105158
rxn16584_c,MNXR173815,0,MNXR173815
rxn04674_c,MNXR97536,0,MNXR97536
rxn03663_c,MNXR109513,0,MNXR109513
rxn04096_c,MNXR151702,0,MNXR151702
rxn01896_c,MNXR145228,0,MNXR145228
rxn34306_c,MNXR190039,0,MNXR190039
rxn15042_c,MNXR173100,0,MNXR173100
rxn32580_c,MNXR101898,0,MNXR101898
rxn03236_c,MNXR104802,0,MNXR104802
rxn37871_c,MNXR145221,0,MNXR145221
rxn38677_c,MNXR104539,0,MNXR104539
rxn37933_c,MNXR146158,0,MNXR146158
rxn32418_c,MNXR104529,0,MNXR104529
rxn30418_c,MNXR188625,0,MNXR188625
rxn38077_c,MNXR102430,0,MNXR102430
rxn15095_c,MNXR106760,0,MNXR106760
rxn20499_c,MNXR95440,0,MNXR95440
rxn27845_c,MNXR97831,0,MNXR97831
rxn27109_c,MNXR104275,0,MNXR104275
rxn38132_c,MNXR100356,0,MNXR100356
rxn04841_c,MNXR110746,0,MNXR110746
rxn04840_c,MNXR142118,0,MNXR142118
rxn33349_c,MNXR100446,0,MNXR100446
rxn38710_c,MNXR104379,0,MNXR104379
rxn07686_c,MNXR192235,0,MNXR192235
rxn31412_c,MNXR192394,0,MNXR192394
rxn35692_c,MNXR152835,0,MNXR152835
rxn31441_c,MNXR192389,0,MNXR192389
rxn07678_c,MNXR192231,0,MNXR192231
rxn35691_c,MNXR152839,0,MNXR152839
rxn07682_c,MNXR192233,0,MNXR192233
rxn07740_c,MNXR150114,0,MNXR150114
rxn31439_c,MNXR192397,0,MNXR192397
rxn31451_c,MNXR192175,0,MNXR192175
rxn35693_c,MNXR127546,0,MNXR127546
rxn07724_c,MNXR150112,0,MNXR150112
rxn38266_c,MNXR135052,0,MNXR135052
rxn05846_c,MNXR135057,0,MNXR135057
rxn05848_c,MNXR135059,0,MNXR135059
rxn05847_c,MNXR135058,0,MNXR135058
rxn33490_c,MNXR104240,0,MNXR104240
rxn03372_c,MNXR95491,0,MNXR95491
rxn27688_c,MNXR95159,0,MNXR95159
rxn23129_c,MNXR188836,0,MNXR188836
rxn38696_c,MNXR101882,0,MNXR101882
rxn31241_c,MNXR146109,0,MNXR146109
rxn11593_c,MNXR136696,0,MNXR136696
rxn35438_c,MNXR190680,0,MNXR190680
rxn23817_c,MNXR188441,0,MNXR188441
rxn37807_c,MNXR106650,0,MNXR106650
rxn00671_c,MNXR101662,0,MNXR101662
rxn35548_c,MNXR101667,0,MNXR101667
rxn15392_c,MNXR189373,0,MNXR189373
rxn32155_c,MNXR146098,0,MNXR146098
rxn27956_c,MNXR95318,0,MNXR95318
rxn14277_c,MNXR189475,0,MNXR189475
rxn38113_c,MNXR100040,0,MNXR100040
rxn31257_c,MNXR94946,0,MNXR94946
rxn38489_c,MNXR152657,0,MNXR152657
rxn31255_c,MNXR152656,0,MNXR152656
rxn30175_c,MNXR135634,0,MNXR135634
rxn31254_c,MNXR152672,0,MNXR152672
rxn38492_c,MNXR94944,0,MNXR94944
