Original ID,Raw MetaNetX ID,transport,Final ID
1a_24_25VITD2Hm,MNXR94714,0,MNXR94714
1a_24_25VITD3Hm,MNXR94715,0,MNXR94715
1a_25VITD2Hm,MNXR94716,0,MNXR94716
1a_25VITD3Hm,MNXR94717,0,MNXR94717
1PPDCRp,MNXR94712,0,MNXR94712
24_25VITD2Hm,MNXR94735,0,MNXR94735
24_25VITD3Hm,MNXR94736,0,MNXR94736
25VITD2Hm,MNXR94740,0,MNXR94740
25VITD3Hm,MNXR151398,0,MNXR151398
2AMACSULT,MNXR94779,0,MNXR94779
2DR1PP,MNXR94795,0,MNXR94795
34DHPLACOX,MNXR94831,0,MNXR94831
34DHPLACOX_NADP_,MNXR94839,0,MNXR94839
34DHXMANDACOX,MNXR94840,0,MNXR94840
34DHXMANDACOX_NADP_,MNXR94841,0,MNXR94841
34HPLFM,MNXR94842,0,MNXR94842
34HPPOR,MNXR94843,0,MNXR94843
3AIBTm,MNXR151409,0,MNXR151409
3DPHBH1,MNXR94864,0,MNXR94864
3DPHBH2,MNXR94865,0,MNXR94865
3DSPHR,MNXR94866,0,MNXR94866
3HBCOAHLm,MNXR151623,0,MNXR151623
3HKYNAKGAT,MNXR94895,0,MNXR94895
3HLYTCL,MNXR94896,0,MNXR94896
3HPCOAHYD,MNXR190438,0,MNXR190438
3HPPD,MNXR94902,0,MNXR94902
3HXKYNDCL,MNXR94906,0,MNXR94906
3M4HDXPAC,MNXR94912,0,MNXR94912
3MOX4HOXPGALDOX,MNXR94928,0,MNXR94928
3MOX4HOXPGALDOX_NADP_,MNXR94929,0,MNXR94929
3NTD7l,MNXR94935,0,MNXR94935
3SALACBOXL,MNXR94978,0,MNXR94978
3SALAOX,MNXR94979,0,MNXR94979
3SALATAi,MNXR147724,0,MNXR147724
3SALATAim,MNXR147724~,0,MNXR147724
3SPYRSP,MNXR94981,0,MNXR94981
3SPYRSPm,MNXR94981~,0,MNXR94981
4HBZCOAFm,MNXR95010,0,MNXR95010
4HBZFm,MNXR190096,0,MNXR190096
4HGLSDm,MNXR95015,0,MNXR95015
4HOXPACDOX_NADP_,MNXR95016,0,MNXR95016
4NPHSULT,MNXR190470,0,MNXR190470
5ADTSTSTERONESULT,MNXR95058,0,MNXR95058
5HLTDL,MNXR95078,0,MNXR95078
5HOXINDACTOXm,MNXR95081,0,MNXR95081
5HXKYNDCL,MNXR95085,0,MNXR95085
A_MANASEly,MNXR96148,0,MNXR96148
A4GALTc,MNXR95128,0,MNXR95128
A4GALTg,MNXR95128~,0,MNXR95128
A4GNT1g,MNXR95130,0,MNXR95130
A4GNT2g,MNXR95131,0,MNXR95131
AASAD3m,MNXR151528,0,MNXR151528
AATAi,MNXR95160,0,MNXR95160
ABTArm,MNXR95186,0,MNXR95186
ABTD,MNXR151636,0,MNXR151636
ACACT10m,MNXR95195,0,MNXR95195
ACACT1r,MNXR190494,0,MNXR190494
ACACT1x,MNXR190494~,0,MNXR190494
ACCOAC,MNXR95220,0,MNXR95220
ACCOACm,MNXR95220~,0,MNXR95220
ACCOAL,MNXR95221,0,MNXR95221
ACCOALm,MNXR95222,0,MNXR95222
ACGALK,MNXR95241,0,MNXR95241
ACGALK2,MNXR95242,0,MNXR95242
ACGAM6PSi,MNXR95248,0,MNXR95248
ACGAMK,MNXR190109,0,MNXR190109
ACGAMPM,MNXR95250,0,MNXR95250
ACGPID,MNXR152765,0,MNXR152765
ACHEe,MNXR95261,0,MNXR95261
ACITL,MNXR190533,0,MNXR190533
ACNAM9PL,MNXR95288,0,MNXR95288
ACNAM9PL2,MNXR95289,0,MNXR95289
ACNAMPH,MNXR95290,0,MNXR95290
ACNMLr,MNXR190119,0,MNXR190119
ACOAD10m,MNXR188589,0,MNXR188589
ACOAD1fm,MNXR192394,0,MNXR192394
ACOAD8m,MNXR95318,0,MNXR95318
ACOAD9m,MNXR95319,0,MNXR95319
ACOAO7p,MNXR152839,0,MNXR152839
ACOATA,MNXR152846,0,MNXR152846
ACODA,MNXR95377,0,MNXR95377
ACONT,MNXR191571,0,MNXR191571
ACONTm,MNXR191571~,0,MNXR191571
ACP1_FMN_,MNXR192636,0,MNXR192636
ACS,MNXR190571,0,MNXR190571
ACS2,MNXR95222~,0,MNXR95222
ACYP,MNXR95410,0,MNXR95410
ADCim,MNXR95442,0,MNXR95442
ADK1,MNXR95450,0,MNXR95450
ADK1m,MNXR95450~,0,MNXR95450
ADK3m,MNXR190581,0,MNXR190581
ADMDC,MNXR95455,0,MNXR95455
ADNCYC,MNXR95444,0,MNXR95444
ADNK1,MNXR190585,0,MNXR190585
ADNK1m,MNXR190585~,0,MNXR190585
ADPRDPm,MNXR152012,0,MNXR152012
ADPT,MNXR190607,0,MNXR190607
ADRNCPT1,MNXR95486,0,MNXR95486
ADRNCPT2,MNXR95486~,0,MNXR95486
ADSELK,MNXR95491,0,MNXR95491
ADSK,MNXR95159,0,MNXR95159
ADSL1,MNXR190613,0,MNXR190613
ADSL2,MNXR108966,0,MNXR108966
