Original ID,Raw MetaNetX ID,transport,Final ID
24_25VITD2Hm,MNXR94735,0,MNXR94735
24_25VITD3Hm,MNXR94736,0,MNXR94736
25HVITD2t,MNXR94737,1,Transport removed
25HVITD2tm,MNXR94737~,1,Transport removed
25HVITD3c,MNXR151398,0,MNXR151398
25HVITD3t,MNXR94739,1,Transport removed
25HVITD3tm,MNXR94739~,1,Transport removed
25VITD2Hm,MNXR94740,0,MNXR94740
25VITD3Hm,MNXR151398~,0,MNXR151398
2AMACHYD,MNXR94778,0,MNXR94778
2AMACSULT,MNXR94779,0,MNXR94779
10FTHF5GLUtl,MNXR94668,1,Transport removed
10FTHF5GLUtm,MNXR94668~,1,Transport removed
10FTHF6GLUtl,MNXR94669,1,Transport removed
2AMADPTm,MNXR94780,1,Transport removed
10FTHF6GLUtm,MNXR94669~,1,Transport removed
2AOBUTtm,MNXR94781,1,Transport removed
10FTHF7GLUtl,MNXR94670,1,Transport removed
10FTHF7GLUtm,MNXR94670~,1,Transport removed
2DR1PP,MNXR94795,0,MNXR94795
10FTHFtl,MNXR94672,1,Transport removed
10FTHFtm,MNXR94672~,1,Transport removed
2HBO,MNXR139020,0,MNXR139020
11DOCRTSLtm,MNXR94673,1,Transport removed
11DOCRTSLtr,MNXR94673~,1,Transport removed
11DOCRTSTRNtm,MNXR94674,1,Transport removed
11DOCRTSTRNtr,MNXR94674~,1,Transport removed
13DAMPPOX,MNXR94687,0,MNXR94687
3SALACBOXL_cho,MNXR94978,0,MNXR94978
1MNCAMti,MNXR94710,1,Transport removed
2HBt2,MNXR141019,1,Transport removed
1PPDCRp,MNXR94712,0,MNXR94712
1a25DHVITD3TRn,MNXR142751,1,Transport removed
1a_24_25VITD2Hm,MNXR94714,0,MNXR94714
3SALAOX,MNXR94979,0,MNXR94979
3SALATAi,MNXR147724,0,MNXR147724
3SALATAim,MNXR147724~,0,MNXR147724
1a_24_25VITD3Hm,MNXR94715,0,MNXR94715
3SPYRSP,MNXR94981,0,MNXR94981
1a_25VITD2Hm,MNXR94716,0,MNXR94716
2HCO3_NAt,MNXR94798,1,Transport removed
1a_25VITD3Hm,MNXR94717,0,MNXR94717
24NPHte,MNXR94732,1,Transport removed
3SPYRSPm,MNXR94981~,0,MNXR94981
41R1H2MAE12BOOX,MNXR107825,0,MNXR107825
41R2A1H12BOOX,MNXR94988,0,MNXR94988
24_25DHVITD2t,MNXR94733,1,Transport removed
2MB2COAc,MNXR94807,1,Transport removed
24_25DHVITD2tm,MNXR94733~,1,Transport removed
24_25DHVITD3t,MNXR94734,1,Transport removed
24_25DHVITD3tm,MNXR94734~,1,Transport removed
42A12BOOX,MNXR94989,0,MNXR94989
4ABUTtcn,MNXR94993,1,Transport removed
2MCITt,MNXR94811,1,Transport removed
2OXOADOXm,MNXR190426,0,MNXR190426
3SALAASPm,MNXR94977,1,Transport removed
2OXOADPTm,MNXR94819,1,Transport removed
34DHOXPEGOX,MNXR94833,0,MNXR94833
34DHOXPEGt,MNXR94834,1,Transport removed
34DHPHAMT,MNXR190430,0,MNXR190430
34DHPHELAT1tc,MNXR94837,1,Transport removed
34DHPHEt,MNXR94838,1,Transport removed
A4GNT1g,MNXR95130,0,MNXR95130
A4GNT2g,MNXR95131,0,MNXR95131
AACOAT,MNXR95136,0,MNXR95136
4ABUTtm,MNXR94993~,1,Transport removed
4HBZCOAFm,MNXR95010,0,MNXR95010
4HBZFm,MNXR190096,0,MNXR190096
4HDEBRISOQUINEte,MNXR95014,1,Transport removed
4HGLSDm,MNXR95015,0,MNXR95015
34DHALDD,MNXR94831,0,MNXR94831
AACTOOR,MNXR95149,0,MNXR95149
AACTtm,MNXR95150,1,Transport removed
AADSACYCL,MNXR147607,0,MNXR147607
4HALDD,MNXR95004,0,MNXR95004
34DHPLACOX_NADP,MNXR94839,0,MNXR94839
4HOXPACDOX_NADP,MNXR95016,0,MNXR95016
4HPROLTASCT1,MNXR95021,1,Transport removed
4HPRO_LTte,MNXR95022,1,Transport removed
34DHXMANDACOX,MNXR94840,0,MNXR94840
4MOPt2im,MNXR95034,1,Transport removed
AASAD3,MNXR151528,0,MNXR151528
4MOPte,MNXR95035,1,Transport removed
AASAD3m,MNXR151528~,0,MNXR151528
34DHXMANDACOX_NADP,MNXR94841,0,MNXR94841
AATA,MNXR95160,0,MNXR95160
4MPTNLte,MNXR95036,1,Transport removed
4MPTNLtm,MNXR95036~,1,Transport removed
4MPTNLtr,MNXR95036~~,1,Transport removed
34HPLFM,MNXR94842,0,MNXR94842
4MTOLBUTAMIDEte,MNXR95037,1,Transport removed
ABO1g_cho,MNXR95169,0,MNXR95169
ABO2g_cho,MNXR95171,0,MNXR95171
ABO3g_cho,MNXR95173,0,MNXR95173
ABO4g_cho,MNXR95175,0,MNXR95175
ABO5g_cho,MNXR152730,0,MNXR152730
ABO6g_cho,MNXR95179,0,MNXR95179
4NPHSFte,MNXR95041,1,Transport removed
4NPHSULT,MNXR190470,0,MNXR190470
ABO7g_cho,MNXR95181,0,MNXR95181
34HPPOR,MNXR94843,0,MNXR94843
ABO8g_cho,MNXR95183,0,MNXR95183
ABO9g_cho,MNXR95185,0,MNXR95185
4NPHte,MNXR95043,1,Transport removed
4OHPROIMINOtc,MNXR95046,1,Transport removed
4PYRDX,MNXR95053,1,Transport removed
ABTArm,MNXR95186,0,MNXR95186
ABTD,MNXR151636,0,MNXR151636
5ADTSTSTERONEGLCte,MNXR95056,1,Transport removed
ABTt,MNXR152735,1,Transport removed
5ADTSTSTERONEGLCtr,MNXR95057,1,Transport removed
34HPPte,MNXR94846,1,Transport removed
5ADTSTSTERONESULT,MNXR95058,0,MNXR95058
5ADTSTSTERONESte,MNXR95059,1,Transport removed
ABUTD,MNXR95191,0,MNXR95191
5ADTSTSTERONEte,MNXR95060,1,Transport removed
35CGMPtn,MNXR94849,1,Transport removed
5ADTSTSTERONEtr,MNXR95060~,1,Transport removed
5AOPtm,MNXR95062,1,Transport removed
ABUTDm,MNXR95191~,0,MNXR95191
ABUTt2r,MNXR94994,1,Transport removed
ABUTt2rL,MNXR94994~,1,Transport removed
5DHFtl,MNXR95068,1,Transport removed
3AIBTm,MNXR151409,0,MNXR151409
5FTHFt2,MNXR95074,1,Transport removed
5HLTDL,MNXR95078,0,MNXR95078
5HOMEPRAZOLEte,MNXR95079,1,Transport removed
5HOXINDACTO2OX,MNXR95080,0,MNXR95080
5HOXINDACTOX,MNXR95081,0,MNXR95081
5HOXINDACTOXm,MNXR95081~,0,MNXR95081
ABUTt4_2_r,MNXR95192,1,Transport removed
ACACT10m,MNXR95195,0,MNXR95195
ACACT1r,MNXR190494,0,MNXR190494
ACACT1m,MNXR190494~,0,MNXR190494
ACACT1x,MNXR190494~~,0,MNXR190494
ACACT4p,MNXR95198,0,MNXR95198
5HOXINOXDA,MNXR95082,0,MNXR95082
5HTRPDOX,MNXR95083,0,MNXR95083
ACACT5p,MNXR95199,0,MNXR95199
3AIB_Dtm,MNXR94852,1,Transport removed
ACACT6p,MNXR95201,0,MNXR95201
ACACT7p,MNXR190505,0,MNXR190505
ACACT8p,MNXR95204,0,MNXR95204
5HTRPVESSEC,MNXR95084,1,Transport removed
