Original ID,Raw MetaNetX ID,transport,Final ID
EX_MG+2_C-BOUNDARY,EX_MNXM653_C-BOUNDARY,1,Transport removed
EX_NITRATE_C-BOUNDARY,EX_MNXM732399_C-BOUNDARY,1,Transport removed
EX_BIOTIN_C-BOUNDARY,EX_MNXM304_C-BOUNDARY,1,Transport removed
EX_CARBON-DIOXIDE_C-BOUNDARY,EX_MNXM13_C-BOUNDARY,1,Transport removed
EX_CU+_C-BOUNDARY,EX_MNXM3568_C-BOUNDARY,1,Transport removed
EX_CA+2_C-BOUNDARY,EX_MNXM128_C-BOUNDARY,1,Transport removed
EX_CL-_C-BOUNDARY,EX_MNXM735979_C-BOUNDARY,1,Transport removed
EX_ADENOSYLCOBALAMIN_C-BOUNDARY,EX_MNXM1104551_C-BOUNDARY,1,Transport removed
EX_ZN+2_C-BOUNDARY,EX_MNXM729215_C-BOUNDARY,1,Transport removed
EX_PROTON_C-BOUNDARY,EX_MNXM1_C-BOUNDARY,1,Transport removed
EX_WATER_C-BOUNDARY,EX_MNXM03_C-BOUNDARY,1,Transport removed
EX_CPD-3_C-BOUNDARY,EX_MNXM726090_C-BOUNDARY,1,Transport removed
EX_OXYGEN-MOLECULE_C-BOUNDARY,EX_MNXM735438_C-BOUNDARY,1,Transport removed
EX_FE+2_C-BOUNDARY,EX_MNXM111_C-BOUNDARY,1,Transport removed
EX_CO+2_C-BOUNDARY,EX_MNXM90960_C-BOUNDARY,1,Transport removed
EX_CPD-315_C-BOUNDARY,EX_MNXM93290_C-BOUNDARY,1,Transport removed
EX_COB-I-ALAMIN_C-BOUNDARY,EX_MNXM91519_C-BOUNDARY,1,Transport removed
EX_EDTA_C-BOUNDARY,EX_MNXM155656_C-BOUNDARY,1,Transport removed
EX_THIAMINE_C-BOUNDARY,EX_MNXM730135_C-BOUNDARY,1,Transport removed
EX_CU+2_C-BOUNDARY,EX_MNXM731165_C-BOUNDARY,1,Transport removed
EX_FE+3_C-BOUNDARY,EX_MNXM726712_C-BOUNDARY,1,Transport removed
EX_MN+2_C-BOUNDARY,EX_MNXM2255_C-BOUNDARY,1,Transport removed
EX_SULFATE_C-BOUNDARY,EX_MNXM58_C-BOUNDARY,1,Transport removed
EX_NA+_C-BOUNDARY,EX_MNXM27_C-BOUNDARY,1,Transport removed
EX_AMMONIA_C-BOUNDARY,EX_MNXM729304_C-BOUNDARY,1,Transport removed
EX_BIOMASS_C-BOUNDARY,EX_BIOMASS_C-BOUNDARY~,1,Transport removed
EX_Light_C-BOUNDARY,EX_MNXM162292_C-BOUNDARY,1,Transport removed
EX_K+_C-BOUNDARY,EX_MNXM95_C-BOUNDARY,1,Transport removed
RXN-11109,MNXR116707,0,MNXR116707
RXN-12561,MNXR189281,0,MNXR189281
RXN-1641,MNXR120064,0,MNXR120064
2.8.1.6-RXN,MNXR115224,0,MNXR115224
RXN-17626,MNXR121045,0,MNXR121045
2.5.1.46-RXN,MNXR149192,0,MNXR149192
ACID-PHOSPHATASE-RXN,MNXR147002,0,MNXR147002
RXN-12440,RXN-12440,0,RXN-12440
2.4.1.36-RXN,MNXR115143,0,MNXR115143
RXN-11921,MNXR111674,0,MNXR111674
RXN-12473,MNXR117582,0,MNXR117582
FRUCTOKINASE-RXN,MNXR99652,0,MNXR99652
RXN-15127,MNXR114399,0,MNXR114399
RXN-15124,MNXR114400,0,MNXR114400
RXN-15129,MNXR119157,0,MNXR119157
RIBOFLAVIN-SYN-RXN,MNXR192029,0,MNXR192029
1.8.4.7-RXN,MNXR115004,0,MNXR115004
4OH2OXOGLUTARALDOL-RXN,MNXR146939,0,MNXR146939
BRANCHED-CHAINAMINOTRANSFERILEU-RXN,MNXR96228,0,MNXR96228
RIB5PISOM-RXN,MNXR146354,0,MNXR146354
1.5.1.20-RXN-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44.,1.5.1.20-RXN-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44.,0,1.5.1.20-RXN-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44.
RXN-17627,MNXR121046,0,MNXR121046
RXN-17625,MNXR121044,0,MNXR121044
2-ISOPROPYLMALATESYN-RXN,MNXR188277,0,MNXR188277
RXN-12730,MNXR112794,0,MNXR112794
SERINE--TRNA-LIGASE-RXN,MNXR123879,0,MNXR123879
ISOLEUCINE--TRNA-LIGASE-RXN,MNXR115986,0,MNXR115986
RXN0-2145,MNXR123137,0,MNXR123137
RXN0-2144,MNXR123136,0,MNXR123136
RXN66-146,MNXR123677,0,MNXR123677
RXN0-2142,MNXR123135,0,MNXR123135
RXN0-2141,MNXR123134,0,MNXR123134
RXN-6081,MNXR121834,0,MNXR121834
PYFLAVOXRE-RXN,MNXR192604,0,MNXR192604
3.1.4.17-RXN,MNXR115300,0,MNXR115300
FLAVONADPREDUCT-RXN,MNXR192655,0,MNXR192655
RXN-14549,MNXR118759,0,MNXR118759
RXN-11717,MNXR117115,0,MNXR117115
RXN-17011,MNXR140647,0,MNXR140647
RXN-17010,MNXR191925,0,MNXR191925
RXN-17013,MNXR120579,0,MNXR120579
RXN-17012,MNXR120578,0,MNXR120578
RXN-17017,MNXR151272,0,MNXR151272
RXN-17016,MNXR120582,0,MNXR120582
RXN-17019,MNXR191656,0,MNXR191656
RXN-17018,MNXR151275,0,MNXR151275
RXN-15007,MNXR114241,0,MNXR114241
CYCLOHEXADIENYL-DEHYDROGENASE-RXN,MNXR106658,0,MNXR106658
RXN-14973,RXN-14973,0,RXN-14973
RXN-14971,MNXR119044,0,MNXR119044
RXN-7931,MNXR190888,0,MNXR190888
MYO-INOSITOL-2-DEHYDROGENASE-RXN,MNXR189676,0,MNXR189676
RXN-2542,MNXR101716,0,MNXR101716
RXN-2541,MNXR145201,0,MNXR145201
RXN-14025,MNXR102032,0,MNXR102032
RXN-14024,MNXR118489,0,MNXR118489
RXN-14026,MNXR102034,0,MNXR102034
RXNN-404,MNXR154639,0,MNXR154639
RXN-8340,MNXR122271,0,MNXR122271
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN,MNXR151449,0,MNXR151449
DIHYDROFOLATEREDUCT-RXN,MNXR115841,0,MNXR115841
FORMYLMETHIONINE-DEFORMYLASE-RXN,MNXR153585,0,MNXR153585
RXN1G-1438,MNXR123480,0,MNXR123480
SULFITE-REDUCT-RXN,MNXR104650,0,MNXR104650
GLYC3PDEHYDROGBIOSYN-RXN,MNXR115935,0,MNXR115935
3.4.21.89-RXN,MNXR115503,0,MNXR115503
