MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR100242,5572509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GLDBRAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR157322,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAOXC10C10OHm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR158723,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR164434,N/A,N/A,N/A,N/A,N/A,N/A,5564166 or 5567791 or 5569560 or 5576071 or 5576269,N/A,5564166 or 5567791 or 5569560 or 5576071 or 5576269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_19724,N/A,RXN_19724,N/A
MNXR211248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR146698,N/A,N/A,N/A,110676362 or 110676363 or 110676364 or 110676920 or 5563935 or 5563937 or 5564273 or 5565896 or 5566062 or 5566412 or 5567152 or 5570357 or 5570789 or 5571019 or 5571022 or 5571109 or 5571297 or 5571298 or 5572427 or 5572436 or 5572439 or 5573284 or 5573287 or 5573288 or 5573298 or 5575606 or 5575669 or 5576969 or 5576970 or 5576971 or 5576972 or 5576973 or 5577068 or 5577070,N/A,N/A,N/A,110676362 or 110676363 or 110676364 or 110676920 or 5563935 or 5563937 or 5564273 or 5565896 or 5566062 or 5566412 or 5567152 or 5570357 or 5570789 or 5571019 or 5571022 or 5571109 or 5571297 or 5571298 or 5572427 or 5572436 or 5572439 or 5573284 or 5573287 or 5573288 or 5573298 or 5575606 or 5575669 or 5576969 or 5576970 or 5576971 or 5576972 or 5576973 or 5577068 or 5577070,110676362 or 110676363 or 110676364 or 110676920 or 5563935 or 5563937 or 5564273 or 5565896 or 5566062 or 5566412 or 5567152 or 5570357 or 5570789 or 5571019 or 5571022 or 5571109 or 5571297 or 5571298 or 5572427 or 5572436 or 5572439 or 5573284 or 5573287 or 5573288 or 5573298 or 5575606 or 5575669 or 5576969 or 5576970 or 5576971 or 5576972 or 5576973 or 5577068 or 5577070,N/A,N/A,N/A,N/A,"R02389__in, R02389__in",N/A,N/A,N/A,R02389,R02389,N/A
MNXR119161,N/A,5572188,N/A,N/A,N/A,5572188,N/A,N/A,N/A,N/A,N/A,RXN_15134,N/A,N/A,N/A,RXN_15134,N/A,N/A,N/A,N/A
MNXR190906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ccb:Clocel_1840 or gba:J421_3839 or tdi:AUW17_02515 or tpx:Turpa_2698,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn01370_c
MNXR106983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5570546,5570546,cthi:THC_1576 or mamo:A6B35_12790,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R01421,R01421,rxn01034_c
MNXR146701,N/A,N/A,N/A,110676362 or 110676363 or 110676364 or 110676920 or 5563935 or 5563937 or 5564273 or 5565896 or 5566062 or 5566412 or 5567152 or 5570357 or 5570789 or 5571019 or 5571022 or 5571109 or 5571297 or 5571298 or 5572427 or 5572436 or 5572439 or 5573284 or 5573287 or 5573288 or 5573298 or 5575606 or 5575669 or 5576969 or 5576970 or 5576971 or 5576972 or 5576973 or 5577068 or 5577070,N/A,N/A,N/A,110676362 or 110676363 or 110676364 or 110676920 or 5563935 or 5563937 or 5564273 or 5565896 or 5566062 or 5566412 or 5567152 or 5570357 or 5570789 or 5571019 or 5571022 or 5571109 or 5571297 or 5571298 or 5572427 or 5572436 or 5572439 or 5573284 or 5573287 or 5573288 or 5573298 or 5575606 or 5575669 or 5576969 or 5576970 or 5576971 or 5576972 or 5576973 or 5577068 or 5577070,N/A,N/A,N/A,N/A,N/A,R02502__in,N/A,N/A,N/A,R02502,N/A,N/A
MNXR111731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5574675 or 5574682,5574675 or 5574682,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R08153,R08153,N/A
MNXR115493,N/A,5567150 or 5569658,N/A,N/A,N/A,5567150 or 5569658,N/A,N/A,N/A,N/A,N/A,3.4.21.7_RXN,N/A,N/A,N/A,3.4.21.7_RXN,N/A,N/A,N/A,N/A
MNXR99813,5575690 or AAEL012002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,G14T21g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR105393,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR148230,N/A,5565281 or 5567637 or 5579259,N/A,N/A,N/A,5565281 or 5567637 or 5579259,N/A,N/A,N/A,N/A,N/A,CARBONYL_REDUCTASE_NADPH_RXN,N/A,N/A,N/A,CARBONYL_REDUCTASE_NADPH_RXN,N/A,N/A,N/A,N/A
MNXR94770,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R_2AGPG181tipp,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR187586,N/A,N/A,N/A,N/A,N/A,N/A,5578387,N/A,5578387,N/A,N/A,N/A,N/A,N/A,N/A,RXN_18918,RXN_18918,N/A,RXN_18918,N/A
MNXR103690,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RE2521C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR146739,N/A,N/A,5573280 or 5575671,N/A,N/A,N/A,N/A,23687731 or 5564528 or 5567568 or 5573274 or 5573280 or 5573282 or 5573294 or 5573295 or 5573296 or 5573297 or 5575671,23687731 or 5564528 or 5567568 or 5573274 or 5573280 or 5573282 or 5573294 or 5573295 or 5573296 or 5573297 or 5575671,lbq:CKQ53_16415 or mrm:A7982_04114 or msd:MYSTI_03638 or saci:Sinac_0251 or spe:Spro_2301,N/A,N/A,R_XAND,N/A,N/A,N/A,N/A,R02103,RXN0_901,rxn31779_c
MNXR110920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gva:HMPREF0424_0582 or mbov:MBVG596_0498 or pbo:PACID_06980 or pmx:PERMA_1756 or psl:Psta_4039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn07214_c
