MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR116221,N/A,N/A,N/A,N/A,N/A,100753186 or 100768545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R381_RXN,N/A,N/A,N/A,N/A
MNXR121185,N/A,N/A,N/A,N/A,N/A,100767894,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_17824,N/A,N/A,N/A,N/A
MNXR162917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR100242,100772306,100772306,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GLDBRAN,GLDBRAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR153009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"ARAI, R_ARAI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR157322,N/A,100754654 or 100763159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAOXC10C10OHm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR158723,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR116093,N/A,100758439 or 100760905,N/A,N/A,N/A,N/A,N/A,N/A,100760827 or 100760905,N/A,N/A,NQOR_RXN,N/A,N/A,N/A,"NQOR_RXN_2_METHYL_3_PHYTYL_14_NAPHTHOQUINONE/NADH/PROTON//CPD_12831/NAD.63., NQOR_RXN_2_METHYL_3_PHYTYL_14_NAPHTHOQUINONE/NADPH/PROTON//CPD_12831/NADP.65., NQOR_RXN_CPD_9612/NADH/PROTON//CPD_15301/NAD.36., NQOR_RXN_CPD_9612/NADPH/PROTON//CPD_15301/NADP.38., NQOR_RXN_CPD_9720/NADH/PROTON//CPD_12126/NAD.36., NQOR_RXN_CPD_9720/NADPH/PROTON//CPD_12126/NADP.38., NQOR_RXN_CPD_9726/NADH/PROTON//CPD_21305/NAD.36., NQOR_RXN_CPD_9726/NADPH/PROTON//CPD_21305/NADP.38., NQOR_RXN_UBIQUINONE_6/NADH/PROTON//UBIQUINOL_30/NAD.43., NQOR_RXN_UBIQUINONE_6/NADPH/PROTON//UBIQUINOL_30/NADP.45., NQOR_RXN_UBIQUINONE_8/NADH/PROTON//CPD_9956/NAD.39., NQOR_RXN_UBIQUINONE_8/NADPH/PROTON//CPD_9956/NADP.41.",N/A,N/A,NQOR_RXN,N/A
MNXR164434,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100767373,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_19724,N/A
MNXR192047,N/A,N/A,EGV97698.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R_URCN,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR146698,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100750340 or 100751325 or 100751798 or 100755423 or 100758624 or 100762380 or 100762673 or 100763430 or 100763538 or 100768608,N/A,N/A,UGT1A2r,N/A,N/A,N/A,N/A,N/A,N/A,R02389,R02389,N/A
MNXR103878,100755154 or 100756252 or 100761464 or 100772859 or 100773433,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"RE3339C, RE3339M, RE3339X",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR119161,N/A,N/A,N/A,N/A,N/A,100689317 or 100752385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_15134,N/A,N/A,N/A,N/A
MNXR190906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cazo:G3A45_03650 or ean:Eab7_1914 or fli:Fleli_3851 or ldb:Ldb0516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn01370_c
MNXR173808,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caf:AL524_01170 or fad:CDH04_04940 or fpz:LA55_986 or frf:LO80_01280 or ftu:FTT_0941c or meu:ACJ67_03055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn16573_c
MNXR105628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR106983,N/A,N/A,N/A,EGW02791.1,N/A,N/A,N/A,EGW02791.1,EGW02791.1,echi:FKX85_07665,N/A,N/A,N/A,"R01421__cytop, R01421__nucl",N/A,N/A,N/A,R01421,R01421,rxn01034_c
MNXR158220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR170821,N/A,N/A,N/A,N/A,N/A,100754260 or 100765639 or 100770922 or EGW09208.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_21989,N/A,N/A,N/A,N/A
MNXR146701,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100750340 or 100751325 or 100751798 or 100755423 or 100758624 or 100762380 or 100762673 or 100763430 or 100763538 or 100768608,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R02502,N/A,N/A
MNXR115493,N/A,100761455,N/A,N/A,N/A,100761455,N/A,N/A,N/A,N/A,N/A,3.4.21.7_RXN,N/A,N/A,N/A,3.4.21.7_RXN,N/A,N/A,N/A,N/A
MNXR111225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100760162 or 100771275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R07623,N/A
MNXR143148,100750356 or 100758424 or 100760138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"GPAM_cho, GPAMm_cho",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR99813,100689346 or 100689347 or 100689430 or 100689434,100689346 or 100689347 or 100689430 or 100689434,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,G14T21g,G14T21g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR105393,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
