MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR96525,N/A,CBJ25954.1 or CBN74441.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CDIPT18111Z160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR121185,N/A,CBN76968.1,N/A,N/A,N/A,CBN76968.1,N/A,N/A,N/A,N/A,N/A,RXN_17824,N/A,N/A,N/A,RXN_17824,N/A,N/A,N/A,N/A
MNXR116093,N/A,CBJ28282.1 or CBN78047.1,N/A,N/A,N/A,CBJ28282.1 or CBN78047.1,N/A,N/A,CBN78047.1,N/A,N/A,NQOR_RXN,N/A,N/A,N/A,"NQOR_RXN, NQOR_RXN_2_METHYL_3_PHYTYL_14_NAPHTHOQUINONE/NADH/PROTON//CPD_12831/NAD.63., NQOR_RXN_2_METHYL_3_PHYTYL_14_NAPHTHOQUINONE/NADPH/PROTON//CPD_12831/NADP.65., NQOR_RXN_CPD_9612/NADH/PROTON//CPD_15301/NAD.36., NQOR_RXN_CPD_9612/NADPH/PROTON//CPD_15301/NADP.38., NQOR_RXN_CPD_9720/NADH/PROTON//CPD_12126/NAD.36., NQOR_RXN_CPD_9720/NADPH/PROTON//CPD_12126/NADP.38., NQOR_RXN_UBIQUINONE_6/NADH/PROTON//UBIQUINOL_30/NAD.43., NQOR_RXN_UBIQUINONE_6/NADPH/PROTON//UBIQUINOL_30/NADP.45., NQOR_RXN_UBIQUINONE_8/NADH/PROTON//CPD_9956/NAD.39., NQOR_RXN_UBIQUINONE_8/NADPH/PROTON//CPD_9956/NADP.41.",N/A,N/A,NQOR_RXN,N/A
MNXR100741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HOMSUCTRAN-RXN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR146698,N/A,N/A,N/A,CBN79165.1 or Esi_0187.0057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R02389__cytop,N/A,N/A,N/A,N/A,N/A,N/A
MNXR190906,N/A,N/A,CBJ29918.1,N/A,N/A,N/A,N/A,N/A,N/A,cap:CLDAP_16210 or tai:Taci_1361,N/A,N/A,R_DGUPP,N/A,N/A,N/A,N/A,N/A,N/A,rxn01370_c
MNXR119161,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_15134,N/A,N/A,N/A,N/A
MNXR94705,N/A,CBJ26621.1 or CBJ31349.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1AGPEAT1819Z1819Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR106983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ttk:TST_0589,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn01034_c
MNXR96549,N/A,CBJ25849.1 or CBJ31820.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CDPDAGS1819Z160, CDPDAGS1819Z160h",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR146701,N/A,N/A,N/A,CBN79165.1 or Esi_0187.0057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R02502__cytop,N/A,N/A,N/A,N/A,N/A,N/A
MNXR106516,N/A,N/A,N/A,Esi_0241.0001,N/A,N/A,N/A,N/A,N/A,N/A,DIHYDROOROT-RXN,N/A,N/A,"R00402__cytop, R00402__pero",N/A,N/A,N/A,N/A,N/A,N/A
MNXR115493,N/A,CBJ27944.1 or CBJ31555.1 or CBN74220.1 or CBN74221.1 or CBN74223.1 or CBN74225.1 or CBN74730.1 or CBN75786.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.4.21.7_RXN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR150929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CBJ30926.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R10859,N/A
MNXR148230,N/A,CBJ28015.1 or CBJ28016.1 or CBJ28018.1 or CBJ31195.1 or CBJ33454.1 or CBN79973.1 or CBN79974.1,N/A,N/A,N/A,CBJ28015.1 or CBJ28016.1 or CBJ28018.1 or CBJ31195.1 or CBJ33454.1 or CBN79973.1 or CBN79974.1,N/A,N/A,N/A,N/A,N/A,CARBONYL_REDUCTASE_NADPH_RXN,N/A,N/A,N/A,CARBONYL_REDUCTASE_NADPH_RXN,N/A,N/A,N/A,N/A
MNXR94770,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R_2AGPG181tipp,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR187586,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CBJ30981.1 or CBJ34194.1,N/A,N/A,N/A,N/A,N/A,N/A,RXN_18918,N/A,N/A,RXN_18918,N/A
