 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4,aureme5
MNXR02,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100024,1,1,1,1,0,1,1,1,1,1,1,1,1
MNXR100060,1,1,0,1,0,0,0,0,0,0,1,1,1
MNXR100074,1,0,1,1,1,1,1,1,0,1,1,1,1
MNXR100098,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100136,1,0,0,1,0,1,1,1,1,0,1,1,1
MNXR100219,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100238,1,0,0,1,0,0,0,0,0,0,1,0,0
MNXR100258,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100259,1,1,0,1,0,0,0,1,0,0,1,1,1
MNXR100276,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100285,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR100304,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR100308,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR100310,1,0,0,1,0,0,1,1,1,0,1,1,1
MNXR100311,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR100317,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR100325,1,1,1,1,0,1,1,1,1,1,1,0,0
MNXR100328,1,1,1,1,0,0,0,1,0,1,1,1,1
MNXR100329,1,0,1,1,0,1,1,0,1,1,1,0,0
MNXR100331,1,0,1,0,1,1,1,1,1,0,0,0,0
MNXR100332,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100336,1,0,1,1,0,1,1,1,0,1,1,1,1
MNXR100338,1,1,1,1,1,1,1,1,0,1,1,1,1
MNXR100343,1,0,0,0,1,1,0,1,0,0,0,0,0
MNXR100345,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR100348,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100351,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR100353,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100355,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100368,1,0,0,1,0,0,0,0,1,0,1,1,1
MNXR100371,1,1,0,0,1,1,0,1,0,0,0,0,0
MNXR100389,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100390,1,1,1,1,1,1,0,1,1,1,1,0,0
MNXR100410,1,0,1,1,1,1,1,1,1,1,1,0,0
MNXR100413,1,0,1,1,0,0,0,0,0,1,1,0,0
MNXR100443,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100446,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100449,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100450,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100482,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100493,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100494,1,1,0,0,0,0,0,1,0,0,0,0,0
MNXR100587,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100597,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR100628,1,0,1,1,0,0,0,0,0,0,1,1,1
MNXR100642,1,1,0,0,0,1,1,0,1,0,0,0,0
MNXR100644,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100649,1,1,0,1,0,0,0,1,0,0,1,1,1
MNXR100658,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100678,1,0,0,1,0,0,0,1,0,0,1,1,1
MNXR100681,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR100692,1,0,1,1,1,1,1,1,1,1,1,0,0
MNXR100698,1,0,1,1,0,1,1,1,1,0,1,1,1
MNXR100745,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100750,1,0,0,0,0,0,0,0,0,0,0,1,1
MNXR100763,1,0,1,1,0,1,1,1,0,1,1,1,1
MNXR100796,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100813,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100822,1,0,0,0,0,0,0,0,1,0,0,0,0
MNXR100824,1,1,0,1,0,0,0,1,0,0,1,1,1
MNXR100833,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100915,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100923,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100950,1,1,0,1,1,1,0,0,0,0,1,1,1
MNXR100951,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100956,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100999,1,0,0,0,0,0,0,1,0,0,1,1,1
MNXR101005,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101008,1,0,1,1,0,1,1,1,0,0,1,1,1
MNXR101009,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR101011,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101018,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR101037,1,0,1,1,0,0,0,0,1,1,1,1,1
MNXR101040,1,1,1,1,1,1,1,1,1,1,1,1,1
