 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4,aureme5
MNXR02,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100024,1,1,1,1,0,1,1,1,1,1,1,0,1
MNXR100030,1,1,0,0,1,1,1,1,1,0,1,0,1
MNXR100060,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100066,1,0,0,0,1,1,1,1,1,0,1,0,1
MNXR100074,1,0,1,1,1,1,1,1,0,1,1,0,1
MNXR100086,1,1,1,1,1,1,1,1,1,1,1,0,1
MNXR100098,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100099,1,0,0,0,0,1,1,0,1,0,0,0,0
MNXR100113,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100136,1,0,0,0,1,1,1,1,1,0,1,0,1
MNXR100177,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100238,1,0,0,0,1,1,0,0,1,0,0,0,0
MNXR100245,1,0,0,1,1,1,1,1,0,1,1,1,1
MNXR100258,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100259,1,1,0,1,0,0,0,0,0,0,0,1,0
MNXR100270,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100271,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100276,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR100277,1,1,1,1,1,1,1,1,0,1,1,0,1
MNXR100279,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100280,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100289,1,1,1,1,1,1,1,1,0,1,1,1,1
MNXR100291,1,0,1,1,0,1,1,0,1,1,1,1,1
MNXR100304,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100310,1,0,0,0,0,0,1,1,1,0,0,0,0
MNXR100314,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100317,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100320,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100325,1,1,1,1,0,0,0,0,1,1,1,0,0
MNXR100328,1,1,0,1,1,1,1,1,1,0,1,1,1
MNXR100331,1,0,1,1,0,0,0,0,0,1,1,1,0
MNXR100332,1,0,1,1,0,1,1,1,1,1,1,0,1
MNXR100336,1,0,1,1,0,1,1,1,1,1,1,0,0
MNXR100343,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR100345,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100348,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100351,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100352,1,0,0,0,1,1,0,1,0,0,1,0,1
MNXR100353,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100355,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100368,1,0,0,1,0,0,0,0,1,0,0,1,0
MNXR100371,1,1,0,1,0,0,0,0,0,0,0,1,0
MNXR100389,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100390,1,1,1,1,0,0,0,0,1,1,1,0,1
MNXR100410,1,0,0,0,0,1,1,0,1,0,0,0,0
MNXR100413,1,0,1,1,0,0,0,0,0,1,1,0,1
MNXR100443,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100446,1,0,1,1,0,1,1,0,1,1,1,1,1
MNXR100449,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100450,1,0,1,1,0,1,1,1,1,1,1,1,1
MNXR100482,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100493,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100494,1,1,0,0,0,0,0,1,0,0,0,0,0
MNXR100553,1,0,1,1,1,1,1,1,0,1,1,0,1
MNXR100587,1,0,1,1,0,1,1,1,1,1,1,1,1
MNXR100611,1,1,0,0,0,0,0,0,0,0,1,0,1
MNXR100628,1,0,1,1,1,1,1,1,1,1,1,1,0
MNXR100642,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100658,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR100678,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100682,1,0,0,1,1,1,0,0,0,0,1,1,1
MNXR100692,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100698,1,0,1,0,0,1,1,1,1,0,0,0,0
MNXR100699,1,0,1,0,0,1,1,1,1,0,0,0,0
MNXR100745,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100763,1,0,1,1,0,0,0,0,0,1,1,1,1
MNXR100784,1,1,1,1,1,1,1,0,0,1,1,0,0
MNXR100796,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100810,1,1,0,1,0,0,0,0,1,0,1,1,0
MNXR100813,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR100821,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100824,1,1,0,0,0,0,0,0,1,0,0,0,0
MNXR100826,1,1,1,1,0,1,1,1,1,0,1,1,1
MNXR100827,1,1,1,0,0,1,1,1,1,0,1,1,1
MNXR100833,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100874,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR100878,1,1,1,1,0,1,1,1,1,0,1,1,1
MNXR100915,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100923,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100939,1,0,0,0,1,1,0,0,0,0,0,0,0
MNXR100950,1,1,0,0,1,1,0,0,0,0,0,0,0
MNXR100951,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100956,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR100999,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101005,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101006,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101008,1,0,0,0,0,0,0,1,1,0,1,0,1
MNXR101009,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101011,1,0,0,0,1,1,0,0,0,0,1,0,1
MNXR101018,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101036,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101037,1,0,1,1,1,1,1,0,1,1,1,1,1
MNXR101040,1,1,0,0,0,0,0,0,0,0,1,0,1
MNXR101098,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101099,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101107,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101162,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101164,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101166,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101190,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101192,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101194,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101242,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101251,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101277,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101325,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101425,1,0,1,1,0,0,0,0,1,1,1,0,0
MNXR101439,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101443,1,1,1,1,0,1,1,1,1,1,1,1,1
MNXR101446,1,1,1,1,1,1,1,1,0,1,1,0,1
MNXR101447,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101464,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101474,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101486,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101489,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101493,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101505,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101507,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR101553,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101667,1,0,0,1,0,0,1,1,1,0,0,1,0
MNXR101669,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101670,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101680,1,0,0,0,0,0,0,0,0,0,1,0,1
MNXR101689,1,0,1,0,0,0,0,0,0,0,0,0,0
MNXR101690,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101803,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR101805,1,0,0,0,0,1,1,1,1,0,1,0,1
MNXR101860,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101863,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101872,1,0,1,1,0,0,0,0,0,0,1,0,1
MNXR101876,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101882,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101891,1,0,1,0,0,0,0,0,0,0,0,0,0
MNXR101892,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101898,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101912,1,1,0,1,0,0,0,1,0,0,1,1,1
MNXR101932,1,0,1,0,0,0,0,0,0,0,1,0,1
MNXR101937,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101938,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101939,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101940,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101949,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101950,1,1,0,1,1,1,0,0,0,0,1,1,1
MNXR101953,1,0,0,1,0,0,0,0,0,0,0,1,0
MNXR101956,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101957,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101958,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101959,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101977,1,1,1,1,0,0,0,0,1,0,0,1,0
MNXR101983,1,0,0,1,1,1,1,1,1,1,1,1,1
MNXR101992,1,1,0,1,0,0,0,0,0,0,1,1,1
MNXR102028,1,0,0,1,0,1,1,1,1,0,0,1,0
MNXR102033,1,0,0,0,0,1,1,1,1,0,0,1,0
MNXR102035,1,0,0,1,0,1,1,1,1,0,0,1,0
MNXR102036,1,0,0,1,0,1,1,1,1,0,0,1,0
MNXR102063,1,0,1,0,0,1,1,1,0,0,0,0,0
MNXR102068,1,0,0,0,0,0,0,0,1,0,0,0,0
MNXR102069,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102090,1,1,0,0,0,0,0,0,1,0,0,0,0
MNXR102137,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR102169,1,0,1,1,0,0,0,1,1,1,1,0,1
MNXR102180,1,1,1,0,0,1,1,1,0,0,0,0,0
MNXR102209,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR102218,1,0,1,1,0,0,0,0,1,1,1,0,1
MNXR102220,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR102223,1,1,0,0,1,1,0,0,0,0,0,0,0
MNXR102233,1,0,0,0,0,0,0,0,1,0,0,0,0
MNXR102242,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102243,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102244,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102248,1,0,0,0,0,1,1,0,1,0,0,0,0
MNXR102302,1,1,1,1,0,0,1,1,1,0,0,1,0
MNXR102303,1,1,1,0,0,1,1,1,1,0,0,0,0
MNXR102304,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102306,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102308,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102310,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102312,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102348,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102350,1,0,0,1,0,0,0,0,0,0,0,1,0
MNXR102353,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102354,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102356,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102391,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR102438,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR102440,1,0,1,1,0,0,0,0,0,1,1,1,1
MNXR102441,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102443,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102445,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102461,1,0,1,1,1,1,1,1,1,1,1,0,1
MNXR102462,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102495,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102516,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102517,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102518,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102524,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102527,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR102547,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR102550,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102551,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102552,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102558,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102560,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102561,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102562,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102567,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102590,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102591,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102596,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102650,1,0,1,1,1,1,1,1,1,1,1,0,0
MNXR102870,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102872,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102874,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102900,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102967,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102969,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102971,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102974,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102976,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102978,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102981,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102982,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102983,1,0,0,0,0,0,0,0,0,0,0,0,0
