"",Group,Hits,Members
Lipids and lipid-like molecules,Lipids and lipid-like molecules,57,"7-Dehydrocholesterol; L-Acetylcarnitine; Squalene; Capric acid; Myristic acid; Pentadecanoic acid; Suberic acid; Tetracosanoic acid; Heptadecanoic acid; Octacosanoic acid; trans-trans-Muconic acid; Canrenone; Bovinic acid; Cer(d18:1/16:0); Cer(d18:1/18:0); Mesterolone; 3a,7a-Dihydroxy-5b-cholestan-26-al; PI(16:0/16:0); PG(16:0/18:2(9Z,12Z)); Kojibiose; Dihydrolipoate; Isopropylmaleic acid; 3-O-Sulfogalactosylceramide (d18:1/14:0); Fumarycarnitine; trans-2-Hexenedioic acid; Succimer; Eplerenone; Dieporeticenin; Montecristin; Pubescenol; Punicic acid; 1-Acetoxy-2-hydroxy-16-heptadecen-4-one; (R)-2-Hydroxysterculic acid; 16-Methylheptadecanoic acid; Glycerol 1-(9Z-octadecenoate) 2-tetradecanoate 3-phosphate; Cohibin B; Armillaribin; Squamoxinone; Blennin D; Jasmonic acid; Artemoin A; Lippioside I; Cohibin C; (2E,8Z)-Decadiene-4,6-diyn-1-yl 3-methylbutanoate; alpha-Irone; 13-Hydroxyabscisic acid; (E)-11-Hexadecenoic acid; Goyaglycoside c; 7,8-Dehydro-beta-micropteroxanthin; Octyl formate; Majonoside R2; (Z)-13-Octadecenoic acid; sn-glycero-3-Phosphoethanolamine; 3-Methylsuberic acid; 1-Oleoylglycerophosphoserine; 1-alkyl-2-acylglycerophosphoethanolamine; Linoleamide"
Organic acids and derivatives,Organic acids and derivatives,32,"Phenylalanine; Proline; Histidine; Ornithine; 3-Hydroxyadipic acid; L-Arginine; Galactonic acid; 3-Methoxytyrosine; S-Formylglutathione; Methionine sulfoxide; 2,4-Diaminobutyric acid; N-Methyl-D-aspartic acid; A,b-Dihydroxyisobutyric acid; Beta-Tyrosine; Phosphonoacetate; L-4-Hydroxyglutamate semialdehyde; Alanylglycine; (S)-2-Aceto-2-hydroxybutanoic acid; Carbenicillin; Asparaginylhistidine; Aspartyl-Histidine; Glycyltyrosine; Histidylglycine; (S)-Spinacine; (R)C(S)S-Alliin; L-2-Amino-3-(1-pyrazolyl)propanoic acid; N,N'-Bis(g-glutamyl)-3,3'-(1,2-propylenedithio)dialanine; Moracin L; N2-Fructopyranosylarginine; 2-Amino-3-oxoadipate; Perindoprilat; 3-Hydroxylidocaine"
Organoheterocyclic compounds,Organoheterocyclic compounds,23,"Adenine; Hypoxanthine; Uric acid; 8-Hydroxyadenine; L-Tryptophan; 3-Pyridylacetic acid; Rabeprazole; 5-Methyldihydrofolic acid; 11-beta-Hydroxyandrosterone-3-glucuronide; 2,6-Diamino-4-hydroxy-5-N-methylformamidopyrimidine; 5'-Hydroxypiroxicam; 5'-Hydroxytenoxicam; Ethopropazine; Nedocromil; Levamisole; Praziquantel; Phendimetrazine; 2-(4-Methyl-5-thiazolyl)ethyl butanoate; 2-(4-Methyl-5-thiazolyl)ethyl isobutyrate; 3,4-Methylenedioxybenzaldehyde; 4,6-Dihydroxy-2-quinolinecarboxylic acid; Ambronide; Citbismine C"
Organic oxygen compounds,Organic oxygen compounds,23,"Melibiose; Galactitol; Pantothenic acid; N-Acetylneuraminic acid; Phosphohydroxypyruvic acid; 5-Aminoimidazole ribonucleotide; Glucosamine; Biflorin; Muramic acid; Quinone; D-Tagatose; Diketogulonic acid; 6-(alpha-D-Glucosaminyl)-1D-myo-inositol; Blepharin; beta-D-Fructofuranosyl alpha-D-glucopyranosyl-(1->4)-D-glucopyranoside; L-2-(Hydroxymethyl)-1,2,3,4-butanetetrol; 4-Methoxybenzyl O-(2-sulfoglucoside); Polyethylene glycol; 3-beta-Cellobiosylcellobiose; Pyro-L-glutaminyl-L-glutamine; De-O-methylsimmondsin; beta-D-Galactopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->6)-D-mannose; N-Monodemethyl roxithromycin"
Phenylpropanoids and polyketides,Phenylpropanoids and polyketides,14,"Kaempferol; Formononetin; Methyldopa; Tacrolimus; Fertaric acid; Nobiletin; Piplartine; Bergapten; Cichoriin; Notoginsenoside J; Cajanone; alpha,beta-Dihydroxanthohumol; 3'-(gamma,gamma-Dimethylallyl)genistein; (S)-3',4',5,7-Tetrahydroxy-5',8-diprenylflavanone"
Benzenoids,Benzenoids,12,"Gingerol; Sinapyl alcohol; Phentermine; Sulfametopyrazine; Terbinafine; Isofenphos; (S)-Pterosin D; Aloinoside B; 1,2-Dihydro-1,1,6-trimethylnaphthalene; Falimint; 1-Nitro-5,6-dihydroxy-dihydronaphthalene; 3-Methoxyanthranilate"
"Nucleosides, nucleotides, and analogues","Nucleosides, nucleotides, and analogues",9,Adenosine monophosphate; Adenosine; Deoxyadenosine; Thymidine; Pseudouridine; Adenosine phosphosulfate; Flavin mononucleotide; Stavudine; Fenugreekine
Organic nitrogen compounds,Organic nitrogen compounds,4,"L-Carnitine; Oleoylethanolamide; (3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid; Octadecylamine"
Organosulfur compounds,Organosulfur compounds,2,3-Mercapto-1-hexanol; (E)-S-1-Propenyl thiosulfate
Alkaloids and derivatives,Alkaloids and derivatives,1,Ajmaline
