"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C02294","Methylguanidine","HMDB0001522","10111","C02294","CNC(N)=N","1"
"C00956","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"C02261","D-alpha-Aminobutyric acid","HMDB0000650","439691","C02261","CC[C@@H](N)C(O)=O","1"
"C02360","2-Hydroxyadipic acid","HMDB0000321","193530","C02360","OC(CCCC(O)=O)C(O)=O","1"
"C00671","3-Methyl-2-oxovaleric acid","HMDB0000491","439286","C00671","CC[C@H](C)C(=O)C(O)=O","1"
"C00506","Cysteic acid","HMDB0002757","25701","C00506","NC(CS(O)(=O)=O)C(O)=O","1"
"C00989","4-Hydroxybutyric acid","HMDB0000710","10413","C00989","OCCCC(O)=O","1"
"C02835","Imidazoleacetic acid","HMDB0002024","96215","C02835","OC(=O)CC1=CN=CN1","1"
"C00233","Ketoleucine","HMDB0000695","70","C00233","CC(C)CC(=O)C(O)=O","1"
"C00170","5'-Methylthioadenosine","HMDB0001173","439176","C00170","CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
"C01879","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"C03406","Argininosuccinic acid","HMDB0000052","16950","C03406","N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O","1"
"C00719","Betaine","HMDB0000043","248","C00719","C[N+](C)(C)CC(O)=O","1"
"C00606","3-Sulfinoalanine","HMDB0000996","1549098","C00606","N[C@@H](CS(O)=O)C(O)=O","1"
"C00388","Histamine","HMDB0000870","774","C00388","NCCC1=CNC=N1","1"
"C00263","L-Homoserine","HMDB0000719","12647","C00263","N[C@@H](CCO)C(O)=O","1"
"C00519","Hypotaurine","HMDB0000965","107812","C00519","NCCS(O)=O","1"
"C00437","N2-Acetylornithine","HMDB0003357","439232","C00437","CC(=O)N[C@@H](CCCN)C(O)=O","1"
"C00166","Phenylpyruvic acid","HMDB0000205","997","C00166","OC(=O)C(=O)CC1=CC=CC=C1","1"
"C00148","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"C00213","Sarcosine","HMDB0000271","1088","C00213","CNCC(O)=O","1"
"C00245","Taurine","HMDB0000251","1123","C00245","NCCS(O)(=O)=O","1"
"C00078","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"C04039","2,3-Dihydroxy-3-methylbutanoate","METPA0458",NA,"C04039",NA,"1"
"C02504","2-Isopropylmalic acid","HMDB0000402","5280523","C02504","CC(C)[C@@](O)(CC(O)=O)C(O)=O","1"
"C00141","alpha-Ketoisovaleric acid","HMDB0000019","49","C00141","CC(C)C(=O)C(O)=O","1"
"C01035","4-Guanidinobutanoic acid","HMDB0003464","500","C01035","NC(=N)NCCCC(O)=O","1"
"C00179","Agmatine","HMDB0001432","199","C00179","NCCCCNC(N)=N","1"
"C00041","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"C00062","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"C00152","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"C00049","L-Aspartic acid","HMDB0000191","5960","C00049","N[C@@H](CC(O)=O)C(O)=O","1"
"C08269","Betonicine","HMDB0029412","164642","C08269","C[N+]1(C)C[C@H](O)C[C@H]1C([O-])=O","1"
"C02862","Butyrylcarnitine","HMDB0002013","213144","C02862","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"C00327","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"C02291","L-Cystathionine","HMDB0000099","439258","C02291","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"C00097","L-Cysteine","HMDB0000574","5862","C00097","N[C@@H](CS)C(O)=O","1"
"C03626","Asymmetric dimethylarginine","HMDB0001539","123831","C03626","N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O","1"
"C01026","Dimethylglycine","HMDB0000092","673","C01026","CN(C)CC(O)=O","1"
"C05570","Ergothioneine","HMDB0003045","5351619","C05570","C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C([O-])=O","1"
"C00334","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"C00669","gamma-Glutamylcysteine","HMDB0001049","123938","C00669","N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O","1"
"C05283","N2-gamma-Glutamylglutamine","HMDB0011738","150914","C05283","N[C@@H](CCC(=O)N[C@@H](CCC(N)=O)C(O)=O)C(O)=O","1"
"C00025","L-Glutamate",NA,NA,"C00025",NA,"1"
"C00064","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"C00127","Oxidized glutathione","HMDB0003337","65359","C00127","N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"C00051","Glutathione","HMDB0000125","124886","C00051","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","1"
"C00037","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"C00135","Histidine","HMDB0000177","6274","C00135","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"C00860","L-Histidinol","HMDB0003431","165271","C00860","N[C@H](CO)CC1=CNC=N1","1"
"C01924","Homo-L-arginine","HMDB0000670","9085","C01924","N[C@@H](CCCCNC(N)=N)C(O)=O","1"
"C08283","(S)-Homostachydrine","HMDB0033433","441447","C08283","C[N+]1(C)CCCC[C@H]1C([O-])=O","1"
"C05568","Imidazole lactate","METPA0616",NA,"C05568",NA,"1"
"C00407","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"C00123","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"C00047","Lysine","HMDB0000182","5962","C00047","NCCCC[C@H](N)C(O)=O","1"
"C00073","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"C02989","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"C02847","NA","NA","NA","NA","NA","0"
"C02562","NA","NA","NA","NA","NA","0"
"C00624","N-Acetyl-L-glutamic acid","HMDB0001138","70914","C00624","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"C02716","NA","NA","NA","NA","NA","0"
"C05135","N-Acetylhistamine","HMDB0013253","69602","C05135","CC(=O)NCCC1=CN=CN1","1"
"C02997","N-Acetylhistidine","HMDB0032055","75619","C02997","CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"C02712","N-Acetyl-L-methionine","HMDB0011745","448580","C02712","CSCC[C@H](NC(C)=O)C(O)=O","1"
"C03519","N-Acetyl-L-phenylalanine","HMDB0000512","74839","C03519","CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
