"",Group,Hits,Members
Organic acids and derivatives,Organic acids and derivatives,95,"3-Hydroxybutyric acid; alpha-Ketoisovaleric acid; Ureidopropionic acid; Betaine; Argininosuccinic acid; beta-Alanine; Pipecolic acid; cis-Aconitic acid; Dimethylglycine; Citric acid; L-Cystathionine; gamma-Aminobutyric acid; Glycine; Glutathione; Fumaric acid; Malic acid; L-Tyrosine; Phenylalanine; L-Alanine; Proline; L-Threonine; L-Asparagine; Isoleucine; Maleic acid; Histidine; Lysine; Serine; Lactic acid; L-Aspartic acid; Isocitric acid; N6-Acetyl-L-lysine; Oxoglutaric acid; Ornithine; O-Phosphoethanolamine; Pyruvic acid; Taurine; Succinic acid; Phosphoenolpyruvic acid; Pyroglutamic acid; Sarcosine; 2-Methylcitric acid; 3-Methyl-2-oxovaleric acid; Aminoadipic acid; N-Acetyl-L-phenylalanine; L-Arginine; Galactonic acid; L-Cysteine; Glutamine; D-alpha-Aminobutyric acid; Glutaric acid; Homo-L-arginine; Leucine; Malonic acid; Ketoleucine; Methionine; Hydroxypropionic acid; L-Homoserine; 4-Hydroxyproline; Glycylleucine; Ureidosuccinic acid; L-Valine; Citrulline; trans-Aconitic acid; Hypotaurine; 3-Sulfinoalanine; gamma-Glutamylcysteine; N-Acetyl-L-glutamic acid; Allantoic acid; N6,N6,N6-Trimethyl-L-lysine; Acetylphosphate; Asymmetric dimethylarginine; Methionine sulfoxide; N-Acetylputrescine; Oxalic acid; Cysteic acid; Ergothioneine; Oxidized glutathione; N2-Acetylornithine; 4-Guanidinobutanoic acid; Taurocyamine; 3-Aminoisobutanoic acid; Proline betaine; N2-gamma-Glutamylglutamine; N-Acetyl-L-methionine; N-Acetylhistamine; Betonicine; L-Targinine; N-Acetylhistidine; (S)-Homostachydrine; Hydroxypropanedioic acid; 1-Aminocyclopropanecarboxylic acid; 2-Hydroxyglutarate; Lenticin; N-methyl-L-glutamic Acid; N-Methylalanine"
Lipids and lipid-like molecules,Lipids and lipid-like molecules,37,"Glycerophosphocholine; Glycerylphosphorylethanolamine; Glycerol 3-phosphate; L-Acetylcarnitine; Palmitic acid; 2-Hydroxyadipic acid; 3-Hydroxymethylglutaric acid; 2-Isopropylmalic acid; Citramalic acid; Adipic acid; beta-Carotene; Linoleic acid; 4-Hydroxybutyric acid; Azelaic acid; Myristic acid; Propionylcarnitine; Pentadecanoic acid; Suberic acid; Arachidonic acid; 4-Trimethylammoniobutanoic acid; alpha-Tocopherol; Eicosapentaenoic acid; Myristoleic acid; Butyrylcarnitine; Erucic acid; Itaconic acid; delta-Tocopherol; Dihomo-gamma-linolenic acid; gamma-Linolenic acid; Palmitoleic acid; 15-HETE; Eicosadienoic acid; Stearidonic acid; Guanosine 2',3'-cyclic phosphate; Fucosterol; Docosadienoate (22:2n6); 2-Hydroxystearic acid"
"Nucleosides, nucleotides, and analogues","Nucleosides, nucleotides, and analogues",31,"Deoxyuridine; Deoxycytidine; Adenosine monophosphate; Adenosine; Deoxyinosine; Deoxyguanosine; Cytidine; Cytidine monophosphate; Deoxyadenosine; Guanosine; Inosinic acid; Inosine; Nicotinamide ribotide; Thymidine; Uridine diphosphate glucose; Uridine 5'-monophosphate; Uridine diphosphate-N-acetylglucosamine; Uridine; Pseudouridine; NAD; Deoxyadenosine monophosphate; 2'-Deoxyguanosine 5'-monophosphate; 5'-Methylthioadenosine; dCMP; 5-Thymidylic acid; FAD; Guanosine monophosphate; Flavin mononucleotide; 1-Methyladenosine; 3'-AMP; Uridine 2',3'-cyclic phosphate"
Organoheterocyclic compounds,Organoheterocyclic compounds,26,Adenine; Dihydrobiopterin; Guanine; Hypoxanthine; Orotic acid; Thiamine; Pyridoxine; Uric acid; Xanthine; Uracil; Urocanic acid; Tryptamine; Allantoin; Biopterin; 5-Hydroxymethyluracil; Cytosine; L-Tryptophan; S-Adenosylhomocysteine; Dehydroascorbic acid; Niacinamide; Pyridoxamine; Nicotinic acid; Pyridoxal; Imidazoleacetic acid; 8-Hydroxyguanine; 1-Methyladenine
Organic oxygen compounds,Organic oxygen compounds,24,"D-Glucose; Glycerol; Glyceric acid; D-Maltose; D-Mannose; Pantothenic acid; myo-Inositol; Sucrose; D-Ribose; Gluconic acid; D-Fructose; 3-Phosphoglyceric acid; Nicotinamide riboside; Ribonic acid; Threonic acid; Trehalose; 6-Phosphogluconic acid; Isomaltose; Erythritol; scyllo-Inositol; Nicotinic acid ribonucleoside; Adenosine 2',3'-cyclic phosphate; Adenosine 2'-phosphate; L-Iditol"
Organic nitrogen compounds,Organic nitrogen compounds,8,Choline; Sphinganine; Histamine; Trimethylamine N-oxide; Spermidine; Agmatine; Methylguanidine; L-Histidinol
Benzenoids,Benzenoids,5,"Phenylpyruvic acid; Tyramine; Adenylsuccinic acid; Phenylethylamine; 1,3,5-Trihydroxybenzene"
Homogeneous non-metal compounds,Homogeneous non-metal compounds,2,Phosphate; Sulfate
Phenylpropanoids and polyketides,Phenylpropanoids and polyketides,1,D-Phenyllactic acid
Alkaloids and derivatives,Alkaloids and derivatives,1,Trigonelline
