"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"iminodimethanethiol","NA","NA","NA","NA","NA","0"
"L-Proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"A,b-Dihydroxyisobutyric acid","A,b-Dihydroxyisobutyric acid","HMDB0002601","560781",NA,"CC(O)(CO)C(O)=O","1"
"methylene bis(thiocyanate)","NA","NA","NA","NA","NA","0"
"Ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"Adenine","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"phenyl acetimidate","NA","NA","NA","NA","NA","0"
"trans-trans-Muconic acid","trans-trans-Muconic acid","HMDB0002349","5356793","C02480","OC(=O)\C=C\C=C\C(O)=O","1"
"(S)-2-Aceto-2-hydroxybutanoic acid","(S)-2-Aceto-2-hydroxybutanoic acid","HMDB0006900","440875","C06006","CC[C@](O)(C(C)=O)C(O)=O","1"
"trans-2-Hexenedioic acid","trans-2-Hexenedioic acid","HMDB0013311","10877230",NA,"OC(=O)CC\C=C\C(O)=O","1"
"Alanylglycine","Alanylglycine","HMDB0006899","6998028",NA,"C[C@H](N)C(=O)NCC(O)=O","1"
"N-Methyl-D-aspartic acid","N-Methyl-D-aspartic acid","HMDB0002393","22880","C12269","CN[C@H](CC(O)=O)C(O)=O","1"
"L-4-Hydroxyglutamate semialdehyde","L-4-Hydroxyglutamate semialdehyde","HMDB0006556","440851","C05938","N[C@@H](C[C@@H](O)C=O)C(O)=O","1"
"3,4-Methylenedioxybenzaldehyde","3,4-Methylenedioxybenzaldehyde","HMDB0032612","8438","C10812","[H]C(=O)C1=CC2=C(OCO2)C=C1","1"
"L-2-(Hydroxymethyl)-1,2,3,4-butanetetrol","L-2-(Hydroxymethyl)-1,2,3,4-butanetetrol","HMDB0033730","15927667",NA,"OCC(O)C(O)(CO)CO","1"
"(E)-S-1-Propenyl thiosulfate","(E)-S-1-Propenyl thiosulfate","HMDB0041079","101409344",NA,"C\C=C\SS(O)(=O)=O","1"
"L-2-Amino-3-(1-pyrazolyl)propanoic acid","L-2-Amino-3-(1-pyrazolyl)propanoic acid","HMDB0034267","119630",NA,"NC(CN1C=CC=N1)C(O)=O","1"
"benzenesulfonic acid","NA","NA","NA","NA","NA","0"
"Octyl formate","Octyl formate","HMDB0038603","8176",NA,"CCCCCCCCOC=O","1"
"cysteamine S-phosphate(2-)","NA","NA","NA","NA","NA","0"
"5-nitrouracil","NA","NA","NA","NA","NA","0"
"Isopropylmaleate","Isopropylmaleic acid","HMDB0012241","5280533","C02631","CC(C)C(=C\C(O)=O)\C(O)=O","1"
"L-Carnitine","L-Carnitine","HMDB0000062","10917","C00487","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"Methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"(2E)-3-(3,4-dihydroxyphenyl)prop-2-enal","NA","NA","NA","NA","NA","0"
"L-Phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"thiodiacetic acid sulfoxide","Thiodiacetic acid sulfoxide",NA,"17395871","C14873",NA,"1"
"Uric acid","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"(S)-Spinacine","(S)-Spinacine","HMDB0029873","363935",NA,"OC(=O)C1CC2=C(CN1)N=CN2","1"
"Capric acid","Capric acid","HMDB0000511","2969","C01571","CCCCCCCCCC(O)=O","1"
"Suberic acid","Suberic acid","HMDB0000893","10457","C08278","OC(=O)CCCCCCC(O)=O","1"
"L-Arginine","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"1,2-Dihydro-1,1,6-trimethylnaphthalene","1,2-Dihydro-1,1,6-trimethylnaphthalene","HMDB0040284","121677",NA,"CC1=CC2=C(C=C1)C(C)(C)CC=C2","1"
"2-Amino-3-oxoadipate","2-Amino-3-oxoadipate","HMDB0060273","440714","C05520","NC(C(O)=O)C(=O)CCC(O)=O","1"
"D-Tagatose","D-Tagatose","HMDB0003418","14408225","C00795","OC[C@@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O","1"
"Beta-Tyrosine","Beta-Tyrosine","HMDB0003831","440311","C04368","NC(CC(O)=O)C1=CC=C(O)C=C1","1"
"Glucosamine","Glucosamine","HMDB0001514","439213","C00329","N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"Galactitol","Galactitol","HMDB0000107","11850","C01697","OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO","1"
"Meta-Tyrosine","NA","NA","NA","NA","NA","0"
"Succimer","Succimer","HMDB0014706","9354","C07598","OC(=O)C(S)C(S)C(O)=O","1"
"Phosphohydroxypyruvic acid","Phosphohydroxypyruvic acid","HMDB0001024","105","C03232","OC(=O)C(=O)COP(O)(O)=O","1"
"Polyethylene glycol","Polyethylene glycol","HMDB0037790","174","C01380","[H]OCCO[H]","1"
"3-Methylsuberic acid","3-Methylsuberic acid","HMDB0059783","12346696",NA,"CC(CCCCC(O)=O)CC(O)=O","1"
"Diketogulonic acid","Diketogulonic acid","HMDB0005971","440390","C04575","OC[C@H](O)[C@@H](O)C(=O)C(=O)C(O)=O","1"
"Phendimetrazine","Phendimetrazine","HMDB0015519","12460","C07904","CC1C(OCCN1C)C1=CC=CC=C1","1"
"2-methyl-4-(sulfooxy)but-2-enoic acid","NA","NA","NA","NA","NA","0"
"Galactonic acid","Galactonic acid","HMDB0000565","128869","C00880","OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"Levamisole","Levamisole","HMDB0014986","26879","C07070","C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1","1"
"4,6-Dihydroxy-2-quinolinecarboxylic acid","4,6-Dihydroxy-2-quinolinecarboxylic acid","HMDB0033528","440752","C05663","OC(=O)C1=CC(=O)C2=CC(O)=CC=C2N1","1"
"L-Acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"alpha-Irone","alpha-Irone","HMDB0035631","5371002","C09690","CC1CC=C(C)C(\C=C\C(C)=O)C1(C)C","1"
"Dihydrolipoate","Dihydrolipoate","HMDB0012210","421","C02147","OC(=O)CCCCC(S)CCS","1"
"Sinapyl alcohol","Sinapyl alcohol","HMDB0013070","5280507","C02325","COC1=CC(\C=C\CO)=CC(OC)=C1O","1"
"Histidinyl-Glycine","Histidylglycine","HMDB0028885","101179",NA,"N[C@@H](CC1=CNC=N1)C(=O)NCC(O)=O","1"
"2-(4-Methyl-5-thiazolyl)ethyl butanoate","2-(4-Methyl-5-thiazolyl)ethyl butanoate","HMDB0032418","3023838",NA,"CCCC(=O)OCCC1=C(C)N=CS1","1"
"Methyldopa","Methyldopa","HMDB0011754","38853","C07194","C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O","1"
"Dimexano","NA","NA","NA","NA","NA","0"
"sn-glycero-3-Phosphoethanolamine","sn-glycero-3-Phosphoethanolamine","HMDB0059660","5459861",NA,"NCCO[P@@](O)(=O)OC[C@@H](O)CO","1"
"2-(4-Methyl-5-thiazolyl)ethyl isobutyrate","2-(4-Methyl-5-thiazolyl)ethyl isobutyrate","HMDB0032422","3023273",NA,"CC(C)C(=O)OCCC1=C(C)SC=N1","1"
"Bergapten","Bergapten","HMDB0030637","2355","C01557","COC1=C2C=CC(=O)OC2=CC2=C1C=CO2","1"
"Pantothenic acid","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"2-naphthyl dihydrogen phosphate","NA","NA","NA","NA","NA","0"
"Myristic acid","Myristic acid","HMDB0000806","11005","C06424","CCCCCCCCCCCCCC(O)=O","1"
"1-(phenylmethyl)-4-quinolinone","NA","NA","NA","NA","NA","0"
"D-threo-L-galacto-octose","NA","NA","NA","NA","NA","0"
"(1S,6R)-2-succinyl-6-hydroxycyclohexa-2,4-diene-1-carboxylic acid","NA","NA","NA","NA","NA","0"
"Thymidine","Thymidine","HMDB0000273","5789","C00214","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"Pentadecanoic acid","Pentadecanoic acid","HMDB0000826","13849","C16537","CCCCCCCCCCCCCCC(O)=O","1"
"Pseudouridine","Pseudouridine","HMDB0000767","15047","C02067","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O","1"
"Stavudine","Stavudine","HMDB0014787","18283","C07312","CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O","1"
"4,4'-sulfonyldiphenol","NA","NA","NA","NA","NA","0"
"3-Hydroxylidocaine","3-Hydroxylidocaine","HMDB0060655","161824","C16560","CCN(CC)CC(=O)NC1=C(C)C=CC(O)=C1C","1"
"Muramic acid","Muramic acid","HMDB0003254","22833605","C06470","C[C@@H](O[C@H]1[C@@H](N)[C@H](O)O[C@H](CO)[C@H]1O)C(O)=O","1"
"Deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","C00559","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"Aspergillide A","NA","NA","NA","NA","NA","0"
"(E)-11-Hexadecenoic acid","(E)-11-Hexadecenoic acid","HMDB0037647","5312413",NA,"CCCC\C=C\CCCCCCCCCC(O)=O","1"
"valienol 1-phosphate(2-)","NA","NA","NA","NA","NA","0"
"Pyro-L-glutaminyl-L-glutamine","Pyro-L-glutaminyl-L-glutamine","HMDB0039229","11010621",NA,"NC(=O)CC[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(O)=O","1"
"furagin","NA","NA","NA","NA","NA","0"
"2-[(2-sulfanylidene-3H-1,3,4-thiadiazol-5-yl)thio]butanedioic acid","NA","NA","NA","NA","NA","0"
"2-(5-methyl-3-oxo-1H-pyrazol-2-yl)-6-oxo-1H-pyrimidine-5-carboxylic acid ethyl ester","NA","NA","NA","NA","NA","0"
"Blennin D","Blennin D","HMDB0031902","13995417",NA,"CC1C=C2C(COC2=O)C(O)C2CC(C)(C)CC12O","1"
"cafaminol","NA","NA","NA","NA","NA","0"
"Formononetin","Formononetin","HMDB0005808","5280378","C00858","COC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O","1"
"Aspartyl-Histidine","Aspartyl-Histidine","HMDB0028755","14717808",NA,"NC(CC(O)=O)C(=O)NC(CC1=CN=CN1)C(O)=O","1"
"Heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465",NA,"CCCCCCCCCCCCCCCCC(O)=O","1"
"Asparaginyl-Histidine","Asparaginylhistidine","HMDB0028733","9835143",NA,"N[C@@H](CC(N)=O)C(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"Octadecylamine","Octadecylamine","HMDB0029586","15793",NA,"CCCCCCCCCCCCCCCCCCN","1"
"Punicic acid","Punicic acid","HMDB0030963","12309425","C08364","CCCC\C=C\C=C/C=C/CCCCCCCC(O)=O","1"
"2-(6-carboxy-3,4,5-trihydroxyoxan-2-yl)propanedioic acid","NA","NA","NA","NA","NA","0"
"Bovinic acid","Bovinic acid","HMDB0003797","5280644","C04056","CCCCCC\C=C\C=C/CCCCCCCC(O)=O","1"
"Sulfametopyrazine","Sulfametopyrazine","HMDB0014802","9047","C12616","COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1","1"
"(Z)-13-Octadecenoic acid","(Z)-13-Octadecenoic acid","HMDB0041480","5312441",NA,"CCCC\C=C/CCCCCCCCCCCC(O)=O","1"
"7-hydroxy-10-heptadecen-8-ynoic acid","NA","NA","NA","NA","NA","0"
"16-Methylheptadecanoic acid","16-Methylheptadecanoic acid","HMDB0031066","21859","C20356","CC(C)CCCCCCCCCCCCCCC(O)=O","1"
"N-acetyl-6-O-sulfo-D-glucosamine","NA","NA","NA","NA","NA","0"
"Jasmonic acid","Jasmonic acid","HMDB0032797","5281166","C08491","CC\C=C/C[C@@H]1[C@@H](CC(O)=O)CCC1=O","1"
"Gingerol","Gingerol","HMDB0005783","3473","C10462","CCCCCC(O)CC(=O)CCC1=CC=C(O)C(OC)=C1","1"
"5-Aminoimidazole ribonucleotide","5-Aminoimidazole ribonucleotide","HMDB0001235","161500","C03373","NC1=CN=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"Mesterolone","Mesterolone","HMDB0006036","15020","D04947   ","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)C[C@H](C)[C@]12C","1"
"N-Acetylneuraminic acid","N-Acetylneuraminic acid","HMDB0000230","445063","C19910","[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"Ethopropazine","Ethopropazine","HMDB0014536","3290",NA,"CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12","1"
"Praziquantel","Praziquantel","HMDB0015191","4891","C07367","O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1","1"
"Piplartine","Piplartine","HMDB0030341","637858","C10166","COC1=CC(\C=C\C(=O)N2CCC=CC2=O)=CC(OC)=C1OC","1"
"N-(1-Deoxy-1-fructosyl)histidine","NA","NA","NA","NA","NA","0"
"Portulacaxanthin I","NA","NA","NA","NA","NA","0"
"Moracin L","Moracin L","HMDB0041297","19005",NA,"CC1=CCC2=C3OC(=CC3=CC(O)=C2OC1)C1=CC(O)=CC(O)=C1","1"
