"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"1-methylguanidine","Methylguanidine","HMDB0001522","10111","C02294","CNC(N)=N","1"
"2-aminoadipate","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"2-aminobutyrate","L-alpha-Aminobutyric acid","HMDB0000452","80283","C02356","CC[C@H](N)C(O)=O","1"
"2-hydroxyadipate","2-Hydroxyadipic acid","HMDB0000321","193530","C02360","OC(CCCC(O)=O)C(O)=O","1"
"2-methylbutyroylcarnitine (C5)","NA","NA","NA","NA","NA","0"
"2-piperidinone","2-Piperidinone","HMDB0011749","12665",NA,"O=C1CCCCN1","1"
"3,4-dihydroxyphenylacetate sulfate","NA","NA","NA","NA","NA","0"
"3-hydroxybutyrylcarnitine (1)","NA","NA","NA","NA","NA","0"
"3-methyl-2-oxovalerate","NA","NA","NA","NA","NA","0"
"3-sulfo-L-alanine","NA","NA","NA","NA","NA","0"
"4-hydroxybutyrate (GHB)","NA","NA","NA","NA","NA","0"
"4-imidazoleacetate","Imidazoleacetic acid","HMDB0002024","96215","C02835","OC(=O)CC1=CN=CN1","1"
"4-methyl-2-oxopentanoate","Ketoleucine","HMDB0000695","70","C00233","CC(C)CC(=O)C(O)=O","1"
"5-methylthioadenosine (MTA)","NA","NA","NA","NA","NA","0"
"5-oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"6-oxopiperidine-2-carboxylic acid","6-Oxopiperidine-2-carboxylic acid","HMDB0061705","3014237",NA,"OC(=O)C1CCCC(O)=N1","1"
"argininosuccinate","Argininosuccinic acid","HMDB0000052","16950","C03406","N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O","1"
"betaine","Betaine","HMDB0000043","248","C00719","C[N+](C)(C)CC(O)=O","1"
"cysteine sulfinic acid","NA","NA","NA","NA","NA","0"
"histamine","Histamine","HMDB0000870","774","C00388","NCCC1=CNC=N1","1"
"homoserine (homoserine lactone)","NA","NA","NA","NA","NA","0"
"hypotaurine","Hypotaurine","HMDB0000965","107812","C00519","NCCS(O)=O","1"
"N-alpha-acetylornithine","N2-Acetylornithine","HMDB0003357","439232","C00437","CC(=O)N[C@@H](CCCN)C(O)=O","1"
"phenylpyruvate","Phenylpyruvic acid","HMDB0000205","997","C00166","OC(=O)C(=O)CC1=CC=CC=C1","1"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"sarcosine (N-Methylglycine)","NA","NA","NA","NA","NA","0"
"taurine","Taurine","HMDB0000251","1123","C00245","NCCS(O)(=O)=O","1"
"tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"2,3-dihydroxyisovalerate","NA","NA","NA","NA","NA","0"
"2-isopropylmalate","2-Isopropylmalic acid","HMDB0000402","5280523","C02504","CC(C)[C@@](O)(CC(O)=O)C(O)=O","1"
"3-methyl-2-oxobutyrate","alpha-Ketoisovaleric acid","HMDB0000019","49","C00141","CC(C)C(=O)C(O)=O","1"
"4-guanidinobutanoate","4-Guanidinobutanoic acid","HMDB0003464","500","C01035","NC(=N)NCCCC(O)=O","1"
"agmatine","Agmatine","HMDB0001432","199","C00179","NCCCCNC(N)=N","1"
"alanine","Alanine",NA,NA,"C01401",NA,"1"
"arginine","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"aspartate","L-Aspartic acid","HMDB0000191","5960","C00049","N[C@@H](CC(O)=O)C(O)=O","1"
"beta-hydroxyisovaleroylcarnitine","NA","NA","NA","NA","NA","0"
"beta-methyllevulinate","NA","NA","NA","NA","NA","0"
"betonicine","Betonicine","HMDB0029412","164642","C08269","C[N+]1(C)C[C@H](O)C[C@H]1C([O-])=O","1"
"butyrylcarnitine (C4)","NA","NA","NA","NA","NA","0"
"cis-urocanate","NA","NA","NA","NA","NA","0"
"citrulline","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"cystathionine","L-Cystathionine","HMDB0000099","439258","C02291","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"cysteine","L-Cysteine","HMDB0000574","5862","C00097","N[C@@H](CS)C(O)=O","1"
"cysteine-glutathione disulfide","NA","NA","NA","NA","NA","0"
"dimethylarginine (ADMA + SDMA)","NA","NA","NA","NA","NA","0"
"dimethylglycine","Dimethylglycine","HMDB0000092","673","C01026","CN(C)CC(O)=O","1"
"ergothioneine","Ergothioneine","HMDB0003045","5351619","C05570","C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C([O-])=O","1"
"gamma-aminobutyrate (GABA)","NA","NA","NA","NA","NA","0"
"gamma-glutamyl-2-aminobutyrate","NA","NA","NA","NA","NA","0"
"gamma-glutamylalanine","gamma-Glutamylalanine","HMDB0006248","440103","C03740","C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"gamma-glutamylcysteine","gamma-Glutamylcysteine","HMDB0001049","123938","C00669","N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O","1"
"gamma-glutamylglutamine","N2-gamma-Glutamylglutamine","HMDB0011738","150914","C05283","N[C@@H](CCC(=O)N[C@@H](CCC(N)=O)C(O)=O)C(O)=O","1"
"gamma-glutamylglycine","gamma-Glutamylglycine","HMDB0011667","165527",NA,"N[C@@H](CCC(=O)NCC(O)=O)C(O)=O","1"
"gamma-glutamylisoleucine","gamma-Glutamylisoleucine","HMDB0011170","22885096",NA,"CC[C@H](C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"gamma-glutamylleucine","gamma-Glutamylleucine","HMDB0011171","151023",NA,"CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"gamma-glutamylmethionine","gamma-Glutamylmethionine","HMDB0034367","7009567",NA,"CSCC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"gamma-glutamylphenylalanine","gamma-Glutamylphenylalanine","HMDB0000594","111299",NA,"N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O","1"
"gamma-glutamylvaline","gamma-Glutamylvaline","HMDB0011172","7015683",NA,"CC(C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"glutamate","Glutamic acid","HMDB0000148","33032","C00302","N[C@@H](CCC(O)=O)C(O)=O","1"
"glutamate, gamma-methyl ester","NA","NA","NA","NA","NA","0"
"glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"glutathione, oxidized (GSSG)","NA","NA","NA","NA","NA","0"
"glutathione, reduced (GSH)","NA","NA","NA","NA","NA","0"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"histidine","Histidine","HMDB0000177","6274","C00135","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"histidinol","NA","NA","NA","NA","NA","0"
"homoarginine","Homo-L-arginine","HMDB0000670","9085","C01924","N[C@@H](CCCCNC(N)=N)C(O)=O","1"
"homostachydrine","Proline betaine","HMDB0004827","115244","C10172","C[N+]1(C)CCC[C@H]1C([O-])=O","1"
"imidazole lactate","Imidazole lactate","METPA0616",NA,"C05568",NA,"1"
"isobutyrylcarnitine (C4)","NA","NA","NA","NA","NA","0"
"isoleucine","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"isovalerylcarnitine (C5)","NA","NA","NA","NA","NA","0"
"leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"lysine","Lysine","HMDB0000182","5962","C00047","NCCCC[C@H](N)C(O)=O","1"
"methionine","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"methionine sulfone","Methionine sulfone","HMDB0062174","445282",NA,"CS(=O)(=O)CC[C@H](N)C(O)=O","1"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"N-acetyl-1-methylhistidine","NA","NA","NA","NA","NA","0"
