Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
1-methylguanidine,Methylguanidine,HMDB0001522,10111,C02294,CNC(N)=N,1,MNXM4043
2-aminoadipate,Aminoadipic acid,HMDB0000510,92136,C00956,N[C@@H](CCCC(O)=O)C(O)=O,1,MNXM1368894
2-aminobutyrate,L-alpha-Aminobutyric acid,HMDB0000452,80283,C02356,CC[C@H](N)C(O)=O,1,MNXM17054
2-hydroxyadipate,2-Hydroxyadipic acid,HMDB0000321,193530,C02360,OC(CCCC(O)=O)C(O)=O,1,MNXM3812
2-methylbutyroylcarnitine (C5),,,,,,0,N/A
2-piperidinone,2-Piperidinone,HMDB0011749,12665,,O=C1CCCCN1,1,MNXM35433
"3,4-dihydroxyphenylacetate sulfate",,,,,,0,MNXM1128409
3-hydroxybutyrylcarnitine (1),,,,,,0,MNXM1363434;MNXM163668
3-methyl-2-oxovalerate,,,,,,0,MNXM1363844
3-sulfo-L-alanine,,,,,,0,MNXM713
4-hydroxybutyrate (GHB),,,,,,0,MNXM1093090
4-imidazoleacetate,Imidazoleacetic acid,HMDB0002024,96215,C02835,OC(=O)CC1=CN=CN1,1,MNXM1582655
4-methyl-2-oxopentanoate,Ketoleucine,HMDB0000695,70,C00233,CC(C)CC(=O)C(O)=O,1,MNXM404
5-methylthioadenosine (MTA),,,,,,0,MNXM1101977
5-oxoproline,Pyroglutamic acid,HMDB0000267,7405,C01879,OC(=O)[C@@H]1CCC(=O)N1,1,MNXM722719
6-oxopiperidine-2-carboxylic acid,6-Oxopiperidine-2-carboxylic acid,HMDB0061705,3014237,,OC(=O)C1CCCC(O)=N1,1,MNXM151501
argininosuccinate,Argininosuccinic acid,HMDB0000052,16950,C03406,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,1,MNXM1508320
betaine,Betaine,HMDB0000043,248,C00719,C[N+](C)(C)CC(O)=O,1,MNXM289
cysteine sulfinic acid,,,,,,0,MNXM1100005
histamine,Histamine,HMDB0000870,774,C00388,NCCC1=CNC=N1,1,MNXM635
homoserine (homoserine lactone),,,,,,0,MNXM7437;MNXM1834
hypotaurine,Hypotaurine,HMDB0000965,107812,C00519,NCCS(O)=O,1,MNXM726
N-alpha-acetylornithine,N2-Acetylornithine,HMDB0003357,439232,C00437,CC(=O)N[C@@H](CCCN)C(O)=O,1,MNXM817
phenylpyruvate,Phenylpyruvic acid,HMDB0000205,997,C00166,OC(=O)C(=O)CC1=CC=CC=C1,1,MNXM589160
proline,Proline,HMDB0000162,145742,C00148,OC(=O)[C@@H]1CCCN1,1,MNXM114
sarcosine (N-Methylglycine),,,,,,0,MNXM300
taurine,Taurine,HMDB0000251,1123,C00245,NCCS(O)(=O)=O,1,MNXM282
tryptophan,L-Tryptophan,HMDB0000929,6305,C00078,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1,MNXM741553
"2,3-dihydroxyisovalerate",,,,,,0,MNXM734
2-isopropylmalate,2-Isopropylmalic acid,HMDB0000402,5280523,C02504,CC(C)[C@@](O)(CC(O)=O)C(O)=O,1,MNXM730930
3-methyl-2-oxobutyrate,alpha-Ketoisovaleric acid,HMDB0000019,49,C00141,CC(C)C(=O)C(O)=O,1,MNXM732866
