,ref_E_siliculosus,ref_CHO,ref_A_aegypti
,1.0,1.0,1.0
C00361,1.0,1.0,1.0
C04556,1.0,0.0,0.0
C00602,1.0,0.0,0.0
C12455,1.0,0.0,0.0
C00161,1.0,0.0,0.0
C04405,1.0,0.0,0.0
C04575,1.0,1.0,1.0
C02291,1.0,1.0,1.0
C14397,1.0,0.0,0.0
C00355,1.0,1.0,1.0
C01311,1.0,0.0,0.0
C02739,1.0,0.0,0.0
C03635,1.0,0.0,0.0
C02944,1.0,0.0,0.0
C01115,1.0,0.0,0.0
C01230,1.0,0.0,0.0
C01081,1.0,1.0,1.0
C00787,1.0,0.0,0.0
C00670,1.0,1.0,1.0
C06054,1.0,0.0,0.0
C05809,1.0,0.0,0.0
C15787,1.0,0.0,0.0
C15853,1.0,1.0,1.0
C00232,1.0,0.0,0.0
C00853,1.0,0.0,0.0
C00163,1.0,1.0,1.0
C01507,1.0,1.0,1.0
C01525,1.0,0.0,0.0
C05824,1.0,1.0,1.0
C00206,1.0,1.0,1.0
C02034,1.0,0.0,0.0
C02475,1.0,0.0,0.0
C00685,1.0,0.0,0.0
C16171,1.0,1.0,1.0
C20663,1.0,0.0,0.0
C00366,1.0,1.0,1.0
C02232,1.0,0.0,0.0
C00111,1.0,1.0,1.0
C19703,1.0,0.0,0.0
C00267,1.0,0.0,0.0
C00065,1.0,1.0,1.0
C01164,1.0,1.0,1.0
C00644,1.0,0.0,0.0
C00243,1.0,1.0,1.0
C00365,1.0,1.0,1.0
C06506,1.0,0.0,0.0
C15883,1.0,0.0,0.0
C05556,1.0,0.0,0.0
C08830,1.0,0.0,0.0
C09827,1.0,0.0,0.0
C06505,1.0,0.0,0.0
C00448,1.0,1.0,1.0
C00254,1.0,0.0,0.0
C02823,1.0,0.0,0.0
C05913,1.0,0.0,0.0
C01829,1.0,1.0,1.0
C00921,1.0,0.0,0.0
C05359,1.0,0.0,1.0
C02350,1.0,0.0,0.0
C02165,1.0,1.0,1.0
C00511,1.0,1.0,1.0
C00794,1.0,1.0,1.0
C00544,1.0,1.0,1.0
C02041,1.0,1.0,1.0
C00186,1.0,1.0,1.0
C04036,1.0,0.0,0.0
C00015,1.0,1.0,1.0
C00009,1.0,1.0,1.0
C01245,1.0,1.0,1.0
C00641,1.0,0.0,0.0
C05729,1.0,0.0,0.0
C00026,1.0,1.0,1.0
C01035,1.0,0.0,0.0
C02249,1.0,1.0,1.0
C03406,1.0,1.0,1.0
C01641,1.0,0.0,0.0
C00219,1.0,1.0,1.0
C03741,1.0,0.0,0.0
C16355,1.0,0.0,0.0
C00748,1.0,0.0,0.0
C21029,1.0,1.0,1.0
C00510,1.0,1.0,1.0
C05125,1.0,0.0,0.0
C01640,1.0,0.0,0.0
C00279,1.0,1.0,1.0
C00624,1.0,0.0,0.0
C01563,1.0,0.0,0.0
C01636,1.0,0.0,0.0
C11860,1.0,0.0,0.0
C05631,1.0,0.0,0.0
C00681,1.0,0.0,1.0
C03363,1.0,0.0,0.0
C09826,1.0,0.0,0.0
C11481,1.0,1.0,1.0
C04322,1.0,1.0,1.0
C00196,1.0,0.0,0.0
C02588,1.0,0.0,0.0
C20485,1.0,0.0,0.0
C04916,1.0,0.0,0.0
C01644,1.0,0.0,0.0
C02670,1.0,1.0,1.0
C21057,1.0,0.0,0.0
C00551,1.0,0.0,0.0
C00705,1.0,1.0,1.0
C05903,1.0,0.0,0.0
C05645,1.0,1.0,1.0
C20950,1.0,0.0,0.0
C11175,1.0,1.0,1.0
C16168,1.0,1.0,1.0
C00882,1.0,1.0,1.0
C05906,1.0,0.0,0.0
C00092,1.0,1.0,1.0
C00394,1.0,0.0,0.0
C00362,1.0,1.0,1.0
C20836,1.0,0.0,0.0
C02504,1.0,0.0,0.0
C00512,1.0,0.0,0.0
C00525,1.0,0.0,0.0
C21742,1.0,0.0,0.0
C16404,1.0,0.0,0.0
C00860,1.0,0.0,0.0
C16463,1.0,0.0,0.0
C05608,1.0,0.0,0.0
C00141,1.0,1.0,1.0
C00760,1.0,0.0,0.0
C11924,1.0,1.0,1.0
C00389,1.0,0.0,0.0
C00668,1.0,0.0,0.0
C02741,1.0,0.0,0.0
C00031,1.0,1.0,1.0
C00145,1.0,0.0,0.0
C00046,1.0,0.0,0.0
C00436,1.0,0.0,0.0
C03740,1.0,0.0,0.0
C03360,1.0,1.0,1.0
C02325,1.0,0.0,0.0
C01944,1.0,1.0,1.0
C16218,1.0,1.0,1.0
C00247,1.0,0.0,0.0
C15547,1.0,0.0,0.0
C00128,1.0,1.0,1.0
C00669,1.0,1.0,1.0
C00170,1.0,1.0,1.0
C05273,1.0,1.0,1.0
C14146,1.0,0.0,0.0
C00044,1.0,1.0,1.0
C15496,1.0,0.0,0.0
C11861,1.0,0.0,0.0
C02659,1.0,0.0,0.0
C05435,1.0,0.0,0.0
C01420,1.0,1.0,0.0
C00235,1.0,1.0,1.0
C21943,1.0,0.0,0.0
C00307,1.0,1.0,1.0
C05577,1.0,1.0,1.0
C03150,1.0,1.0,1.0
C01598,1.0,1.0,1.0
C01646,1.0,0.0,0.0
C05936,1.0,1.0,1.0
C00984,1.0,1.0,1.0
C09727,1.0,0.0,0.0
C15786,1.0,0.0,0.0
C02693,1.0,0.0,0.0
