Model ID,total_genes,ncbi_genes,mapping_percentage
au_A_aegypti,8229,8229,100.0
au_C_griseus,6249,5628,90.1
au_E_siliculosus,2857,2857,100.0
cv_A_aegypti,649,648,99.8
cv_C_griseus,702,641,91.3
cv_E_siliculosus,786,785,99.9
me_A_aegypti,4306,4306,100.0
me_C_griseus,2807,2320,82.7
me_E_siliculosus,1642,1282,78.1
ms_A_aegypti,1,0,0.0
ms_C_griseus,634,497,78.4
ms_E_siliculosus,728,727,99.9
pt_A_aegypti,6557,6557,100.0
pt_C_griseus,4558,3933,86.3
pt_E_siliculosus,2751,2751,100.0
rc_A_aegypti,4604,4604,100.0
rc_C_griseus,2809,2449,87.2
rc_E_siliculosus,1700,1700,100.0
rec_A_aegypti,1392,0,0.0
rec_C_griseus,1625,0,0.0
rec_E_siliculosus,1879,0,0.0
ref_A_aegypti,1001,964,96.3
ref_C_griseus,1766,1765,99.9
ref_E_siliculosus,2281,2245,98.4
rk_A_aegypti,3452,3452,100.0
rk_C_griseus,1990,1765,88.7
rk_E_siliculosus,1141,1141,100.0
rm_A_aegypti,3677,3677,100.0
rm_C_griseus,2275,1981,87.1
rm_E_siliculosus,1428,1428,100.0
