model,total_unique_ids,total_mnx_ids,mapping_percentage
rc_C_griseus,3528,3503,99.29
rc_A_aegypti,2926,2901,99.15
rc_E_siliculosus,2936,2915,99.28
au2_A_aegypti,2143,2140,99.86
au2_C_griseus,2617,2612,99.81
au2_E_siliculosus,2426,2422,99.84
au3_A_aegypti,3262,3259,99.91
au3_C_griseus,4113,4108,99.88
au3_E_siliculosus,3715,3699,99.57
au_A_aegypti,2184,2140,97.99
au_C_griseus,4117,4112,99.88
au_E_siliculosus,2984,2877,96.41
pt_A_aegypti,2374,2299,96.84
pt_C_griseus,2839,2758,97.15
pt_E_siliculosus,2554,2497,97.77
r_E_siliculosus,1766,1765,99.94
ref_E_siliculosus,2072,2061,99.47
au5_E_siliculosus,3036,2997,98.72
au4_C_griseus,2484,2483,99.96
au4_E_siliculosus,978,923,94.38
au5_C_griseus,2476,2475,99.96
cv_A_aegypti,594,593,99.83
cv_C_griseus,629,628,99.84
cv_E_siliculosus,815,814,99.88
ref_A_aegypti,2484,2443,98.35
ref_C_griseus,2306,2306,100.00
au5_A_aegypti,1945,1943,99.90
r_C_griseus,2085,2084,99.95
r_A_aegypti,1721,1720,99.94
me_A_aegypti,2065,2037,98.64
me_C_griseus,2431,2399,98.68
me_E_siliculosus,2046,2015,98.48
rh_A_aegypti,1881,1858,98.78
rh_C_griseus,2264,2240,98.94
rh_E_siliculosus,1914,1893,98.90
rec_A_aegypti,1416,1413,99.79
rec_C_griseus,1550,1547,99.81
rec_E_siliculosus,1663,1660,99.82
ms_A_aegypti,510,508,99.61
ms_C_griseus,510,508,99.61
ms_E_siliculosus,510,508,99.61
au4_A_aegypti,2929,1847,63.06
