,organism,AuReMe,carveMe,merlin,pathway_tools,raven,raven_comb,raven_homo,reconstructor,reference
reactions,A. aegypti,1851.0,1087.0,4820.0,2626.0,1365.0,2573.0,1723.0,1381.0,5678.0
genes,A. aegypti,8229.0,649.0,4306.0,5509.0,3677.0,4604.0,3452.0,1392.0,1466.0
enzymatic_rxns,A. aegypti,1851.0,800.0,4284.0,2043.0,1365.0,2431.0,1581.0,1244.0,3502.0
flux_rxns,A. aegypti,0.18638573743922204,0.985280588776449,0.4831950207468879,0.5011424219345011,0.18754578754578755,0.0,0.0,0.5083272990586531,0.0
unique_metabolites,A. aegypti,0.986922406277245,0.7556962025316456,0.46484549932825797,0.9465116279069767,1.0,1.0,1.0,0.9747095010252905,0.5282308657465495
metabolites,A. aegypti,2294.0,790.0,4466.0,2580.0,1753.0,3053.0,1897.0,1463.0,4782.0
compartments,A. aegypti,6.0,3.0,6.0,3.0,1.0,1.0,1.0,2.0,9.0
pure_metabolic_rxns,A. aegypti,1832.0,726.0,3063.0,2564.0,1353.0,2561.0,1723.0,1293.0,2975.0
score,A. aegypti,0.39551777515555686,0.49398516681258225,0.4609600431571145,0.4900220505090366,0.2949192301731062,0.2766904313718197,0.3083644549433072,0.31317718248242576,0.39804221687872493
cons_score,A. aegypti,0.5269196770402942,0.8849529291036452,0.5748076290619406,0.7348798662891775,0.4566406375526205,0.39086294416243655,0.5308183401044689,0.6797755561339315,0.5993486668023611
ann_score,A. aegypti,0.3166766340247144,0.2594045094379446,0.39265149161421875,0.3431073610409522,0.1978863857453976,0.20818692369744954,0.17489212384661026,0.09321815829152237,0.27725834692454326
time,A. aegypti,0.9583333333333334,0.9993333333333333,0.0,0.9666666666666667,0.9983333333333333,0.99,0.9916666666666667,0.9833333333333333,0.0
biomass,A. aegypti,0.4594594594594595,0.7027027027027027,0.4864864864864865,0.4594594594594595,0.6486486486486487,0.6081081081081081,0.3918918918918919,0.6891891891891891,0.4594594594594595
