,organism,AuReMe,carveMe,merlin,pathway_tools,raven,raven_comb,raven_homo,reconstructor,reference
reactions,E. siliculosus,3403.0,1548.0,3813.0,2669.0,1322.0,2503.0,1710.0,1601.0,2005.0
genes,E. siliculosus,2857.0,786.0,1642.0,2309.0,1428.0,1700.0,1141.0,1879.0,2281.0
enzymatic_rxns,E. siliculosus,3403.0,1189.0,3224.0,2250.0,1322.0,2360.0,1567.0,1523.0,1601.0
flux_rxns,E. siliculosus,0.04114017043784901,0.9799741602067183,0.34120115394702333,0.500936680404646,0.08472012102874438,0.0,0.0,0.45034353529044346,0.30074812967581044
unique_metabolites,E. siliculosus,0.8633509168550615,0.7583333333333333,0.4579252003561888,0.9515774027879678,1.0,1.0,1.0,0.9795560747663551,0.9664551223934723
metabolites,E. siliculosus,3981.0,1080.0,4492.0,2726.0,1789.0,3043.0,1928.0,1712.0,2206.0
compartments,E. siliculosus,10.0,3.0,7.0,3.0,1.0,1.0,1.0,2.0,7.0
pure_metabolic_rxns,E. siliculosus,3286.0,1093.0,3263.0,2611.0,1313.0,2494.0,1710.0,1524.0,1899.0
score,E. siliculosus,0.3381159244160728,0.49152312437493706,0.4633782280902675,0.49436527373838535,0.32583287104462355,0.2797960584678248,0.3089133488702581,0.3038914033678319,0.45392700205696
cons_score,E. siliculosus,0.43869831892497296,0.8891611690326972,0.5709339561000251,0.7428225059990982,0.5366703840713741,0.40024057738572577,0.5300584795321638,0.6549012645781553,0.6174862963157309
ann_score,E. siliculosus,0.2777664877107327,0.252940297580281,0.39884479128441297,0.3452909343819577,0.19933036322857325,0.2075293471170842,0.1762262704731148,0.0932854866416378,0.3557914255016975
time,E. siliculosus,0.0,0.984,0.0,0.19999999999999996,0.96,0.76,0.8,0.6,0.0
biomass,E. siliculosus,0.6,0.9,0.6166666666666667,0.5,0.6166666666666667,0.9,0.3333333333333333,0.6666666666666666,1.0
