"Gene ID","Organism","Genomic Location (Gene)","Product Description","Gene Name or Symbol","Entrez Gene ID","UniProt ID(s)"
"AAEL000001","Aedes aegypti LVP_AGWG","AaegL5_3:102,845,151..102,857,922(+)","unspecified product","N/A","5563588","A0A1S4EUN3,Q0C738"
"AAEL000004","Aedes aegypti LVP_AGWG","AaegL5_3:104,479,010..104,483,711(+)","glycosyltransferase","N/A","5563659","A0A1S4EUN4,Q0C786"
"AAEL000005","Aedes aegypti LVP_AGWG","AaegL5_3:102,950,065..102,966,556(-)","unspecified product","N/A","5563587","A0A1S4EUN5,Q0C743,Q0C744"
"AAEL000006","Aedes aegypti LVP_AGWG","AaegL5_3:102,799,321..102,808,822(+)","phosphoenolpyruvate carboxykinase","N/A","5563591","A0A1S4EUN6,Q0C737"
"AAEL000008","Aedes aegypti LVP_AGWG","AaegL5_3:101,822,573..101,852,497(+)","WD and tetratricopeptide repeat protein","N/A","5563582","A0A1S4EUP3,Q0C729"
"AAEL000010","Aedes aegypti LVP_AGWG","AaegL5_3:102,915,808..102,917,099(+)","60S ribosomal protein L36 [Source:UniProtKB/TrEMBL;Acc:Q1HR17]","Rpl36-1","5563592,5563592","Q1HR17"
"AAEL000011","Aedes aegypti LVP_AGWG","AaegL5_3:103,368,280..103,370,634(+)","unspecified product","N/A","5563601","N/A"
"AAEL000012","Aedes aegypti LVP_AGWG","AaegL5_3:104,504,030..104,516,263(-)","gustatory receptor Gr6","Gr6","5563656","A0A1S4EUP8,Q0C788"
"AAEL000013","Aedes aegypti LVP_AGWG","AaegL5_3:105,669,862..105,683,739(-)","peptidyl-prolyl cis-trans isomerase (cyclophilin)","N/A","5563623","Q0C7A7"
"AAEL000016","Aedes aegypti LVP_AGWG","AaegL5_1:242,820,401..242,822,020(-)","Esterase AAEL000016 [Source:UniProtKB/Swiss-Prot;Acc:Q0C7C4]","N/A","5563630,5563630","Q0C7C4"
"AAEL000017","Aedes aegypti LVP_AGWG","AaegL5_2:188,052,007..188,060,142(-)","unspecified product","N/A","5563628","N/A"
"AAEL000018","Aedes aegypti LVP_AGWG","AaegL5_3:103,107,813..103,110,643(-)","unspecified product","N/A","5563561,5563561","Q0C750"
"AAEL000020","Aedes aegypti LVP_AGWG","AaegL5_3:104,359,898..104,367,252(-)","unspecified product","N/A","5563639","A0A1S4EUQ4,Q0C779,Q16SG4"
"AAEL000021","Aedes aegypti LVP_AGWG","AaegL5_3:103,621,230..103,629,042(+)","unspecified product","N/A","5563638","A0A1S4EUQ2,Q0C766,Q0C767"
"AAEL000022","Aedes aegypti LVP_AGWG","AaegL5_3:101,774,145..101,775,042(-)","Proteasome assembly chaperone 2 [Source:UniProtKB/TrEMBL;Acc:A0A1S4EUQ1]","N/A","5563625","A0A1S4EUQ1,Q0C726"
"AAEL000024","Aedes aegypti LVP_AGWG","AaegL5_1:243,009,863..243,025,100(-)","dopachrome-conversion enzyme (DCE), putative","N/A","5563570,5563570","Q0C7C7"
"AAEL000025","Aedes aegypti LVP_AGWG","AaegL5_3:102,774,378..102,776,817(+)","phosphoenolpyruvate carboxykinase","N/A","5563586","A0A1S4EUP0,Q0C736"
"AAEL000026","Aedes aegypti LVP_AGWG","AaegL5_3:104,469,009..104,470,784(-)","dynein light chain, putative","N/A","5563563,5563563","Q0C784"
"AAEL000027","Aedes aegypti LVP_AGWG","AaegL5_3:103,428,985..103,431,069(-)","unspecified product","N/A","5563611","A0A1S4EUQ6,Q0C761,Q16E55"
"AAEL000028","Aedes aegypti LVP_AGWG","AaegL5_3:105,097,961..105,132,164(+)","Clip-Domain Serine Protease  family B.","CLIPB34","5563616,5563616","Q1HRH0"
"AAEL000029","Aedes aegypti LVP_AGWG","AaegL5_1:242,991,477..243,003,330(-)","dopachrome-conversion enzyme (DCE), putative","N/A","5563593","A0A1S4EUR6,Q0C7C6"
"AAEL000032","Aedes aegypti LVP_AGWG","AaegL5_3:102,899,488..102,909,521(-)","40S ribosomal protein S6 [Source:UniProtKB/Swiss-Prot;Acc:Q9U761]","RpS6","5563590,5563590","A0A1S4EUR3,Q0C740,Q5D0W4,Q9U761"
"AAEL000033","Aedes aegypti LVP_AGWG","AaegL5_3:104,491,938..104,496,482(+)","unspecified product","N/A","5563652","A0A1S4EUQ9,Q0C787"
"AAEL000035","Aedes aegypti LVP_AGWG","AaegL5_3:103,495,016..103,495,736(+)","odorant binding protein (Obp57)","OBP57","5563606","A0A1S4EUS0,Q0C763"
"AAEL000036","Aedes aegypti LVP_AGWG","AaegL5_3:103,673,558..103,683,905(+)","unspecified product","N/A","5563634","A0A1S4EUR9,Q0C768,Q1DGH2"
"AAEL000037","Aedes aegypti LVP_AGWG","AaegL5_3:105,057,300..105,059,106(+)","Clip-Domain Serine Protease  family B.","CLIPB35","5563663","A0A1S4EUR7,Q0C799"
"AAEL000038","Aedes aegypti LVP_AGWG","AaegL5_3:104,982,368..104,987,083(+)","Clip-Domain Serine Protease  family B.","CLIPB6","5563662","A0A1S4EUR4,Q0C796"
"AAEL000039","Aedes aegypti LVP_AGWG","AaegL5_3:103,164,627..103,167,094(+)","unspecified product","N/A","5563596","A0A1S4EUS3,Q0C752"
"AAEL000041","Aedes aegypti LVP_AGWG","AaegL5_3:103,205,061..103,298,936(-)","Forkhead box protein (AaegFOXM2) [Source:UniProtKB/TrEMBL;Acc:A0A1S4EUS5]","N/A","5579277","N/A"
"AAEL000042","Aedes aegypti LVP_AGWG","AaegL5_3:101,783,622..101,784,962(+)","unspecified product","N/A","5563627,5563627","Q0C727"
"AAEL000043","Aedes aegypti LVP_AGWG","AaegL5_3:104,914,659..104,917,820(-)","gustatory receptor 64e, putative","N/A","5563649,5563649","Q0C794"
"AAEL000044","Aedes aegypti LVP_AGWG","AaegL5_3:102,017,239..102,018,959(+)","ornithine decarboxylase","N/A","5563577","A0A1S4EUS8,Q0C731,Q0C732"
"AAEL000046","Aedes aegypti LVP_AGWG","AaegL5_3:104,373,065..104,374,097(+)","unspecified product","N/A","5563647","A0A1S4EUS9,Q0C780,Q16SG5"
"AAEL000047","Aedes aegypti LVP_AGWG","AaegL5_3:103,222,749..103,239,597(+)","unspecified product","N/A","5563597","A0A1S4EUS7,Q0C755"
"AAEL000048","Aedes aegypti LVP_AGWG","AaegL5_3:104,935,424..104,937,789(-)","gustatory receptor Gr4","Gr4","5563657","A0A1S4EUS6,Q0C795"
"AAEL000049","Aedes aegypti LVP_AGWG","AaegL5_2:184,499,314..184,503,000(-)","three prime repair exonuclease 1, putative","N/A","5563618","A0A1S4EUT2,Q0C7B5"
"AAEL000050","Aedes aegypti LVP_AGWG","AaegL5_3:104,147,570..104,148,659(-)","unspecified product","N/A","5563641","A0A1S4EUT5,Q0C775"
"AAEL000051","Aedes aegypti LVP_AGWG","AaegL5_3:103,022,430..103,036,762(-)","odorant binding protein OBP3","OBP3","5563622","A0A1S4EUT4,Q0C748"
"AAEL000053","Aedes aegypti LVP_AGWG","AaegL5_3:105,687,202..105,715,089(+)","myotubularin","N/A","5563572,5563572","Q0C7A8"
"AAEL000055","Aedes aegypti LVP_AGWG","AaegL5_3:102,991,597..102,994,579(+)","unspecified product","N/A","5563578","Q0C746"
"AAEL000057","Aedes aegypti LVP_AGWG","AaegL5_3:103,542,299..103,559,526(-)","Toll-like receptor","TOLL5B","5563637","A0A1S4EUT8,Q0C765"
"AAEL000058","Aedes aegypti LVP_AGWG","AaegL5_3:103,905,858..103,907,694(-)","unspecified product","N/A","5563632","A0A1S4EUT7,Q0C771"
"AAEL000063","Aedes aegypti LVP_AGWG","AaegL5_3:103,473,040..103,484,495(+)","unspecified product","N/A","5563636","A0A1S4EUU1,Q0C762"
"AAEL000064","Aedes aegypti LVP_AGWG","AaegL5_1:243,039,234..243,055,025(-)","dopachrome-conversion enzyme (DCE) isoenzyme, putative","N/A","5563621,5563621","Q8T4S1,Q8T4S2,Q8T4S3,Q8T4S4,Q8T4S5,Q8T4S6,Q9GSZ4"
"AAEL000065","Aedes aegypti LVP_AGWG","AaegL5_3:102,966,624..102,980,196(+)","unspecified product","N/A","5563619","A0A1S4EUV1,Q0C745"
"AAEL000066","Aedes aegypti LVP_AGWG","AaegL5_3:103,137,399..103,146,686(-)","unspecified product","N/A","5563599,5563599","Q0C751,Q0C756"
"AAEL000069","Aedes aegypti LVP_AGWG","AaegL5_3:104,798,919..104,832,972(+)","gustatory receptor 64a, putative","N/A","5563660","A0A1S4EUV7,Q0C790"
"AAEL000071","Aedes aegypti LVP_AGWG","AaegL5_3:103,101,070..103,101,959(+)","odorant binding protein OBP2","OBP2","5563595,5563595","Q0C749"
"AAEL000073","Aedes aegypti LVP_AGWG","AaegL5_3:103,003,308..103,022,456(+)","odorant binding protein OBP4","OBP4","5563613,5563613","Q0C747"
"AAEL000074","Aedes aegypti LVP_AGWG","AaegL5_3:104,987,584..105,005,131(-)","Clip-Domain Serine Protease  family B.","CLIPB1","5563566","A0A1S4EUW4,Q0C797"
"AAEL000075","Aedes aegypti LVP_AGWG","AaegL5_3:104,869,023..104,871,783(-)","gustatory receptor Gr9","Gr9","5563653","A0A1S4EUW0,Q0C792"
"AAEL000076","Aedes aegypti LVP_AGWG","AaegL5_3:104,358,761..104,359,941(+)","dimethyladenosine transferase","N/A","5563560","A2I894,Q16SG3"
"AAEL000077","Aedes aegypti LVP_AGWG","AaegL5_3:104,447,534..104,455,919(+)","cation efflux protein/ zinc transporter","N/A","5563644,5563644","Q0C782"
"AAEL000079","Aedes aegypti LVP_AGWG","AaegL5_1:242,653,014..242,769,342(-)","unspecified product","N/A","5563615","Q0C7C1"
"AAEL000080","Aedes aegypti LVP_AGWG","AaegL5_3:102,694,137..102,696,809(-)","phosphoenolpyruvate carboxykinase","N/A","5563575","A0A1S4EUW3,Q0C735"
"AAEL000081","Aedes aegypti LVP_AGWG","AaegL5_2:184,465,658..184,482,992(-)","peroxisome assembly factor-2 (peroxisomal-type ATPase 1)","N/A","5563554","Q0C7B7"
"AAEL000084","Aedes aegypti LVP_AGWG","AaegL5_1:242,778,827..242,802,239(+)","elongin b","N/A","5563664,5563664","Q0C7C3"
"AAEL000085","Aedes aegypti LVP_AGWG","AaegL5_3:104,123,593..104,131,476(+)","pupal cuticle protein, putative","N/A","5563640","A0A1S4EUW9,Q0C774"
"AAEL000087","Aedes aegypti LVP_AGWG","AaegL5_3:105,173,150..105,239,403(+)","macroglobulin/complement","N/A","5563609","A0A1S4EUW6,Q0C7A6"
"AAEL000088","Aedes aegypti LVP_AGWG","AaegL5_3:101,784,769..101,805,511(-)","brefeldin A-sensitive peripheral Golgi protein, putative","N/A","5563579,5563579","Q0C728"
"AAEL000089","Aedes aegypti LVP_AGWG","AaegL5_3:103,185,748..103,195,612(+)","unspecified product","N/A","5563598","A0A1S4EUX8,Q0C753"
"AAEL000090","Aedes aegypti LVP_AGWG","AaegL5_3:102,857,836..102,896,225(-)","secretory carrier-associated membrane protein (scamp)","N/A","5563589,5563589","Q0C739"
"AAEL000091","Aedes aegypti LVP_AGWG","AaegL5_3:104,473,114..104,474,414(+)","sumo-1-activating enzyme E1a","N/A","5563654,5563654","Q0C785"
