v2 LocusID,v1 LocusID,Uniprot Acc N°,EMBL
Ec-27_006540,Esi_0000_0004,D8LAS5,CBN76434.1
Ec-27_006530,Esi_0000_0005,D8LAS6,CBN76435.1
Ec-27_006520,Esi_0000_0006,D8LAS7,CBN76436.1
Ec-27_006500,Esi_0000_0008,D8LAS8,CBN76437.1
Ec-27_006490,Esi_0000_0011,D8LAS9,CBN76438.1
Ec-27_006480,Esi_0000_0012,D8LAT0,CBN76439.1
Ec-27_006470,Esi_0000_0013,D8LAT1,CBN76440.1
Ec-27_006460,Esi_0000_0014,D8LAT2,CBN76441.1
Ec-27_006450,Esi_0000_0015,D8LAT3,CBN76442.1
,Esi_0000_0016,D8LAT4,CBN76443.1
Ec-27_006440,Esi_0000_0017,D8LAT5,CBN76444.1
Ec-27_006430,Esi_0000_0018,D8LAT6,CBN76445.1
Ec-27_006420,Esi_0000_0020,D8LAT7,CBN76446.1
Ec-27_006410,Esi_0000_0021,D8LAT8,CBN76447.1
Ec-27_006400,Esi_0000_0023,D8LAT9,CBN76448.1
Ec-27_006390,Esi_0000_0025,D8LAU0,CBN76449.1
,Esi_0000_0026,D8LAU1,CBN76450.1
Ec-27_006380,Esi_0000_0028,D8LAU2,CBN76451.1
Ec-27_006370,Esi_0000_0030,D8LAU3,CBN76452.1
Ec-27_006360,Esi_0000_0031,D8LAU4,CBN76453.1
Ec-27_006350,Esi_0000_0032,D8LAU5,CBN76454.1
Ec-27_006340,Esi_0000_0033,D8LAU6,CBN76455.1
Ec-27_006330,Esi_0000_0035,D8LAU7,CBN76456.1
,Esi_0000_0036,D8LAU8,CBN76457.1
Ec-27_006320,Esi_0000_0038,D8LAU9,CBN76458.1
Ec-27_006310,Esi_0000_0039,D8LAV0,CBN76459.1
Ec-27_006300,Esi_0000_0043,D8LAV1,CBN76460.1
Ec-27_006290,Esi_0000_0044,D8LAV2,CBN76461.1
Ec-27_006280,Esi_0000_0045,D8LAV3,CBN76462.1
Ec-27_006270,Esi_0000_0046,D8LAV4,CBN76463.1
,Esi_0000_0050,D8LAV5,CBN76464.1
Ec-27_006260,Esi_0000_0051,D8LAV6,CBN76465.1
Ec-27_006250,Esi_0000_0052,D8LAV7,CBN76466.1
Ec-27_006240,Esi_0000_0053,D8LAV8,CBN76467.1
,Esi_0000_0054,D8LAV9,CBN76468.1
Ec-27_006230,Esi_0000_0055,D8LAW0,CBN76469.1
Ec-27_006220,Esi_0000_0056,D8LAW1,CBN76470.1
Ec-27_006210,Esi_0000_0057,D8LAW2,CBN76471.1
,Esi_0000_0058,D8LAW3,CBN76472.1
Ec-27_006200,Esi_0000_0059,D8LAW4,CBN76473.1
Ec-27_006190,Esi_0000_0060,D8LAW5,CBN76474.1
Ec-27_006180,Esi_0000_0062,D8LAW6,CBN76475.1
Ec-27_006170,Esi_0000_0063,D8LAW7,CBN76476.1
Ec-27_006160,Esi_0000_0066,D8LAW8,CBN76477.1
Ec-27_006150,Esi_0000_0067,D8LAW9,CBN76478.1
Ec-27_006140,Esi_0000_0068,D8LAX0,CBN76479.1
Ec-27_006130,Esi_0000_0070,D8LAX1,CBN76480.1
Ec-27_006120,Esi_0000_0071,D8LAX2,CBN76481.1
Ec-27_006110,Esi_0000_0073,D8LAX3,CBN76482.1
Ec-27_006090,Esi_0000_0074,D8LAX4,CBN76483.1
Ec-27_006080,Esi_0000_0075,D8LAX5,CBN76484.1
Ec-27_006070,Esi_0000_0077,D8LAX6,CBN76485.1
Ec-27_006060,Esi_0000_0079,D8LAX7,CBN76486.1
Ec-27_006050,Esi_0000_0080,D8LAX8,CBN76487.1
Ec-27_006040,Esi_0000_0082,D8LAX9,CBN76488.1
Ec-27_006030,Esi_0000_0084,D8LAY0,CBN76489.2
Ec-27_006020,Esi_0000_0085,D8LAY1,CBN76490.1
Ec-27_006010,Esi_0000_0086,D8LAY2,CBN76491.1
Ec-27_005990,Esi_0000_0088,D8LAY3,CBN76492.1
Ec-27_005980,Esi_0000_0089,D8LAY4,CBN76493.1
Ec-27_005970,Esi_0000_0090,D8LAY5,CBN76494.1
Ec-27_005960,Esi_0000_0094,D8LAY6,CBN76495.1
Ec-27_005950,Esi_0000_0095,D8LAY7,CBN76496.1
Ec-27_005930,Esi_0000_0096,D8LAY8,CBN76497.1
Ec-27_005920,Esi_0000_0099,D8LAY9,CBN76498.1
Ec-27_005900,Esi_0000_0107,D8LAZ0,CBN76499.1
Ec-27_005880,Esi_0000_0109,D8LAZ1,CBN76500.1
Ec-27_005870,Esi_0000_0110,D8LAZ2,CBN76501.1
Ec-27_005860,Esi_0000_0111,D8LAZ3,CBN76502.1
Ec-27_005850,Esi_0000_0113,D8LAZ4,CBN76503.1
Ec-27_005840,Esi_0000_0114,D8LAZ5,CBN76504.1
Ec-27_005830,Esi_0000_0116,D8LAZ6,CBN76505.1
Ec-27_005820,Esi_0000_0119,D8LAZ7,CBN76506.1
Ec-27_005810,Esi_0000_0120,D8LAZ8,CBN76507.1
Ec-27_005790,Esi_0000_0121,D8LAZ9,CBN76508.1
